"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","74","53","red-107","red","6550","sampling-task","6","218629","0.0-5.0-0.0-0.0","1","emfvnoh5","high"
"1","2","fixed","20","74","76","red-11","red","1749","sampling-task","7","222668","0.0-5.0-0.1-0.1","1","emfvnoh5","high"
"1","3","fixed","20","74","84","red-158","red","1214","sampling-task","8","225524","0.0-5.0-0.2-0.2","1","emfvnoh5","high"
"1","4","fixed","20","74","59","red-195","red","1070","sampling-task","9","228876","0.0-5.0-0.3-0.3","1","emfvnoh5","high"
"1","5","fixed","20","74","77","red-114","red","893","sampling-task","10","231540","0.0-5.0-0.4-0.4","1","emfvnoh5","high"
"1","6","fixed","20","74","100","red-20","red","1037","sampling-task","11","234828","0.0-5.0-0.5-0.5","1","emfvnoh5","high"
"1","7","fixed","20","74","74","red-66","red","2214","sampling-task","12","239524","0.0-5.0-0.6-0.6","1","emfvnoh5","high"
"1","8","fixed","20","74","87","red-126","red","2445","sampling-task","13","244987","0.0-5.0-0.7-0.7","1","emfvnoh5","high"
"1","9","fixed","20","74","99","red-77","red","1007","sampling-task","14","249179","0.0-5.0-0.8-0.8","1","emfvnoh5","high"
"1","10","fixed","20","74","84","red-20","red","862","sampling-task","15","251627","0.0-5.0-0.9-0.9","1","emfvnoh5","high"
"1","11","fixed","20","74","49","red-160","red","1526","sampling-task","16","255251","0.0-5.0-0.10-0.10","1","emfvnoh5","high"
"1","12","fixed","20","74","70","red-216","red","974","sampling-task","17","257459","0.0-5.0-0.11-0.11","1","emfvnoh5","high"
"1","13","fixed","20","74","60","red-14","red","790","sampling-task","18","259636","0.0-5.0-0.12-0.12","1","emfvnoh5","high"
"1","14","fixed","20","74","74","red-35","red","685","sampling-task","19","262595","0.0-5.0-0.13-0.13","1","emfvnoh5","high"
"1","15","fixed","20","74","107","red-211","red","910","sampling-task","20","265427","0.0-5.0-0.14-0.14","1","emfvnoh5","high"
"1","16","fixed","20","74","84","red-59","red","1077","sampling-task","21","267835","0.0-5.0-0.15-0.15","1","emfvnoh5","high"
"1","17","fixed","20","74","62","red-106","red","966","sampling-task","22","269779","0.0-5.0-0.16-0.16","1","emfvnoh5","high"
