"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","111","81","blue-33","blue","6513","sampling-task","12","429481","0.0-5.0-0.0-0.0","10","r18tpgmh","low"
"1","2","fixed","5","111","156","blue-33","blue","1413","sampling-task","13","432864","0.0-5.0-0.1-0.1","10","r18tpgmh","low"
"1","3","fixed","5","111","86","blue-33","blue","1054","sampling-task","14","435352","0.0-5.0-0.2-0.2","10","r18tpgmh","low"
"1","4","fixed","5","111","114","blue-33","blue","910","sampling-task","15","437608","0.0-5.0-0.3-0.3","10","r18tpgmh","low"
"1","5","fixed","5","111","122","blue-33","blue","1173","sampling-task","16","440184","0.0-5.0-0.4-0.4","10","r18tpgmh","low"
"2","1","free","220","19","-24","yellow-182","yellow","4180","sampling-task","19","492471","0.0-5.0-0.5-0.5","10","r18tpgmh","low"
"2","2","free","220","19","32","yellow-182","yellow","862","sampling-task","20","494775","0.0-5.0-0.6-0.6","10","r18tpgmh","low"
"2","3","free","220","19","13","yellow-182","yellow","662","sampling-task","21","496599","0.0-5.0-0.7-0.7","10","r18tpgmh","low"
"2","4","free","220","19","17","yellow-182","yellow","702","sampling-task","22","498742","0.0-5.0-0.8-0.8","10","r18tpgmh","low"
"2","5","free","220","19","34","yellow-182","yellow","510","sampling-task","23","500415","0.0-5.0-0.9-0.9","10","r18tpgmh","low"
"2","6","free","220","19","26","yellow-182","yellow","502","sampling-task","24","502255","0.0-5.0-0.10-0.10","10","r18tpgmh","low"
"2","7","free","220","19","13","yellow-182","yellow","470","sampling-task","25","503823","0.0-5.0-0.11-0.11","10","r18tpgmh","low"
"2","8","free","220","19","29","yellow-182","yellow","502","sampling-task","26","505359","0.0-5.0-0.12-0.12","10","r18tpgmh","low"
"2","9","free","220","19","17","yellow-182","yellow","446","sampling-task","27","506823","0.0-5.0-0.13-0.13","10","r18tpgmh","low"
"2","10","free","220","19","18","yellow-182","yellow","446","sampling-task","28","508703","0.0-5.0-0.14-0.14","10","r18tpgmh","low"
"2","11","free","220","19","49","yellow-182","yellow","414","sampling-task","29","510327","0.0-5.0-0.15-0.15","10","r18tpgmh","low"
"2","12","free","220","19","5","yellow-182","yellow","430","sampling-task","30","511783","0.0-5.0-0.16-0.16","10","r18tpgmh","low"
"2","13","free","220","19","23","yellow-182","yellow","430","sampling-task","31","513439","0.0-5.0-0.17-0.17","10","r18tpgmh","low"
"2","14","free","220","19","44","yellow-182","yellow","398","sampling-task","32","514847","0.0-5.0-0.18-0.18","10","r18tpgmh","low"
"2","15","free","220","19","10","yellow-182","yellow","462","sampling-task","33","516207","0.0-5.0-0.19-0.19","10","r18tpgmh","low"
"2","16","free","220","19","-5","yellow-182","yellow","430","sampling-task","34","518055","0.0-5.0-0.20-0.20","10","r18tpgmh","low"
"2","17","free","220","19","22","yellow-182","yellow","382","sampling-task","35","519703","0.0-5.0-0.21-0.21","10","r18tpgmh","low"
"2","18","free","220","19","33","yellow-182","yellow","430","sampling-task","36","521351","0.0-5.0-0.22-0.22","10","r18tpgmh","low"
"2","19","free","220","19","40","yellow-182","yellow","382","sampling-task","37","522759","0.0-5.0-0.23-0.23","10","r18tpgmh","low"
"2","20","free","220","19","20","yellow-182","yellow","710","sampling-task","38","524527","0.0-5.0-0.24-0.24","10","r18tpgmh","low"
"2","21","free","220","19","19","yellow-182","yellow","350","sampling-task","39","525863","0.0-5.0-0.25-0.25","10","r18tpgmh","low"
"2","22","free","220","19","33","yellow-182","yellow","390","sampling-task","40","527439","0.0-5.0-0.26-0.26","10","r18tpgmh","low"
"2","23","free","220","19","2","yellow-182","yellow","414","sampling-task","41","528759","0.0-5.0-0.27-0.27","10","r18tpgmh","low"
"2","24","free","220","19","12","yellow-182","yellow","654","sampling-task","42","530463","0.0-5.0-0.28-0.28","10","r18tpgmh","low"
"2","25","free","220","19","4","yellow-182","yellow","718","sampling-task","43","532551","0.0-5.0-0.29-0.29","10","r18tpgmh","low"
