"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","12","-11","blue-186","blue","9992","sampling-task","6","377206","0.0-5.0-0.0-0.0","100","pokq8zyb","high"
"1","2","fixed","20","12","19","blue-120","blue","2334","sampling-task","7","382357","0.0-5.0-0.1-0.1","100","pokq8zyb","high"
"1","3","fixed","20","12","44","blue-101","blue","3358","sampling-task","8","387382","0.0-5.0-0.2-0.2","100","pokq8zyb","high"
"1","4","fixed","20","12","3","blue-155","blue","1094","sampling-task","9","391477","0.0-5.0-0.3-0.3","100","pokq8zyb","high"
"1","5","fixed","20","12","27","blue-159","blue","902","sampling-task","10","393758","0.0-5.0-0.4-0.4","100","pokq8zyb","high"
"1","6","fixed","20","12","-21","blue-13","blue","943","sampling-task","11","395918","0.0-5.0-0.5-0.5","100","pokq8zyb","high"
"1","7","fixed","20","12","-5","blue-143","blue","607","sampling-task","12","397773","0.0-5.0-0.6-0.6","100","pokq8zyb","high"
"1","8","fixed","20","12","13","blue-4","blue","823","sampling-task","13","400406","0.0-5.0-0.7-0.7","100","pokq8zyb","high"
"1","9","fixed","20","12","31","blue-138","blue","998","sampling-task","14","402742","0.0-5.0-0.8-0.8","100","pokq8zyb","high"
"1","10","fixed","20","12","36","blue-57","blue","878","sampling-task","15","406254","0.0-5.0-0.9-0.9","100","pokq8zyb","high"
"1","11","fixed","20","12","0","blue-142","blue","766","sampling-task","16","409358","0.0-5.0-0.10-0.10","100","pokq8zyb","high"
"1","12","fixed","20","12","25","blue-213","blue","870","sampling-task","17","411718","0.0-5.0-0.11-0.11","100","pokq8zyb","high"
"1","13","fixed","20","12","3","blue-184","blue","1022","sampling-task","18","414734","0.0-5.0-0.12-0.12","100","pokq8zyb","high"
"1","14","fixed","20","12","8","blue-164","blue","1390","sampling-task","19","417277","0.0-5.0-0.13-0.13","100","pokq8zyb","high"
"1","15","fixed","20","12","30","blue-27","blue","1175","sampling-task","20","419653","0.0-5.0-0.14-0.14","100","pokq8zyb","high"
"1","16","fixed","20","12","-6","blue-219","blue","902","sampling-task","21","421774","0.0-5.0-0.15-0.15","100","pokq8zyb","high"
"1","17","fixed","20","12","18","blue-11","blue","910","sampling-task","22","423614","0.0-5.0-0.16-0.16","100","pokq8zyb","high"
"1","18","fixed","20","12","8","blue-8","blue","766","sampling-task","23","425294","0.0-5.0-0.17-0.17","100","pokq8zyb","high"
"1","19","fixed","20","12","6","blue-138","blue","1518","sampling-task","24","428205","0.0-5.0-0.18-0.18","100","pokq8zyb","high"
"1","20","fixed","20","12","30","blue-110","blue","887","sampling-task","25","431782","0.0-5.0-0.19-0.19","100","pokq8zyb","high"
"2","1","free","220","79","83","purple-209","purple","3573","sampling-task","28","484400","0.0-5.0-0.20-0.20","100","pokq8zyb","high"
"2","2","free","220","79","37","purple-123","purple","1375","sampling-task","29","487312","0.0-5.0-0.21-0.21","100","pokq8zyb","high"
"2","3","free","220","79","88","purple-30","purple","647","sampling-task","30","489232","0.0-5.0-0.22-0.22","100","pokq8zyb","high"
"2","4","free","220","79","98","purple-18","purple","534","sampling-task","31","491304","0.0-5.0-0.23-0.23","100","pokq8zyb","high"
"2","5","free","220","79","73","purple-72","purple","599","sampling-task","32","493144","0.0-5.0-0.24-0.24","100","pokq8zyb","high"
"2","6","free","220","79","61","purple-41","purple","878","sampling-task","33","495288","0.0-5.0-0.25-0.25","100","pokq8zyb","high"
"2","7","free","220","79","107","purple-184","purple","471","sampling-task","34","498452","0.0-5.0-0.26-0.26","100","pokq8zyb","high"
"2","8","free","220","79","93","purple-195","purple","414","sampling-task","35","500508","0.0-5.0-0.27-0.27","100","pokq8zyb","high"
"2","9","free","220","79","67","purple-101","purple","390","sampling-task","36","502196","0.0-5.0-0.28-0.28","100","pokq8zyb","high"
"2","10","free","220","79","63","purple-36","purple","526","sampling-task","37","504132","0.0-5.0-0.29-0.29","100","pokq8zyb","high"
"2","11","free","220","79","101","purple-94","purple","630","sampling-task","38","506964","0.0-5.0-0.30-0.30","100","pokq8zyb","high"
"2","12","free","220","79","77","purple-22","purple","446","sampling-task","39","508692","0.0-5.0-0.31-0.31","100","pokq8zyb","high"
"2","13","free","220","79","71","purple-11","purple","694","sampling-task","40","510588","0.0-5.0-0.32-0.32","100","pokq8zyb","high"
