"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","93","112","purple-165","purple","18833","sampling-task","6","403013","0.0-5.0-0.0-0.0","101","ozesv6ym","high"
"1","2","fixed","5","93","61","purple-5","purple","1582","sampling-task","7","407829","0.0-5.0-0.1-0.1","101","ozesv6ym","high"
"1","3","fixed","5","93","147","purple-121","purple","1318","sampling-task","8","413269","0.0-5.0-0.2-0.2","101","ozesv6ym","high"
"1","4","fixed","5","93","97","purple-142","purple","1366","sampling-task","9","416461","0.0-5.0-0.3-0.3","101","ozesv6ym","high"
"1","5","fixed","5","93","91","purple-168","purple","1142","sampling-task","10","421277","0.0-5.0-0.4-0.4","101","ozesv6ym","high"
"2","1","free","220","35","14","blue-132","blue","6053","sampling-task","13","496229","0.0-5.0-0.5-0.5","101","ozesv6ym","high"
"2","2","free","220","35","52","blue-17","blue","1030","sampling-task","14","499701","0.0-5.0-0.6-0.6","101","ozesv6ym","high"
"2","3","free","220","35","40","blue-17","blue","1430","sampling-task","15","504165","0.0-5.0-0.7-0.7","101","ozesv6ym","high"
"2","4","free","220","35","55","blue-220","blue","1222","sampling-task","16","507925","0.0-5.0-0.8-0.8","101","ozesv6ym","high"
"2","5","free","220","35","40","blue-20","blue","1166","sampling-task","17","510988","0.0-5.0-0.9-0.9","101","ozesv6ym","high"
"2","6","free","220","35","32","blue-57","blue","1678","sampling-task","18","515101","0.0-5.0-0.10-0.10","101","ozesv6ym","high"
"2","7","free","220","35","64","blue-153","blue","958","sampling-task","19","517949","0.0-5.0-0.11-0.11","101","ozesv6ym","high"
"2","8","free","220","35","11","blue-9","blue","1086","sampling-task","20","521173","0.0-5.0-0.12-0.12","101","ozesv6ym","high"
"2","9","free","220","35","48","blue-201","blue","1597","sampling-task","21","525211","0.0-5.0-0.13-0.13","101","ozesv6ym","high"
"2","10","free","220","35","62","blue-131","blue","1094","sampling-task","22","527947","0.0-5.0-0.14-0.14","101","ozesv6ym","high"
"2","11","free","220","35","12","blue-176","blue","1639","sampling-task","23","531283","0.0-5.0-0.15-0.15","101","ozesv6ym","high"
"2","12","free","220","35","58","blue-52","blue","742","sampling-task","24","533907","0.0-5.0-0.16-0.16","101","ozesv6ym","high"
"2","13","free","220","35","74","blue-73","blue","759","sampling-task","25","536267","0.0-5.0-0.17-0.17","101","ozesv6ym","high"
"2","14","free","220","35","51","blue-172","blue","878","sampling-task","26","538899","0.0-5.0-0.18-0.18","101","ozesv6ym","high"
"2","15","free","220","35","71","blue-205","blue","1079","sampling-task","27","541819","0.0-5.0-0.19-0.19","101","ozesv6ym","high"
"2","16","free","220","35","26","blue-105","blue","1599","sampling-task","28","545091","0.0-5.0-0.20-0.20","101","ozesv6ym","high"
"2","17","free","220","35","16","blue-41","blue","1750","sampling-task","29","549547","0.0-5.0-0.21-0.21","101","ozesv6ym","high"
"2","18","free","220","35","52","blue-59","blue","1086","sampling-task","30","553043","0.0-5.0-0.22-0.22","101","ozesv6ym","high"
"2","19","free","220","35","9","blue-213","blue","999","sampling-task","31","555587","0.0-5.0-0.23-0.23","101","ozesv6ym","high"
"2","20","free","220","35","52","blue-196","blue","935","sampling-task","32","558555","0.0-5.0-0.24-0.24","101","ozesv6ym","high"
"2","21","free","220","35","47","blue-86","blue","1006","sampling-task","33","561259","0.0-5.0-0.25-0.25","101","ozesv6ym","high"
"2","22","free","220","35","29","blue-113","blue","959","sampling-task","34","564683","0.0-5.0-0.26-0.26","101","ozesv6ym","high"
