"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","58","76","orange-69","orange","18124","sampling-task","6","513345","0.0-5.0-0.0-0.0","102","3uto9bq2","low"
"1","2","fixed","5","58","41","orange-69","orange","1213","sampling-task","7","516481","0.0-5.0-0.1-0.1","102","3uto9bq2","low"
"1","3","fixed","5","58","58","orange-69","orange","5150","sampling-task","8","526529","0.0-5.0-0.2-0.2","102","3uto9bq2","low"
"1","4","fixed","5","58","70","orange-69","orange","918","sampling-task","9","528913","0.0-5.0-0.3-0.3","102","3uto9bq2","low"
"1","5","fixed","5","58","30","orange-69","orange","1134","sampling-task","10","531273","0.0-5.0-0.4-0.4","102","3uto9bq2","low"
"2","1","free","220","18","-1","blue-183","blue","3228","sampling-task","13","601232","0.0-5.0-0.5-0.5","102","3uto9bq2","low"
"2","2","free","220","18","18","blue-183","blue","1126","sampling-task","14","607968","0.0-5.0-0.6-0.6","102","3uto9bq2","low"
"2","3","free","220","18","12","blue-183","blue","3766","sampling-task","15","615016","0.0-5.0-0.7-0.7","102","3uto9bq2","low"
"2","4","free","220","18","18","blue-183","blue","821","sampling-task","16","618008","0.0-5.0-0.8-0.8","102","3uto9bq2","low"
"2","5","free","220","18","36","blue-183","blue","678","sampling-task","17","624494","0.0-5.0-0.9-0.9","102","3uto9bq2","low"
"2","6","free","220","18","27","blue-183","blue","1174","sampling-task","18","633318","0.0-5.0-0.10-0.10","102","3uto9bq2","low"
"2","7","free","220","18","26","blue-183","blue","685","sampling-task","19","639006","0.0-5.0-0.11-0.11","102","3uto9bq2","low"
"2","8","free","220","18","-1","blue-183","blue","678","sampling-task","20","641198","0.0-5.0-0.12-0.12","102","3uto9bq2","low"
"2","9","free","220","18","-8","blue-183","blue","486","sampling-task","21","643278","0.0-5.0-0.13-0.13","102","3uto9bq2","low"
"2","10","free","220","18","-8","blue-183","blue","406","sampling-task","22","644894","0.0-5.0-0.14-0.14","102","3uto9bq2","low"
"2","11","free","220","18","38","blue-183","blue","414","sampling-task","23","650854","0.0-5.0-0.15-0.15","102","3uto9bq2","low"
"2","12","free","220","18","31","blue-183","blue","622","sampling-task","24","654742","0.0-5.0-0.16-0.16","102","3uto9bq2","low"
"2","13","free","220","18","40","blue-183","blue","509","sampling-task","25","664054","0.0-5.0-0.17-0.17","102","3uto9bq2","low"
"2","14","free","220","18","10","blue-183","blue","613","sampling-task","26","668086","0.0-5.0-0.18-0.18","102","3uto9bq2","low"
"2","15","free","220","18","3","blue-183","blue","638","sampling-task","27","669918","0.0-5.0-0.19-0.19","102","3uto9bq2","low"
"2","16","free","220","18","38","blue-183","blue","351","sampling-task","28","672070","0.0-5.0-0.20-0.20","102","3uto9bq2","low"
"2","17","free","220","18","54","blue-183","blue","438","sampling-task","29","677246","0.0-5.0-0.21-0.21","102","3uto9bq2","low"
"3","1","fixed","10","96","97","purple-88","purple","4445","sampling-task","32","729749","0.0-5.0-0.22-0.22","102","3uto9bq2","low"
"3","2","fixed","10","96","91","purple-88","purple","1902","sampling-task","33","750627","0.0-5.0-0.23-0.23","102","3uto9bq2","low"
"3","3","fixed","10","96","113","purple-88","purple","2974","sampling-task","34","757259","0.0-5.0-0.24-0.24","102","3uto9bq2","low"
"3","4","fixed","10","96","71","purple-88","purple","718","sampling-task","35","760403","0.0-5.0-0.25-0.25","102","3uto9bq2","low"
"3","5","fixed","10","96","144","purple-88","purple","478","sampling-task","36","763987","0.0-5.0-0.26-0.26","102","3uto9bq2","low"
"3","6","fixed","10","96","90","purple-88","purple","583","sampling-task","37","766635","0.0-5.0-0.27-0.27","102","3uto9bq2","low"
"3","7","fixed","10","96","82","purple-88","purple","551","sampling-task","38","770043","0.0-5.0-0.28-0.28","102","3uto9bq2","low"
"3","8","fixed","10","96","90","purple-88","purple","486","sampling-task","39","772291","0.0-5.0-0.29-0.29","102","3uto9bq2","low"
"3","9","fixed","10","96","90","purple-88","purple","518","sampling-task","40","774475","0.0-5.0-0.30-0.30","102","3uto9bq2","low"
"3","10","fixed","10","96","78","purple-88","purple","543","sampling-task","41","777387","0.0-5.0-0.31-0.31","102","3uto9bq2","low"
"4","1","free","220","36","15","yellow-210","yellow","5836","sampling-task","44","813746","0.0-5.0-0.32-0.32","102","3uto9bq2","low"
"4","2","free","220","36","27","yellow-210","yellow","902","sampling-task","45","844514","0.0-5.0-0.33-0.33","102","3uto9bq2","low"
"4","3","free","220","36","43","yellow-210","yellow","821","sampling-task","46","858858","0.0-5.0-0.34-0.34","102","3uto9bq2","low"
"4","4","free","220","36","31","yellow-210","yellow","693","sampling-task","47","867201","0.0-5.0-0.35-0.35","102","3uto9bq2","low"
"4","5","free","220","36","30","yellow-210","yellow","621","sampling-task","48","869904","0.0-5.0-0.36-0.36","102","3uto9bq2","low"
"4","6","free","220","36","63","yellow-210","yellow","558","sampling-task","49","875912","0.0-5.0-0.37-0.37","102","3uto9bq2","low"
"4","7","free","220","36","8","yellow-210","yellow","550","sampling-task","50","885048","0.0-5.0-0.38-0.38","102","3uto9bq2","low"
"4","8","free","220","36","114","yellow-210","yellow","582","sampling-task","51","888384","0.0-5.0-0.39-0.39","102","3uto9bq2","low"
"4","9","free","220","36","35","yellow-210","yellow","550","sampling-task","52","891760","0.0-5.0-0.40-0.40","102","3uto9bq2","low"
"4","10","free","220","36","60","yellow-210","yellow","598","sampling-task","53","896641","0.0-5.0-0.41-0.41","102","3uto9bq2","low"
"4","11","free","220","36","93","yellow-210","yellow","614","sampling-task","54","902273","0.0-5.0-0.42-0.42","102","3uto9bq2","low"
"4","12","free","220","36","26","yellow-210","yellow","646","sampling-task","55","904745","0.0-5.0-0.43-0.43","102","3uto9bq2","low"
"4","13","free","220","36","-3","yellow-210","yellow","702","sampling-task","56","906713","0.0-5.0-0.44-0.44","102","3uto9bq2","low"
"4","14","free","220","36","40","yellow-210","yellow","454","sampling-task","57","910273","0.0-5.0-0.45-0.45","102","3uto9bq2","low"
"4","15","free","220","36","40","yellow-210","yellow","461","sampling-task","58","913353","0.0-5.0-0.46-0.46","102","3uto9bq2","low"
"4","16","free","220","36","11","yellow-210","yellow","662","sampling-task","59","919040","0.0-5.0-0.47-0.47","102","3uto9bq2","low"
"4","17","free","220","36","38","yellow-210","yellow","510","sampling-task","60","920598","0.0-5.0-0.48-0.48","102","3uto9bq2","low"
"4","18","free","220","36","44","yellow-210","yellow","422","sampling-task","61","922078","0.0-5.0-0.49-0.49","102","3uto9bq2","low"
"4","19","free","220","36","13","yellow-210","yellow","407","sampling-task","62","924166","0.0-5.0-0.50-0.50","102","3uto9bq2","low"
"5","1","fixed","20","114","157","red-149","red","6180","sampling-task","65","960030","0.0-5.0-0.51-0.51","102","3uto9bq2","low"
"5","2","fixed","20","114","149","red-149","red","598","sampling-task","66","974054","0.0-5.0-0.52-0.52","102","3uto9bq2","low"
"5","3","fixed","20","114","105","red-149","red","462","sampling-task","67","977838","0.0-5.0-0.53-0.53","102","3uto9bq2","low"
"5","4","fixed","20","114","86","red-149","red","447","sampling-task","68","979198","0.0-5.0-0.54-0.54","102","3uto9bq2","low"
"5","5","fixed","20","114","110","red-149","red","406","sampling-task","69","980301","0.0-5.0-0.55-0.55","102","3uto9bq2","low"
"5","6","fixed","20","114","131","red-149","red","486","sampling-task","70","981910","0.0-5.0-0.56-0.56","102","3uto9bq2","low"
"5","7","fixed","20","114","105","red-149","red","334","sampling-task","71","983238","0.0-5.0-0.57-0.57","102","3uto9bq2","low"
"5","8","fixed","20","114","109","red-149","red","405","sampling-task","72","984989","0.0-5.0-0.58-0.58","102","3uto9bq2","low"
"5","9","fixed","20","114","139","red-149","red","446","sampling-task","73","987317","0.0-5.0-0.59-0.59","102","3uto9bq2","low"
"5","10","fixed","20","114","133","red-149","red","790","sampling-task","74","989805","0.0-5.0-0.60-0.60","102","3uto9bq2","low"
"5","11","fixed","20","114","113","red-149","red","550","sampling-task","75","994229","0.0-5.0-0.61-0.61","102","3uto9bq2","low"
