"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","114","144","orange-194","orange","6340","sampling-task","6","670028","0.0-5.0-0.0-0.0","103","p4xqqj45","low"
"1","2","fixed","5","114","159","orange-194","orange","3357","sampling-task","7","676499","0.0-5.0-0.1-0.1","103","p4xqqj45","low"
"1","3","fixed","5","114","117","orange-194","orange","974","sampling-task","8","680075","0.0-5.0-0.2-0.2","103","p4xqqj45","low"
"1","4","fixed","5","114","137","orange-194","orange","1134","sampling-task","9","691307","0.0-5.0-0.3-0.3","103","p4xqqj45","low"
"1","5","fixed","5","114","116","orange-194","orange","878","sampling-task","10","693627","0.0-5.0-0.4-0.4","103","p4xqqj45","low"
"2","1","free","220","58","7","yellow-83","yellow","10340","sampling-task","13","760402","0.0-5.0-0.5-0.5","103","p4xqqj45","low"
"2","2","free","220","58","85","yellow-83","yellow","589","sampling-task","14","762954","0.0-5.0-0.6-0.6","103","p4xqqj45","low"
"2","3","free","220","58","21","yellow-83","yellow","510","sampling-task","15","764506","0.0-5.0-0.7-0.7","103","p4xqqj45","low"
"2","4","free","220","58","95","yellow-83","yellow","710","sampling-task","16","766386","0.0-5.0-0.8-0.8","103","p4xqqj45","low"
"2","5","free","220","58","47","yellow-83","yellow","614","sampling-task","17","768186","0.0-5.0-0.9-0.9","103","p4xqqj45","low"
"2","6","free","220","58","66","yellow-83","yellow","814","sampling-task","18","770210","0.0-5.0-0.10-0.10","103","p4xqqj45","low"
"2","7","free","220","58","70","yellow-83","yellow","646","sampling-task","19","771954","0.0-5.0-0.11-0.11","103","p4xqqj45","low"
"2","8","free","220","58","50","yellow-83","yellow","622","sampling-task","20","773826","0.0-5.0-0.12-0.12","103","p4xqqj45","low"
"2","9","free","220","58","35","yellow-83","yellow","574","sampling-task","21","775338","0.0-5.0-0.13-0.13","103","p4xqqj45","low"
"2","10","free","220","58","17","yellow-83","yellow","622","sampling-task","22","777010","0.0-5.0-0.14-0.14","103","p4xqqj45","low"
"2","11","free","220","58","75","yellow-83","yellow","638","sampling-task","23","778882","0.0-5.0-0.15-0.15","103","p4xqqj45","low"
"3","1","fixed","20","39","53","green-73","green","3829","sampling-task","26","824969","0.0-5.0-0.16-0.16","103","p4xqqj45","low"
"3","2","fixed","20","39","54","green-73","green","461","sampling-task","27","826297","0.0-5.0-0.17-0.17","103","p4xqqj45","low"
"3","3","fixed","20","39","70","green-73","green","438","sampling-task","28","827609","0.0-5.0-0.18-0.18","103","p4xqqj45","low"
"3","4","fixed","20","39","-5","green-73","green","446","sampling-task","29","829392","0.0-5.0-0.19-0.19","103","p4xqqj45","low"
"3","5","fixed","20","39","34","green-73","green","519","sampling-task","30","830801","0.0-5.0-0.20-0.20","103","p4xqqj45","low"
"3","6","fixed","20","39","-2","green-73","green","374","sampling-task","31","832209","0.0-5.0-0.21-0.21","103","p4xqqj45","low"
"3","7","fixed","20","39","31","green-73","green","486","sampling-task","32","833937","0.0-5.0-0.22-0.22","103","p4xqqj45","low"
"3","8","fixed","20","39","18","green-73","green","670","sampling-task","33","835497","0.0-5.0-0.23-0.23","103","p4xqqj45","low"
"3","9","fixed","20","39","-28","green-73","green","510","sampling-task","34","837385","0.0-5.0-0.24-0.24","103","p4xqqj45","low"
"3","10","fixed","20","39","42","green-73","green","462","sampling-task","35","839112","0.0-5.0-0.25-0.25","103","p4xqqj45","low"
"3","11","fixed","20","39","44","green-73","green","366","sampling-task","36","840648","0.0-5.0-0.26-0.26","103","p4xqqj45","low"
"3","12","fixed","20","39","29","green-73","green","406","sampling-task","37","842080","0.0-5.0-0.27-0.27","103","p4xqqj45","low"
"3","13","fixed","20","39","13","green-73","green","366","sampling-task","38","843561","0.0-5.0-0.28-0.28","103","p4xqqj45","low"
"3","14","fixed","20","39","34","green-73","green","382","sampling-task","39","844800","0.0-5.0-0.29-0.29","103","p4xqqj45","low"
"3","15","fixed","20","39","35","green-73","green","358","sampling-task","40","846048","0.0-5.0-0.30-0.30","103","p4xqqj45","low"
