"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","10","11","orange-26","orange","66172","sampling-task","12","3738231","0.0-5.0-0.0-0.0","104","6fe67c9p","high"
"1","2","fixed","5","10","23","orange-191","orange","8990","sampling-task","13","3752446","0.0-5.0-0.1-0.1","104","6fe67c9p","high"
"1","3","fixed","5","10","8","orange-115","orange","1951","sampling-task","14","3756998","0.0-5.0-0.2-0.2","104","6fe67c9p","high"
"1","4","fixed","5","10","-7","orange-150","orange","1375","sampling-task","15","3760406","0.0-5.0-0.3-0.3","104","6fe67c9p","high"
"1","5","fixed","5","10","28","orange-191","orange","1599","sampling-task","16","3763542","0.0-5.0-0.4-0.4","104","6fe67c9p","high"
"2","1","free","220","96","92","yellow-100","yellow","6724","sampling-task","19","3906781","0.0-5.0-0.5-0.5","104","6fe67c9p","high"
"2","2","free","220","96","109","yellow-53","yellow","1014","sampling-task","20","3910605","0.0-5.0-0.6-0.6","104","6fe67c9p","high"
"2","3","free","220","96","88","yellow-79","yellow","1062","sampling-task","21","3913389","0.0-5.0-0.7-0.7","104","6fe67c9p","high"
"2","4","free","220","96","67","yellow-194","yellow","1014","sampling-task","22","3916453","0.0-5.0-0.8-0.8","104","6fe67c9p","high"
"2","5","free","220","96","94","yellow-64","yellow","1078","sampling-task","23","3918965","0.0-5.0-0.9-0.9","104","6fe67c9p","high"
"2","6","free","220","96","100","yellow-163","yellow","926","sampling-task","24","3921629","0.0-5.0-0.10-0.10","104","6fe67c9p","high"
"2","7","free","220","96","100","yellow-116","yellow","782","sampling-task","25","3923997","0.0-5.0-0.11-0.11","104","6fe67c9p","high"
"2","8","free","220","96","108","yellow-90","yellow","742","sampling-task","26","3926117","0.0-5.0-0.12-0.12","104","6fe67c9p","high"
"2","9","free","220","96","86","yellow-156","yellow","838","sampling-task","27","3928781","0.0-5.0-0.13-0.13","104","6fe67c9p","high"
"2","10","free","220","96","87","yellow-56","yellow","1046","sampling-task","28","3931364","0.0-5.0-0.14-0.14","104","6fe67c9p","high"
"2","11","free","220","96","94","yellow-23","yellow","895","sampling-task","29","3934236","0.0-5.0-0.15-0.15","104","6fe67c9p","high"
"2","12","free","220","96","113","yellow-211","yellow","870","sampling-task","30","3936620","0.0-5.0-0.16-0.16","104","6fe67c9p","high"
"2","13","free","220","96","105","yellow-55","yellow","767","sampling-task","31","3938740","0.0-5.0-0.17-0.17","104","6fe67c9p","high"
"2","14","free","220","96","87","yellow-66","yellow","606","sampling-task","32","3942356","0.0-5.0-0.18-0.18","104","6fe67c9p","high"
"2","15","free","220","96","94","yellow-74","yellow","735","sampling-task","33","3945172","0.0-5.0-0.19-0.19","104","6fe67c9p","high"
"2","16","free","220","96","107","yellow-214","yellow","510","sampling-task","34","3947524","0.0-5.0-0.20-0.20","104","6fe67c9p","high"
"2","17","free","220","96","92","yellow-199","yellow","663","sampling-task","35","3949772","0.0-5.0-0.21-0.21","104","6fe67c9p","high"
"2","18","free","220","96","127","yellow-40","yellow","583","sampling-task","36","3951916","0.0-5.0-0.22-0.22","104","6fe67c9p","high"
"2","19","free","220","96","128","yellow-63","yellow","479","sampling-task","37","3954068","0.0-5.0-0.23-0.23","104","6fe67c9p","high"
"2","20","free","220","96","96","yellow-161","yellow","679","sampling-task","38","3958988","0.0-5.0-0.24-0.24","104","6fe67c9p","high"
"2","21","free","220","96","100","yellow-10","yellow","694","sampling-task","39","3961492","0.0-5.0-0.25-0.25","104","6fe67c9p","high"
"2","22","free","220","96","111","yellow-198","yellow","726","sampling-task","40","3964588","0.0-5.0-0.26-0.26","104","6fe67c9p","high"
"2","23","free","220","96","95","yellow-208","yellow","839","sampling-task","41","3966972","0.0-5.0-0.27-0.27","104","6fe67c9p","high"
