"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","13","11","orange-172","orange","6908","sampling-task","6","311811","0.0-5.0-0.0-0.0","105","vdzmo9gj","high"
"1","2","fixed","10","13","7","orange-123","orange","9012","sampling-task","7","322953","0.0-5.0-0.1-0.1","105","vdzmo9gj","high"
"1","3","fixed","10","13","-13","orange-114","orange","8318","sampling-task","8","333104","0.0-5.0-0.2-0.2","105","vdzmo9gj","high"
"1","4","fixed","10","13","30","orange-170","orange","14142","sampling-task","9","352040","0.0-5.0-0.3-0.3","105","vdzmo9gj","high"
"1","5","fixed","10","13","6","orange-206","orange","8719","sampling-task","10","362176","0.0-5.0-0.4-0.4","105","vdzmo9gj","high"
"1","6","fixed","10","13","18","orange-152","orange","13798","sampling-task","11","377624","0.0-5.0-0.5-0.5","105","vdzmo9gj","high"
"1","7","fixed","10","13","15","orange-26","orange","9493","sampling-task","12","389088","0.0-5.0-0.6-0.6","105","vdzmo9gj","high"
"1","8","fixed","10","13","12","orange-77","orange","12454","sampling-task","13","403264","0.0-5.0-0.7-0.7","105","vdzmo9gj","high"
"1","9","fixed","10","13","18","orange-201","orange","5550","sampling-task","14","410087","0.0-5.0-0.8-0.8","105","vdzmo9gj","high"
"1","10","fixed","10","13","6","orange-200","orange","1766","sampling-task","15","413071","0.0-5.0-0.9-0.9","105","vdzmo9gj","high"
"2","1","free","220","73","64","green-170","green","4125","sampling-task","18","469078","0.0-5.0-0.10-0.10","105","vdzmo9gj","high"
"2","2","free","220","73","65","green-182","green","1303","sampling-task","19","471934","0.0-5.0-0.11-0.11","105","vdzmo9gj","high"
"2","3","free","220","73","90","green-18","green","1262","sampling-task","20","474350","0.0-5.0-0.12-0.12","105","vdzmo9gj","high"
"2","4","free","220","73","79","green-211","green","4391","sampling-task","21","479934","0.0-5.0-0.13-0.13","105","vdzmo9gj","high"
"2","5","free","220","73","79","green-47","green","623","sampling-task","22","481502","0.0-5.0-0.14-0.14","105","vdzmo9gj","high"
"2","6","free","220","73","55","green-116","green","543","sampling-task","23","483278","0.0-5.0-0.15-0.15","105","vdzmo9gj","high"
"2","7","free","220","73","90","green-122","green","791","sampling-task","24","484950","0.0-5.0-0.16-0.16","105","vdzmo9gj","high"
"2","8","free","220","73","81","green-102","green","599","sampling-task","25","486478","0.0-5.0-0.17-0.17","105","vdzmo9gj","high"
"2","9","free","220","73","42","green-54","green","534","sampling-task","26","487902","0.0-5.0-0.18-0.18","105","vdzmo9gj","high"
"2","10","free","220","73","92","green-203","green","463","sampling-task","27","489342","0.0-5.0-0.19-0.19","105","vdzmo9gj","high"
"2","11","free","220","73","58","green-18","green","447","sampling-task","28","491046","0.0-5.0-0.20-0.20","105","vdzmo9gj","high"
"2","12","free","220","73","84","green-65","green","567","sampling-task","29","492774","0.0-5.0-0.21-0.21","105","vdzmo9gj","high"
"2","13","free","220","73","60","green-8","green","710","sampling-task","30","495030","0.0-5.0-0.22-0.22","105","vdzmo9gj","high"
"2","14","free","220","73","57","green-143","green","759","sampling-task","31","496742","0.0-5.0-0.23-0.23","105","vdzmo9gj","high"
"2","15","free","220","73","109","green-104","green","623","sampling-task","32","498303","0.0-5.0-0.24-0.24","105","vdzmo9gj","high"
