"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","76","102","orange-85","orange","3685","sampling-task","6","222375","0.0-5.0-0.0-0.0","106","g04dcvfx","low"
"1","2","fixed","20","76","66","orange-85","orange","6910","sampling-task","7","230607","0.0-5.0-0.1-0.1","106","g04dcvfx","low"
"1","3","fixed","20","76","96","orange-85","orange","574","sampling-task","8","232103","0.0-5.0-0.2-0.2","106","g04dcvfx","low"
"1","4","fixed","20","76","61","orange-85","orange","8822","sampling-task","9","242703","0.0-5.0-0.3-0.3","106","g04dcvfx","low"
"1","5","fixed","20","76","71","orange-85","orange","894","sampling-task","10","244647","0.0-5.0-0.4-0.4","106","g04dcvfx","low"
"1","6","fixed","20","76","86","orange-85","orange","446","sampling-task","11","246111","0.0-5.0-0.5-0.5","106","g04dcvfx","low"
"1","7","fixed","20","76","51","orange-85","orange","446","sampling-task","12","247615","0.0-5.0-0.6-0.6","106","g04dcvfx","low"
"1","8","fixed","20","76","74","orange-85","orange","4270","sampling-task","13","252886","0.0-5.0-0.7-0.7","106","g04dcvfx","low"
"1","9","fixed","20","76","93","orange-85","orange","590","sampling-task","14","254367","0.0-5.0-0.8-0.8","106","g04dcvfx","low"
"1","10","fixed","20","76","47","orange-85","orange","502","sampling-task","15","256023","0.0-5.0-0.9-0.9","106","g04dcvfx","low"
"1","11","fixed","20","76","71","orange-85","orange","430","sampling-task","16","258246","0.0-5.0-0.10-0.10","106","g04dcvfx","low"
"1","12","fixed","20","76","82","orange-85","orange","2503","sampling-task","17","261766","0.0-5.0-0.11-0.11","106","g04dcvfx","low"
"1","13","fixed","20","76","87","orange-85","orange","910","sampling-task","18","264582","0.0-5.0-0.12-0.12","106","g04dcvfx","low"
"1","14","fixed","20","76","69","orange-85","orange","2574","sampling-task","19","268095","0.0-5.0-0.13-0.13","106","g04dcvfx","low"
"1","15","fixed","20","76","85","orange-85","orange","606","sampling-task","20","269535","0.0-5.0-0.14-0.14","106","g04dcvfx","low"
"1","16","fixed","20","76","71","orange-85","orange","734","sampling-task","21","271023","0.0-5.0-0.15-0.15","106","g04dcvfx","low"
"1","17","fixed","20","76","108","orange-85","orange","366","sampling-task","22","272231","0.0-5.0-0.16-0.16","106","g04dcvfx","low"
"1","18","fixed","20","76","69","orange-85","orange","374","sampling-task","23","273773","0.0-5.0-0.17-0.17","106","g04dcvfx","low"
"1","19","fixed","20","76","91","orange-85","orange","558","sampling-task","24","275421","0.0-5.0-0.18-0.18","106","g04dcvfx","low"
"1","20","fixed","20","76","74","orange-85","orange","382","sampling-task","25","277557","0.0-5.0-0.19-0.19","106","g04dcvfx","low"
"2","1","free","220","92","70","red-164","red","2381","sampling-task","28","319949","0.0-5.0-0.20-0.20","106","g04dcvfx","low"
"2","2","free","220","92","119","red-164","red","495","sampling-task","29","321285","0.0-5.0-0.21-0.21","106","g04dcvfx","low"
"2","3","free","220","92","112","red-164","red","343","sampling-task","30","322405","0.0-5.0-0.22-0.22","106","g04dcvfx","low"
"2","4","free","220","92","79","red-164","red","342","sampling-task","31","323453","0.0-5.0-0.23-0.23","106","g04dcvfx","low"
"2","5","free","220","92","108","red-164","red","366","sampling-task","32","324886","0.0-5.0-0.24-0.24","106","g04dcvfx","low"
"2","6","free","220","92","102","red-164","red","294","sampling-task","33","325941","0.0-5.0-0.25-0.25","106","g04dcvfx","low"
"2","7","free","220","92","129","red-164","red","543","sampling-task","34","327565","0.0-5.0-0.26-0.26","106","g04dcvfx","low"
"2","8","free","220","92","104","red-164","red","1918","sampling-task","35","330333","0.0-5.0-0.27-0.27","106","g04dcvfx","low"
"2","9","free","220","92","77","red-164","red","798","sampling-task","36","332229","0.0-5.0-0.28-0.28","106","g04dcvfx","low"
"2","10","free","220","92","84","red-164","red","559","sampling-task","37","333932","0.0-5.0-0.29-0.29","106","g04dcvfx","low"
"3","1","fixed","5","32","36","purple-208","purple","981","sampling-task","40","354148","0.0-5.0-0.30-0.30","106","g04dcvfx","low"
"3","2","fixed","5","32","32","purple-208","purple","391","sampling-task","41","355229","0.0-5.0-0.31-0.31","106","g04dcvfx","low"
"3","3","fixed","5","32","29","purple-208","purple","326","sampling-task","42","356420","0.0-5.0-0.32-0.32","106","g04dcvfx","low"
"3","4","fixed","5","32","40","purple-208","purple","382","sampling-task","43","357484","0.0-5.0-0.33-0.33","106","g04dcvfx","low"
"3","5","fixed","5","32","63","purple-208","purple","326","sampling-task","44","358604","0.0-5.0-0.34-0.34","106","g04dcvfx","low"
"4","1","free","220","111","108","blue-163","blue","941","sampling-task","47","378780","0.0-5.0-0.35-0.35","106","g04dcvfx","low"
"4","2","free","220","111","140","blue-163","blue","383","sampling-task","48","379972","0.0-5.0-0.36-0.36","106","g04dcvfx","low"
"4","3","free","220","111","110","blue-163","blue","294","sampling-task","49","381060","0.0-5.0-0.37-0.37","106","g04dcvfx","low"
"4","4","free","220","111","124","blue-163","blue","503","sampling-task","50","382628","0.0-5.0-0.38-0.38","106","g04dcvfx","low"
"4","5","free","220","111","126","blue-163","blue","310","sampling-task","51","383796","0.0-5.0-0.39-0.39","106","g04dcvfx","low"
"4","6","free","220","111","83","blue-163","blue","383","sampling-task","52","385036","0.0-5.0-0.40-0.40","106","g04dcvfx","low"
"4","7","free","220","111","103","blue-163","blue","455","sampling-task","53","386156","0.0-5.0-0.41-0.41","106","g04dcvfx","low"
"4","8","free","220","111","96","blue-163","blue","478","sampling-task","54","387420","0.0-5.0-0.42-0.42","106","g04dcvfx","low"
"4","9","free","220","111","142","blue-163","blue","303","sampling-task","55","388540","0.0-5.0-0.43-0.43","106","g04dcvfx","low"
"4","10","free","220","111","90","blue-163","blue","383","sampling-task","56","389764","0.0-5.0-0.44-0.44","106","g04dcvfx","low"
"4","11","free","220","111","97","blue-163","blue","302","sampling-task","57","390716","0.0-5.0-0.45-0.45","106","g04dcvfx","low"
"4","12","free","220","111","87","blue-163","blue","374","sampling-task","58","391892","0.0-5.0-0.46-0.46","106","g04dcvfx","low"
"4","13","free","220","111","134","blue-163","blue","294","sampling-task","59","392980","0.0-5.0-0.47-0.47","106","g04dcvfx","low"
"4","14","free","220","111","104","blue-163","blue","318","sampling-task","60","394059","0.0-5.0-0.48-0.48","106","g04dcvfx","low"
"4","15","free","220","111","120","blue-163","blue","318","sampling-task","61","395859","0.0-5.0-0.49-0.49","106","g04dcvfx","low"
"5","1","fixed","10","55","60","green-119","green","1661","sampling-task","64","418227","0.0-5.0-0.50-0.50","106","g04dcvfx","low"
"5","2","fixed","10","55","75","green-119","green","287","sampling-task","65","419163","0.0-5.0-0.51-0.51","106","g04dcvfx","low"
"5","3","fixed","10","55","72","green-119","green","302","sampling-task","66","420107","0.0-5.0-0.52-0.52","106","g04dcvfx","low"
"5","4","fixed","10","55","64","green-119","green","389","sampling-task","67","421259","0.0-5.0-0.53-0.53","106","g04dcvfx","low"
"5","5","fixed","10","55","48","green-119","green","486","sampling-task","68","422587","0.0-5.0-0.54-0.54","106","g04dcvfx","low"
