"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","116","138","red-90","red","8274","sampling-task","6","436105","0.0-5.0-0.0-0.0","107","zwpjz049","high"
"1","2","fixed","10","116","132","red-93","red","2150","sampling-task","7","446712","0.0-5.0-0.1-0.1","107","zwpjz049","high"
"1","3","fixed","10","116","110","red-48","red","3054","sampling-task","8","459831","0.0-5.0-0.2-0.2","107","zwpjz049","high"
"1","4","fixed","10","116","114","red-2","red","7471","sampling-task","9","476055","0.0-5.0-0.3-0.3","107","zwpjz049","high"
"1","5","fixed","10","116","107","red-67","red","11014","sampling-task","10","489295","0.0-5.0-0.4-0.4","107","zwpjz049","high"
"1","6","fixed","10","116","122","red-64","red","4903","sampling-task","11","497111","0.0-5.0-0.5-0.5","107","zwpjz049","high"
"1","7","fixed","10","116","100","red-172","red","3438","sampling-task","12","502871","0.0-5.0-0.6-0.6","107","zwpjz049","high"
"1","8","fixed","10","116","152","red-153","red","2526","sampling-task","13","508551","0.0-5.0-0.7-0.7","107","zwpjz049","high"
"1","9","fixed","10","116","85","red-45","red","1391","sampling-task","14","512461","0.0-5.0-0.8-0.8","107","zwpjz049","high"
"1","10","fixed","10","116","133","red-164","red","3542","sampling-task","15","519293","0.0-5.0-0.9-0.9","107","zwpjz049","high"
"2","1","free","220","55","45","orange-142","orange","5708","sampling-task","18","586861","0.0-5.0-0.10-0.10","107","zwpjz049","high"
"2","2","free","220","55","71","orange-132","orange","2278","sampling-task","19","593933","0.0-5.0-0.11-0.11","107","zwpjz049","high"
"2","3","free","220","55","78","orange-194","orange","1478","sampling-task","20","597573","0.0-5.0-0.12-0.12","107","zwpjz049","high"
"2","4","free","220","55","-11","orange-146","orange","2454","sampling-task","21","602613","0.0-5.0-0.13-0.13","107","zwpjz049","high"
"2","5","free","220","55","54","orange-54","orange","1086","sampling-task","22","605405","0.0-5.0-0.14-0.14","107","zwpjz049","high"
"2","6","free","220","55","41","orange-15","orange","934","sampling-task","23","608901","0.0-5.0-0.15-0.15","107","zwpjz049","high"
"2","7","free","220","55","69","orange-78","orange","3206","sampling-task","24","614077","0.0-5.0-0.16-0.16","107","zwpjz049","high"
"2","8","free","220","55","38","orange-12","orange","2086","sampling-task","25","618101","0.0-5.0-0.17-0.17","107","zwpjz049","high"
"2","9","free","220","55","65","orange-94","orange","1165","sampling-task","26","621029","0.0-5.0-0.18-0.18","107","zwpjz049","high"
"2","10","free","220","55","47","orange-155","orange","3950","sampling-task","27","626725","0.0-5.0-0.19-0.19","107","zwpjz049","high"
"2","11","free","220","55","35","orange-190","orange","1790","sampling-task","28","630269","0.0-5.0-0.20-0.20","107","zwpjz049","high"
"2","12","free","220","55","56","orange-124","orange","2340","sampling-task","29","634260","0.0-5.0-0.21-0.21","107","zwpjz049","high"
"2","13","free","220","55","50","orange-65","orange","10326","sampling-task","30","646132","0.0-5.0-0.22-0.22","107","zwpjz049","high"
"2","14","free","220","55","56","orange-174","orange","1790","sampling-task","31","649859","0.0-5.0-0.23-0.23","107","zwpjz049","high"
"2","15","free","220","55","60","orange-12","orange","2167","sampling-task","32","660771","0.0-5.0-0.24-0.24","107","zwpjz049","high"
"2","16","free","220","55","53","orange-130","orange","2246","sampling-task","33","664844","0.0-5.0-0.25-0.25","107","zwpjz049","high"
"2","17","free","220","55","102","orange-210","orange","1022","sampling-task","34","669732","0.0-5.0-0.26-0.26","107","zwpjz049","high"
"2","18","free","220","55","76","orange-54","orange","838","sampling-task","35","672068","0.0-5.0-0.27-0.27","107","zwpjz049","high"
"2","19","free","220","55","41","orange-8","orange","502","sampling-task","36","674619","0.0-5.0-0.28-0.28","107","zwpjz049","high"
"2","20","free","220","55","51","orange-131","orange","1478","sampling-task","37","678892","0.0-5.0-0.29-0.29","107","zwpjz049","high"
"2","21","free","220","55","11","orange-77","orange","1270","sampling-task","38","687276","0.0-5.0-0.30-0.30","107","zwpjz049","high"
"2","22","free","220","55","32","orange-109","orange","990","sampling-task","39","689620","0.0-5.0-0.31-0.31","107","zwpjz049","high"
"2","23","free","220","55","33","orange-15","orange","423","sampling-task","40","691620","0.0-5.0-0.32-0.32","107","zwpjz049","high"
"2","24","free","220","55","80","orange-173","orange","782","sampling-task","41","696594","0.0-5.0-0.33-0.33","107","zwpjz049","high"
"2","25","free","220","55","1","orange-52","orange","750","sampling-task","42","698882","0.0-5.0-0.34-0.34","107","zwpjz049","high"
"2","26","free","220","55","64","orange-166","orange","1014","sampling-task","43","701634","0.0-5.0-0.35-0.35","107","zwpjz049","high"
