"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","79","57","orange-208","orange","9109","sampling-task","6","480896","0.0-5.0-0.0-0.0","108","myu9m05u","low"
"1","2","fixed","5","79","94","orange-208","orange","2621","sampling-task","7","503935","0.0-5.0-0.1-0.1","108","myu9m05u","low"
"1","3","fixed","5","79","56","orange-208","orange","822","sampling-task","8","505999","0.0-5.0-0.2-0.2","108","myu9m05u","low"
"1","4","fixed","5","79","64","orange-208","orange","1286","sampling-task","9","509543","0.0-5.0-0.3-0.3","108","myu9m05u","low"
"1","5","fixed","5","79","80","orange-208","orange","918","sampling-task","10","512079","0.0-5.0-0.4-0.4","108","myu9m05u","low"
"2","1","free","220","16","55","yellow-216","yellow","2564","sampling-task","13","583813","0.0-5.0-0.5-0.5","108","myu9m05u","low"
"2","2","free","220","16","29","yellow-216","yellow","566","sampling-task","14","596278","0.0-5.0-0.6-0.6","108","myu9m05u","low"
"2","3","free","220","16","36","yellow-216","yellow","1014","sampling-task","15","598534","0.0-5.0-0.7-0.7","108","myu9m05u","low"
"2","4","free","220","16","4","yellow-216","yellow","390","sampling-task","16","600334","0.0-5.0-0.8-0.8","108","myu9m05u","low"
"2","5","free","220","16","31","yellow-216","yellow","350","sampling-task","17","602350","0.0-5.0-0.9-0.9","108","myu9m05u","low"
"2","6","free","220","16","19","yellow-216","yellow","358","sampling-task","18","603734","0.0-5.0-0.10-0.10","108","myu9m05u","low"
"2","7","free","220","16","35","yellow-216","yellow","342","sampling-task","19","605358","0.0-5.0-0.11-0.11","108","myu9m05u","low"
"2","8","free","220","16","24","yellow-216","yellow","325","sampling-task","20","606638","0.0-5.0-0.12-0.12","108","myu9m05u","low"
"2","9","free","220","16","-2","yellow-216","yellow","262","sampling-task","21","608238","0.0-5.0-0.13-0.13","108","myu9m05u","low"
"2","10","free","220","16","29","yellow-216","yellow","278","sampling-task","22","609534","0.0-5.0-0.14-0.14","108","myu9m05u","low"
"2","11","free","220","16","-13","yellow-216","yellow","278","sampling-task","23","610830","0.0-5.0-0.15-0.15","108","myu9m05u","low"
"2","12","free","220","16","4","yellow-216","yellow","310","sampling-task","24","612134","0.0-5.0-0.16-0.16","108","myu9m05u","low"
"2","13","free","220","16","-3","yellow-216","yellow","270","sampling-task","25","613558","0.0-5.0-0.17-0.17","108","myu9m05u","low"
"2","14","free","220","16","-1","yellow-216","yellow","245","sampling-task","26","614933","0.0-5.0-0.18-0.18","108","myu9m05u","low"
"2","15","free","220","16","19","yellow-216","yellow","278","sampling-task","27","616382","0.0-5.0-0.19-0.19","108","myu9m05u","low"
"2","16","free","220","16","-21","yellow-216","yellow","246","sampling-task","28","617805","0.0-5.0-0.20-0.20","108","myu9m05u","low"
"3","1","fixed","20","52","82","purple-35","purple","3373","sampling-task","31","650836","0.0-5.0-0.21-0.21","108","myu9m05u","low"
"3","2","fixed","20","52","30","purple-35","purple","454","sampling-task","32","652340","0.0-5.0-0.22-0.22","108","myu9m05u","low"
"3","3","fixed","20","52","52","purple-35","purple","447","sampling-task","33","654124","0.0-5.0-0.23-0.23","108","myu9m05u","low"
"3","4","fixed","20","52","24","purple-35","purple","399","sampling-task","34","657293","0.0-5.0-0.24-0.24","108","myu9m05u","low"
"3","5","fixed","20","52","63","purple-35","purple","510","sampling-task","35","659692","0.0-5.0-0.25-0.25","108","myu9m05u","low"
"3","6","fixed","20","52","61","purple-35","purple","350","sampling-task","36","661084","0.0-5.0-0.26-0.26","108","myu9m05u","low"
"3","7","fixed","20","52","58","purple-35","purple","470","sampling-task","37","662716","0.0-5.0-0.27-0.27","108","myu9m05u","low"
"3","8","fixed","20","52","29","purple-35","purple","350","sampling-task","38","664220","0.0-5.0-0.28-0.28","108","myu9m05u","low"
"3","9","fixed","20","52","56","purple-35","purple","471","sampling-task","39","667308","0.0-5.0-0.29-0.29","108","myu9m05u","low"
"3","10","fixed","20","52","30","purple-35","purple","558","sampling-task","40","669156","0.0-5.0-0.30-0.30","108","myu9m05u","low"
"3","11","fixed","20","52","39","purple-35","purple","406","sampling-task","41","672628","0.0-5.0-0.31-0.31","108","myu9m05u","low"
"3","12","fixed","20","52","56","purple-35","purple","485","sampling-task","42","674452","0.0-5.0-0.32-0.32","108","myu9m05u","low"
"3","13","fixed","20","52","12","purple-35","purple","382","sampling-task","43","677252","0.0-5.0-0.33-0.33","108","myu9m05u","low"
"3","14","fixed","20","52","25","purple-35","purple","495","sampling-task","44","678869","0.0-5.0-0.34-0.34","108","myu9m05u","low"
"3","15","fixed","20","52","19","purple-35","purple","934","sampling-task","45","680796","0.0-5.0-0.35-0.35","108","myu9m05u","low"
"3","16","fixed","20","52","72","purple-35","purple","551","sampling-task","46","684579","0.0-5.0-0.36-0.36","108","myu9m05u","low"
"3","17","fixed","20","52","76","purple-35","purple","365","sampling-task","47","686467","0.0-5.0-0.37-0.37","108","myu9m05u","low"
"3","18","fixed","20","52","-3","purple-35","purple","285","sampling-task","48","688131","0.0-5.0-0.38-0.38","108","myu9m05u","low"
"3","19","fixed","20","52","22","purple-35","purple","398","sampling-task","49","690275","0.0-5.0-0.39-0.39","108","myu9m05u","low"
"3","20","fixed","20","52","25","purple-35","purple","398","sampling-task","50","691563","0.0-5.0-0.40-0.40","108","myu9m05u","low"
"4","1","free","220","93","102","red-5","red","1644","sampling-task","53","717387","0.0-5.0-0.41-0.41","108","myu9m05u","low"
"4","2","free","220","93","104","red-5","red","406","sampling-task","54","718595","0.0-5.0-0.42-0.42","108","myu9m05u","low"
"4","3","free","220","93","71","red-5","red","334","sampling-task","55","719763","0.0-5.0-0.43-0.43","108","myu9m05u","low"
"4","4","free","220","93","74","red-5","red","334","sampling-task","56","720947","0.0-5.0-0.44-0.44","108","myu9m05u","low"
"4","5","free","220","93","87","red-5","red","318","sampling-task","57","722139","0.0-5.0-0.45-0.45","108","myu9m05u","low"
"4","6","free","220","93","64","red-5","red","246","sampling-task","58","724171","0.0-5.0-0.46-0.46","108","myu9m05u","low"
"4","7","free","220","93","111","red-5","red","262","sampling-task","59","725827","0.0-5.0-0.47-0.47","108","myu9m05u","low"
"4","8","free","220","93","99","red-5","red","326","sampling-task","60","726987","0.0-5.0-0.48-0.48","108","myu9m05u","low"
"4","9","free","220","93","60","red-5","red","285","sampling-task","61","728107","0.0-5.0-0.49-0.49","108","myu9m05u","low"
"4","10","free","220","93","92","red-5","red","286","sampling-task","62","729267","0.0-5.0-0.50-0.50","108","myu9m05u","low"
"4","11","free","220","93","88","red-5","red","310","sampling-task","63","730667","0.0-5.0-0.51-0.51","108","myu9m05u","low"
"4","12","free","220","93","108","red-5","red","286","sampling-task","64","731819","0.0-5.0-0.52-0.52","108","myu9m05u","low"
"4","13","free","220","93","103","red-5","red","286","sampling-task","65","732947","0.0-5.0-0.53-0.53","108","myu9m05u","low"
"4","14","free","220","93","93","red-5","red","254","sampling-task","66","734091","0.0-5.0-0.54-0.54","108","myu9m05u","low"
"4","15","free","220","93","100","red-5","red","269","sampling-task","67","735635","0.0-5.0-0.55-0.55","108","myu9m05u","low"
"4","16","free","220","93","89","red-5","red","295","sampling-task","68","736787","0.0-5.0-0.56-0.56","108","myu9m05u","low"
"4","17","free","220","93","80","red-5","red","238","sampling-task","69","738147","0.0-5.0-0.57-0.57","108","myu9m05u","low"
"4","18","free","220","93","66","red-5","red","246","sampling-task","70","739379","0.0-5.0-0.58-0.58","108","myu9m05u","low"
"4","19","free","220","93","113","red-5","red","262","sampling-task","71","740499","0.0-5.0-0.59-0.59","108","myu9m05u","low"
"4","20","free","220","93","91","red-5","red","446","sampling-task","72","742155","0.0-5.0-0.60-0.60","108","myu9m05u","low"
"5","1","fixed","10","34","35","green-211","green","1333","sampling-task","75","771289","0.0-5.0-0.61-0.61","108","myu9m05u","low"
"5","2","fixed","10","34","10","green-211","green","838","sampling-task","76","773233","0.0-5.0-0.62-0.62","108","myu9m05u","low"
"5","3","fixed","10","34","18","green-211","green","463","sampling-task","77","774761","0.0-5.0-0.63-0.63","108","myu9m05u","low"
