"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","74","80","orange-61","orange","7160","sampling-task","6","281262","0.0-5.0-0.0-0.0","109","wmvh3vzw","low"
"1","2","fixed","20","74","77","orange-61","orange","3238","sampling-task","7","286885","0.0-5.0-0.1-0.1","109","wmvh3vzw","low"
"1","3","fixed","20","74","73","orange-61","orange","2430","sampling-task","8","293981","0.0-5.0-0.2-0.2","109","wmvh3vzw","low"
"1","4","fixed","20","74","43","orange-61","orange","1758","sampling-task","9","299685","0.0-5.0-0.3-0.3","109","wmvh3vzw","low"
"1","5","fixed","20","74","79","orange-61","orange","1699","sampling-task","10","305555","0.0-5.0-0.4-0.4","109","wmvh3vzw","low"
"1","6","fixed","20","74","85","orange-61","orange","1181","sampling-task","11","312939","0.0-5.0-0.5-0.5","109","wmvh3vzw","low"
"1","7","fixed","20","74","115","orange-61","orange","1317","sampling-task","12","316539","0.0-5.0-0.6-0.6","109","wmvh3vzw","low"
"1","8","fixed","20","74","48","orange-61","orange","1102","sampling-task","13","319123","0.0-5.0-0.7-0.7","109","wmvh3vzw","low"
"1","9","fixed","20","74","96","orange-61","orange","932","sampling-task","14","321587","0.0-5.0-0.8-0.8","109","wmvh3vzw","low"
"1","10","fixed","20","74","64","orange-61","orange","797","sampling-task","15","323619","0.0-5.0-0.9-0.9","109","wmvh3vzw","low"
"1","11","fixed","20","74","56","orange-61","orange","1598","sampling-task","16","326715","0.0-5.0-0.10-0.10","109","wmvh3vzw","low"
"1","12","fixed","20","74","37","orange-61","orange","1102","sampling-task","17","328971","0.0-5.0-0.11-0.11","109","wmvh3vzw","low"
"1","13","fixed","20","74","59","orange-61","orange","2221","sampling-task","18","332299","0.0-5.0-0.12-0.12","109","wmvh3vzw","low"
"1","14","fixed","20","74","80","orange-61","orange","1325","sampling-task","19","334899","0.0-5.0-0.13-0.13","109","wmvh3vzw","low"
"1","15","fixed","20","74","113","orange-61","orange","1638","sampling-task","20","337819","0.0-5.0-0.14-0.14","109","wmvh3vzw","low"
"1","16","fixed","20","74","67","orange-61","orange","1077","sampling-task","21","340395","0.0-5.0-0.15-0.15","109","wmvh3vzw","low"
"1","17","fixed","20","74","85","orange-61","orange","3974","sampling-task","22","345475","0.0-5.0-0.16-0.16","109","wmvh3vzw","low"
"1","18","fixed","20","74","76","orange-61","orange","1197","sampling-task","23","349115","0.0-5.0-0.17-0.17","109","wmvh3vzw","low"
"1","19","fixed","20","74","73","orange-61","orange","1542","sampling-task","24","351772","0.0-5.0-0.18-0.18","109","wmvh3vzw","low"
"1","20","fixed","20","74","89","orange-61","orange","1252","sampling-task","25","354067","0.0-5.0-0.19-0.19","109","wmvh3vzw","low"
"2","1","free","220","30","34","green-78","green","1652","sampling-task","28","418321","0.0-5.0-0.20-0.20","109","wmvh3vzw","low"
"2","2","free","220","30","38","green-78","green","510","sampling-task","29","420113","0.0-5.0-0.21-0.21","109","wmvh3vzw","low"
"2","3","free","220","30","58","green-78","green","383","sampling-task","30","421321","0.0-5.0-0.22-0.22","109","wmvh3vzw","low"
"2","4","free","220","30","30","green-78","green","431","sampling-task","31","422601","0.0-5.0-0.23-0.23","109","wmvh3vzw","low"
"2","5","free","220","30","30","green-78","green","367","sampling-task","32","423937","0.0-5.0-0.24-0.24","109","wmvh3vzw","low"
"2","6","free","220","30","41","green-78","green","431","sampling-task","33","425217","0.0-5.0-0.25-0.25","109","wmvh3vzw","low"
"2","7","free","220","30","42","green-78","green","407","sampling-task","34","426519","0.0-5.0-0.26-0.26","109","wmvh3vzw","low"
"2","8","free","220","30","37","green-78","green","366","sampling-task","35","427783","0.0-5.0-0.27-0.27","109","wmvh3vzw","low"
"2","9","free","220","30","41","green-78","green","342","sampling-task","36","428999","0.0-5.0-0.28-0.28","109","wmvh3vzw","low"
"2","10","free","220","30","49","green-78","green","382","sampling-task","37","430271","0.0-5.0-0.29-0.29","109","wmvh3vzw","low"
"2","11","free","220","30","15","green-78","green","383","sampling-task","38","431511","0.0-5.0-0.30-0.30","109","wmvh3vzw","low"
"2","12","free","220","30","-4","green-78","green","342","sampling-task","39","432767","0.0-5.0-0.31-0.31","109","wmvh3vzw","low"
"2","13","free","220","30","30","green-78","green","367","sampling-task","40","434055","0.0-5.0-0.32-0.32","109","wmvh3vzw","low"
"2","14","free","220","30","40","green-78","green","374","sampling-task","41","435312","0.0-5.0-0.33-0.33","109","wmvh3vzw","low"
"2","15","free","220","30","21","green-78","green","358","sampling-task","42","436543","0.0-5.0-0.34-0.34","109","wmvh3vzw","low"
"2","16","free","220","30","48","green-78","green","358","sampling-task","43","437768","0.0-5.0-0.35-0.35","109","wmvh3vzw","low"
"2","17","free","220","30","57","green-78","green","334","sampling-task","44","438951","0.0-5.0-0.36-0.36","109","wmvh3vzw","low"
"2","18","free","220","30","13","green-78","green","286","sampling-task","45","440095","0.0-5.0-0.37-0.37","109","wmvh3vzw","low"
"2","19","free","220","30","17","green-78","green","326","sampling-task","46","441311","0.0-5.0-0.38-0.38","109","wmvh3vzw","low"
"2","20","free","220","30","11","green-78","green","278","sampling-task","47","442471","0.0-5.0-0.39-0.39","109","wmvh3vzw","low"
