"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","33","39","green-55","green","7275","sampling-task","6","297045","0.0-5.0-0.0-0.0","11","rc2tbo0p","high"
"1","2","fixed","20","33","42","green-100","green","3390","sampling-task","7","304245","0.0-5.0-0.1-0.1","11","rc2tbo0p","high"
"1","3","fixed","20","33","36","green-130","green","1486","sampling-task","8","308205","0.0-5.0-0.2-0.2","11","rc2tbo0p","high"
"1","4","fixed","20","33","25","green-204","green","1702","sampling-task","9","311941","0.0-5.0-0.3-0.3","11","rc2tbo0p","high"
"1","5","fixed","20","33","43","green-118","green","1446","sampling-task","10","316269","0.0-5.0-0.4-0.4","11","rc2tbo0p","high"
"1","6","fixed","20","33","2","green-155","green","1310","sampling-task","11","322029","0.0-5.0-0.5-0.5","11","rc2tbo0p","high"
"1","7","fixed","20","33","47","green-24","green","1702","sampling-task","12","327229","0.0-5.0-0.6-0.6","11","rc2tbo0p","high"
"1","8","fixed","20","33","40","green-174","green","1670","sampling-task","13","331701","0.0-5.0-0.7-0.7","11","rc2tbo0p","high"
"1","9","fixed","20","33","-15","green-63","green","1382","sampling-task","14","336701","0.0-5.0-0.8-0.8","11","rc2tbo0p","high"
"1","10","fixed","20","33","26","green-113","green","1366","sampling-task","15","340389","0.0-5.0-0.9-0.9","11","rc2tbo0p","high"
"1","11","fixed","20","33","36","green-51","green","3334","sampling-task","16","345829","0.0-5.0-0.10-0.10","11","rc2tbo0p","high"
"1","12","fixed","20","33","9","green-175","green","1134","sampling-task","17","348797","0.0-5.0-0.11-0.11","11","rc2tbo0p","high"
"1","13","fixed","20","33","33","green-17","green","950","sampling-task","18","351555","0.0-5.0-0.12-0.12","11","rc2tbo0p","high"
"1","14","fixed","20","33","25","green-178","green","1014","sampling-task","19","354419","0.0-5.0-0.13-0.13","11","rc2tbo0p","high"
"1","15","fixed","20","33","31","green-62","green","1398","sampling-task","20","357707","0.0-5.0-0.14-0.14","11","rc2tbo0p","high"
"1","16","fixed","20","33","33","green-94","green","910","sampling-task","21","360843","0.0-5.0-0.15-0.15","11","rc2tbo0p","high"
"1","17","fixed","20","33","-6","green-170","green","829","sampling-task","22","363307","0.0-5.0-0.16-0.16","11","rc2tbo0p","high"
"1","18","fixed","20","33","34","green-95","green","846","sampling-task","23","365955","0.0-5.0-0.17-0.17","11","rc2tbo0p","high"
"1","19","fixed","20","33","29","green-141","green","814","sampling-task","24","368515","0.0-5.0-0.18-0.18","11","rc2tbo0p","high"
"1","20","fixed","20","33","46","green-106","green","758","sampling-task","25","372347","0.0-5.0-0.19-0.19","11","rc2tbo0p","high"
"2","1","free","220","76","75","red-183","red","3092","sampling-task","28","431984","0.0-5.0-0.20-0.20","11","rc2tbo0p","high"
"2","2","free","220","76","80","red-159","red","1814","sampling-task","29","435736","0.0-5.0-0.21-0.21","11","rc2tbo0p","high"
"2","3","free","220","76","54","red-201","red","950","sampling-task","30","438232","0.0-5.0-0.22-0.22","11","rc2tbo0p","high"
"2","4","free","220","76","43","red-93","red","1006","sampling-task","31","440688","0.0-5.0-0.23-0.23","11","rc2tbo0p","high"
"2","5","free","220","76","62","red-18","red","814","sampling-task","32","443512","0.0-5.0-0.24-0.24","11","rc2tbo0p","high"
"2","6","free","220","76","82","red-131","red","798","sampling-task","33","446456","0.0-5.0-0.25-0.25","11","rc2tbo0p","high"
"2","7","free","220","76","102","red-108","red","718","sampling-task","34","449248","0.0-5.0-0.26-0.26","11","rc2tbo0p","high"
"2","8","free","220","76","62","red-174","red","766","sampling-task","35","452208","0.0-5.0-0.27-0.27","11","rc2tbo0p","high"
"2","9","free","220","76","51","red-49","red","2358","sampling-task","36","456392","0.0-5.0-0.28-0.28","11","rc2tbo0p","high"
"2","10","free","220","76","50","red-21","red","854","sampling-task","37","458384","0.0-5.0-0.29-0.29","11","rc2tbo0p","high"
"2","11","free","220","76","91","red-183","red","654","sampling-task","38","460240","0.0-5.0-0.30-0.30","11","rc2tbo0p","high"
"2","12","free","220","76","132","red-34","red","702","sampling-task","39","463120","0.0-5.0-0.31-0.31","11","rc2tbo0p","high"
"2","13","free","220","76","72","red-152","red","766","sampling-task","40","465296","0.0-5.0-0.32-0.32","11","rc2tbo0p","high"
"2","14","free","220","76","31","red-203","red","590","sampling-task","41","467040","0.0-5.0-0.33-0.33","11","rc2tbo0p","high"
"2","15","free","220","76","106","red-131","red","566","sampling-task","42","469000","0.0-5.0-0.34-0.34","11","rc2tbo0p","high"
"2","16","free","220","76","81","red-161","red","598","sampling-task","43","470784","0.0-5.0-0.35-0.35","11","rc2tbo0p","high"
"2","17","free","220","76","69","red-77","red","540","sampling-task","44","472638","0.0-5.0-0.36-0.36","11","rc2tbo0p","high"
"2","18","free","220","76","89","red-37","red","582","sampling-task","45","474350","0.0-5.0-0.37-0.37","11","rc2tbo0p","high"
"2","19","free","220","76","98","red-122","red","518","sampling-task","46","476326","0.0-5.0-0.38-0.38","11","rc2tbo0p","high"
"2","20","free","220","76","48","red-73","red","527","sampling-task","47","478262","0.0-5.0-0.39-0.39","11","rc2tbo0p","high"
"2","21","free","220","76","93","red-69","red","525","sampling-task","48","479959","0.0-5.0-0.40-0.40","11","rc2tbo0p","high"
"2","22","free","220","76","66","red-97","red","493","sampling-task","49","481543","0.0-5.0-0.41-0.41","11","rc2tbo0p","high"
"2","23","free","220","76","83","red-19","red","493","sampling-task","50","483742","0.0-5.0-0.42-0.42","11","rc2tbo0p","high"
"2","24","free","220","76","56","red-143","red","478","sampling-task","51","485366","0.0-5.0-0.43-0.43","11","rc2tbo0p","high"
"2","25","free","220","76","81","red-215","red","542","sampling-task","52","487094","0.0-5.0-0.44-0.44","11","rc2tbo0p","high"
"2","26","free","220","76","77","red-4","red","438","sampling-task","53","489006","0.0-5.0-0.45-0.45","11","rc2tbo0p","high"
"2","27","free","220","76","84","red-9","red","494","sampling-task","54","490510","0.0-5.0-0.46-0.46","11","rc2tbo0p","high"
"2","28","free","220","76","114","red-29","red","517","sampling-task","55","492614","0.0-5.0-0.47-0.47","11","rc2tbo0p","high"
"2","29","free","220","76","89","red-185","red","550","sampling-task","56","494606","0.0-5.0-0.48-0.48","11","rc2tbo0p","high"
"2","30","free","220","76","85","red-152","red","509","sampling-task","57","498494","0.0-5.0-0.49-0.49","11","rc2tbo0p","high"
"2","31","free","220","76","44","red-190","red","670","sampling-task","58","500406","0.0-5.0-0.50-0.50","11","rc2tbo0p","high"
"2","32","free","220","76","65","red-142","red","566","sampling-task","59","502230","0.0-5.0-0.51-0.51","11","rc2tbo0p","high"
"2","33","free","220","76","80","red-114","red","798","sampling-task","60","504214","0.0-5.0-0.52-0.52","11","rc2tbo0p","high"
"2","34","free","220","76","73","red-103","red","582","sampling-task","61","505742","0.0-5.0-0.53-0.53","11","rc2tbo0p","high"
"2","35","free","220","76","72","red-2","red","478","sampling-task","62","507198","0.0-5.0-0.54-0.54","11","rc2tbo0p","high"
"2","36","free","220","76","58","red-65","red","526","sampling-task","63","508806","0.0-5.0-0.55-0.55","11","rc2tbo0p","high"
"2","37","free","220","76","106","red-98","red","558","sampling-task","64","510534","0.0-5.0-0.56-0.56","11","rc2tbo0p","high"
"2","38","free","220","76","93","red-124","red","526","sampling-task","65","512022","0.0-5.0-0.57-0.57","11","rc2tbo0p","high"
"2","39","free","220","76","74","red-215","red","510","sampling-task","66","513606","0.0-5.0-0.58-0.58","11","rc2tbo0p","high"
"2","40","free","220","76","71","red-63","red","493","sampling-task","67","515182","0.0-5.0-0.59-0.59","11","rc2tbo0p","high"
"2","41","free","220","76","46","red-37","red","494","sampling-task","68","516878","0.0-5.0-0.60-0.60","11","rc2tbo0p","high"
"2","42","free","220","76","53","red-159","red","494","sampling-task","69","519022","0.0-5.0-0.61-0.61","11","rc2tbo0p","high"
"2","43","free","220","76","64","red-131","red","493","sampling-task","70","520974","0.0-5.0-0.62-0.62","11","rc2tbo0p","high"
"2","44","free","220","76","61","red-57","red","525","sampling-task","71","522590","0.0-5.0-0.63-0.63","11","rc2tbo0p","high"
"2","45","free","220","76","114","red-127","red","478","sampling-task","72","525030","0.0-5.0-0.64-0.64","11","rc2tbo0p","high"
"2","46","free","220","76","79","red-15","red","437","sampling-task","73","526734","0.0-5.0-0.65-0.65","11","rc2tbo0p","high"
"2","47","free","220","76","78","red-18","red","478","sampling-task","74","528382","0.0-5.0-0.66-0.66","11","rc2tbo0p","high"
"2","48","free","220","76","105","red-89","red","502","sampling-task","75","530214","0.0-5.0-0.67-0.67","11","rc2tbo0p","high"
"2","49","free","220","76","44","red-165","red","493","sampling-task","76","531972","0.0-5.0-0.68-0.68","11","rc2tbo0p","high"
"2","50","free","220","76","90","red-62","red","478","sampling-task","77","533748","0.0-5.0-0.69-0.69","11","rc2tbo0p","high"
"2","51","free","220","76","73","red-50","red","438","sampling-task","78","535460","0.0-5.0-0.70-0.70","11","rc2tbo0p","high"
"2","52","free","220","76","68","red-212","red","654","sampling-task","79","537476","0.0-5.0-0.71-0.71","11","rc2tbo0p","high"
"2","53","free","220","76","92","red-32","red","590","sampling-task","80","539276","0.0-5.0-0.72-0.72","11","rc2tbo0p","high"
"2","54","free","220","76","90","red-2","red","486","sampling-task","81","541028","0.0-5.0-0.73-0.73","11","rc2tbo0p","high"
"2","55","free","220","76","47","red-47","red","534","sampling-task","82","542572","0.0-5.0-0.74-0.74","11","rc2tbo0p","high"
"2","56","free","220","76","96","red-130","red","526","sampling-task","83","544164","0.0-5.0-0.75-0.75","11","rc2tbo0p","high"
"2","57","free","220","76","58","red-27","red","557","sampling-task","84","546500","0.0-5.0-0.76-0.76","11","rc2tbo0p","high"
"3","1","fixed","5","10","-31","yellow-69","yellow","3228","sampling-task","87","574644","0.0-5.0-0.77-0.77","11","rc2tbo0p","high"
"3","2","fixed","5","10","29","yellow-163","yellow","990","sampling-task","88","577196","0.0-5.0-0.78-0.78","11","rc2tbo0p","high"
"3","3","fixed","5","10","13","yellow-119","yellow","846","sampling-task","89","579476","0.0-5.0-0.79-0.79","11","rc2tbo0p","high"
"3","4","fixed","5","10","-13","yellow-31","yellow","741","sampling-task","90","582348","0.0-5.0-0.80-0.80","11","rc2tbo0p","high"
"3","5","fixed","5","10","2","yellow-11","yellow","1421","sampling-task","91","585252","0.0-5.0-0.81-0.81","11","rc2tbo0p","high"
"4","1","free","220","58","47","blue-191","blue","2387","sampling-task","94","611139","0.0-5.0-0.82-0.82","11","rc2tbo0p","high"
