"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","93","88","blue-150","blue","4453","sampling-task","6","211949","0.0-5.0-0.0-0.0","110","by9gun00","high"
"1","2","fixed","5","93","86","blue-138","blue","3910","sampling-task","7","218949","0.0-5.0-0.1-0.1","110","by9gun00","high"
"1","3","fixed","5","93","96","blue-41","blue","3534","sampling-task","8","224420","0.0-5.0-0.2-0.2","110","by9gun00","high"
"1","4","fixed","5","93","121","blue-160","blue","1782","sampling-task","9","228469","0.0-5.0-0.3-0.3","110","by9gun00","high"
"1","5","fixed","5","93","86","blue-132","blue","1054","sampling-task","10","231365","0.0-5.0-0.4-0.4","110","by9gun00","high"
"2","1","free","220","32","22","yellow-118","yellow","2156","sampling-task","13","263213","0.0-5.0-0.5-0.5","110","by9gun00","high"
"2","2","free","220","32","21","yellow-37","yellow","790","sampling-task","14","266204","0.0-5.0-0.6-0.6","110","by9gun00","high"
"2","3","free","220","32","16","yellow-217","yellow","702","sampling-task","15","269933","0.0-5.0-0.7-0.7","110","by9gun00","high"
"2","4","free","220","32","35","yellow-45","yellow","1054","sampling-task","16","272035","0.0-5.0-0.8-0.8","110","by9gun00","high"
"2","5","free","220","32","56","yellow-92","yellow","710","sampling-task","17","274860","0.0-5.0-0.9-0.9","110","by9gun00","high"
"2","6","free","220","32","25","yellow-172","yellow","710","sampling-task","18","279739","0.0-5.0-0.10-0.10","110","by9gun00","high"
"2","7","free","220","32","45","yellow-58","yellow","878","sampling-task","19","282148","0.0-5.0-0.11-0.11","110","by9gun00","high"
"2","8","free","220","32","9","yellow-146","yellow","814","sampling-task","20","284443","0.0-5.0-0.12-0.12","110","by9gun00","high"
"2","9","free","220","32","37","yellow-210","yellow","719","sampling-task","21","287899","0.0-5.0-0.13-0.13","110","by9gun00","high"
"3","1","fixed","10","114","111","green-162","green","3245","sampling-task","24","315779","0.0-5.0-0.14-0.14","110","by9gun00","high"
"3","2","fixed","10","114","120","green-10","green","878","sampling-task","25","319268","0.0-5.0-0.15-0.15","110","by9gun00","high"
"3","3","fixed","10","114","120","green-123","green","2166","sampling-task","26","323100","0.0-5.0-0.16-0.16","110","by9gun00","high"
"3","4","fixed","10","114","110","green-181","green","549","sampling-task","27","325012","0.0-5.0-0.17-0.17","110","by9gun00","high"
