"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","96","96","yellow-133","yellow","6820","sampling-task","6","485574","0.0-5.0-0.0-0.0","111","qas69wgv","low"
"1","2","fixed","5","96","100","yellow-133","yellow","2805","sampling-task","7","491270","0.0-5.0-0.1-0.1","111","qas69wgv","low"
"1","3","fixed","5","96","88","yellow-133","yellow","2390","sampling-task","8","496510","0.0-5.0-0.2-0.2","111","qas69wgv","low"
"1","4","fixed","5","96","73","yellow-133","yellow","2286","sampling-task","9","505350","0.0-5.0-0.3-0.3","111","qas69wgv","low"
"1","5","fixed","5","96","117","yellow-133","yellow","1222","sampling-task","10","508750","0.0-5.0-0.4-0.4","111","qas69wgv","low"
"2","1","free","220","37","40","blue-88","blue","3196","sampling-task","13","567610","0.0-5.0-0.5-0.5","111","qas69wgv","low"
"2","2","free","220","37","45","blue-88","blue","830","sampling-task","14","570002","0.0-5.0-0.6-0.6","111","qas69wgv","low"
"2","3","free","220","37","51","blue-88","blue","774","sampling-task","15","572314","0.0-5.0-0.7-0.7","111","qas69wgv","low"
"2","4","free","220","37","62","blue-88","blue","782","sampling-task","16","575186","0.0-5.0-0.8-0.8","111","qas69wgv","low"
"2","5","free","220","37","28","blue-88","blue","1014","sampling-task","17","579594","0.0-5.0-0.9-0.9","111","qas69wgv","low"
"2","6","free","220","37","49","blue-88","blue","662","sampling-task","18","583306","0.0-5.0-0.10-0.10","111","qas69wgv","low"
"2","7","free","220","37","33","blue-88","blue","662","sampling-task","19","586874","0.0-5.0-0.11-0.11","111","qas69wgv","low"
"2","8","free","220","37","58","blue-88","blue","494","sampling-task","20","590186","0.0-5.0-0.12-0.12","111","qas69wgv","low"
"2","9","free","220","37","41","blue-88","blue","734","sampling-task","21","592530","0.0-5.0-0.13-0.13","111","qas69wgv","low"
"3","1","fixed","10","71","79","red-139","red","3685","sampling-task","24","628053","0.0-5.0-0.14-0.14","111","qas69wgv","low"
"3","2","fixed","10","71","87","red-139","red","1069","sampling-task","25","630349","0.0-5.0-0.15-0.15","111","qas69wgv","low"
"3","3","fixed","10","71","54","red-139","red","589","sampling-task","26","632269","0.0-5.0-0.16-0.16","111","qas69wgv","low"
"3","4","fixed","10","71","65","red-139","red","558","sampling-task","27","633830","0.0-5.0-0.17-0.17","111","qas69wgv","low"
"3","5","fixed","10","71","56","red-139","red","764","sampling-task","28","635637","0.0-5.0-0.18-0.18","111","qas69wgv","low"
"3","6","fixed","10","71","57","red-139","red","671","sampling-task","29","637645","0.0-5.0-0.19-0.19","111","qas69wgv","low"
"3","7","fixed","10","71","46","red-139","red","526","sampling-task","30","639501","0.0-5.0-0.20-0.20","111","qas69wgv","low"
"3","8","fixed","10","71","43","red-139","red","511","sampling-task","31","641685","0.0-5.0-0.21-0.21","111","qas69wgv","low"
"3","9","fixed","10","71","71","red-139","red","535","sampling-task","32","643397","0.0-5.0-0.22-0.22","111","qas69wgv","low"
"3","10","fixed","10","71","83","red-139","red","542","sampling-task","33","645141","0.0-5.0-0.23-0.23","111","qas69wgv","low"
"4","1","free","220","114","147","green-113","green","5204","sampling-task","36","675874","0.0-5.0-0.24-0.24","111","qas69wgv","low"
"4","2","free","220","114","70","green-113","green","614","sampling-task","37","677538","0.0-5.0-0.25-0.25","111","qas69wgv","low"
"4","3","free","220","114","116","green-113","green","542","sampling-task","38","679082","0.0-5.0-0.26-0.26","111","qas69wgv","low"
"4","4","free","220","114","95","green-113","green","758","sampling-task","39","680970","0.0-5.0-0.27-0.27","111","qas69wgv","low"
"4","5","free","220","114","116","green-113","green","830","sampling-task","40","683258","0.0-5.0-0.28-0.28","111","qas69wgv","low"
"4","6","free","220","114","114","green-113","green","518","sampling-task","41","684770","0.0-5.0-0.29-0.29","111","qas69wgv","low"
"4","7","free","220","114","101","green-113","green","494","sampling-task","42","686394","0.0-5.0-0.30-0.30","111","qas69wgv","low"
"4","8","free","220","114","152","green-113","green","486","sampling-task","43","690186","0.0-5.0-0.31-0.31","111","qas69wgv","low"
"4","9","free","220","114","157","green-113","green","461","sampling-task","44","692858","0.0-5.0-0.32-0.32","111","qas69wgv","low"
"4","10","free","220","114","91","green-113","green","438","sampling-task","45","694362","0.0-5.0-0.33-0.33","111","qas69wgv","low"
"5","1","fixed","20","50","35","orange-103","orange","4163","sampling-task","48","743758","0.0-5.0-0.34-0.34","111","qas69wgv","low"
"5","2","fixed","20","50","35","orange-103","orange","2286","sampling-task","49","748061","0.0-5.0-0.35-0.35","111","qas69wgv","low"
"5","3","fixed","20","50","64","orange-103","orange","501","sampling-task","50","750165","0.0-5.0-0.36-0.36","111","qas69wgv","low"
"5","4","fixed","20","50","69","orange-103","orange","550","sampling-task","51","752341","0.0-5.0-0.37-0.37","111","qas69wgv","low"
"5","5","fixed","20","50","62","orange-103","orange","534","sampling-task","52","754238","0.0-5.0-0.38-0.38","111","qas69wgv","low"
"5","6","fixed","20","50","63","orange-103","orange","566","sampling-task","53","755750","0.0-5.0-0.39-0.39","111","qas69wgv","low"
"5","7","fixed","20","50","53","orange-103","orange","606","sampling-task","54","757934","0.0-5.0-0.40-0.40","111","qas69wgv","low"
"5","8","fixed","20","50","31","orange-103","orange","638","sampling-task","55","759629","0.0-5.0-0.41-0.41","111","qas69wgv","low"
"5","9","fixed","20","50","62","orange-103","orange","630","sampling-task","56","761381","0.0-5.0-0.42-0.42","111","qas69wgv","low"
"5","10","fixed","20","50","33","orange-103","orange","582","sampling-task","57","763166","0.0-5.0-0.43-0.43","111","qas69wgv","low"
"5","11","fixed","20","50","28","orange-103","orange","646","sampling-task","58","764974","0.0-5.0-0.44-0.44","111","qas69wgv","low"
"5","12","fixed","20","50","74","orange-103","orange","590","sampling-task","59","767014","0.0-5.0-0.45-0.45","111","qas69wgv","low"
"5","13","fixed","20","50","50","orange-103","orange","462","sampling-task","60","768661","0.0-5.0-0.46-0.46","111","qas69wgv","low"
"5","14","fixed","20","50","44","orange-103","orange","542","sampling-task","61","770414","0.0-5.0-0.47-0.47","111","qas69wgv","low"
"5","15","fixed","20","50","94","orange-103","orange","518","sampling-task","62","772357","0.0-5.0-0.48-0.48","111","qas69wgv","low"
