"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","19","15","yellow-100","yellow","4741","sampling-task","6","383575","0.0-5.0-0.0-0.0","112","0ohxx9e3","low"
"1","2","fixed","5","19","20","yellow-100","yellow","1029","sampling-task","7","390166","0.0-5.0-0.1-0.1","112","0ohxx9e3","low"
"1","3","fixed","5","19","24","yellow-100","yellow","742","sampling-task","8","394430","0.0-5.0-0.2-0.2","112","0ohxx9e3","low"
"1","4","fixed","5","19","-7","yellow-100","yellow","1062","sampling-task","9","400927","0.0-5.0-0.3-0.3","112","0ohxx9e3","low"
"1","5","fixed","5","19","40","yellow-100","yellow","1566","sampling-task","10","414711","0.0-5.0-0.4-0.4","112","0ohxx9e3","low"
"2","1","free","220","116","134","green-23","green","3740","sampling-task","13","505035","0.0-5.0-0.5-0.5","112","0ohxx9e3","low"
"2","2","free","220","116","117","green-23","green","646","sampling-task","14","507730","0.0-5.0-0.6-0.6","112","0ohxx9e3","low"
"2","3","free","220","116","121","green-23","green","798","sampling-task","15","512131","0.0-5.0-0.7-0.7","112","0ohxx9e3","low"
"2","4","free","220","116","92","green-23","green","582","sampling-task","16","514218","0.0-5.0-0.8-0.8","112","0ohxx9e3","low"
"2","5","free","220","116","99","green-23","green","510","sampling-task","17","516243","0.0-5.0-0.9-0.9","112","0ohxx9e3","low"
"2","6","free","220","116","148","green-23","green","470","sampling-task","18","518051","0.0-5.0-0.10-0.10","112","0ohxx9e3","low"
"2","7","free","220","116","103","green-23","green","534","sampling-task","19","521890","0.0-5.0-0.11-0.11","112","0ohxx9e3","low"
"2","8","free","220","116","114","green-23","green","518","sampling-task","20","523723","0.0-5.0-0.12-0.12","112","0ohxx9e3","low"
"2","9","free","220","116","105","green-23","green","446","sampling-task","21","525179","0.0-5.0-0.13-0.13","112","0ohxx9e3","low"
"2","10","free","220","116","148","green-23","green","446","sampling-task","22","526579","0.0-5.0-0.14-0.14","112","0ohxx9e3","low"
"2","11","free","220","116","130","green-23","green","478","sampling-task","23","528075","0.0-5.0-0.15-0.15","112","0ohxx9e3","low"
"2","12","free","220","116","151","green-23","green","406","sampling-task","24","529531","0.0-5.0-0.16-0.16","112","0ohxx9e3","low"
"2","13","free","220","116","96","green-23","green","438","sampling-task","25","530898","0.0-5.0-0.17-0.17","112","0ohxx9e3","low"
"2","14","free","220","116","96","green-23","green","357","sampling-task","26","532179","0.0-5.0-0.18-0.18","112","0ohxx9e3","low"
"2","15","free","220","116","160","green-23","green","414","sampling-task","27","533688","0.0-5.0-0.19-0.19","112","0ohxx9e3","low"
"2","16","free","220","116","130","green-23","green","430","sampling-task","28","535048","0.0-5.0-0.20-0.20","112","0ohxx9e3","low"
"2","17","free","220","116","122","green-23","green","398","sampling-task","29","536616","0.0-5.0-0.21-0.21","112","0ohxx9e3","low"
"2","18","free","220","116","100","green-23","green","486","sampling-task","30","538336","0.0-5.0-0.22-0.22","112","0ohxx9e3","low"
"2","19","free","220","116","86","green-23","green","422","sampling-task","31","540440","0.0-5.0-0.23-0.23","112","0ohxx9e3","low"
