"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","96","118","red-137","red","12847","sampling-task","6","1049722","0.0-5.0-0.0-0.0","113","ac4msxxn","high"
"1","2","fixed","20","96","64","red-56","red","5510","sampling-task","7","1058705","0.0-5.0-0.1-0.1","113","ac4msxxn","high"
"1","3","fixed","20","96","115","red-152","red","3390","sampling-task","8","1065262","0.0-5.0-0.2-0.2","113","ac4msxxn","high"
"1","4","fixed","20","96","106","red-182","red","3518","sampling-task","9","1072014","0.0-5.0-0.3-0.3","113","ac4msxxn","high"
"1","5","fixed","20","96","103","red-22","red","3758","sampling-task","10","1078350","0.0-5.0-0.4-0.4","113","ac4msxxn","high"
"1","6","fixed","20","96","75","red-198","red","2166","sampling-task","11","1084086","0.0-5.0-0.5-0.5","113","ac4msxxn","high"
"1","7","fixed","20","96","94","red-200","red","2166","sampling-task","12","1088174","0.0-5.0-0.6-0.6","113","ac4msxxn","high"
"1","8","fixed","20","96","93","red-50","red","2174","sampling-task","13","1092006","0.0-5.0-0.7-0.7","113","ac4msxxn","high"
"1","9","fixed","20","96","90","red-171","red","2590","sampling-task","14","1096998","0.0-5.0-0.8-0.8","113","ac4msxxn","high"
"1","10","fixed","20","96","96","red-69","red","1182","sampling-task","15","1100247","0.0-5.0-0.9-0.9","113","ac4msxxn","high"
"1","11","fixed","20","96","109","red-69","red","1286","sampling-task","16","1102902","0.0-5.0-0.10-0.10","113","ac4msxxn","high"
"1","12","fixed","20","96","66","red-131","red","2590","sampling-task","17","1107190","0.0-5.0-0.11-0.11","113","ac4msxxn","high"
"1","13","fixed","20","96","83","red-111","red","2158","sampling-task","18","1111566","0.0-5.0-0.12-0.12","113","ac4msxxn","high"
"1","14","fixed","20","96","116","red-152","red","2470","sampling-task","19","1115574","0.0-5.0-0.13-0.13","113","ac4msxxn","high"
"1","15","fixed","20","96","79","red-146","red","3358","sampling-task","20","1122239","0.0-5.0-0.14-0.14","113","ac4msxxn","high"
"1","16","fixed","20","96","124","red-18","red","2174","sampling-task","21","1126260","0.0-5.0-0.15-0.15","113","ac4msxxn","high"
"1","17","fixed","20","96","84","red-66","red","4286","sampling-task","22","1131996","0.0-5.0-0.16-0.16","113","ac4msxxn","high"
