"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","55","39","green-155","green","14205","sampling-task","6","361300","0.0-5.0-0.0-0.0","114","xxm0fvy8","high"
"1","2","fixed","20","55","73","green-32","green","1213","sampling-task","7","367580","0.0-5.0-0.1-0.1","114","xxm0fvy8","high"
"1","3","fixed","20","55","55","green-87","green","902","sampling-task","8","372356","0.0-5.0-0.2-0.2","114","xxm0fvy8","high"
"1","4","fixed","20","55","49","green-188","green","5902","sampling-task","9","380530","0.0-5.0-0.3-0.3","114","xxm0fvy8","high"
"1","5","fixed","20","55","43","green-167","green","1509","sampling-task","10","383514","0.0-5.0-0.4-0.4","114","xxm0fvy8","high"
"1","6","fixed","20","55","61","green-160","green","838","sampling-task","11","386258","0.0-5.0-0.5-0.5","114","xxm0fvy8","high"
"1","7","fixed","20","55","45","green-155","green","806","sampling-task","12","388490","0.0-5.0-0.6-0.6","114","xxm0fvy8","high"
"1","8","fixed","20","55","48","green-8","green","734","sampling-task","13","390906","0.0-5.0-0.7-0.7","114","xxm0fvy8","high"
"1","9","fixed","20","55","65","green-151","green","534","sampling-task","14","392802","0.0-5.0-0.8-0.8","114","xxm0fvy8","high"
"1","10","fixed","20","55","74","green-62","green","622","sampling-task","15","398986","0.0-5.0-0.9-0.9","114","xxm0fvy8","high"
"1","11","fixed","20","55","40","green-219","green","551","sampling-task","16","400570","0.0-5.0-0.10-0.10","114","xxm0fvy8","high"
"1","12","fixed","20","55","35","green-71","green","1006","sampling-task","17","402514","0.0-5.0-0.11-0.11","114","xxm0fvy8","high"
"1","13","fixed","20","55","37","green-43","green","470","sampling-task","18","403850","0.0-5.0-0.12-0.12","114","xxm0fvy8","high"
"1","14","fixed","20","55","47","green-204","green","494","sampling-task","19","405298","0.0-5.0-0.13-0.13","114","xxm0fvy8","high"
"1","15","fixed","20","55","17","green-48","green","559","sampling-task","20","406906","0.0-5.0-0.14-0.14","114","xxm0fvy8","high"
"1","16","fixed","20","55","69","green-99","green","647","sampling-task","21","408778","0.0-5.0-0.15-0.15","114","xxm0fvy8","high"
"1","17","fixed","20","55","-3","green-215","green","591","sampling-task","22","410490","0.0-5.0-0.16-0.16","114","xxm0fvy8","high"
"1","18","fixed","20","55","58","green-89","green","934","sampling-task","23","413034","0.0-5.0-0.17-0.17","114","xxm0fvy8","high"
"1","19","fixed","20","55","66","green-88","green","733","sampling-task","24","414842","0.0-5.0-0.18-0.18","114","xxm0fvy8","high"
"1","20","fixed","20","55","34","green-119","green","687","sampling-task","25","416482","0.0-5.0-0.19-0.19","114","xxm0fvy8","high"
"2","1","free","220","70","78","red-141","red","6268","sampling-task","28","480851","0.0-5.0-0.20-0.20","114","xxm0fvy8","high"
"2","2","free","220","70","58","red-166","red","870","sampling-task","29","490866","0.0-5.0-0.21-0.21","114","xxm0fvy8","high"
"2","3","free","220","70","102","red-179","red","558","sampling-task","30","493347","0.0-5.0-0.22-0.22","114","xxm0fvy8","high"
