"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","73","106","green-193","green","21460","sampling-task","6","260059","0.0-5.0-0.0-0.0","115","0p2xcc2d","high"
"1","2","fixed","5","73","83","green-132","green","2565","sampling-task","7","266795","0.0-5.0-0.1-0.1","115","0p2xcc2d","high"
"1","3","fixed","5","73","83","green-193","green","5086","sampling-task","8","276114","0.0-5.0-0.2-0.2","115","0p2xcc2d","high"
"1","4","fixed","5","73","72","green-70","green","3876","sampling-task","9","283912","0.0-5.0-0.3-0.3","115","0p2xcc2d","high"
"1","5","fixed","5","73","86","green-70","green","2766","sampling-task","10","291265","0.0-5.0-0.4-0.4","115","0p2xcc2d","high"
"2","1","free","220","52","37","blue-179","blue","4538","sampling-task","13","345527","0.0-5.0-0.5-0.5","115","0p2xcc2d","high"
"2","2","free","220","52","7","blue-51","blue","3374","sampling-task","14","351151","0.0-5.0-0.6-0.6","115","0p2xcc2d","high"
"2","3","free","220","52","103","blue-206","blue","4078","sampling-task","15","358503","0.0-5.0-0.7-0.7","115","0p2xcc2d","high"
"2","4","free","220","52","65","blue-199","blue","2486","sampling-task","16","363615","0.0-5.0-0.8-0.8","115","0p2xcc2d","high"
"2","5","free","220","52","68","blue-54","blue","1758","sampling-task","17","367927","0.0-5.0-0.9-0.9","115","0p2xcc2d","high"
"2","6","free","220","52","63","blue-62","blue","1134","sampling-task","18","372799","0.0-5.0-0.10-0.10","115","0p2xcc2d","high"
"2","7","free","220","52","42","blue-102","blue","1398","sampling-task","19","375855","0.0-5.0-0.11-0.11","115","0p2xcc2d","high"
"2","8","free","220","52","65","blue-124","blue","1694","sampling-task","20","379327","0.0-5.0-0.12-0.12","115","0p2xcc2d","high"
"2","9","free","220","52","17","blue-24","blue","1374","sampling-task","21","382095","0.0-5.0-0.13-0.13","115","0p2xcc2d","high"
"2","10","free","220","52","45","blue-188","blue","1158","sampling-task","22","385319","0.0-5.0-0.14-0.14","115","0p2xcc2d","high"
"2","11","free","220","52","64","blue-93","blue","1686","sampling-task","23","389695","0.0-5.0-0.15-0.15","115","0p2xcc2d","high"
"2","12","free","220","52","84","blue-134","blue","854","sampling-task","24","394815","0.0-5.0-0.16-0.16","115","0p2xcc2d","high"
"2","13","free","220","52","36","blue-104","blue","1086","sampling-task","25","397167","0.0-5.0-0.17-0.17","115","0p2xcc2d","high"
"2","14","free","220","52","37","blue-215","blue","989","sampling-task","26","399287","0.0-5.0-0.18-0.18","115","0p2xcc2d","high"
"2","15","free","220","52","39","blue-183","blue","1070","sampling-task","27","404813","0.0-5.0-0.19-0.19","115","0p2xcc2d","high"
"2","16","free","220","52","84","blue-79","blue","742","sampling-task","28","407021","0.0-5.0-0.20-0.20","115","0p2xcc2d","high"
"2","17","free","220","52","68","blue-28","blue","1055","sampling-task","29","409325","0.0-5.0-0.21-0.21","115","0p2xcc2d","high"
"2","18","free","220","52","55","blue-143","blue","942","sampling-task","30","411773","0.0-5.0-0.22-0.22","115","0p2xcc2d","high"
"2","19","free","220","52","38","blue-13","blue","959","sampling-task","31","414517","0.0-5.0-0.23-0.23","115","0p2xcc2d","high"
"2","20","free","220","52","27","blue-81","blue","1070","sampling-task","32","416789","0.0-5.0-0.24-0.24","115","0p2xcc2d","high"
"2","21","free","220","52","64","blue-154","blue","974","sampling-task","33","419085","0.0-5.0-0.25-0.25","115","0p2xcc2d","high"
"2","22","free","220","52","52","blue-17","blue","1390","sampling-task","34","422021","0.0-5.0-0.26-0.26","115","0p2xcc2d","high"
"2","23","free","220","52","74","blue-121","blue","863","sampling-task","35","424117","0.0-5.0-0.27-0.27","115","0p2xcc2d","high"
"2","24","free","220","52","54","blue-27","blue","959","sampling-task","36","426365","0.0-5.0-0.28-0.28","115","0p2xcc2d","high"
"2","25","free","220","52","65","blue-157","blue","814","sampling-task","37","428909","0.0-5.0-0.29-0.29","115","0p2xcc2d","high"
"2","26","free","220","52","41","blue-18","blue","837","sampling-task","38","431141","0.0-5.0-0.30-0.30","115","0p2xcc2d","high"
"2","27","free","220","52","32","blue-170","blue","701","sampling-task","39","433037","0.0-5.0-0.31-0.31","115","0p2xcc2d","high"
"2","28","free","220","52","81","blue-25","blue","735","sampling-task","40","435413","0.0-5.0-0.32-0.32","115","0p2xcc2d","high"
"2","29","free","220","52","71","blue-109","blue","1710","sampling-task","41","438197","0.0-5.0-0.33-0.33","115","0p2xcc2d","high"
"2","30","free","220","52","79","blue-185","blue","966","sampling-task","42","440373","0.0-5.0-0.34-0.34","115","0p2xcc2d","high"
