"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","96","130","yellow-148","yellow","7786","sampling-task","6","860190","0.0-5.0-0.0-0.0","116","d9b7m7vb","low"
"1","2","fixed","20","96","102","yellow-148","yellow","1517","sampling-task","7","865037","0.0-5.0-0.1-0.1","116","d9b7m7vb","low"
"1","3","fixed","20","96","90","yellow-148","yellow","910","sampling-task","8","868037","0.0-5.0-0.2-0.2","116","d9b7m7vb","low"
"1","4","fixed","20","96","70","yellow-148","yellow","1151","sampling-task","9","871181","0.0-5.0-0.3-0.3","116","d9b7m7vb","low"
"1","5","fixed","20","96","104","yellow-148","yellow","998","sampling-task","10","873805","0.0-5.0-0.4-0.4","116","d9b7m7vb","low"
"1","6","fixed","20","96","87","yellow-148","yellow","1047","sampling-task","11","876125","0.0-5.0-0.5-0.5","116","d9b7m7vb","low"
"1","7","fixed","20","96","117","yellow-148","yellow","774","sampling-task","12","878421","0.0-5.0-0.6-0.6","116","d9b7m7vb","low"
"1","8","fixed","20","96","84","yellow-148","yellow","686","sampling-task","13","880294","0.0-5.0-0.7-0.7","116","d9b7m7vb","low"
"1","9","fixed","20","96","62","yellow-148","yellow","806","sampling-task","14","882405","0.0-5.0-0.8-0.8","116","d9b7m7vb","low"
"1","10","fixed","20","96","66","yellow-148","yellow","750","sampling-task","15","884469","0.0-5.0-0.9-0.9","116","d9b7m7vb","low"
"1","11","fixed","20","96","102","yellow-148","yellow","638","sampling-task","16","886885","0.0-5.0-0.10-0.10","116","d9b7m7vb","low"
"1","12","fixed","20","96","101","yellow-148","yellow","966","sampling-task","17","889477","0.0-5.0-0.11-0.11","116","d9b7m7vb","low"
"1","13","fixed","20","96","85","yellow-148","yellow","2382","sampling-task","18","906076","0.0-5.0-0.12-0.12","116","d9b7m7vb","low"
"1","14","fixed","20","96","91","yellow-148","yellow","590","sampling-task","19","907980","0.0-5.0-0.13-0.13","116","d9b7m7vb","low"
"1","15","fixed","20","96","96","yellow-148","yellow","719","sampling-task","20","909892","0.0-5.0-0.14-0.14","116","d9b7m7vb","low"
"1","16","fixed","20","96","76","yellow-148","yellow","694","sampling-task","21","912028","0.0-5.0-0.15-0.15","116","d9b7m7vb","low"
"1","17","fixed","20","96","106","yellow-148","yellow","719","sampling-task","22","913884","0.0-5.0-0.16-0.16","116","d9b7m7vb","low"
"1","18","fixed","20","96","84","yellow-148","yellow","670","sampling-task","23","916124","0.0-5.0-0.17-0.17","116","d9b7m7vb","low"
"1","19","fixed","20","96","77","yellow-148","yellow","789","sampling-task","24","918444","0.0-5.0-0.18-0.18","116","d9b7m7vb","low"
"1","20","fixed","20","96","144","yellow-148","yellow","678","sampling-task","25","921844","0.0-5.0-0.19-0.19","116","d9b7m7vb","low"
"2","1","free","220","35","45","red-75","red","5740","sampling-task","28","987908","0.0-5.0-0.20-0.20","116","d9b7m7vb","low"
"2","2","free","220","35","63","red-75","red","606","sampling-task","29","989652","0.0-5.0-0.21-0.21","116","d9b7m7vb","low"
"2","3","free","220","35","21","red-75","red","454","sampling-task","30","991044","0.0-5.0-0.22-0.22","116","d9b7m7vb","low"
"2","4","free","220","35","18","red-75","red","446","sampling-task","31","992379","0.0-5.0-0.23-0.23","116","d9b7m7vb","low"
"2","5","free","220","35","37","red-75","red","422","sampling-task","32","993740","0.0-5.0-0.24-0.24","116","d9b7m7vb","low"
"2","6","free","220","35","28","red-75","red","470","sampling-task","33","995252","0.0-5.0-0.25-0.25","116","d9b7m7vb","low"
"2","7","free","220","35","33","red-75","red","437","sampling-task","34","997067","0.0-5.0-0.26-0.26","116","d9b7m7vb","low"
"2","8","free","220","35","51","red-75","red","430","sampling-task","35","998419","0.0-5.0-0.27-0.27","116","d9b7m7vb","low"
"2","9","free","220","35","56","red-75","red","398","sampling-task","36","999948","0.0-5.0-0.28-0.28","116","d9b7m7vb","low"
"2","10","free","220","35","17","red-75","red","438","sampling-task","37","1001300","0.0-5.0-0.29-0.29","116","d9b7m7vb","low"
"2","11","free","220","35","34","red-75","red","438","sampling-task","38","1002812","0.0-5.0-0.30-0.30","116","d9b7m7vb","low"
"2","12","free","220","35","2","red-75","red","526","sampling-task","39","1004380","0.0-5.0-0.31-0.31","116","d9b7m7vb","low"
"2","13","free","220","35","35","red-75","red","486","sampling-task","40","1005780","0.0-5.0-0.32-0.32","116","d9b7m7vb","low"
"2","14","free","220","35","48","red-75","red","478","sampling-task","41","1007124","0.0-5.0-0.33-0.33","116","d9b7m7vb","low"
"2","15","free","220","35","62","red-75","red","462","sampling-task","42","1008716","0.0-5.0-0.34-0.34","116","d9b7m7vb","low"
"2","16","free","220","35","43","red-75","red","510","sampling-task","43","1010292","0.0-5.0-0.35-0.35","116","d9b7m7vb","low"
"2","17","free","220","35","84","red-75","red","429","sampling-task","44","1012196","0.0-5.0-0.36-0.36","116","d9b7m7vb","low"
"2","18","free","220","35","19","red-75","red","382","sampling-task","45","1013540","0.0-5.0-0.37-0.37","116","d9b7m7vb","low"
"2","19","free","220","35","15","red-75","red","414","sampling-task","46","1014796","0.0-5.0-0.38-0.38","116","d9b7m7vb","low"
"2","20","free","220","35","49","red-75","red","374","sampling-task","47","1017035","0.0-5.0-0.39-0.39","116","d9b7m7vb","low"
"3","1","fixed","5","52","44","blue-206","blue","2124","sampling-task","50","1046898","0.0-5.0-0.40-0.40","116","d9b7m7vb","low"
"3","2","fixed","5","52","78","blue-206","blue","678","sampling-task","51","1048706","0.0-5.0-0.41-0.41","116","d9b7m7vb","low"
"3","3","fixed","5","52","55","blue-206","blue","1463","sampling-task","52","1051794","0.0-5.0-0.42-0.42","116","d9b7m7vb","low"
