"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","110","121","blue-118","blue","6571","sampling-task","6","625366","0.0-5.0-0.0-0.0","117","oqb9vvyl","high"
"1","2","fixed","5","110","119","blue-11","blue","3022","sampling-task","7","633118","0.0-5.0-0.1-0.1","117","oqb9vvyl","high"
"1","3","fixed","5","110","136","blue-159","blue","2261","sampling-task","8","644158","0.0-5.0-0.2-0.2","117","oqb9vvyl","high"
"1","4","fixed","5","110","107","blue-40","blue","3630","sampling-task","9","652725","0.0-5.0-0.3-0.3","117","oqb9vvyl","high"
"1","5","fixed","5","110","125","blue-52","blue","18038","sampling-task","10","704651","0.0-5.0-0.4-0.4","117","oqb9vvyl","high"
"2","1","free","220","94","89","red-110","red","5196","sampling-task","13","780018","0.0-5.0-0.5-0.5","117","oqb9vvyl","high"
"2","2","free","220","94","109","red-160","red","5671","sampling-task","14","788986","0.0-5.0-0.6-0.6","117","oqb9vvyl","high"
"2","3","free","220","94","64","red-162","red","1845","sampling-task","15","795130","0.0-5.0-0.7-0.7","117","oqb9vvyl","high"
"2","4","free","220","94","58","red-197","red","1743","sampling-task","16","802986","0.0-5.0-0.8-0.8","117","oqb9vvyl","high"
"2","5","free","220","94","97","red-19","red","2198","sampling-task","17","812778","0.0-5.0-0.9-0.9","117","oqb9vvyl","high"
"2","6","free","220","94","118","red-175","red","4342","sampling-task","18","826921","0.0-5.0-0.10-0.10","117","oqb9vvyl","high"
"2","7","free","220","94","82","red-148","red","1726","sampling-task","19","832945","0.0-5.0-0.11-0.11","117","oqb9vvyl","high"
"2","8","free","220","94","98","red-177","red","3062","sampling-task","20","838689","0.0-5.0-0.12-0.12","117","oqb9vvyl","high"
"2","9","free","220","94","104","red-181","red","950","sampling-task","21","842177","0.0-5.0-0.13-0.13","117","oqb9vvyl","high"
"2","10","free","220","94","105","red-185","red","1774","sampling-task","22","846048","0.0-5.0-0.14-0.14","117","oqb9vvyl","high"
"2","11","free","220","94","99","red-104","red","1110","sampling-task","23","848537","0.0-5.0-0.15-0.15","117","oqb9vvyl","high"
"2","12","free","220","94","98","red-70","red","982","sampling-task","24","851137","0.0-5.0-0.16-0.16","117","oqb9vvyl","high"
"2","13","free","220","94","66","red-133","red","926","sampling-task","25","854768","0.0-5.0-0.17-0.17","117","oqb9vvyl","high"
"2","14","free","220","94","84","red-69","red","741","sampling-task","26","857089","0.0-5.0-0.18-0.18","117","oqb9vvyl","high"
"2","15","free","220","94","82","red-24","red","1310","sampling-task","27","862153","0.0-5.0-0.19-0.19","117","oqb9vvyl","high"
"2","16","free","220","94","85","red-205","red","598","sampling-task","28","865041","0.0-5.0-0.20-0.20","117","oqb9vvyl","high"
"3","1","fixed","10","31","39","purple-85","purple","10204","sampling-task","31","915335","0.0-5.0-0.21-0.21","117","oqb9vvyl","high"
"3","2","fixed","10","31","35","purple-85","purple","2382","sampling-task","32","920135","0.0-5.0-0.22-0.22","117","oqb9vvyl","high"
