"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","79","92","purple-12","purple","4560","sampling-task","24","1414604","0.0-5.0-0.0-0.0","118","pwmrcwfp","high"
"1","2","fixed","5","79","90","purple-155","purple","1590","sampling-task","25","1417819","0.0-5.0-0.1-0.1","118","pwmrcwfp","high"
"1","3","fixed","5","79","54","purple-139","purple","710","sampling-task","26","1419451","0.0-5.0-0.2-0.2","118","pwmrcwfp","high"
"1","4","fixed","5","79","105","purple-204","purple","638","sampling-task","27","1421100","0.0-5.0-0.3-0.3","118","pwmrcwfp","high"
"1","5","fixed","5","79","80","purple-8","purple","510","sampling-task","28","1422516","0.0-5.0-0.4-0.4","118","pwmrcwfp","high"
"2","1","free","220","32","-6","orange-82","orange","1148","sampling-task","31","1458748","0.0-5.0-0.5-0.5","118","pwmrcwfp","high"
"2","2","free","220","32","54","orange-66","orange","574","sampling-task","32","1461244","0.0-5.0-0.6-0.6","118","pwmrcwfp","high"
"2","3","free","220","32","48","orange-114","orange","502","sampling-task","33","1462680","0.0-5.0-0.7-0.7","118","pwmrcwfp","high"
"2","4","free","220","32","55","orange-53","orange","542","sampling-task","34","1464561","0.0-5.0-0.8-0.8","118","pwmrcwfp","high"
"3","1","fixed","10","15","16","red-154","red","741","sampling-task","37","1484745","0.0-5.0-0.9-0.9","118","pwmrcwfp","high"
"3","2","fixed","10","15","24","red-214","red","510","sampling-task","38","1486265","0.0-5.0-0.10-0.10","118","pwmrcwfp","high"
"3","3","fixed","10","15","6","red-12","red","446","sampling-task","39","1487617","0.0-5.0-0.11-0.11","118","pwmrcwfp","high"
"3","4","fixed","10","15","-5","red-164","red","582","sampling-task","40","1489521","0.0-5.0-0.12-0.12","118","pwmrcwfp","high"
"3","5","fixed","10","15","25","red-87","red","742","sampling-task","41","1491633","0.0-5.0-0.13-0.13","118","pwmrcwfp","high"
"3","6","fixed","10","15","31","red-214","red","551","sampling-task","42","1493225","0.0-5.0-0.14-0.14","118","pwmrcwfp","high"
"3","7","fixed","10","15","6","red-200","red","798","sampling-task","43","1494921","0.0-5.0-0.15-0.15","118","pwmrcwfp","high"
"3","8","fixed","10","15","17","red-142","red","534","sampling-task","44","1496353","0.0-5.0-0.16-0.16","118","pwmrcwfp","high"
"3","9","fixed","10","15","14","red-109","red","501","sampling-task","45","1497841","0.0-5.0-0.17-0.17","118","pwmrcwfp","high"
"3","10","fixed","10","15","-15","red-87","red","486","sampling-task","46","1499217","0.0-5.0-0.18-0.18","118","pwmrcwfp","high"
"4","1","free","220","114","142","green-107","green","724","sampling-task","49","1514265","0.0-5.0-0.19-0.19","118","pwmrcwfp","high"
"4","2","free","220","114","125","green-185","green","814","sampling-task","50","1516297","0.0-5.0-0.20-0.20","118","pwmrcwfp","high"
"5","1","fixed","20","93","94","yellow-163","yellow","940","sampling-task","53","1531382","0.0-5.0-0.21-0.21","118","pwmrcwfp","high"
"5","2","fixed","20","93","101","yellow-186","yellow","503","sampling-task","54","1532838","0.0-5.0-0.22-0.22","118","pwmrcwfp","high"
"5","3","fixed","20","93","107","yellow-7","yellow","398","sampling-task","55","1534374","0.0-5.0-0.23-0.23","118","pwmrcwfp","high"
"5","4","fixed","20","93","79","yellow-201","yellow","501","sampling-task","56","1535742","0.0-5.0-0.24-0.24","118","pwmrcwfp","high"
"5","5","fixed","20","93","90","yellow-104","yellow","405","sampling-task","57","1537382","0.0-5.0-0.25-0.25","118","pwmrcwfp","high"
"5","6","fixed","20","93","89","yellow-125","yellow","469","sampling-task","58","1538814","0.0-5.0-0.26-0.26","118","pwmrcwfp","high"
"5","7","fixed","20","93","104","yellow-7","yellow","447","sampling-task","59","1540126","0.0-5.0-0.27-0.27","118","pwmrcwfp","high"
"5","8","fixed","20","93","54","yellow-28","yellow","383","sampling-task","60","1541374","0.0-5.0-0.28-0.28","118","pwmrcwfp","high"
"5","9","fixed","20","93","105","yellow-134","yellow","343","sampling-task","61","1542910","0.0-5.0-0.29-0.29","118","pwmrcwfp","high"
"5","10","fixed","20","93","93","yellow-77","yellow","439","sampling-task","62","1544214","0.0-5.0-0.30-0.30","118","pwmrcwfp","high"
"5","11","fixed","20","93","104","yellow-148","yellow","366","sampling-task","63","1545486","0.0-5.0-0.31-0.31","118","pwmrcwfp","high"
"5","12","fixed","20","93","86","yellow-99","yellow","485","sampling-task","64","1546806","0.0-5.0-0.32-0.32","118","pwmrcwfp","high"
"5","13","fixed","20","93","94","yellow-143","yellow","407","sampling-task","65","1548030","0.0-5.0-0.33-0.33","118","pwmrcwfp","high"
"5","14","fixed","20","93","84","yellow-47","yellow","383","sampling-task","66","1549350","0.0-5.0-0.34-0.34","118","pwmrcwfp","high"
"5","15","fixed","20","93","82","yellow-161","yellow","407","sampling-task","67","1550614","0.0-5.0-0.35-0.35","118","pwmrcwfp","high"
"5","16","fixed","20","93","109","yellow-63","yellow","422","sampling-task","68","1551895","0.0-5.0-0.36-0.36","118","pwmrcwfp","high"
"5","17","fixed","20","93","82","yellow-138","yellow","357","sampling-task","69","1553462","0.0-5.0-0.37-0.37","118","pwmrcwfp","high"
"5","18","fixed","20","93","115","yellow-5","yellow","413","sampling-task","70","1554742","0.0-5.0-0.38-0.38","118","pwmrcwfp","high"
"5","19","fixed","20","93","69","yellow-102","yellow","382","sampling-task","71","1556030","0.0-5.0-0.39-0.39","118","pwmrcwfp","high"
"5","20","fixed","20","93","33","yellow-113","yellow","439","sampling-task","72","1557406","0.0-5.0-0.40-0.40","118","pwmrcwfp","high"
"6","1","free","220","54","62","blue-57","blue","765","sampling-task","75","1575462","0.0-5.0-0.41-0.41","118","pwmrcwfp","high"
