"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","53","53","red-92","red","20512","sampling-task","6","879108","0.0-5.0-0.0-0.0","119","tpe1h2r5","low"
"1","2","fixed","5","53","27","red-92","red","5782","sampling-task","7","889955","0.0-5.0-0.1-0.1","119","tpe1h2r5","low"
"1","3","fixed","5","53","57","red-92","red","2422","sampling-task","8","902947","0.0-5.0-0.2-0.2","119","tpe1h2r5","low"
"1","4","fixed","5","53","31","red-92","red","1278","sampling-task","9","907307","0.0-5.0-0.3-0.3","119","tpe1h2r5","low"
"1","5","fixed","5","53","68","red-92","red","1639","sampling-task","10","911035","0.0-5.0-0.4-0.4","119","tpe1h2r5","low"
"2","1","free","220","72","50","purple-207","purple","13916","sampling-task","13","961442","0.0-5.0-0.5-0.5","119","tpe1h2r5","low"
"2","2","free","220","72","65","purple-207","purple","966","sampling-task","14","966402","0.0-5.0-0.6-0.6","119","tpe1h2r5","low"
"2","3","free","220","72","93","purple-207","purple","1134","sampling-task","15","968978","0.0-5.0-0.7-0.7","119","tpe1h2r5","low"
"2","4","free","220","72","113","purple-207","purple","862","sampling-task","16","973953","0.0-5.0-0.8-0.8","119","tpe1h2r5","low"
"2","5","free","220","72","81","purple-207","purple","861","sampling-task","17","978968","0.0-5.0-0.9-0.9","119","tpe1h2r5","low"
"2","6","free","220","72","61","purple-207","purple","582","sampling-task","18","982216","0.0-5.0-0.10-0.10","119","tpe1h2r5","low"
"2","7","free","220","72","93","purple-207","purple","422","sampling-task","19","987368","0.0-5.0-0.11-0.11","119","tpe1h2r5","low"
"2","8","free","220","72","47","purple-207","purple","710","sampling-task","20","990145","0.0-5.0-0.12-0.12","119","tpe1h2r5","low"
"2","9","free","220","72","81","purple-207","purple","518","sampling-task","21","992512","0.0-5.0-0.13-0.13","119","tpe1h2r5","low"
"2","10","free","220","72","91","purple-207","purple","407","sampling-task","22","995144","0.0-5.0-0.14-0.14","119","tpe1h2r5","low"
"2","11","free","220","72","69","purple-207","purple","407","sampling-task","23","996784","0.0-5.0-0.15-0.15","119","tpe1h2r5","low"
"2","12","free","220","72","106","purple-207","purple","390","sampling-task","24","1000184","0.0-5.0-0.16-0.16","119","tpe1h2r5","low"
"2","13","free","220","72","73","purple-207","purple","486","sampling-task","25","1002720","0.0-5.0-0.17-0.17","119","tpe1h2r5","low"
"2","14","free","220","72","55","purple-207","purple","342","sampling-task","26","1004800","0.0-5.0-0.18-0.18","119","tpe1h2r5","low"
"2","15","free","220","72","54","purple-207","purple","303","sampling-task","27","1006560","0.0-5.0-0.19-0.19","119","tpe1h2r5","low"
"2","16","free","220","72","85","purple-207","purple","311","sampling-task","28","1011280","0.0-5.0-0.20-0.20","119","tpe1h2r5","low"
"2","17","free","220","72","91","purple-207","purple","494","sampling-task","29","1012840","0.0-5.0-0.21-0.21","119","tpe1h2r5","low"
"2","18","free","220","72","68","purple-207","purple","319","sampling-task","30","1017552","0.0-5.0-0.22-0.22","119","tpe1h2r5","low"
