round_number,sample_number,sampling_type,nSamples,mean,feedback,stimulus,stimulus_colour,rt,trial_type,trial_index,time_elapsed,internal_node_id,participant,randomID,condition
1,1,fixed,5,114,109,orange-100,orange,10942,sampling-task,6,343699,0.0-5.0-0.0-0.0,12,xgjcd4ca,high
1,2,fixed,5,114,120,orange-4,orange,1717,sampling-task,7,361581,0.0-5.0-0.1-0.1,12,xgjcd4ca,high
1,3,fixed,5,114,143,orange-180,orange,1086,sampling-task,8,363709,0.0-5.0-0.2-0.2,12,xgjcd4ca,high
1,4,fixed,5,114,85,orange-105,orange,1134,sampling-task,9,366205,0.0-5.0-0.3-0.3,12,xgjcd4ca,high
1,5,fixed,5,114,108,orange-47,orange,1190,sampling-task,10,369757,0.0-5.0-0.4-0.4,12,xgjcd4ca,high
2,1,free,220,58,34,purple-56,purple,12640,sampling-task,13,480548,0.0-5.0-0.5-0.5,12,xgjcd4ca,high
2,2,free,220,58,56,purple-38,purple,2134,sampling-task,14,484500,0.0-5.0-0.6-0.6,12,xgjcd4ca,high
2,3,free,220,58,38,purple-187,purple,2062,sampling-task,15,487931,0.0-5.0-0.7-0.7,12,xgjcd4ca,high
2,4,free,220,58,48,purple-201,purple,1174,sampling-task,16,490188,0.0-5.0-0.8-0.8,12,xgjcd4ca,high
2,5,free,220,58,74,purple-95,purple,950,sampling-task,17,495115,0.0-5.0-0.9-0.9,12,xgjcd4ca,high
2,6,free,220,58,86,purple-214,purple,1294,sampling-task,18,498963,0.0-5.0-0.10-0.10,12,xgjcd4ca,high
2,7,free,220,58,88,purple-210,purple,934,sampling-task,19,502131,0.0-5.0-0.11-0.11,12,xgjcd4ca,high
2,8,free,220,58,58,purple-62,purple,958,sampling-task,20,504180,0.0-5.0-0.12-0.12,12,xgjcd4ca,high
2,9,free,220,58,49,purple-90,purple,598,sampling-task,21,505931,0.0-5.0-0.13-0.13,12,xgjcd4ca,high
2,10,free,220,58,31,purple-108,purple,886,sampling-task,22,508020,0.0-5.0-0.14-0.14,12,xgjcd4ca,high
2,11,free,220,58,25,purple-90,purple,694,sampling-task,23,510060,0.0-5.0-0.15-0.15,12,xgjcd4ca,high
3,1,fixed,20,91,77,yellow-132,yellow,4709,sampling-task,26,553471,0.0-5.0-0.16-0.16,12,xgjcd4ca,high
3,2,fixed,20,91,99,yellow-178,yellow,909,sampling-task,27,556023,0.0-5.0-0.17-0.17,12,xgjcd4ca,high
