"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","115","132","green-43","green","9895","sampling-task","6","239486","0.0-5.0-0.0-0.0","120","d0259dqv","low"
"1","2","fixed","10","115","99","green-43","green","3982","sampling-task","7","246150","0.0-5.0-0.1-0.1","120","d0259dqv","low"
"1","3","fixed","10","115","117","green-43","green","1567","sampling-task","8","250686","0.0-5.0-0.2-0.2","120","d0259dqv","low"
"1","4","fixed","10","115","92","green-43","green","2454","sampling-task","9","254902","0.0-5.0-0.3-0.3","120","d0259dqv","low"
"1","5","fixed","10","115","125","green-43","green","1223","sampling-task","10","258286","0.0-5.0-0.4-0.4","120","d0259dqv","low"
"1","6","fixed","10","115","88","green-43","green","1039","sampling-task","11","261157","0.0-5.0-0.5-0.5","120","d0259dqv","low"
"1","7","fixed","10","115","130","green-43","green","1174","sampling-task","12","265613","0.0-5.0-0.6-0.6","120","d0259dqv","low"
"1","8","fixed","10","115","148","green-43","green","1118","sampling-task","13","270949","0.0-5.0-0.7-0.7","120","d0259dqv","low"
"1","9","fixed","10","115","124","green-43","green","1198","sampling-task","14","275157","0.0-5.0-0.8-0.8","120","d0259dqv","low"
"1","10","fixed","10","115","149","green-43","green","2462","sampling-task","15","282621","0.0-5.0-0.9-0.9","120","d0259dqv","low"
"2","1","free","220","97","121","red-175","red","1459","sampling-task","18","322532","0.0-5.0-0.10-0.10","120","d0259dqv","low"
"2","2","free","220","97","67","red-175","red","463","sampling-task","19","324324","0.0-5.0-0.11-0.11","120","d0259dqv","low"
"2","3","free","220","97","96","red-175","red","407","sampling-task","20","326132","0.0-5.0-0.12-0.12","120","d0259dqv","low"
"2","4","free","220","97","86","red-175","red","319","sampling-task","21","328300","0.0-5.0-0.13-0.13","120","d0259dqv","low"
"2","5","free","220","97","64","red-175","red","367","sampling-task","22","329740","0.0-5.0-0.14-0.14","120","d0259dqv","low"
"2","6","free","220","97","59","red-175","red","343","sampling-task","23","331004","0.0-5.0-0.15-0.15","120","d0259dqv","low"
"2","7","free","220","97","62","red-175","red","407","sampling-task","24","333156","0.0-5.0-0.16-0.16","120","d0259dqv","low"
"2","8","free","220","97","82","red-175","red","367","sampling-task","25","336820","0.0-5.0-0.17-0.17","120","d0259dqv","low"
"2","9","free","220","97","90","red-175","red","406","sampling-task","26","338356","0.0-5.0-0.18-0.18","120","d0259dqv","low"
"2","10","free","220","97","90","red-175","red","367","sampling-task","27","340068","0.0-5.0-0.19-0.19","120","d0259dqv","low"
"2","11","free","220","97","81","red-175","red","295","sampling-task","28","341916","0.0-5.0-0.20-0.20","120","d0259dqv","low"
"2","12","free","220","97","112","red-175","red","246","sampling-task","29","343156","0.0-5.0-0.21-0.21","120","d0259dqv","low"
"2","13","free","220","97","67","red-175","red","327","sampling-task","30","344860","0.0-5.0-0.22-0.22","120","d0259dqv","low"
"3","1","fixed","20","78","99","blue-72","blue","2516","sampling-task","33","368980","0.0-5.0-0.23-0.23","120","d0259dqv","low"
"3","2","fixed","20","78","80","blue-72","blue","519","sampling-task","34","370540","0.0-5.0-0.24-0.24","120","d0259dqv","low"
"3","3","fixed","20","78","75","blue-72","blue","343","sampling-task","35","371884","0.0-5.0-0.25-0.25","120","d0259dqv","low"
"3","4","fixed","20","78","67","blue-72","blue","383","sampling-task","36","375660","0.0-5.0-0.26-0.26","120","d0259dqv","low"
"3","5","fixed","20","78","71","blue-72","blue","590","sampling-task","37","377116","0.0-5.0-0.27-0.27","120","d0259dqv","low"
"3","6","fixed","20","78","119","blue-72","blue","423","sampling-task","38","379588","0.0-5.0-0.28-0.28","120","d0259dqv","low"
"3","7","fixed","20","78","85","blue-72","blue","1389","sampling-task","39","382259","0.0-5.0-0.29-0.29","120","d0259dqv","low"
"3","8","fixed","20","78","67","blue-72","blue","350","sampling-task","40","384003","0.0-5.0-0.30-0.30","120","d0259dqv","low"
"3","9","fixed","20","78","87","blue-72","blue","358","sampling-task","41","385579","0.0-5.0-0.31-0.31","120","d0259dqv","low"
"3","10","fixed","20","78","82","blue-72","blue","574","sampling-task","42","387122","0.0-5.0-0.32-0.32","120","d0259dqv","low"
"3","11","fixed","20","78","49","blue-72","blue","326","sampling-task","43","390747","0.0-5.0-0.33-0.33","120","d0259dqv","low"
"3","12","fixed","20","78","119","blue-72","blue","886","sampling-task","44","392747","0.0-5.0-0.34-0.34","120","d0259dqv","low"
"3","13","fixed","20","78","70","blue-72","blue","350","sampling-task","45","394251","0.0-5.0-0.35-0.35","120","d0259dqv","low"
"3","14","fixed","20","78","57","blue-72","blue","310","sampling-task","46","395603","0.0-5.0-0.36-0.36","120","d0259dqv","low"
