"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","51","31","purple-194","purple","13244","sampling-task","9","453089","0.0-5.0-0.0-0.0","13","c71o43c3","high"
"1","2","fixed","5","51","30","purple-49","purple","3150","sampling-task","10","457897","0.0-5.0-0.1-0.1","13","c71o43c3","high"
"1","3","fixed","5","51","80","purple-199","purple","950","sampling-task","11","462962","0.0-5.0-0.2-0.2","13","c71o43c3","high"
"1","4","fixed","5","51","84","purple-44","purple","781","sampling-task","12","465105","0.0-5.0-0.3-0.3","13","c71o43c3","high"
"1","5","fixed","5","51","50","purple-30","purple","878","sampling-task","13","467713","0.0-5.0-0.4-0.4","13","c71o43c3","high"
"2","1","free","220","32","24","orange-215","orange","3684","sampling-task","16","531305","0.0-5.0-0.5-0.5","13","c71o43c3","high"
"2","2","free","220","32","37","orange-114","orange","566","sampling-task","17","533185","0.0-5.0-0.6-0.6","13","c71o43c3","high"
"2","3","free","220","32","20","orange-160","orange","494","sampling-task","18","535057","0.0-5.0-0.7-0.7","13","c71o43c3","high"
"2","4","free","220","32","18","orange-78","orange","470","sampling-task","19","536817","0.0-5.0-0.8-0.8","13","c71o43c3","high"
"2","5","free","220","32","-11","orange-115","orange","470","sampling-task","20","538385","0.0-5.0-0.9-0.9","13","c71o43c3","high"
"2","6","free","220","32","-7","orange-114","orange","478","sampling-task","21","539897","0.0-5.0-0.10-0.10","13","c71o43c3","high"
"2","7","free","220","32","55","orange-112","orange","438","sampling-task","22","541993","0.0-5.0-0.11-0.11","13","c71o43c3","high"
"2","8","free","220","32","31","orange-22","orange","438","sampling-task","23","543521","0.0-5.0-0.12-0.12","13","c71o43c3","high"
"2","9","free","220","32","47","orange-32","orange","454","sampling-task","24","544929","0.0-5.0-0.13-0.13","13","c71o43c3","high"
"2","10","free","220","32","56","orange-36","orange","439","sampling-task","25","546961","0.0-5.0-0.14-0.14","13","c71o43c3","high"
"2","11","free","220","32","68","orange-162","orange","390","sampling-task","26","548866","0.0-5.0-0.15-0.15","13","c71o43c3","high"
"2","12","free","220","32","19","orange-138","orange","565","sampling-task","27","550545","0.0-5.0-0.16-0.16","13","c71o43c3","high"
"2","13","free","220","32","29","orange-102","orange","486","sampling-task","28","552233","0.0-5.0-0.17-0.17","13","c71o43c3","high"
"2","14","free","220","32","16","orange-78","orange","534","sampling-task","29","554401","0.0-5.0-0.18-0.18","13","c71o43c3","high"
"3","1","fixed","10","12","-1","blue-89","blue","2212","sampling-task","32","586385","0.0-5.0-0.19-0.19","13","c71o43c3","high"
"3","2","fixed","10","12","29","blue-147","blue","1183","sampling-task","33","589521","0.0-5.0-0.20-0.20","13","c71o43c3","high"
"3","3","fixed","10","12","-10","blue-72","blue","798","sampling-task","34","591409","0.0-5.0-0.21-0.21","13","c71o43c3","high"
"3","4","fixed","10","12","44","blue-86","blue","533","sampling-task","35","593017","0.0-5.0-0.22-0.22","13","c71o43c3","high"
"3","5","fixed","10","12","28","blue-159","blue","502","sampling-task","36","594697","0.0-5.0-0.23-0.23","13","c71o43c3","high"
"3","6","fixed","10","12","13","blue-159","blue","495","sampling-task","37","596497","0.0-5.0-0.24-0.24","13","c71o43c3","high"
"3","7","fixed","10","12","-9","blue-4","blue","526","sampling-task","38","598401","0.0-5.0-0.25-0.25","13","c71o43c3","high"
"3","8","fixed","10","12","-21","blue-157","blue","438","sampling-task","39","600657","0.0-5.0-0.26-0.26","13","c71o43c3","high"
"3","9","fixed","10","12","3","blue-111","blue","447","sampling-task","40","602529","0.0-5.0-0.27-0.27","13","c71o43c3","high"
"3","10","fixed","10","12","-8","blue-96","blue","438","sampling-task","41","603961","0.0-5.0-0.28-0.28","13","c71o43c3","high"
"4","1","free","220","111","112","green-204","green","1476","sampling-task","44","625945","0.0-5.0-0.29-0.29","13","c71o43c3","high"
"4","2","free","220","111","96","green-151","green","502","sampling-task","45","627569","0.0-5.0-0.30-0.30","13","c71o43c3","high"
"4","3","free","220","111","123","green-133","green","406","sampling-task","46","628825","0.0-5.0-0.31-0.31","13","c71o43c3","high"
"4","4","free","220","111","133","green-99","green","367","sampling-task","47","630049","0.0-5.0-0.32-0.32","13","c71o43c3","high"
"4","5","free","220","111","115","green-10","green","350","sampling-task","48","631345","0.0-5.0-0.33-0.33","13","c71o43c3","high"
"4","6","free","220","111","120","green-197","green","389","sampling-task","49","632969","0.0-5.0-0.34-0.34","13","c71o43c3","high"
"4","7","free","220","111","136","green-170","green","326","sampling-task","50","634129","0.0-5.0-0.35-0.35","13","c71o43c3","high"
"4","8","free","220","111","100","green-162","green","374","sampling-task","51","635417","0.0-5.0-0.36-0.36","13","c71o43c3","high"
"4","9","free","220","111","106","green-34","green","366","sampling-task","52","636865","0.0-5.0-0.37-0.37","13","c71o43c3","high"
"5","1","fixed","20","79","84","yellow-27","yellow","972","sampling-task","55","654001","0.0-5.0-0.38-0.38","13","c71o43c3","high"
"5","2","fixed","20","79","75","yellow-164","yellow","718","sampling-task","56","655625","0.0-5.0-0.39-0.39","13","c71o43c3","high"
"5","3","fixed","20","79","74","yellow-189","yellow","398","sampling-task","57","656865","0.0-5.0-0.40-0.40","13","c71o43c3","high"
"5","4","fixed","20","79","76","yellow-86","yellow","358","sampling-task","58","657977","0.0-5.0-0.41-0.41","13","c71o43c3","high"
"5","5","fixed","20","79","81","yellow-34","yellow","750","sampling-task","59","659537","0.0-5.0-0.42-0.42","13","c71o43c3","high"
"5","6","fixed","20","79","31","yellow-208","yellow","366","sampling-task","60","660761","0.0-5.0-0.43-0.43","13","c71o43c3","high"
"5","7","fixed","20","79","60","yellow-148","yellow","430","sampling-task","61","662137","0.0-5.0-0.44-0.44","13","c71o43c3","high"
"5","8","fixed","20","79","61","yellow-100","yellow","366","sampling-task","62","664257","0.0-5.0-0.45-0.45","13","c71o43c3","high"
"5","9","fixed","20","79","32","yellow-51","yellow","358","sampling-task","63","665905","0.0-5.0-0.46-0.46","13","c71o43c3","high"
"5","10","fixed","20","79","51","yellow-90","yellow","382","sampling-task","64","667121","0.0-5.0-0.47-0.47","13","c71o43c3","high"
"5","11","fixed","20","79","79","yellow-57","yellow","366","sampling-task","65","668457","0.0-5.0-0.48-0.48","13","c71o43c3","high"
"5","12","fixed","20","79","90","yellow-195","yellow","318","sampling-task","66","669665","0.0-5.0-0.49-0.49","13","c71o43c3","high"
"5","13","fixed","20","79","101","yellow-36","yellow","367","sampling-task","67","670921","0.0-5.0-0.50-0.50","13","c71o43c3","high"
"5","14","fixed","20","79","84","yellow-26","yellow","398","sampling-task","68","672178","0.0-5.0-0.51-0.51","13","c71o43c3","high"
"5","15","fixed","20","79","75","yellow-6","yellow","389","sampling-task","69","673449","0.0-5.0-0.52-0.52","13","c71o43c3","high"
"5","16","fixed","20","79","83","yellow-102","yellow","351","sampling-task","70","674601","0.0-5.0-0.53-0.53","13","c71o43c3","high"
