"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","110","112","green-81","green","6615","sampling-task","6","341009","0.0-5.0-0.0-0.0","14","5qg8t4z2","low"
"1","2","fixed","5","110","97","green-81","green","2254","sampling-task","7","349839","0.0-5.0-0.1-0.1","14","5qg8t4z2","low"
"1","3","fixed","5","110","111","green-81","green","1206","sampling-task","8","353871","0.0-5.0-0.2-0.2","14","5qg8t4z2","low"
"1","4","fixed","5","110","123","green-81","green","1030","sampling-task","9","359344","0.0-5.0-0.3-0.3","14","5qg8t4z2","low"
"1","5","fixed","5","110","88","green-81","green","1078","sampling-task","10","367807","0.0-5.0-0.4-0.4","14","5qg8t4z2","low"
"2","1","free","220","35","39","blue-128","blue","3421","sampling-task","13","436239","0.0-5.0-0.5-0.5","14","5qg8t4z2","low"
"2","2","free","220","35","46","blue-128","blue","558","sampling-task","14","439311","0.0-5.0-0.6-0.6","14","5qg8t4z2","low"
"2","3","free","220","35","46","blue-128","blue","518","sampling-task","15","441183","0.0-5.0-0.7-0.7","14","5qg8t4z2","low"
"2","4","free","220","35","36","blue-128","blue","350","sampling-task","16","443191","0.0-5.0-0.8-0.8","14","5qg8t4z2","low"
"2","5","free","220","35","53","blue-128","blue","342","sampling-task","17","445111","0.0-5.0-0.9-0.9","14","5qg8t4z2","low"
"2","6","free","220","35","31","blue-128","blue","406","sampling-task","18","446823","0.0-5.0-0.10-0.10","14","5qg8t4z2","low"
"2","7","free","220","35","24","blue-128","blue","326","sampling-task","19","448423","0.0-5.0-0.11-0.11","14","5qg8t4z2","low"
"2","8","free","220","35","33","blue-128","blue","342","sampling-task","20","449807","0.0-5.0-0.12-0.12","14","5qg8t4z2","low"
"2","9","free","220","35","36","blue-128","blue","318","sampling-task","21","451703","0.0-5.0-0.13-0.13","14","5qg8t4z2","low"
"2","10","free","220","35","67","blue-128","blue","286","sampling-task","22","453760","0.0-5.0-0.14-0.14","14","5qg8t4z2","low"
"2","11","free","220","35","25","blue-128","blue","286","sampling-task","23","454968","0.0-5.0-0.15-0.15","14","5qg8t4z2","low"
"2","12","free","220","35","66","blue-128","blue","278","sampling-task","24","456384","0.0-5.0-0.16-0.16","14","5qg8t4z2","low"
"2","13","free","220","35","47","blue-128","blue","262","sampling-task","25","457792","0.0-5.0-0.17-0.17","14","5qg8t4z2","low"
"2","14","free","220","35","7","blue-128","blue","813","sampling-task","26","459591","0.0-5.0-0.18-0.18","14","5qg8t4z2","low"
"2","15","free","220","35","60","blue-128","blue","254","sampling-task","27","460808","0.0-5.0-0.19-0.19","14","5qg8t4z2","low"
"2","16","free","220","35","42","blue-128","blue","270","sampling-task","28","461951","0.0-5.0-0.20-0.20","14","5qg8t4z2","low"
"2","17","free","220","35","51","blue-128","blue","262","sampling-task","29","463031","0.0-5.0-0.21-0.21","14","5qg8t4z2","low"
"2","18","free","220","35","39","blue-128","blue","278","sampling-task","30","464167","0.0-5.0-0.22-0.22","14","5qg8t4z2","low"
"2","19","free","220","35","86","blue-128","blue","246","sampling-task","31","465246","0.0-5.0-0.23-0.23","14","5qg8t4z2","low"
"2","20","free","220","35","28","blue-128","blue","286","sampling-task","32","466335","0.0-5.0-0.24-0.24","14","5qg8t4z2","low"
"2","21","free","220","35","12","blue-128","blue","278","sampling-task","33","467455","0.0-5.0-0.25-0.25","14","5qg8t4z2","low"
