"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","55","53","blue-97","blue","5806","sampling-task","6","388847","0.0-5.0-0.0-0.0","15","a2598rlv","high"
"1","2","fixed","10","55","66","blue-56","blue","3910","sampling-task","7","395135","0.0-5.0-0.1-0.1","15","a2598rlv","high"
"1","3","fixed","10","55","41","blue-204","blue","4310","sampling-task","8","401343","0.0-5.0-0.2-0.2","15","a2598rlv","high"
"1","4","fixed","10","55","59","blue-101","blue","1478","sampling-task","9","406079","0.0-5.0-0.3-0.3","15","a2598rlv","high"
"1","5","fixed","10","55","21","blue-17","blue","1246","sampling-task","10","408766","0.0-5.0-0.4-0.4","15","a2598rlv","high"
"1","6","fixed","10","55","43","blue-126","blue","918","sampling-task","11","411263","0.0-5.0-0.5-0.5","15","a2598rlv","high"
"1","7","fixed","10","55","43","blue-122","blue","1054","sampling-task","12","413518","0.0-5.0-0.6-0.6","15","a2598rlv","high"
"1","8","fixed","10","55","34","blue-19","blue","990","sampling-task","13","415999","0.0-5.0-0.7-0.7","15","a2598rlv","high"
"1","9","fixed","10","55","24","blue-59","blue","1014","sampling-task","14","418686","0.0-5.0-0.8-0.8","15","a2598rlv","high"
"1","10","fixed","10","55","34","blue-126","blue","1126","sampling-task","15","421150","0.0-5.0-0.9-0.9","15","a2598rlv","high"
"2","1","free","220","92","55","purple-133","purple","7333","sampling-task","18","472598","0.0-5.0-0.10-0.10","15","a2598rlv","high"
"2","2","free","220","92","71","purple-23","purple","2270","sampling-task","19","477646","0.0-5.0-0.11-0.11","15","a2598rlv","high"
"2","3","free","220","92","100","purple-208","purple","1085","sampling-task","20","482941","0.0-5.0-0.12-0.12","15","a2598rlv","high"
"2","4","free","220","92","91","purple-186","purple","1286","sampling-task","21","485581","0.0-5.0-0.13-0.13","15","a2598rlv","high"
"2","5","free","220","92","74","purple-195","purple","806","sampling-task","22","487485","0.0-5.0-0.14-0.14","15","a2598rlv","high"
"2","6","free","220","92","94","purple-152","purple","934","sampling-task","23","489381","0.0-5.0-0.15-0.15","15","a2598rlv","high"
"2","7","free","220","92","88","purple-149","purple","919","sampling-task","24","491470","0.0-5.0-0.16-0.16","15","a2598rlv","high"
"2","8","free","220","92","94","purple-10","purple","870","sampling-task","25","493421","0.0-5.0-0.17-0.17","15","a2598rlv","high"
"2","9","free","220","92","81","purple-103","purple","774","sampling-task","26","495197","0.0-5.0-0.18-0.18","15","a2598rlv","high"
"2","10","free","220","92","96","purple-149","purple","710","sampling-task","27","497181","0.0-5.0-0.19-0.19","15","a2598rlv","high"
"2","11","free","220","92","98","purple-125","purple","703","sampling-task","28","499045","0.0-5.0-0.20-0.20","15","a2598rlv","high"
"2","12","free","220","92","90","purple-7","purple","647","sampling-task","29","500926","0.0-5.0-0.21-0.21","15","a2598rlv","high"
"2","13","free","220","92","42","purple-21","purple","694","sampling-task","30","502781","0.0-5.0-0.22-0.22","15","a2598rlv","high"
"2","14","free","220","92","87","purple-11","purple","687","sampling-task","31","505213","0.0-5.0-0.23-0.23","15","a2598rlv","high"
"2","15","free","220","92","100","purple-32","purple","719","sampling-task","32","510485","0.0-5.0-0.24-0.24","15","a2598rlv","high"
"2","16","free","220","92","71","purple-194","purple","814","sampling-task","33","512373","0.0-5.0-0.25-0.25","15","a2598rlv","high"
"2","17","free","220","92","77","purple-203","purple","822","sampling-task","34","514422","0.0-5.0-0.26-0.26","15","a2598rlv","high"
"2","18","free","220","92","83","purple-93","purple","878","sampling-task","35","517029","0.0-5.0-0.27-0.27","15","a2598rlv","high"
"2","19","free","220","92","68","purple-100","purple","830","sampling-task","36","519077","0.0-5.0-0.28-0.28","15","a2598rlv","high"
"2","20","free","220","92","100","purple-32","purple","814","sampling-task","37","521789","0.0-5.0-0.29-0.29","15","a2598rlv","high"
"3","1","fixed","5","14","28","red-105","red","12860","sampling-task","40","569845","0.0-5.0-0.30-0.30","15","a2598rlv","high"
"3","2","fixed","5","14","8","red-3","red","2061","sampling-task","41","573309","0.0-5.0-0.31-0.31","15","a2598rlv","high"
"3","3","fixed","5","14","-25","red-151","red","2294","sampling-task","42","577757","0.0-5.0-0.32-0.32","15","a2598rlv","high"
"3","4","fixed","5","14","28","red-96","red","1021","sampling-task","43","581405","0.0-5.0-0.33-0.33","15","a2598rlv","high"
"3","5","fixed","5","14","8","red-197","red","910","sampling-task","44","583781","0.0-5.0-0.34-0.34","15","a2598rlv","high"
"4","1","free","220","30","43","green-45","green","4157","sampling-task","47","635470","0.0-5.0-0.35-0.35","15","a2598rlv","high"
"4","2","free","220","30","48","green-164","green","2541","sampling-task","48","639534","0.0-5.0-0.36-0.36","15","a2598rlv","high"
"4","3","free","220","30","34","green-216","green","1054","sampling-task","49","641574","0.0-5.0-0.37-0.37","15","a2598rlv","high"
