"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","39","35","blue-120","blue","4317","sampling-task","6","293176","0.0-5.0-0.0-0.0","16","510bn3f4","high"
"1","2","fixed","10","39","39","blue-88","blue","17134","sampling-task","7","322903","0.0-5.0-0.1-0.1","16","510bn3f4","high"
"1","3","fixed","10","39","-7","blue-47","blue","4678","sampling-task","8","340557","0.0-5.0-0.2-0.2","16","510bn3f4","high"
"1","4","fixed","10","39","44","blue-204","blue","4910","sampling-task","9","349213","0.0-5.0-0.3-0.3","16","510bn3f4","high"
"1","5","fixed","10","39","50","blue-199","blue","9598","sampling-task","10","360453","0.0-5.0-0.4-0.4","16","510bn3f4","high"
"1","6","fixed","10","39","67","blue-171","blue","8142","sampling-task","11","371661","0.0-5.0-0.5-0.5","16","510bn3f4","high"
"1","7","fixed","10","39","23","blue-60","blue","10742","sampling-task","12","384037","0.0-5.0-0.6-0.6","16","510bn3f4","high"
"1","8","fixed","10","39","38","blue-130","blue","9590","sampling-task","13","395173","0.0-5.0-0.7-0.7","16","510bn3f4","high"
"1","9","fixed","10","39","38","blue-153","blue","6043","sampling-task","14","403058","0.0-5.0-0.8-0.8","16","510bn3f4","high"
"1","10","fixed","10","39","27","blue-90","blue","3358","sampling-task","15","409082","0.0-5.0-0.9-0.9","16","510bn3f4","high"
"2","1","free","220","78","49","purple-61","purple","3652","sampling-task","18","459138","0.0-5.0-0.10-0.10","16","510bn3f4","high"
"2","2","free","220","78","72","purple-120","purple","1564","sampling-task","19","463807","0.0-5.0-0.11-0.11","16","510bn3f4","high"
"2","3","free","220","78","88","purple-92","purple","854","sampling-task","20","467831","0.0-5.0-0.12-0.12","16","510bn3f4","high"
"2","4","free","220","78","63","purple-125","purple","982","sampling-task","21","470391","0.0-5.0-0.13-0.13","16","510bn3f4","high"
"2","5","free","220","78","46","purple-122","purple","726","sampling-task","22","472447","0.0-5.0-0.14-0.14","16","510bn3f4","high"
"2","6","free","220","78","54","purple-13","purple","630","sampling-task","23","474335","0.0-5.0-0.15-0.15","16","510bn3f4","high"
"2","7","free","220","78","96","purple-205","purple","550","sampling-task","24","476431","0.0-5.0-0.16-0.16","16","510bn3f4","high"
"2","8","free","220","78","76","purple-63","purple","846","sampling-task","25","478903","0.0-5.0-0.17-0.17","16","510bn3f4","high"
"2","9","free","220","78","57","purple-83","purple","606","sampling-task","26","481751","0.0-5.0-0.18-0.18","16","510bn3f4","high"
"2","10","free","220","78","92","purple-6","purple","710","sampling-task","27","484135","0.0-5.0-0.19-0.19","16","510bn3f4","high"
"2","11","free","220","78","87","purple-168","purple","751","sampling-task","28","486199","0.0-5.0-0.20-0.20","16","510bn3f4","high"
"2","12","free","220","78","71","purple-110","purple","726","sampling-task","29","489663","0.0-5.0-0.21-0.21","16","510bn3f4","high"
"2","13","free","220","78","85","purple-185","purple","510","sampling-task","30","491831","0.0-5.0-0.22-0.22","16","510bn3f4","high"
