"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","72","82","purple-195","purple","10504","sampling-task","9","429886","0.0-5.0-0.0-0.0","17","5759ujgm","low"
"1","2","fixed","5","72","63","purple-195","purple","7694","sampling-task","10","441470","0.0-5.0-0.1-0.1","17","5759ujgm","low"
"1","3","fixed","5","72","66","purple-195","purple","1046","sampling-task","11","444142","0.0-5.0-0.2-0.2","17","5759ujgm","low"
"1","4","fixed","5","72","94","purple-195","purple","871","sampling-task","12","446942","0.0-5.0-0.3-0.3","17","5759ujgm","low"
"1","5","fixed","5","72","76","purple-195","purple","814","sampling-task","13","449646","0.0-5.0-0.4-0.4","17","5759ujgm","low"
"2","1","free","220","35","21","red-150","red","1917","sampling-task","16","499964","0.0-5.0-0.5-0.5","17","5759ujgm","low"
"2","2","free","220","35","16","red-150","red","686","sampling-task","17","501884","0.0-5.0-0.6-0.6","17","5759ujgm","low"
"2","3","free","220","35","19","red-150","red","550","sampling-task","18","503500","0.0-5.0-0.7-0.7","17","5759ujgm","low"
"2","4","free","220","35","42","red-150","red","519","sampling-task","19","505124","0.0-5.0-0.8-0.8","17","5759ujgm","low"
"2","5","free","220","35","70","red-150","red","511","sampling-task","20","507084","0.0-5.0-0.9-0.9","17","5759ujgm","low"
"2","6","free","220","35","41","red-150","red","598","sampling-task","21","509004","0.0-5.0-0.10-0.10","17","5759ujgm","low"
"2","7","free","220","35","36","red-150","red","614","sampling-task","22","510772","0.0-5.0-0.11-0.11","17","5759ujgm","low"
"2","8","free","220","35","52","red-150","red","407","sampling-task","23","512060","0.0-5.0-0.12-0.12","17","5759ujgm","low"
"2","9","free","220","35","39","red-150","red","423","sampling-task","24","513468","0.0-5.0-0.13-0.13","17","5759ujgm","low"
"2","10","free","220","35","4","red-150","red","399","sampling-task","25","515412","0.0-5.0-0.14-0.14","17","5759ujgm","low"
"2","11","free","220","35","43","red-150","red","399","sampling-task","26","517084","0.0-5.0-0.15-0.15","17","5759ujgm","low"
"3","1","fixed","10","17","12","yellow-88","yellow","4204","sampling-task","29","544611","0.0-5.0-0.16-0.16","17","5759ujgm","low"
"3","2","fixed","10","17","-10","yellow-88","yellow","541","sampling-task","30","546179","0.0-5.0-0.17-0.17","17","5759ujgm","low"
"3","3","fixed","10","17","14","yellow-88","yellow","454","sampling-task","31","547603","0.0-5.0-0.18-0.18","17","5759ujgm","low"
"3","4","fixed","10","17","30","yellow-88","yellow","422","sampling-task","32","548931","0.0-5.0-0.19-0.19","17","5759ujgm","low"
"3","5","fixed","10","17","29","yellow-88","yellow","414","sampling-task","33","550235","0.0-5.0-0.20-0.20","17","5759ujgm","low"
"3","6","fixed","10","17","60","yellow-88","yellow","350","sampling-task","34","551763","0.0-5.0-0.21-0.21","17","5759ujgm","low"
"3","7","fixed","10","17","38","yellow-88","yellow","375","sampling-task","35","553443","0.0-5.0-0.22-0.22","17","5759ujgm","low"
"3","8","fixed","10","17","28","yellow-88","yellow","422","sampling-task","36","555547","0.0-5.0-0.23-0.23","17","5759ujgm","low"
"3","9","fixed","10","17","17","yellow-88","yellow","422","sampling-task","37","556931","0.0-5.0-0.24-0.24","17","5759ujgm","low"
"3","10","fixed","10","17","17","yellow-88","yellow","398","sampling-task","38","558179","0.0-5.0-0.25-0.25","17","5759ujgm","low"
"4","1","free","220","114","137","orange-203","orange","1493","sampling-task","41","577067","0.0-5.0-0.26-0.26","17","5759ujgm","low"
"4","2","free","220","114","102","orange-203","orange","469","sampling-task","42","578387","0.0-5.0-0.27-0.27","17","5759ujgm","low"
"4","3","free","220","114","114","orange-203","orange","398","sampling-task","43","579611","0.0-5.0-0.28-0.28","17","5759ujgm","low"
"4","4","free","220","114","135","orange-203","orange","358","sampling-task","44","580819","0.0-5.0-0.29-0.29","17","5759ujgm","low"
"4","5","free","220","114","129","orange-203","orange","382","sampling-task","45","582075","0.0-5.0-0.30-0.30","17","5759ujgm","low"
"4","6","free","220","114","85","orange-203","orange","374","sampling-task","46","583299","0.0-5.0-0.31-0.31","17","5759ujgm","low"
"4","7","free","220","114","114","orange-203","orange","318","sampling-task","47","584435","0.0-5.0-0.32-0.32","17","5759ujgm","low"
"4","8","free","220","114","139","orange-203","orange","286","sampling-task","48","585531","0.0-5.0-0.33-0.33","17","5759ujgm","low"
"4","9","free","220","114","138","orange-203","orange","277","sampling-task","49","586619","0.0-5.0-0.34-0.34","17","5759ujgm","low"
"4","10","free","220","114","139","orange-203","orange","302","sampling-task","50","587715","0.0-5.0-0.35-0.35","17","5759ujgm","low"
"4","11","free","220","114","132","orange-203","orange","294","sampling-task","51","588819","0.0-5.0-0.36-0.36","17","5759ujgm","low"
"4","12","free","220","114","116","orange-203","orange","326","sampling-task","52","589987","0.0-5.0-0.37-0.37","17","5759ujgm","low"
"4","13","free","220","114","130","orange-203","orange","286","sampling-task","53","591107","0.0-5.0-0.38-0.38","17","5759ujgm","low"
"4","14","free","220","114","110","orange-203","orange","302","sampling-task","54","592547","0.0-5.0-0.39-0.39","17","5759ujgm","low"
"5","1","fixed","20","90","56","blue-40","blue","781","sampling-task","57","615977","0.0-5.0-0.40-0.40","17","5759ujgm","low"
"5","2","fixed","20","90","117","blue-40","blue","558","sampling-task","58","617522","0.0-5.0-0.41-0.41","17","5759ujgm","low"
"5","3","fixed","20","90","98","blue-40","blue","413","sampling-task","59","618769","0.0-5.0-0.42-0.42","17","5759ujgm","low"
"5","4","fixed","20","90","58","blue-40","blue","366","sampling-task","60","619929","0.0-5.0-0.43-0.43","17","5759ujgm","low"
"5","5","fixed","20","90","99","blue-40","blue","350","sampling-task","61","621073","0.0-5.0-0.44-0.44","17","5759ujgm","low"
"5","6","fixed","20","90","118","blue-40","blue","318","sampling-task","62","622177","0.0-5.0-0.45-0.45","17","5759ujgm","low"
"5","7","fixed","20","90","111","blue-40","blue","214","sampling-task","63","623225","0.0-5.0-0.46-0.46","17","5759ujgm","low"
"5","8","fixed","20","90","100","blue-40","blue","342","sampling-task","64","624361","0.0-5.0-0.47-0.47","17","5759ujgm","low"
"5","9","fixed","20","90","97","blue-40","blue","310","sampling-task","65","626281","0.0-5.0-0.48-0.48","17","5759ujgm","low"
"5","10","fixed","20","90","119","blue-40","blue","765","sampling-task","66","628113","0.0-5.0-0.49-0.49","17","5759ujgm","low"
"5","11","fixed","20","90","78","blue-40","blue","439","sampling-task","67","629377","0.0-5.0-0.50-0.50","17","5759ujgm","low"
"5","12","fixed","20","90","93","blue-40","blue","406","sampling-task","68","630609","0.0-5.0-0.51-0.51","17","5759ujgm","low"
"5","13","fixed","20","90","80","blue-40","blue","438","sampling-task","69","631881","0.0-5.0-0.52-0.52","17","5759ujgm","low"
"5","14","fixed","20","90","89","blue-40","blue","454","sampling-task","70","634057","0.0-5.0-0.53-0.53","17","5759ujgm","low"
