"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","98","84","yellow-134","yellow","4854","sampling-task","9","358268","0.0-5.0-0.0-0.0","18","wrpowct4","low"
"1","2","fixed","10","98","97","yellow-134","yellow","2286","sampling-task","10","364068","0.0-5.0-0.1-0.1","18","wrpowct4","low"
"1","3","fixed","10","98","96","yellow-134","yellow","4357","sampling-task","11","370324","0.0-5.0-0.2-0.2","18","wrpowct4","low"
"1","4","fixed","10","98","90","yellow-134","yellow","781","sampling-task","12","372508","0.0-5.0-0.3-0.3","18","wrpowct4","low"
"1","5","fixed","10","98","87","yellow-134","yellow","1206","sampling-task","13","375548","0.0-5.0-0.4-0.4","18","wrpowct4","low"
"1","6","fixed","10","98","72","yellow-134","yellow","1630","sampling-task","14","378676","0.0-5.0-0.5-0.5","18","wrpowct4","low"
"1","7","fixed","10","98","96","yellow-134","yellow","782","sampling-task","15","380884","0.0-5.0-0.6-0.6","18","wrpowct4","low"
"1","8","fixed","10","98","98","yellow-134","yellow","678","sampling-task","16","382924","0.0-5.0-0.7-0.7","18","wrpowct4","low"
"1","9","fixed","10","98","108","yellow-134","yellow","694","sampling-task","17","385084","0.0-5.0-0.8-0.8","18","wrpowct4","low"
"1","10","fixed","10","98","116","yellow-134","yellow","1150","sampling-task","18","387642","0.0-5.0-0.9-0.9","18","wrpowct4","low"
"2","1","free","220","70","59","purple-23","purple","3212","sampling-task","21","458425","0.0-5.0-0.10-0.10","18","wrpowct4","low"
"2","2","free","220","70","100","purple-23","purple","662","sampling-task","22","461041","0.0-5.0-0.11-0.11","18","wrpowct4","low"
"2","3","free","220","70","61","purple-23","purple","686","sampling-task","23","463321","0.0-5.0-0.12-0.12","18","wrpowct4","low"
"2","4","free","220","70","47","purple-23","purple","469","sampling-task","24","465025","0.0-5.0-0.13-0.13","18","wrpowct4","low"
"2","5","free","220","70","70","purple-23","purple","502","sampling-task","25","466569","0.0-5.0-0.14-0.14","18","wrpowct4","low"
"2","6","free","220","70","44","purple-23","purple","478","sampling-task","26","468257","0.0-5.0-0.15-0.15","18","wrpowct4","low"
"2","7","free","220","70","37","purple-23","purple","462","sampling-task","27","469793","0.0-5.0-0.16-0.16","18","wrpowct4","low"
"2","8","free","220","70","45","purple-23","purple","470","sampling-task","28","471713","0.0-5.0-0.17-0.17","18","wrpowct4","low"
"2","9","free","220","70","81","purple-23","purple","405","sampling-task","29","473049","0.0-5.0-0.18-0.18","18","wrpowct4","low"
"2","10","free","220","70","56","purple-23","purple","414","sampling-task","30","474545","0.0-5.0-0.19-0.19","18","wrpowct4","low"
"2","11","free","220","70","75","purple-23","purple","414","sampling-task","31","475849","0.0-5.0-0.20-0.20","18","wrpowct4","low"
"2","12","free","220","70","96","purple-23","purple","454","sampling-task","32","477465","0.0-5.0-0.21-0.21","18","wrpowct4","low"
"2","13","free","220","70","84","purple-23","purple","382","sampling-task","33","479353","0.0-5.0-0.22-0.22","18","wrpowct4","low"
"3","1","fixed","5","11","-11","orange-192","orange","1900","sampling-task","36","507447","0.0-5.0-0.23-0.23","18","wrpowct4","low"
"3","2","fixed","5","11","37","orange-192","orange","495","sampling-task","37","509519","0.0-5.0-0.24-0.24","18","wrpowct4","low"
"3","3","fixed","5","11","18","orange-192","orange","558","sampling-task","38","511415","0.0-5.0-0.25-0.25","18","wrpowct4","low"
"3","4","fixed","5","11","33","orange-192","orange","534","sampling-task","39","513311","0.0-5.0-0.26-0.26","18","wrpowct4","low"
"3","5","fixed","5","11","-9","orange-192","orange","774","sampling-task","40","515167","0.0-5.0-0.27-0.27","18","wrpowct4","low"
"4","1","free","220","58","81","blue-68","blue","1700","sampling-task","43","556543","0.0-5.0-0.28-0.28","18","wrpowct4","low"
"4","2","free","220","58","60","blue-68","blue","526","sampling-task","44","558143","0.0-5.0-0.29-0.29","18","wrpowct4","low"
"4","3","free","220","58","106","blue-68","blue","406","sampling-task","45","559511","0.0-5.0-0.30-0.30","18","wrpowct4","low"
"4","4","free","220","58","62","blue-68","blue","414","sampling-task","46","560847","0.0-5.0-0.31-0.31","18","wrpowct4","low"
"4","5","free","220","58","93","blue-68","blue","389","sampling-task","47","562439","0.0-5.0-0.32-0.32","18","wrpowct4","low"
"4","6","free","220","58","68","blue-68","blue","486","sampling-task","48","563823","0.0-5.0-0.33-0.33","18","wrpowct4","low"
"4","7","free","220","58","60","blue-68","blue","469","sampling-task","49","565591","0.0-5.0-0.34-0.34","18","wrpowct4","low"
"4","8","free","220","58","88","blue-68","blue","414","sampling-task","50","567165","0.0-5.0-0.35-0.35","18","wrpowct4","low"
"4","9","free","220","58","60","blue-68","blue","422","sampling-task","51","568805","0.0-5.0-0.36-0.36","18","wrpowct4","low"
"4","10","free","220","58","10","blue-68","blue","454","sampling-task","52","570525","0.0-5.0-0.37-0.37","18","wrpowct4","low"
"4","11","free","220","58","42","blue-68","blue","469","sampling-task","53","571941","0.0-5.0-0.38-0.38","18","wrpowct4","low"
"4","12","free","220","58","80","blue-68","blue","502","sampling-task","54","573501","0.0-5.0-0.39-0.39","18","wrpowct4","low"
"4","13","free","220","58","10","blue-68","blue","413","sampling-task","55","575237","0.0-5.0-0.40-0.40","18","wrpowct4","low"
"4","14","free","220","58","89","blue-68","blue","493","sampling-task","56","577885","0.0-5.0-0.41-0.41","18","wrpowct4","low"
"4","15","free","220","58","56","blue-68","blue","382","sampling-task","57","580077","0.0-5.0-0.42-0.42","18","wrpowct4","low"
"5","1","fixed","20","119","131","red-26","red","1556","sampling-task","60","604573","0.0-5.0-0.43-0.43","18","wrpowct4","low"
"5","2","fixed","20","119","122","red-26","red","511","sampling-task","61","606253","0.0-5.0-0.44-0.44","18","wrpowct4","low"
"5","3","fixed","20","119","99","red-26","red","326","sampling-task","62","607373","0.0-5.0-0.45-0.45","18","wrpowct4","low"
"5","4","fixed","20","119","128","red-26","red","254","sampling-task","63","608438","0.0-5.0-0.46-0.46","18","wrpowct4","low"
"5","5","fixed","20","119","107","red-26","red","286","sampling-task","64","609565","0.0-5.0-0.47-0.47","18","wrpowct4","low"
"5","6","fixed","20","119","122","red-26","red","406","sampling-task","65","610798","0.0-5.0-0.48-0.48","18","wrpowct4","low"
"5","7","fixed","20","119","122","red-26","red","381","sampling-task","66","611997","0.0-5.0-0.49-0.49","18","wrpowct4","low"
"5","8","fixed","20","119","105","red-26","red","389","sampling-task","67","613221","0.0-5.0-0.50-0.50","18","wrpowct4","low"
"5","9","fixed","20","119","127","red-26","red","581","sampling-task","68","614901","0.0-5.0-0.51-0.51","18","wrpowct4","low"
"5","10","fixed","20","119","90","red-26","red","437","sampling-task","69","616837","0.0-5.0-0.52-0.52","18","wrpowct4","low"
"5","11","fixed","20","119","123","red-26","red","661","sampling-task","70","618317","0.0-5.0-0.53-0.53","18","wrpowct4","low"
"5","12","fixed","20","119","135","red-26","red","406","sampling-task","71","619989","0.0-5.0-0.54-0.54","18","wrpowct4","low"
"5","13","fixed","20","119","83","red-26","red","797","sampling-task","72","621645","0.0-5.0-0.55-0.55","18","wrpowct4","low"
"5","14","fixed","20","119","112","red-26","red","415","sampling-task","73","622933","0.0-5.0-0.56-0.56","18","wrpowct4","low"
"5","15","fixed","20","119","124","red-26","red","414","sampling-task","74","624597","0.0-5.0-0.57-0.57","18","wrpowct4","low"
"5","16","fixed","20","119","105","red-26","red","437","sampling-task","75","626389","0.0-5.0-0.58-0.58","18","wrpowct4","low"
"5","17","fixed","20","119","139","red-26","red","517","sampling-task","76","627851","0.0-5.0-0.59-0.59","18","wrpowct4","low"
"5","18","fixed","20","119","123","red-26","red","422","sampling-task","77","629419","0.0-5.0-0.60-0.60","18","wrpowct4","low"
"5","19","fixed","20","119","126","red-26","red","398","sampling-task","78","630643","0.0-5.0-0.61-0.61","18","wrpowct4","low"
"5","20","fixed","20","119","148","red-26","red","478","sampling-task","79","632395","0.0-5.0-0.62-0.62","18","wrpowct4","low"
"6","1","free","220","33","37","green-210","green","1821","sampling-task","82","667219","0.0-5.0-0.63-0.63","18","wrpowct4","low"
"6","2","free","220","33","3","green-210","green","366","sampling-task","83","668563","0.0-5.0-0.64-0.64","18","wrpowct4","low"
"6","3","free","220","33","22","green-210","green","382","sampling-task","84","669827","0.0-5.0-0.65-0.65","18","wrpowct4","low"
"6","4","free","220","33","16","green-210","green","414","sampling-task","85","671291","0.0-5.0-0.66-0.66","18","wrpowct4","low"
"6","5","free","220","33","59","green-210","green","406","sampling-task","86","672572","0.0-5.0-0.67-0.67","18","wrpowct4","low"
"6","6","free","220","33","28","green-210","green","398","sampling-task","87","673827","0.0-5.0-0.68-0.68","18","wrpowct4","low"
"6","7","free","220","33","12","green-210","green","414","sampling-task","88","675236","0.0-5.0-0.69-0.69","18","wrpowct4","low"
"6","8","free","220","33","43","green-210","green","446","sampling-task","89","678788","0.0-5.0-0.70-0.70","18","wrpowct4","low"
"6","9","free","220","33","58","green-210","green","421","sampling-task","90","680059","0.0-5.0-0.71-0.71","18","wrpowct4","low"
"6","10","free","220","33","25","green-210","green","406","sampling-task","91","681507","0.0-5.0-0.72-0.72","18","wrpowct4","low"
"6","11","free","220","33","76","green-210","green","399","sampling-task","92","682739","0.0-5.0-0.73-0.73","18","wrpowct4","low"
"6","12","free","220","33","52","green-210","green","390","sampling-task","93","684523","0.0-5.0-0.74-0.74","18","wrpowct4","low"
"6","13","free","220","33","18","green-210","green","478","sampling-task","94","686099","0.0-5.0-0.75-0.75","18","wrpowct4","low"
"6","14","free","220","33","24","green-210","green","430","sampling-task","95","687537","0.0-5.0-0.76-0.76","18","wrpowct4","low"
"6","15","free","220","33","40","green-210","green","942","sampling-task","96","689369","0.0-5.0-0.77-0.77","18","wrpowct4","low"
"6","16","free","220","33","33","green-210","green","437","sampling-task","97","690857","0.0-5.0-0.78-0.78","18","wrpowct4","low"
