"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","17","11","purple-61","purple","5251","sampling-task","6","291483","0.0-5.0-0.0-0.0","19","6tbzvzg5","low"
"1","2","fixed","10","17","22","purple-61","purple","1821","sampling-task","7","295579","0.0-5.0-0.1-0.1","19","6tbzvzg5","low"
"1","3","fixed","10","17","21","purple-61","purple","1102","sampling-task","8","299091","0.0-5.0-0.2-0.2","19","6tbzvzg5","low"
"1","4","fixed","10","17","27","purple-61","purple","1894","sampling-task","9","303379","0.0-5.0-0.3-0.3","19","6tbzvzg5","low"
"1","5","fixed","10","17","-4","purple-61","purple","2390","sampling-task","10","307491","0.0-5.0-0.4-0.4","19","6tbzvzg5","low"
"1","6","fixed","10","17","-10","purple-61","purple","1462","sampling-task","11","310739","0.0-5.0-0.5-0.5","19","6tbzvzg5","low"
"1","7","fixed","10","17","38","purple-61","purple","1902","sampling-task","12","316083","0.0-5.0-0.6-0.6","19","6tbzvzg5","low"
"1","8","fixed","10","17","12","purple-61","purple","1582","sampling-task","13","319203","0.0-5.0-0.7-0.7","19","6tbzvzg5","low"
"1","9","fixed","10","17","44","purple-61","purple","1622","sampling-task","14","323051","0.0-5.0-0.8-0.8","19","6tbzvzg5","low"
"1","10","fixed","10","17","-20","purple-61","purple","1086","sampling-task","15","325890","0.0-5.0-0.9-0.9","19","6tbzvzg5","low"
"2","1","free","220","35","-2","green-184","green","3197","sampling-task","18","366914","0.0-5.0-0.10-0.10","19","6tbzvzg5","low"
"2","2","free","220","35","24","green-184","green","647","sampling-task","19","368674","0.0-5.0-0.11-0.11","19","6tbzvzg5","low"
"2","3","free","220","35","28","green-184","green","647","sampling-task","20","370514","0.0-5.0-0.12-0.12","19","6tbzvzg5","low"
"2","4","free","220","35","48","green-184","green","567","sampling-task","21","372210","0.0-5.0-0.13-0.13","19","6tbzvzg5","low"
"2","5","free","220","35","39","green-184","green","598","sampling-task","22","373986","0.0-5.0-0.14-0.14","19","6tbzvzg5","low"
"2","6","free","220","35","-5","green-184","green","543","sampling-task","23","375626","0.0-5.0-0.15-0.15","19","6tbzvzg5","low"
"2","7","free","220","35","50","green-184","green","503","sampling-task","24","377234","0.0-5.0-0.16-0.16","19","6tbzvzg5","low"
"2","8","free","220","35","18","green-184","green","510","sampling-task","25","378890","0.0-5.0-0.17-0.17","19","6tbzvzg5","low"
"2","9","free","220","35","20","green-184","green","670","sampling-task","26","380562","0.0-5.0-0.18-0.18","19","6tbzvzg5","low"
"2","10","free","220","35","25","green-184","green","519","sampling-task","27","382002","0.0-5.0-0.19-0.19","19","6tbzvzg5","low"
"2","11","free","220","35","33","green-184","green","638","sampling-task","28","384322","0.0-5.0-0.20-0.20","19","6tbzvzg5","low"
"2","12","free","220","35","30","green-184","green","726","sampling-task","29","386026","0.0-5.0-0.21-0.21","19","6tbzvzg5","low"
"2","13","free","220","35","13","green-184","green","486","sampling-task","30","387490","0.0-5.0-0.22-0.22","19","6tbzvzg5","low"
"2","14","free","220","35","45","green-184","green","462","sampling-task","31","389098","0.0-5.0-0.23-0.23","19","6tbzvzg5","low"
"2","15","free","220","35","51","green-184","green","518","sampling-task","32","390570","0.0-5.0-0.24-0.24","19","6tbzvzg5","low"
"2","16","free","220","35","33","green-184","green","486","sampling-task","33","391962","0.0-5.0-0.25-0.25","19","6tbzvzg5","low"
"2","17","free","220","35","30","green-184","green","462","sampling-task","34","393314","0.0-5.0-0.26-0.26","19","6tbzvzg5","low"
"2","18","free","220","35","30","green-184","green","430","sampling-task","35","394674","0.0-5.0-0.27-0.27","19","6tbzvzg5","low"
"2","19","free","220","35","35","green-184","green","486","sampling-task","36","396282","0.0-5.0-0.28-0.28","19","6tbzvzg5","low"
"2","20","free","220","35","33","green-184","green","550","sampling-task","37","397866","0.0-5.0-0.29-0.29","19","6tbzvzg5","low"
"2","21","free","220","35","64","green-184","green","534","sampling-task","38","399330","0.0-5.0-0.30-0.30","19","6tbzvzg5","low"
"2","22","free","220","35","53","green-184","green","462","sampling-task","39","401546","0.0-5.0-0.31-0.31","19","6tbzvzg5","low"
"3","1","fixed","5","99","122","red-135","red","2732","sampling-task","42","428370","0.0-5.0-0.32-0.32","19","6tbzvzg5","low"
"3","2","fixed","5","99","102","red-135","red","550","sampling-task","43","429986","0.0-5.0-0.33-0.33","19","6tbzvzg5","low"
"3","3","fixed","5","99","90","red-135","red","646","sampling-task","44","431778","0.0-5.0-0.34-0.34","19","6tbzvzg5","low"
"3","4","fixed","5","99","91","red-135","red","678","sampling-task","45","433490","0.0-5.0-0.35-0.35","19","6tbzvzg5","low"
"3","5","fixed","5","99","93","red-135","red","750","sampling-task","46","435506","0.0-5.0-0.36-0.36","19","6tbzvzg5","low"
"4","1","free","220","51","54","blue-160","blue","2179","sampling-task","49","462241","0.0-5.0-0.37-0.37","19","6tbzvzg5","low"
"4","2","free","220","51","38","blue-160","blue","598","sampling-task","50","463849","0.0-5.0-0.38-0.38","19","6tbzvzg5","low"
"4","3","free","220","51","61","blue-160","blue","542","sampling-task","51","465321","0.0-5.0-0.39-0.39","19","6tbzvzg5","low"
"4","4","free","220","51","12","blue-160","blue","534","sampling-task","52","467321","0.0-5.0-0.40-0.40","19","6tbzvzg5","low"
"4","5","free","220","51","38","blue-160","blue","702","sampling-task","53","469473","0.0-5.0-0.41-0.41","19","6tbzvzg5","low"
"4","6","free","220","51","57","blue-160","blue","1086","sampling-task","54","471617","0.0-5.0-0.42-0.42","19","6tbzvzg5","low"
"4","7","free","220","51","60","blue-160","blue","518","sampling-task","55","473097","0.0-5.0-0.43-0.43","19","6tbzvzg5","low"
"4","8","free","220","51","42","blue-160","blue","478","sampling-task","56","474561","0.0-5.0-0.44-0.44","19","6tbzvzg5","low"
"4","9","free","220","51","58","blue-160","blue","510","sampling-task","57","476137","0.0-5.0-0.45-0.45","19","6tbzvzg5","low"
"4","10","free","220","51","24","blue-160","blue","478","sampling-task","58","477545","0.0-5.0-0.46-0.46","19","6tbzvzg5","low"
"4","11","free","220","51","48","blue-160","blue","446","sampling-task","59","478897","0.0-5.0-0.47-0.47","19","6tbzvzg5","low"
"4","12","free","220","51","55","blue-160","blue","462","sampling-task","60","480377","0.0-5.0-0.48-0.48","19","6tbzvzg5","low"
"4","13","free","220","51","77","blue-160","blue","469","sampling-task","61","481769","0.0-5.0-0.49-0.49","19","6tbzvzg5","low"
"4","14","free","220","51","70","blue-160","blue","462","sampling-task","62","483345","0.0-5.0-0.50-0.50","19","6tbzvzg5","low"
"4","15","free","220","51","53","blue-160","blue","446","sampling-task","63","484857","0.0-5.0-0.51-0.51","19","6tbzvzg5","low"
"4","16","free","220","51","46","blue-160","blue","462","sampling-task","64","486249","0.0-5.0-0.52-0.52","19","6tbzvzg5","low"
"4","17","free","220","51","54","blue-160","blue","358","sampling-task","65","488481","0.0-5.0-0.53-0.53","19","6tbzvzg5","low"
"5","1","fixed","20","73","73","orange-185","orange","1636","sampling-task","68","510953","0.0-5.0-0.54-0.54","19","6tbzvzg5","low"
