"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","59","64","red-163","red","15797","sampling-task","6","322418","0.0-5.0-0.0-0.0","2","s18z8yvq","low"
"1","2","fixed","20","59","85","red-163","red","3638","sampling-task","7","328809","0.0-5.0-0.1-0.1","2","s18z8yvq","low"
"1","3","fixed","20","59","48","red-163","red","2407","sampling-task","8","334057","0.0-5.0-0.2-0.2","2","s18z8yvq","low"
"1","4","fixed","20","59","51","red-163","red","4749","sampling-task","9","340769","0.0-5.0-0.3-0.3","2","s18z8yvq","low"
"1","5","fixed","20","59","103","red-163","red","1550","sampling-task","10","344097","0.0-5.0-0.4-0.4","2","s18z8yvq","low"
"1","6","fixed","20","59","70","red-163","red","1037","sampling-task","11","348161","0.0-5.0-0.5-0.5","2","s18z8yvq","low"
"1","7","fixed","20","59","64","red-163","red","1206","sampling-task","12","351593","0.0-5.0-0.6-0.6","2","s18z8yvq","low"
"1","8","fixed","20","59","54","red-163","red","1653","sampling-task","13","355177","0.0-5.0-0.7-0.7","2","s18z8yvq","low"
"1","9","fixed","20","59","46","red-163","red","1382","sampling-task","14","358137","0.0-5.0-0.8-0.8","2","s18z8yvq","low"
"1","10","fixed","20","59","97","red-163","red","1094","sampling-task","15","361025","0.0-5.0-0.9-0.9","2","s18z8yvq","low"
"1","11","fixed","20","59","43","red-163","red","1197","sampling-task","16","363786","0.0-5.0-0.10-0.10","2","s18z8yvq","low"
"1","12","fixed","20","59","31","red-163","red","885","sampling-task","17","366129","0.0-5.0-0.11-0.11","2","s18z8yvq","low"
"1","13","fixed","20","59","30","red-163","red","1085","sampling-task","18","368722","0.0-5.0-0.12-0.12","2","s18z8yvq","low"
"1","14","fixed","20","59","56","red-163","red","861","sampling-task","19","371065","0.0-5.0-0.13-0.13","2","s18z8yvq","low"
"1","15","fixed","20","59","64","red-163","red","718","sampling-task","20","373377","0.0-5.0-0.14-0.14","2","s18z8yvq","low"
"1","16","fixed","20","59","50","red-163","red","807","sampling-task","21","376017","0.0-5.0-0.15-0.15","2","s18z8yvq","low"
"1","17","fixed","20","59","49","red-163","red","719","sampling-task","22","378184","0.0-5.0-0.16-0.16","2","s18z8yvq","low"
"1","18","fixed","20","59","86","red-163","red","997","sampling-task","23","380568","0.0-5.0-0.17-0.17","2","s18z8yvq","low"
"1","19","fixed","20","59","88","red-163","red","701","sampling-task","24","382760","0.0-5.0-0.18-0.18","2","s18z8yvq","low"
"1","20","fixed","20","59","66","red-163","red","1278","sampling-task","25","385168","0.0-5.0-0.19-0.19","2","s18z8yvq","low"
"2","1","free","220","114","144","yellow-216","yellow","5596","sampling-task","28","495790","0.0-5.0-0.20-0.20","2","s18z8yvq","low"
"2","2","free","220","114","93","yellow-216","yellow","1118","sampling-task","29","498566","0.0-5.0-0.21-0.21","2","s18z8yvq","low"
"2","3","free","220","114","97","yellow-216","yellow","846","sampling-task","30","503022","0.0-5.0-0.22-0.22","2","s18z8yvq","low"
"2","4","free","220","114","111","yellow-216","yellow","1062","sampling-task","31","506006","0.0-5.0-0.23-0.23","2","s18z8yvq","low"
"2","5","free","220","114","113","yellow-216","yellow","1334","sampling-task","32","508502","0.0-5.0-0.24-0.24","2","s18z8yvq","low"
"2","6","free","220","114","116","yellow-216","yellow","734","sampling-task","33","510454","0.0-5.0-0.25-0.25","2","s18z8yvq","low"
