"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","73","92","purple-26","purple","7205","sampling-task","9","493526","0.0-5.0-0.0-0.0","20","ml42o8og","low"
"1","2","fixed","20","73","57","purple-26","purple","3142","sampling-task","10","498597","0.0-5.0-0.1-0.1","20","ml42o8og","low"
"1","3","fixed","20","73","62","purple-26","purple","1135","sampling-task","11","501629","0.0-5.0-0.2-0.2","20","ml42o8og","low"
"1","4","fixed","20","73","88","purple-26","purple","1015","sampling-task","12","505293","0.0-5.0-0.3-0.3","20","ml42o8og","low"
"1","5","fixed","20","73","56","purple-26","purple","935","sampling-task","13","517389","0.0-5.0-0.4-0.4","20","ml42o8og","low"
"1","6","fixed","20","73","57","purple-26","purple","1014","sampling-task","14","519837","0.0-5.0-0.5-0.5","20","ml42o8og","low"
"1","7","fixed","20","73","31","purple-26","purple","966","sampling-task","15","522061","0.0-5.0-0.6-0.6","20","ml42o8og","low"
"1","8","fixed","20","73","78","purple-26","purple","734","sampling-task","16","524365","0.0-5.0-0.7-0.7","20","ml42o8og","low"
"1","9","fixed","20","73","44","purple-26","purple","934","sampling-task","17","526773","0.0-5.0-0.8-0.8","20","ml42o8og","low"
"1","10","fixed","20","73","81","purple-26","purple","583","sampling-task","18","528877","0.0-5.0-0.9-0.9","20","ml42o8og","low"
"1","11","fixed","20","73","77","purple-26","purple","631","sampling-task","19","530949","0.0-5.0-0.10-0.10","20","ml42o8og","low"
"1","12","fixed","20","73","66","purple-26","purple","999","sampling-task","20","535437","0.0-5.0-0.11-0.11","20","ml42o8og","low"
"1","13","fixed","20","73","62","purple-26","purple","615","sampling-task","21","537893","0.0-5.0-0.12-0.12","20","ml42o8og","low"
"1","14","fixed","20","73","59","purple-26","purple","678","sampling-task","22","539909","0.0-5.0-0.13-0.13","20","ml42o8og","low"
"1","15","fixed","20","73","36","purple-26","purple","646","sampling-task","23","542229","0.0-5.0-0.14-0.14","20","ml42o8og","low"
"1","16","fixed","20","73","95","purple-26","purple","966","sampling-task","24","545421","0.0-5.0-0.15-0.15","20","ml42o8og","low"
"1","17","fixed","20","73","56","purple-26","purple","670","sampling-task","25","549189","0.0-5.0-0.16-0.16","20","ml42o8og","low"
"1","18","fixed","20","73","65","purple-26","purple","686","sampling-task","26","551605","0.0-5.0-0.17-0.17","20","ml42o8og","low"
"1","19","fixed","20","73","98","purple-26","purple","534","sampling-task","27","554005","0.0-5.0-0.18-0.18","20","ml42o8og","low"
"1","20","fixed","20","73","102","purple-26","purple","646","sampling-task","28","557286","0.0-5.0-0.19-0.19","20","ml42o8og","low"
"2","1","free","220","93","135","red-201","red","4332","sampling-task","31","650619","0.0-5.0-0.20-0.20","20","ml42o8og","low"
"2","2","free","220","93","135","red-201","red","638","sampling-task","32","652363","0.0-5.0-0.21-0.21","20","ml42o8og","low"
"2","3","free","220","93","73","red-201","red","551","sampling-task","33","654155","0.0-5.0-0.22-0.22","20","ml42o8og","low"
"2","4","free","220","93","90","red-201","red","581","sampling-task","34","655931","0.0-5.0-0.23-0.23","20","ml42o8og","low"
"2","5","free","220","93","122","red-201","red","583","sampling-task","35","657875","0.0-5.0-0.24-0.24","20","ml42o8og","low"
"2","6","free","220","93","115","red-201","red","567","sampling-task","36","659579","0.0-5.0-0.25-0.25","20","ml42o8og","low"
"2","7","free","220","93","109","red-201","red","558","sampling-task","37","661363","0.0-5.0-0.26-0.26","20","ml42o8og","low"
"2","8","free","220","93","75","red-201","red","478","sampling-task","38","662827","0.0-5.0-0.27-0.27","20","ml42o8og","low"
"2","9","free","220","93","129","red-201","red","455","sampling-task","39","664379","0.0-5.0-0.28-0.28","20","ml42o8og","low"
"2","10","free","220","93","65","red-201","red","487","sampling-task","40","666163","0.0-5.0-0.29-0.29","20","ml42o8og","low"
"2","11","free","220","93","89","red-201","red","454","sampling-task","41","667835","0.0-5.0-0.30-0.30","20","ml42o8og","low"
"2","12","free","220","93","103","red-201","red","438","sampling-task","42","669195","0.0-5.0-0.31-0.31","20","ml42o8og","low"
"2","13","free","220","93","91","red-201","red","430","sampling-task","43","670531","0.0-5.0-0.32-0.32","20","ml42o8og","low"
"2","14","free","220","93","112","red-201","red","367","sampling-task","44","672044","0.0-5.0-0.33-0.33","20","ml42o8og","low"
"2","15","free","220","93","105","red-201","red","814","sampling-task","45","674075","0.0-5.0-0.34-0.34","20","ml42o8og","low"
"2","16","free","220","93","94","red-201","red","446","sampling-task","46","675587","0.0-5.0-0.35-0.35","20","ml42o8og","low"
"2","17","free","220","93","136","red-201","red","463","sampling-task","47","677259","0.0-5.0-0.36-0.36","20","ml42o8og","low"
"2","18","free","220","93","86","red-201","red","493","sampling-task","48","678699","0.0-5.0-0.37-0.37","20","ml42o8og","low"
"2","19","free","220","93","102","red-201","red","414","sampling-task","49","680067","0.0-5.0-0.38-0.38","20","ml42o8og","low"
"2","20","free","220","93","75","red-201","red","511","sampling-task","50","681531","0.0-5.0-0.39-0.39","20","ml42o8og","low"
"2","21","free","220","93","136","red-201","red","470","sampling-task","51","682883","0.0-5.0-0.40-0.40","20","ml42o8og","low"
"2","22","free","220","93","77","red-201","red","495","sampling-task","52","684251","0.0-5.0-0.41-0.41","20","ml42o8og","low"
"2","23","free","220","93","102","red-201","red","423","sampling-task","53","685523","0.0-5.0-0.42-0.42","20","ml42o8og","low"
"2","24","free","220","93","78","red-201","red","463","sampling-task","54","686859","0.0-5.0-0.43-0.43","20","ml42o8og","low"
"2","25","free","220","93","93","red-201","red","383","sampling-task","55","688139","0.0-5.0-0.44-0.44","20","ml42o8og","low"
"2","26","free","220","93","55","red-201","red","406","sampling-task","56","689451","0.0-5.0-0.45-0.45","20","ml42o8og","low"
"2","27","free","220","93","87","red-201","red","382","sampling-task","57","690668","0.0-5.0-0.46-0.46","20","ml42o8og","low"
"2","28","free","220","93","119","red-201","red","406","sampling-task","58","692523","0.0-5.0-0.47-0.47","20","ml42o8og","low"
"2","29","free","220","93","80","red-201","red","430","sampling-task","59","693819","0.0-5.0-0.48-0.48","20","ml42o8og","low"
"2","30","free","220","93","126","red-201","red","446","sampling-task","60","695723","0.0-5.0-0.49-0.49","20","ml42o8og","low"
"3","1","fixed","5","17","15","orange-89","orange","3085","sampling-task","63","743835","0.0-5.0-0.50-0.50","20","ml42o8og","low"
"3","2","fixed","5","17","-5","orange-89","orange","542","sampling-task","64","745507","0.0-5.0-0.51-0.51","20","ml42o8og","low"
"3","3","fixed","5","17","2","orange-89","orange","519","sampling-task","65","747138","0.0-5.0-0.52-0.52","20","ml42o8og","low"
"3","4","fixed","5","17","25","orange-89","orange","854","sampling-task","66","749186","0.0-5.0-0.53-0.53","20","ml42o8og","low"
"3","5","fixed","5","17","-1","orange-89","orange","878","sampling-task","67","751114","0.0-5.0-0.54-0.54","20","ml42o8og","low"
"4","1","free","220","30","27","blue-214","blue","2964","sampling-task","70","783210","0.0-5.0-0.55-0.55","20","ml42o8og","low"
"4","2","free","220","30","0","blue-214","blue","461","sampling-task","71","785010","0.0-5.0-0.56-0.56","20","ml42o8og","low"
"4","3","free","220","30","16","blue-214","blue","518","sampling-task","72","786522","0.0-5.0-0.57-0.57","20","ml42o8og","low"
"4","4","free","220","30","-3","blue-214","blue","431","sampling-task","73","787810","0.0-5.0-0.58-0.58","20","ml42o8og","low"
"4","5","free","220","30","68","blue-214","blue","454","sampling-task","74","789387","0.0-5.0-0.59-0.59","20","ml42o8og","low"
"4","6","free","220","30","54","blue-214","blue","374","sampling-task","75","790610","0.0-5.0-0.60-0.60","20","ml42o8og","low"
"4","7","free","220","30","22","blue-214","blue","367","sampling-task","76","791874","0.0-5.0-0.61-0.61","20","ml42o8og","low"
"4","8","free","220","30","32","blue-214","blue","351","sampling-task","77","793082","0.0-5.0-0.62-0.62","20","ml42o8og","low"
"4","9","free","220","30","20","blue-214","blue","359","sampling-task","78","794322","0.0-5.0-0.63-0.63","20","ml42o8og","low"
"4","10","free","220","30","36","blue-214","blue","407","sampling-task","79","795594","0.0-5.0-0.64-0.64","20","ml42o8og","low"
"4","11","free","220","30","13","blue-214","blue","382","sampling-task","80","796818","0.0-5.0-0.65-0.65","20","ml42o8og","low"
"4","12","free","220","30","61","blue-214","blue","438","sampling-task","81","805482","0.0-5.0-0.66-0.66","20","ml42o8og","low"
"4","13","free","220","30","35","blue-214","blue","350","sampling-task","82","806674","0.0-5.0-0.67-0.67","20","ml42o8og","low"
"4","14","free","220","30","55","blue-214","blue","414","sampling-task","83","807937","0.0-5.0-0.68-0.68","20","ml42o8og","low"
"4","15","free","220","30","46","blue-214","blue","326","sampling-task","84","809089","0.0-5.0-0.69-0.69","20","ml42o8og","low"
"4","16","free","220","30","34","blue-214","blue","350","sampling-task","85","810273","0.0-5.0-0.70-0.70","20","ml42o8og","low"
"4","17","free","220","30","20","blue-214","blue","318","sampling-task","86","811946","0.0-5.0-0.71-0.71","20","ml42o8og","low"
"4","18","free","220","30","-12","blue-214","blue","438","sampling-task","87","813241","0.0-5.0-0.72-0.72","20","ml42o8og","low"
"4","19","free","220","30","49","blue-214","blue","366","sampling-task","88","814617","0.0-5.0-0.73-0.73","20","ml42o8og","low"
"4","20","free","220","30","18","blue-214","blue","374","sampling-task","89","816417","0.0-5.0-0.74-0.74","20","ml42o8og","low"
"4","21","free","220","30","-10","blue-214","blue","366","sampling-task","90","819057","0.0-5.0-0.75-0.75","20","ml42o8og","low"
"4","22","free","220","30","8","blue-214","blue","341","sampling-task","91","820482","0.0-5.0-0.76-0.76","20","ml42o8og","low"
"5","1","fixed","10","59","31","green-96","green","3733","sampling-task","94","840049","0.0-5.0-0.77-0.77","20","ml42o8og","low"
"5","2","fixed","10","59","76","green-96","green","486","sampling-task","95","841433","0.0-5.0-0.78-0.78","20","ml42o8og","low"
"5","3","fixed","10","59","49","green-96","green","462","sampling-task","96","842817","0.0-5.0-0.79-0.79","20","ml42o8og","low"
"5","4","fixed","10","59","42","green-96","green","510","sampling-task","97","844273","0.0-5.0-0.80-0.80","20","ml42o8og","low"
"5","5","fixed","10","59","55","green-96","green","430","sampling-task","98","845553","0.0-5.0-0.81-0.81","20","ml42o8og","low"
"5","6","fixed","10","59","31","green-96","green","398","sampling-task","99","847225","0.0-5.0-0.82-0.82","20","ml42o8og","low"
"5","7","fixed","10","59","77","green-96","green","406","sampling-task","100","849153","0.0-5.0-0.83-0.83","20","ml42o8og","low"
"5","8","fixed","10","59","22","green-96","green","446","sampling-task","101","850841","0.0-5.0-0.84-0.84","20","ml42o8og","low"
"5","9","fixed","10","59","63","green-96","green","510","sampling-task","102","852489","0.0-5.0-0.85-0.85","20","ml42o8og","low"
"5","10","fixed","10","59","51","green-96","green","718","sampling-task","103","854385","0.0-5.0-0.86-0.86","20","ml42o8og","low"
"6","1","free","220","114","135","yellow-209","yellow","3005","sampling-task","106","889282","0.0-5.0-0.87-0.87","20","ml42o8og","low"
"6","2","free","220","114","140","yellow-209","yellow","630","sampling-task","107","890954","0.0-5.0-0.88-0.88","20","ml42o8og","low"
"6","3","free","220","114","100","yellow-209","yellow","470","sampling-task","108","892282","0.0-5.0-0.89-0.89","20","ml42o8og","low"
"6","4","free","220","114","114","yellow-209","yellow","470","sampling-task","109","893698","0.0-5.0-0.90-0.90","20","ml42o8og","low"
"6","5","free","220","114","85","yellow-209","yellow","461","sampling-task","110","895034","0.0-5.0-0.91-0.91","20","ml42o8og","low"
"6","6","free","220","114","112","yellow-209","yellow","422","sampling-task","111","896298","0.0-5.0-0.92-0.92","20","ml42o8og","low"
"6","7","free","220","114","140","yellow-209","yellow","366","sampling-task","112","897778","0.0-5.0-0.93-0.93","20","ml42o8og","low"
"6","8","free","220","114","96","yellow-209","yellow","389","sampling-task","113","899538","0.0-5.0-0.94-0.94","20","ml42o8og","low"
"6","9","free","220","114","92","yellow-209","yellow","414","sampling-task","114","901106","0.0-5.0-0.95-0.95","20","ml42o8og","low"
"6","10","free","220","114","84","yellow-209","yellow","438","sampling-task","115","902698","0.0-5.0-0.96-0.96","20","ml42o8og","low"
"6","11","free","220","114","90","yellow-209","yellow","453","sampling-task","116","904041","0.0-5.0-0.97-0.97","20","ml42o8og","low"
"6","12","free","220","114","134","yellow-209","yellow","1174","sampling-task","117","906562","0.0-5.0-0.98-0.98","20","ml42o8og","low"
"6","13","free","220","114","86","yellow-209","yellow","485","sampling-task","118","908041","0.0-5.0-0.99-0.99","20","ml42o8og","low"
"6","14","free","220","114","111","yellow-209","yellow","430","sampling-task","119","909362","0.0-5.0-0.100-0.100","20","ml42o8og","low"
"6","15","free","220","114","102","yellow-209","yellow","413","sampling-task","120","910721","0.0-5.0-0.101-0.101","20","ml42o8og","low"
"6","16","free","220","114","118","yellow-209","yellow","430","sampling-task","121","912105","0.0-5.0-0.102-0.102","20","ml42o8og","low"
"6","17","free","220","114","107","yellow-209","yellow","350","sampling-task","122","913322","0.0-5.0-0.103-0.103","20","ml42o8og","low"
"6","18","free","220","114","112","yellow-209","yellow","342","sampling-task","123","914722","0.0-5.0-0.104-0.104","20","ml42o8og","low"
"6","19","free","220","114","116","yellow-209","yellow","302","sampling-task","124","916058","0.0-5.0-0.105-0.105","20","ml42o8og","low"
"6","20","free","220","114","111","yellow-209","yellow","285","sampling-task","125","917450","0.0-5.0-0.106-0.106","20","ml42o8og","low"
"6","21","free","220","114","83","yellow-209","yellow","373","sampling-task","126","918706","0.0-5.0-0.107-0.107","20","ml42o8og","low"
"6","22","free","220","114","100","yellow-209","yellow","326","sampling-task","127","920626","0.0-5.0-0.108-0.108","20","ml42o8og","low"
"6","23","free","220","114","146","yellow-209","yellow","317","sampling-task","128","922154","0.0-5.0-0.109-0.109","20","ml42o8og","low"
