"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","97","39","purple-14","purple","4174","sampling-task","6","285134","0.0-5.0-0.0-0.0","21","n59lglkl","high"
"1","2","fixed","20","97","87","purple-109","purple","2390","sampling-task","7","290317","0.0-5.0-0.1-0.1","21","n59lglkl","high"
"1","3","fixed","20","97","133","purple-51","purple","1150","sampling-task","8","304630","0.0-5.0-0.2-0.2","21","n59lglkl","high"
"1","4","fixed","20","97","104","purple-105","purple","622","sampling-task","9","306446","0.0-5.0-0.3-0.3","21","n59lglkl","high"
"1","5","fixed","20","97","143","purple-87","purple","1238","sampling-task","10","312069","0.0-5.0-0.4-0.4","21","n59lglkl","high"
"1","6","fixed","20","97","76","purple-60","purple","990","sampling-task","11","314774","0.0-5.0-0.5-0.5","21","n59lglkl","high"
"1","7","fixed","20","97","59","purple-214","purple","741","sampling-task","12","317430","0.0-5.0-0.6-0.6","21","n59lglkl","high"
"1","8","fixed","20","97","79","purple-64","purple","486","sampling-task","13","319318","0.0-5.0-0.7-0.7","21","n59lglkl","high"
"1","9","fixed","20","97","76","purple-34","purple","358","sampling-task","14","320942","0.0-5.0-0.8-0.8","21","n59lglkl","high"
"1","10","fixed","20","97","91","purple-30","purple","374","sampling-task","15","323438","0.0-5.0-0.9-0.9","21","n59lglkl","high"
"1","11","fixed","20","97","93","purple-214","purple","446","sampling-task","16","325262","0.0-5.0-0.10-0.10","21","n59lglkl","high"
"1","12","fixed","20","97","112","purple-17","purple","446","sampling-task","17","327005","0.0-5.0-0.11-0.11","21","n59lglkl","high"
"1","13","fixed","20","97","83","purple-168","purple","406","sampling-task","18","328453","0.0-5.0-0.12-0.12","21","n59lglkl","high"
"1","14","fixed","20","97","73","purple-111","purple","566","sampling-task","19","330053","0.0-5.0-0.13-0.13","21","n59lglkl","high"
"1","15","fixed","20","97","98","purple-39","purple","366","sampling-task","20","331413","0.0-5.0-0.14-0.14","21","n59lglkl","high"
"1","16","fixed","20","97","132","purple-104","purple","382","sampling-task","21","333549","0.0-5.0-0.15-0.15","21","n59lglkl","high"
"1","17","fixed","20","97","133","purple-91","purple","798","sampling-task","22","336709","0.0-5.0-0.16-0.16","21","n59lglkl","high"
"1","18","fixed","20","97","132","purple-210","purple","606","sampling-task","23","338677","0.0-5.0-0.17-0.17","21","n59lglkl","high"
