"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","90","75","green-198","green","8757","sampling-task","6","364132","0.0-5.0-0.0-0.0","22","j7l3khkq","low"
"1","2","fixed","20","90","91","green-198","green","3846","sampling-task","7","370931","0.0-5.0-0.1-0.1","22","j7l3khkq","low"
"1","3","fixed","20","90","66","green-198","green","25286","sampling-task","8","399499","0.0-5.0-0.2-0.2","22","j7l3khkq","low"
"1","4","fixed","20","90","106","green-198","green","1918","sampling-task","9","406092","0.0-5.0-0.3-0.3","22","j7l3khkq","low"
"1","5","fixed","20","90","87","green-198","green","1614","sampling-task","10","409627","0.0-5.0-0.4-0.4","22","j7l3khkq","low"
"1","6","fixed","20","90","124","green-198","green","1590","sampling-task","11","414099","0.0-5.0-0.5-0.5","22","j7l3khkq","low"
"1","7","fixed","20","90","103","green-198","green","1174","sampling-task","12","417467","0.0-5.0-0.6-0.6","22","j7l3khkq","low"
"1","8","fixed","20","90","68","green-198","green","1143","sampling-task","13","420755","0.0-5.0-0.7-0.7","22","j7l3khkq","low"
"1","9","fixed","20","90","106","green-198","green","1613","sampling-task","14","424259","0.0-5.0-0.8-0.8","22","j7l3khkq","low"
"1","10","fixed","20","90","116","green-198","green","1590","sampling-task","15","427219","0.0-5.0-0.9-0.9","22","j7l3khkq","low"
"1","11","fixed","20","90","56","green-198","green","1039","sampling-task","16","429659","0.0-5.0-0.10-0.10","22","j7l3khkq","low"
"1","12","fixed","20","90","98","green-198","green","1309","sampling-task","17","432811","0.0-5.0-0.11-0.11","22","j7l3khkq","low"
"1","13","fixed","20","90","74","green-198","green","966","sampling-task","18","435667","0.0-5.0-0.12-0.12","22","j7l3khkq","low"
"1","14","fixed","20","90","96","green-198","green","894","sampling-task","19","438083","0.0-5.0-0.13-0.13","22","j7l3khkq","low"
"1","15","fixed","20","90","70","green-198","green","766","sampling-task","20","440363","0.0-5.0-0.14-0.14","22","j7l3khkq","low"
"1","16","fixed","20","90","122","green-198","green","974","sampling-task","21","442915","0.0-5.0-0.15-0.15","22","j7l3khkq","low"
"1","17","fixed","20","90","62","green-198","green","950","sampling-task","22","445315","0.0-5.0-0.16-0.16","22","j7l3khkq","low"
"1","18","fixed","20","90","91","green-198","green","998","sampling-task","23","447715","0.0-5.0-0.17-0.17","22","j7l3khkq","low"
"1","19","fixed","20","90","98","green-198","green","1117","sampling-task","24","450331","0.0-5.0-0.18-0.18","22","j7l3khkq","low"
"1","20","fixed","20","90","83","green-198","green","1526","sampling-task","25","455955","0.0-5.0-0.19-0.19","22","j7l3khkq","low"
"2","1","free","220","56","50","purple-175","purple","9124","sampling-task","28","526882","0.0-5.0-0.20-0.20","22","j7l3khkq","low"
"2","2","free","220","56","76","purple-175","purple","1374","sampling-task","29","530042","0.0-5.0-0.21-0.21","22","j7l3khkq","low"
"2","3","free","220","56","74","purple-175","purple","1094","sampling-task","30","532418","0.0-5.0-0.22-0.22","22","j7l3khkq","low"
