"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","71","85","green-142","green","6517","sampling-task","6","227619","0.0-5.0-0.0-0.0","23","4abaxj6c","low"
"1","2","fixed","10","71","114","green-142","green","9190","sampling-task","7","240546","0.0-5.0-0.1-0.1","23","4abaxj6c","low"
"1","3","fixed","10","71","49","green-142","green","902","sampling-task","8","243611","0.0-5.0-0.2-0.2","23","4abaxj6c","low"
"1","4","fixed","10","71","73","green-142","green","1046","sampling-task","9","246530","0.0-5.0-0.3-0.3","23","4abaxj6c","low"
"1","5","fixed","10","71","79","green-142","green","862","sampling-task","10","248826","0.0-5.0-0.4-0.4","23","4abaxj6c","low"
"1","6","fixed","10","71","64","green-142","green","678","sampling-task","11","250955","0.0-5.0-0.5-0.5","23","4abaxj6c","low"
"1","7","fixed","10","71","83","green-142","green","582","sampling-task","12","262131","0.0-5.0-0.6-0.6","23","4abaxj6c","low"
"1","8","fixed","10","71","76","green-142","green","894","sampling-task","13","263995","0.0-5.0-0.7-0.7","23","4abaxj6c","low"
"1","9","fixed","10","71","88","green-142","green","1262","sampling-task","14","266466","0.0-5.0-0.8-0.8","23","4abaxj6c","low"
"1","10","fixed","10","71","72","green-142","green","926","sampling-task","15","268531","0.0-5.0-0.9-0.9","23","4abaxj6c","low"
"2","1","free","220","94","73","purple-182","purple","3980","sampling-task","18","304315","0.0-5.0-0.10-0.10","23","4abaxj6c","low"
"2","2","free","220","94","101","purple-182","purple","902","sampling-task","19","306243","0.0-5.0-0.11-0.11","23","4abaxj6c","low"
"2","3","free","220","94","113","purple-182","purple","470","sampling-task","20","307603","0.0-5.0-0.12-0.12","23","4abaxj6c","low"
"2","4","free","220","94","76","purple-182","purple","494","sampling-task","21","309019","0.0-5.0-0.13-0.13","23","4abaxj6c","low"
"2","5","free","220","94","127","purple-182","purple","550","sampling-task","22","310547","0.0-5.0-0.14-0.14","23","4abaxj6c","low"
"2","6","free","220","94","96","purple-182","purple","677","sampling-task","23","312251","0.0-5.0-0.15-0.15","23","4abaxj6c","low"
"2","7","free","220","94","102","purple-182","purple","494","sampling-task","24","313643","0.0-5.0-0.16-0.16","23","4abaxj6c","low"
"2","8","free","220","94","121","purple-182","purple","486","sampling-task","25","315691","0.0-5.0-0.17-0.17","23","4abaxj6c","low"
"2","9","free","220","94","143","purple-182","purple","372","sampling-task","26","316948","0.0-5.0-0.18-0.18","23","4abaxj6c","low"
"2","10","free","220","94","129","purple-182","purple","460","sampling-task","27","318299","0.0-5.0-0.19-0.19","23","4abaxj6c","low"
"2","11","free","220","94","110","purple-182","purple","518","sampling-task","28","319875","0.0-5.0-0.20-0.20","23","4abaxj6c","low"
"2","12","free","220","94","93","purple-182","purple","470","sampling-task","29","321307","0.0-5.0-0.21-0.21","23","4abaxj6c","low"
"2","13","free","220","94","107","purple-182","purple","789","sampling-task","30","322931","0.0-5.0-0.22-0.22","23","4abaxj6c","low"
"2","14","free","220","94","116","purple-182","purple","638","sampling-task","31","324483","0.0-5.0-0.23-0.23","23","4abaxj6c","low"
"2","15","free","220","94","79","purple-182","purple","478","sampling-task","32","325835","0.0-5.0-0.24-0.24","23","4abaxj6c","low"
"2","16","free","220","94","117","purple-182","purple","662","sampling-task","33","328691","0.0-5.0-0.25-0.25","23","4abaxj6c","low"
"3","1","fixed","20","35","18","orange-62","orange","2420","sampling-task","36","347850","0.0-5.0-0.26-0.26","23","4abaxj6c","low"
"3","2","fixed","20","35","5","orange-62","orange","677","sampling-task","37","350650","0.0-5.0-0.27-0.27","23","4abaxj6c","low"
"3","3","fixed","20","35","78","orange-62","orange","894","sampling-task","38","352826","0.0-5.0-0.28-0.28","23","4abaxj6c","low"
"3","4","fixed","20","35","25","orange-62","orange","646","sampling-task","39","354434","0.0-5.0-0.29-0.29","23","4abaxj6c","low"
"3","5","fixed","20","35","11","orange-62","orange","486","sampling-task","40","355826","0.0-5.0-0.30-0.30","23","4abaxj6c","low"
"3","6","fixed","20","35","50","orange-62","orange","557","sampling-task","41","357410","0.0-5.0-0.31-0.31","23","4abaxj6c","low"
"3","7","fixed","20","35","60","orange-62","orange","1022","sampling-task","42","359434","0.0-5.0-0.32-0.32","23","4abaxj6c","low"
"3","8","fixed","20","35","5","orange-62","orange","829","sampling-task","43","361410","0.0-5.0-0.33-0.33","23","4abaxj6c","low"
"3","9","fixed","20","35","32","orange-62","orange","758","sampling-task","44","363106","0.0-5.0-0.34-0.34","23","4abaxj6c","low"
"3","10","fixed","20","35","52","orange-62","orange","781","sampling-task","45","364890","0.0-5.0-0.35-0.35","23","4abaxj6c","low"
"3","11","fixed","20","35","19","orange-62","orange","878","sampling-task","46","366634","0.0-5.0-0.36-0.36","23","4abaxj6c","low"
"3","12","fixed","20","35","58","orange-62","orange","1950","sampling-task","47","369530","0.0-5.0-0.37-0.37","23","4abaxj6c","low"
"3","13","fixed","20","35","61","orange-62","orange","414","sampling-task","48","370947","0.0-5.0-0.38-0.38","23","4abaxj6c","low"
"3","14","fixed","20","35","23","orange-62","orange","677","sampling-task","49","372618","0.0-5.0-0.39-0.39","23","4abaxj6c","low"
"3","15","fixed","20","35","20","orange-62","orange","606","sampling-task","50","374066","0.0-5.0-0.40-0.40","23","4abaxj6c","low"
"3","16","fixed","20","35","19","orange-62","orange","654","sampling-task","51","375794","0.0-5.0-0.41-0.41","23","4abaxj6c","low"
"3","17","fixed","20","35","9","orange-62","orange","502","sampling-task","52","377258","0.0-5.0-0.42-0.42","23","4abaxj6c","low"
"3","18","fixed","20","35","62","orange-62","orange","446","sampling-task","53","378586","0.0-5.0-0.43-0.43","23","4abaxj6c","low"
"3","19","fixed","20","35","45","orange-62","orange","558","sampling-task","54","380234","0.0-5.0-0.44-0.44","23","4abaxj6c","low"
"3","20","fixed","20","35","34","orange-62","orange","1158","sampling-task","55","382538","0.0-5.0-0.45-0.45","23","4abaxj6c","low"
"4","1","free","220","114","144","red-24","red","2644","sampling-task","58","405706","0.0-5.0-0.46-0.46","23","4abaxj6c","low"
"4","2","free","220","114","96","red-24","red","310","sampling-task","59","406842","0.0-5.0-0.47-0.47","23","4abaxj6c","low"
"4","3","free","220","114","108","red-24","red","693","sampling-task","60","409162","0.0-5.0-0.48-0.48","23","4abaxj6c","low"
"4","4","free","220","114","127","red-24","red","470","sampling-task","61","410625","0.0-5.0-0.49-0.49","23","4abaxj6c","low"
