"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","50","15","orange-76","orange","6348","sampling-task","6","279001","0.0-5.0-0.0-0.0","24","vx8ef1lp","low"
"1","2","fixed","20","50","57","orange-76","orange","2053","sampling-task","7","299015","0.0-5.0-0.1-0.1","24","vx8ef1lp","low"
"1","3","fixed","20","50","19","orange-76","orange","1278","sampling-task","8","306263","0.0-5.0-0.2-0.2","24","vx8ef1lp","low"
"1","4","fixed","20","50","31","orange-76","orange","990","sampling-task","9","308943","0.0-5.0-0.3-0.3","24","vx8ef1lp","low"
"1","5","fixed","20","50","46","orange-76","orange","566","sampling-task","10","311015","0.0-5.0-0.4-0.4","24","vx8ef1lp","low"
"1","6","fixed","20","50","50","orange-76","orange","502","sampling-task","11","313063","0.0-5.0-0.5-0.5","24","vx8ef1lp","low"
"1","7","fixed","20","50","47","orange-76","orange","1022","sampling-task","12","315871","0.0-5.0-0.6-0.6","24","vx8ef1lp","low"
"1","8","fixed","20","50","36","orange-76","orange","854","sampling-task","13","318375","0.0-5.0-0.7-0.7","24","vx8ef1lp","low"
"1","9","fixed","20","50","64","orange-76","orange","1150","sampling-task","14","322223","0.0-5.0-0.8-0.8","24","vx8ef1lp","low"
"1","10","fixed","20","50","39","orange-76","orange","694","sampling-task","15","324023","0.0-5.0-0.9-0.9","24","vx8ef1lp","low"
"1","11","fixed","20","50","67","orange-76","orange","478","sampling-task","16","326959","0.0-5.0-0.10-0.10","24","vx8ef1lp","low"
"1","12","fixed","20","50","50","orange-76","orange","630","sampling-task","17","328615","0.0-5.0-0.11-0.11","24","vx8ef1lp","low"
"1","13","fixed","20","50","59","orange-76","orange","526","sampling-task","18","330327","0.0-5.0-0.12-0.12","24","vx8ef1lp","low"
"1","14","fixed","20","50","95","orange-76","orange","518","sampling-task","19","332335","0.0-5.0-0.13-0.13","24","vx8ef1lp","low"
"1","15","fixed","20","50","56","orange-76","orange","470","sampling-task","20","333703","0.0-5.0-0.14-0.14","24","vx8ef1lp","low"
"1","16","fixed","20","50","33","orange-76","orange","478","sampling-task","21","335231","0.0-5.0-0.15-0.15","24","vx8ef1lp","low"
"1","17","fixed","20","50","11","orange-76","orange","774","sampling-task","22","337839","0.0-5.0-0.16-0.16","24","vx8ef1lp","low"
"1","18","fixed","20","50","25","orange-76","orange","494","sampling-task","23","339303","0.0-5.0-0.17-0.17","24","vx8ef1lp","low"
"1","19","fixed","20","50","46","orange-76","orange","469","sampling-task","24","341119","0.0-5.0-0.18-0.18","24","vx8ef1lp","low"
"1","20","fixed","20","50","51","orange-76","orange","510","sampling-task","25","342935","0.0-5.0-0.19-0.19","24","vx8ef1lp","low"
"2","1","free","220","13","13","yellow-39","yellow","3180","sampling-task","28","392536","0.0-5.0-0.20-0.20","24","vx8ef1lp","low"
"2","2","free","220","13","2","yellow-39","yellow","398","sampling-task","29","394192","0.0-5.0-0.21-0.21","24","vx8ef1lp","low"
