"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","14","5","purple-210","purple","5757","sampling-task","6","294961","0.0-5.0-0.0-0.0","25","clhfsez4","low"
"1","2","fixed","5","14","22","purple-210","purple","1014","sampling-task","7","297948","0.0-5.0-0.1-0.1","25","clhfsez4","low"
"1","3","fixed","5","14","-10","purple-210","purple","782","sampling-task","8","300348","0.0-5.0-0.2-0.2","25","clhfsez4","low"
"1","4","fixed","5","14","38","purple-210","purple","766","sampling-task","9","303965","0.0-5.0-0.3-0.3","25","clhfsez4","low"
"1","5","fixed","5","14","-17","purple-210","purple","725","sampling-task","10","306580","0.0-5.0-0.4-0.4","25","clhfsez4","low"
"2","1","free","220","73","79","green-7","green","4532","sampling-task","13","369928","0.0-5.0-0.5-0.5","25","clhfsez4","low"
"2","2","free","220","73","71","green-7","green","798","sampling-task","14","372520","0.0-5.0-0.6-0.6","25","clhfsez4","low"
"2","3","free","220","73","112","green-7","green","590","sampling-task","15","375007","0.0-5.0-0.7-0.7","25","clhfsez4","low"
"2","4","free","220","73","84","green-7","green","702","sampling-task","16","377719","0.0-5.0-0.8-0.8","25","clhfsez4","low"
"2","5","free","220","73","74","green-7","green","1046","sampling-task","17","380376","0.0-5.0-0.9-0.9","25","clhfsez4","low"
"3","1","fixed","10","119","107","orange-30","orange","4045","sampling-task","20","430835","0.0-5.0-0.10-0.10","25","clhfsez4","low"
"3","2","fixed","10","119","119","orange-30","orange","702","sampling-task","21","433115","0.0-5.0-0.11-0.11","25","clhfsez4","low"
"3","3","fixed","10","119","99","orange-30","orange","503","sampling-task","22","435339","0.0-5.0-0.12-0.12","25","clhfsez4","low"
"3","4","fixed","10","119","155","orange-30","orange","566","sampling-task","23","436883","0.0-5.0-0.13-0.13","25","clhfsez4","low"
"3","5","fixed","10","119","120","orange-30","orange","559","sampling-task","24","438931","0.0-5.0-0.14-0.14","25","clhfsez4","low"
"3","6","fixed","10","119","116","orange-30","orange","517","sampling-task","25","440355","0.0-5.0-0.15-0.15","25","clhfsez4","low"
"3","7","fixed","10","119","105","orange-30","orange","599","sampling-task","26","441979","0.0-5.0-0.16-0.16","25","clhfsez4","low"
"3","8","fixed","10","119","86","orange-30","orange","518","sampling-task","27","443459","0.0-5.0-0.17-0.17","25","clhfsez4","low"
"3","9","fixed","10","119","133","orange-30","orange","455","sampling-task","28","444787","0.0-5.0-0.18-0.18","25","clhfsez4","low"
"3","10","fixed","10","119","119","orange-30","orange","543","sampling-task","29","446211","0.0-5.0-0.19-0.19","25","clhfsez4","low"
"4","1","free","220","56","53","red-138","red","1984","sampling-task","32","481199","0.0-5.0-0.20-0.20","25","clhfsez4","low"
"4","2","free","220","56","49","red-138","red","342","sampling-task","33","482583","0.0-5.0-0.21-0.21","25","clhfsez4","low"
"4","3","free","220","56","57","red-138","red","342","sampling-task","34","483710","0.0-5.0-0.22-0.22","25","clhfsez4","low"
"4","4","free","220","56","45","red-138","red","358","sampling-task","35","484894","0.0-5.0-0.23-0.23","25","clhfsez4","low"
"4","5","free","220","56","53","red-138","red","391","sampling-task","36","487158","0.0-5.0-0.24-0.24","25","clhfsez4","low"
"4","6","free","220","56","38","red-138","red","374","sampling-task","37","488319","0.0-5.0-0.25-0.25","25","clhfsez4","low"
"4","7","free","220","56","91","red-138","red","334","sampling-task","38","489446","0.0-5.0-0.26-0.26","25","clhfsez4","low"
"4","8","free","220","56","21","red-138","red","310","sampling-task","39","490559","0.0-5.0-0.27-0.27","25","clhfsez4","low"
"4","9","free","220","56","58","red-138","red","214","sampling-task","40","491655","0.0-5.0-0.28-0.28","25","clhfsez4","low"
"4","10","free","220","56","24","red-138","red","278","sampling-task","41","492711","0.0-5.0-0.29-0.29","25","clhfsez4","low"
"4","11","free","220","56","49","red-138","red","197","sampling-task","42","493791","0.0-5.0-0.30-0.30","25","clhfsez4","low"
"4","12","free","220","56","73","red-138","red","278","sampling-task","43","496982","0.0-5.0-0.31-0.31","25","clhfsez4","low"
"4","13","free","220","56","58","red-138","red","3678","sampling-task","44","502030","0.0-5.0-0.32-0.32","25","clhfsez4","low"
"4","14","free","220","56","50","red-138","red","326","sampling-task","45","503398","0.0-5.0-0.33-0.33","25","clhfsez4","low"
"4","15","free","220","56","79","red-138","red","319","sampling-task","46","504863","0.0-5.0-0.34-0.34","25","clhfsez4","low"
"4","16","free","220","56","65","red-138","red","462","sampling-task","47","506926","0.0-5.0-0.35-0.35","25","clhfsez4","low"
"5","1","fixed","20","96","81","yellow-31","yellow","1501","sampling-task","50","551466","0.0-5.0-0.36-0.36","25","clhfsez4","low"
"5","2","fixed","20","96","89","yellow-31","yellow","3319","sampling-task","51","555771","0.0-5.0-0.37-0.37","25","clhfsez4","low"
"5","3","fixed","20","96","82","yellow-31","yellow","310","sampling-task","52","557218","0.0-5.0-0.38-0.38","25","clhfsez4","low"
"5","4","fixed","20","96","107","yellow-31","yellow","318","sampling-task","53","558370","0.0-5.0-0.39-0.39","25","clhfsez4","low"
"5","5","fixed","20","96","70","yellow-31","yellow","318","sampling-task","54","559498","0.0-5.0-0.40-0.40","25","clhfsez4","low"
"5","6","fixed","20","96","118","yellow-31","yellow","278","sampling-task","55","560683","0.0-5.0-0.41-0.41","25","clhfsez4","low"
"5","7","fixed","20","96","82","yellow-31","yellow","302","sampling-task","56","561859","0.0-5.0-0.42-0.42","25","clhfsez4","low"
"5","8","fixed","20","96","78","yellow-31","yellow","294","sampling-task","57","562978","0.0-5.0-0.43-0.43","25","clhfsez4","low"
"5","9","fixed","20","96","82","yellow-31","yellow","342","sampling-task","58","564394","0.0-5.0-0.44-0.44","25","clhfsez4","low"
"5","10","fixed","20","96","96","yellow-31","yellow","334","sampling-task","59","565491","0.0-5.0-0.45-0.45","25","clhfsez4","low"
"5","11","fixed","20","96","52","yellow-31","yellow","342","sampling-task","60","567146","0.0-5.0-0.46-0.46","25","clhfsez4","low"
"5","12","fixed","20","96","110","yellow-31","yellow","342","sampling-task","61","568482","0.0-5.0-0.47-0.47","25","clhfsez4","low"
"5","13","fixed","20","96","86","yellow-31","yellow","607","sampling-task","62","570195","0.0-5.0-0.48-0.48","25","clhfsez4","low"
"5","14","fixed","20","96","128","yellow-31","yellow","349","sampling-task","63","571339","0.0-5.0-0.49-0.49","25","clhfsez4","low"
"5","15","fixed","20","96","117","yellow-31","yellow","334","sampling-task","64","572458","0.0-5.0-0.50-0.50","25","clhfsez4","low"
"5","16","fixed","20","96","139","yellow-31","yellow","318","sampling-task","65","573675","0.0-5.0-0.51-0.51","25","clhfsez4","low"
"5","17","fixed","20","96","74","yellow-31","yellow","294","sampling-task","66","575882","0.0-5.0-0.52-0.52","25","clhfsez4","low"
"5","18","fixed","20","96","91","yellow-31","yellow","286","sampling-task","67","577091","0.0-5.0-0.53-0.53","25","clhfsez4","low"
"5","19","fixed","20","96","66","yellow-31","yellow","318","sampling-task","68","578194","0.0-5.0-0.54-0.54","25","clhfsez4","low"
"5","20","fixed","20","96","83","yellow-31","yellow","294","sampling-task","69","580123","0.0-5.0-0.55-0.55","25","clhfsez4","low"
"6","1","free","220","35","39","blue-77","blue","1804","sampling-task","72","625310","0.0-5.0-0.56-0.56","25","clhfsez4","low"
"6","2","free","220","35","21","blue-77","blue","374","sampling-task","73","626630","0.0-5.0-0.57-0.57","25","clhfsez4","low"
"6","3","free","220","35","26","blue-77","blue","390","sampling-task","74","627878","0.0-5.0-0.58-0.58","25","clhfsez4","low"
"6","4","free","220","35","37","blue-77","blue","358","sampling-task","75","629110","0.0-5.0-0.59-0.59","25","clhfsez4","low"
"6","5","free","220","35","50","blue-77","blue","413","sampling-task","76","630582","0.0-5.0-0.60-0.60","25","clhfsez4","low"
"6","6","free","220","35","7","blue-77","blue","446","sampling-task","77","631870","0.0-5.0-0.61-0.61","25","clhfsez4","low"
"6","7","free","220","35","50","blue-77","blue","318","sampling-task","78","633430","0.0-5.0-0.62-0.62","25","clhfsez4","low"
