"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","113","98","green-4","green","3876","sampling-task","6","167205","0.0-5.0-0.0-0.0","26","evp0h0fk","high"
"1","2","fixed","5","113","91","green-149","green","1029","sampling-task","7","169853","0.0-5.0-0.1-0.1","26","evp0h0fk","high"
"1","3","fixed","5","113","103","green-24","green","1190","sampling-task","8","172765","0.0-5.0-0.2-0.2","26","evp0h0fk","high"
"1","4","fixed","5","113","122","green-217","green","958","sampling-task","9","175181","0.0-5.0-0.3-0.3","26","evp0h0fk","high"
"1","5","fixed","5","113","107","green-86","green","910","sampling-task","10","177333","0.0-5.0-0.4-0.4","26","evp0h0fk","high"
"2","1","free","220","10","8","red-26","red","2468","sampling-task","13","220622","0.0-5.0-0.5-0.5","26","evp0h0fk","high"
"2","2","free","220","10","-18","red-16","red","774","sampling-task","14","223709","0.0-5.0-0.6-0.6","26","evp0h0fk","high"
"2","3","free","220","10","-24","red-111","red","502","sampling-task","15","225693","0.0-5.0-0.7-0.7","26","evp0h0fk","high"
"2","4","free","220","10","-5","red-122","red","527","sampling-task","16","227269","0.0-5.0-0.8-0.8","26","evp0h0fk","high"
"2","5","free","220","10","18","red-74","red","615","sampling-task","17","231918","0.0-5.0-0.9-0.9","26","evp0h0fk","high"
"2","6","free","220","10","0","red-74","red","758","sampling-task","18","234149","0.0-5.0-0.10-0.10","26","evp0h0fk","high"
"2","7","free","220","10","28","red-49","red","710","sampling-task","19","236421","0.0-5.0-0.11-0.11","26","evp0h0fk","high"
"2","8","free","220","10","-10","red-20","red","623","sampling-task","20","238429","0.0-5.0-0.12-0.12","26","evp0h0fk","high"
"2","9","free","220","10","31","red-191","red","438","sampling-task","21","241493","0.0-5.0-0.13-0.13","26","evp0h0fk","high"
"2","10","free","220","10","11","red-44","red","518","sampling-task","22","243797","0.0-5.0-0.14-0.14","26","evp0h0fk","high"
"2","11","free","220","10","59","red-197","red","470","sampling-task","23","245957","0.0-5.0-0.15-0.15","26","evp0h0fk","high"
"2","12","free","220","10","5","red-219","red","511","sampling-task","24","247758","0.0-5.0-0.16-0.16","26","evp0h0fk","high"
"2","13","free","220","10","25","red-43","red","430","sampling-task","25","249973","0.0-5.0-0.17-0.17","26","evp0h0fk","high"
"2","14","free","220","10","20","red-91","red","422","sampling-task","26","251653","0.0-5.0-0.18-0.18","26","evp0h0fk","high"
"2","15","free","220","10","39","red-91","red","630","sampling-task","27","253653","0.0-5.0-0.19-0.19","26","evp0h0fk","high"
"2","16","free","220","10","42","red-30","red","719","sampling-task","28","255981","0.0-5.0-0.20-0.20","26","evp0h0fk","high"
"2","17","free","220","10","-10","red-164","red","693","sampling-task","29","258133","0.0-5.0-0.21-0.21","26","evp0h0fk","high"
"2","18","free","220","10","-32","red-209","red","638","sampling-task","30","259965","0.0-5.0-0.22-0.22","26","evp0h0fk","high"
"2","19","free","220","10","-32","red-21","red","1318","sampling-task","31","262357","0.0-5.0-0.23-0.23","26","evp0h0fk","high"
"2","20","free","220","10","45","red-125","red","742","sampling-task","32","264917","0.0-5.0-0.24-0.24","26","evp0h0fk","high"
"2","21","free","220","10","19","red-196","red","558","sampling-task","33","266645","0.0-5.0-0.25-0.25","26","evp0h0fk","high"
"2","22","free","220","10","10","red-175","red","406","sampling-task","34","268220","0.0-5.0-0.26-0.26","26","evp0h0fk","high"
"2","23","free","220","10","2","red-143","red","334","sampling-task","35","269532","0.0-5.0-0.27-0.27","26","evp0h0fk","high"
"2","24","free","220","10","15","red-183","red","462","sampling-task","36","271013","0.0-5.0-0.28-0.28","26","evp0h0fk","high"
"2","25","free","220","10","54","red-52","red","406","sampling-task","37","272885","0.0-5.0-0.29-0.29","26","evp0h0fk","high"
"2","26","free","220","10","44","red-134","red","582","sampling-task","38","274461","0.0-5.0-0.30-0.30","26","evp0h0fk","high"
"2","27","free","220","10","23","red-178","red","414","sampling-task","39","275749","0.0-5.0-0.31-0.31","26","evp0h0fk","high"
"2","28","free","220","10","45","red-157","red","614","sampling-task","40","277445","0.0-5.0-0.32-0.32","26","evp0h0fk","high"
"2","29","free","220","10","-4","red-83","red","486","sampling-task","41","278909","0.0-5.0-0.33-0.33","26","evp0h0fk","high"
"2","30","free","220","10","28","red-209","red","406","sampling-task","42","281037","0.0-5.0-0.34-0.34","26","evp0h0fk","high"
"3","1","fixed","10","31","50","orange-54","orange","2812","sampling-task","45","305165","0.0-5.0-0.35-0.35","26","evp0h0fk","high"
"3","2","fixed","10","31","17","orange-50","orange","742","sampling-task","46","307116","0.0-5.0-0.36-0.36","26","evp0h0fk","high"
"3","3","fixed","10","31","23","orange-18","orange","726","sampling-task","47","308997","0.0-5.0-0.37-0.37","26","evp0h0fk","high"
"3","4","fixed","10","31","39","orange-53","orange","765","sampling-task","48","310901","0.0-5.0-0.38-0.38","26","evp0h0fk","high"
"3","5","fixed","10","31","15","orange-122","orange","742","sampling-task","49","312748","0.0-5.0-0.39-0.39","26","evp0h0fk","high"
"3","6","fixed","10","31","39","orange-211","orange","582","sampling-task","50","314813","0.0-5.0-0.40-0.40","26","evp0h0fk","high"
"3","7","fixed","10","31","40","orange-121","orange","646","sampling-task","51","316437","0.0-5.0-0.41-0.41","26","evp0h0fk","high"
"3","8","fixed","10","31","32","orange-91","orange","470","sampling-task","52","318349","0.0-5.0-0.42-0.42","26","evp0h0fk","high"
"3","9","fixed","10","31","60","orange-10","orange","622","sampling-task","53","320085","0.0-5.0-0.43-0.43","26","evp0h0fk","high"
"3","10","fixed","10","31","26","orange-166","orange","718","sampling-task","54","321973","0.0-5.0-0.44-0.44","26","evp0h0fk","high"
"4","1","free","220","93","85","yellow-32","yellow","1723","sampling-task","57","385044","0.0-5.0-0.45-0.45","26","evp0h0fk","high"
"4","2","free","220","93","102","yellow-122","yellow","422","sampling-task","58","386477","0.0-5.0-0.46-0.46","26","evp0h0fk","high"
"4","3","free","220","93","102","yellow-47","yellow","430","sampling-task","59","387852","0.0-5.0-0.47-0.47","26","evp0h0fk","high"
"4","4","free","220","93","87","yellow-6","yellow","470","sampling-task","60","389268","0.0-5.0-0.48-0.48","26","evp0h0fk","high"
"4","5","free","220","93","101","yellow-111","yellow","390","sampling-task","61","390660","0.0-5.0-0.49-0.49","26","evp0h0fk","high"
"4","6","free","220","93","101","yellow-131","yellow","391","sampling-task","62","391900","0.0-5.0-0.50-0.50","26","evp0h0fk","high"
"4","7","free","220","93","45","yellow-51","yellow","374","sampling-task","63","393284","0.0-5.0-0.51-0.51","26","evp0h0fk","high"
"4","8","free","220","93","117","yellow-70","yellow","462","sampling-task","64","394652","0.0-5.0-0.52-0.52","26","evp0h0fk","high"
"4","9","free","220","93","63","yellow-148","yellow","391","sampling-task","65","396061","0.0-5.0-0.53-0.53","26","evp0h0fk","high"
"4","10","free","220","93","138","yellow-162","yellow","526","sampling-task","66","397492","0.0-5.0-0.54-0.54","26","evp0h0fk","high"
"4","11","free","220","93","76","yellow-131","yellow","431","sampling-task","67","400309","0.0-5.0-0.55-0.55","26","evp0h0fk","high"
"4","12","free","220","93","96","yellow-220","yellow","574","sampling-task","68","402100","0.0-5.0-0.56-0.56","26","evp0h0fk","high"
"4","13","free","220","93","121","yellow-204","yellow","462","sampling-task","69","403612","0.0-5.0-0.57-0.57","26","evp0h0fk","high"
"4","14","free","220","93","70","yellow-41","yellow","462","sampling-task","70","405077","0.0-5.0-0.58-0.58","26","evp0h0fk","high"
"4","15","free","220","93","79","yellow-182","yellow","494","sampling-task","71","406508","0.0-5.0-0.59-0.59","26","evp0h0fk","high"
"4","16","free","220","93","105","yellow-80","yellow","470","sampling-task","72","407925","0.0-5.0-0.60-0.60","26","evp0h0fk","high"
"4","17","free","220","93","77","yellow-28","yellow","438","sampling-task","73","409484","0.0-5.0-0.61-0.61","26","evp0h0fk","high"
"4","18","free","220","93","90","yellow-159","yellow","454","sampling-task","74","410933","0.0-5.0-0.62-0.62","26","evp0h0fk","high"
"4","19","free","220","93","79","yellow-207","yellow","470","sampling-task","75","412469","0.0-5.0-0.63-0.63","26","evp0h0fk","high"
"4","20","free","220","93","87","yellow-16","yellow","398","sampling-task","76","413684","0.0-5.0-0.64-0.64","26","evp0h0fk","high"
"4","21","free","220","93","105","yellow-71","yellow","390","sampling-task","77","414932","0.0-5.0-0.65-0.65","26","evp0h0fk","high"
"4","22","free","220","93","101","yellow-208","yellow","390","sampling-task","78","416268","0.0-5.0-0.66-0.66","26","evp0h0fk","high"
"4","23","free","220","93","90","yellow-43","yellow","342","sampling-task","79","417500","0.0-5.0-0.67-0.67","26","evp0h0fk","high"
"4","24","free","220","93","79","yellow-106","yellow","414","sampling-task","80","418772","0.0-5.0-0.68-0.68","26","evp0h0fk","high"
"4","25","free","220","93","88","yellow-19","yellow","430","sampling-task","81","420405","0.0-5.0-0.69-0.69","26","evp0h0fk","high"
"5","1","fixed","20","56","69","blue-63","blue","1949","sampling-task","84","446707","0.0-5.0-0.70-0.70","26","evp0h0fk","high"
"5","2","fixed","20","56","63","blue-157","blue","790","sampling-task","85","448539","0.0-5.0-0.71-0.71","26","evp0h0fk","high"
"5","3","fixed","20","56","34","blue-4","blue","566","sampling-task","86","450059","0.0-5.0-0.72-0.72","26","evp0h0fk","high"
"5","4","fixed","20","56","65","blue-87","blue","446","sampling-task","87","451387","0.0-5.0-0.73-0.73","26","evp0h0fk","high"
"5","5","fixed","20","56","57","blue-98","blue","526","sampling-task","88","452780","0.0-5.0-0.74-0.74","26","evp0h0fk","high"
"5","6","fixed","20","56","56","blue-99","blue","1470","sampling-task","89","455171","0.0-5.0-0.75-0.75","26","evp0h0fk","high"
"5","7","fixed","20","56","87","blue-3","blue","838","sampling-task","90","457123","0.0-5.0-0.76-0.76","26","evp0h0fk","high"
"5","8","fixed","20","56","92","blue-204","blue","526","sampling-task","91","458867","0.0-5.0-0.77-0.77","26","evp0h0fk","high"
"5","9","fixed","20","56","58","blue-93","blue","421","sampling-task","92","460811","0.0-5.0-0.78-0.78","26","evp0h0fk","high"
"5","10","fixed","20","56","77","blue-189","blue","526","sampling-task","93","462219","0.0-5.0-0.79-0.79","26","evp0h0fk","high"
"5","11","fixed","20","56","35","blue-68","blue","486","sampling-task","94","464579","0.0-5.0-0.80-0.80","26","evp0h0fk","high"
"5","12","fixed","20","56","41","blue-44","blue","574","sampling-task","95","466211","0.0-5.0-0.81-0.81","26","evp0h0fk","high"
"5","13","fixed","20","56","32","blue-191","blue","550","sampling-task","96","467875","0.0-5.0-0.82-0.82","26","evp0h0fk","high"
"5","14","fixed","20","56","39","blue-73","blue","510","sampling-task","97","469323","0.0-5.0-0.83-0.83","26","evp0h0fk","high"
"5","15","fixed","20","56","57","blue-193","blue","582","sampling-task","98","470875","0.0-5.0-0.84-0.84","26","evp0h0fk","high"
"5","16","fixed","20","56","74","blue-170","blue","526","sampling-task","99","472483","0.0-5.0-0.85-0.85","26","evp0h0fk","high"
"5","17","fixed","20","56","40","blue-37","blue","486","sampling-task","100","473883","0.0-5.0-0.86-0.86","26","evp0h0fk","high"
"5","18","fixed","20","56","86","blue-13","blue","470","sampling-task","101","475267","0.0-5.0-0.87-0.87","26","evp0h0fk","high"
"5","19","fixed","20","56","75","blue-61","blue","446","sampling-task","102","478315","0.0-5.0-0.88-0.88","26","evp0h0fk","high"
"5","20","fixed","20","56","40","blue-193","blue","446","sampling-task","103","479651","0.0-5.0-0.89-0.89","26","evp0h0fk","high"
"6","1","free","220","79","80","purple-102","purple","1332","sampling-task","106","499611","0.0-5.0-0.90-0.90","26","evp0h0fk","high"
"6","2","free","220","79","78","purple-76","purple","430","sampling-task","107","500995","0.0-5.0-0.91-0.91","26","evp0h0fk","high"
"6","3","free","220","79","90","purple-58","purple","414","sampling-task","108","502459","0.0-5.0-0.92-0.92","26","evp0h0fk","high"
"6","4","free","220","79","71","purple-153","purple","334","sampling-task","109","503731","0.0-5.0-0.93-0.93","26","evp0h0fk","high"
"6","5","free","220","79","82","purple-36","purple","358","sampling-task","110","504915","0.0-5.0-0.94-0.94","26","evp0h0fk","high"
"6","6","free","220","79","61","purple-176","purple","382","sampling-task","111","506147","0.0-5.0-0.95-0.95","26","evp0h0fk","high"
"6","7","free","220","79","96","purple-1","purple","310","sampling-task","112","507267","0.0-5.0-0.96-0.96","26","evp0h0fk","high"
"6","8","free","220","79","58","purple-164","purple","318","sampling-task","113","508395","0.0-5.0-0.97-0.97","26","evp0h0fk","high"
"6","9","free","220","79","100","purple-116","purple","374","sampling-task","114","509723","0.0-5.0-0.98-0.98","26","evp0h0fk","high"
"6","10","free","220","79","75","purple-110","purple","366","sampling-task","115","510971","0.0-5.0-0.99-0.99","26","evp0h0fk","high"
"6","11","free","220","79","80","purple-168","purple","358","sampling-task","116","512123","0.0-5.0-0.100-0.100","26","evp0h0fk","high"
"6","12","free","220","79","64","purple-54","purple","382","sampling-task","117","513724","0.0-5.0-0.101-0.101","26","evp0h0fk","high"
