"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","19","17","purple-204","purple","6919","sampling-task","21","630594","0.0-5.0-0.0-0.0","27","g8cs2qqn","high"
"1","2","fixed","10","19","35","purple-20","purple","6670","sampling-task","22","638938","0.0-5.0-0.1-0.1","27","g8cs2qqn","high"
"1","3","fixed","10","19","14","purple-17","purple","1766","sampling-task","23","642154","0.0-5.0-0.2-0.2","27","g8cs2qqn","high"
"1","4","fixed","10","19","-16","purple-171","purple","1023","sampling-task","24","644666","0.0-5.0-0.3-0.3","27","g8cs2qqn","high"
"1","5","fixed","10","19","34","purple-220","purple","1622","sampling-task","25","647562","0.0-5.0-0.4-0.4","27","g8cs2qqn","high"
"1","6","fixed","10","19","14","purple-124","purple","790","sampling-task","26","649242","0.0-5.0-0.5-0.5","27","g8cs2qqn","high"
"1","7","fixed","10","19","0","purple-123","purple","726","sampling-task","27","650978","0.0-5.0-0.6-0.6","27","g8cs2qqn","high"
"1","8","fixed","10","19","24","purple-98","purple","870","sampling-task","28","652738","0.0-5.0-0.7-0.7","27","g8cs2qqn","high"
"1","9","fixed","10","19","22","purple-93","purple","1326","sampling-task","29","654946","0.0-5.0-0.8-0.8","27","g8cs2qqn","high"
"1","10","fixed","10","19","58","purple-89","purple","822","sampling-task","30","656706","0.0-5.0-0.9-0.9","27","g8cs2qqn","high"
"2","1","free","220","35","33","yellow-97","yellow","3820","sampling-task","33","695937","0.0-5.0-0.10-0.10","27","g8cs2qqn","high"
"2","2","free","220","35","13","yellow-79","yellow","870","sampling-task","34","698905","0.0-5.0-0.11-0.11","27","g8cs2qqn","high"
"2","3","free","220","35","36","yellow-193","yellow","662","sampling-task","35","700577","0.0-5.0-0.12-0.12","27","g8cs2qqn","high"
"2","4","free","220","35","15","yellow-53","yellow","671","sampling-task","36","702129","0.0-5.0-0.13-0.13","27","g8cs2qqn","high"
"2","5","free","220","35","4","yellow-209","yellow","927","sampling-task","37","704105","0.0-5.0-0.14-0.14","27","g8cs2qqn","high"
"2","6","free","220","35","47","yellow-118","yellow","871","sampling-task","38","705913","0.0-5.0-0.15-0.15","27","g8cs2qqn","high"
