"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","76","67","purple-210","purple","5676","sampling-task","6","1070155","0.0-5.0-0.0-0.0","28","1lw2jsnr","high"
"1","2","fixed","5","76","100","purple-179","purple","5518","sampling-task","7","1080330","0.0-5.0-0.1-0.1","28","1lw2jsnr","high"
"1","3","fixed","5","76","81","purple-87","purple","1462","sampling-task","8","1084362","0.0-5.0-0.2-0.2","28","1lw2jsnr","high"
"1","4","fixed","5","76","77","purple-116","purple","1822","sampling-task","9","1088082","0.0-5.0-0.3-0.3","28","1lw2jsnr","high"
"1","5","fixed","5","76","71","purple-179","purple","1263","sampling-task","10","1093578","0.0-5.0-0.4-0.4","28","1lw2jsnr","high"
"2","1","free","220","90","103","yellow-27","yellow","6541","sampling-task","13","1196098","0.0-5.0-0.5-0.5","28","1lw2jsnr","high"
"2","2","free","220","90","85","yellow-67","yellow","2029","sampling-task","14","1204929","0.0-5.0-0.6-0.6","28","1lw2jsnr","high"
"2","3","free","220","90","77","yellow-123","yellow","3655","sampling-task","15","1212817","0.0-5.0-0.7-0.7","28","1lw2jsnr","high"
"2","4","free","220","90","140","yellow-194","yellow","2782","sampling-task","16","1219049","0.0-5.0-0.8-0.8","28","1lw2jsnr","high"
"2","5","free","220","90","79","yellow-56","yellow","1334","sampling-task","17","1228834","0.0-5.0-0.9-0.9","28","1lw2jsnr","high"
"2","6","free","220","90","92","yellow-57","yellow","2910","sampling-task","18","1237361","0.0-5.0-0.10-0.10","28","1lw2jsnr","high"
"2","7","free","220","90","117","yellow-144","yellow","1438","sampling-task","19","1242833","0.0-5.0-0.11-0.11","28","1lw2jsnr","high"
"2","8","free","220","90","100","yellow-52","yellow","1087","sampling-task","20","1246384","0.0-5.0-0.12-0.12","28","1lw2jsnr","high"
"3","1","fixed","20","11","-2","red-52","red","5204","sampling-task","23","1323152","0.0-5.0-0.13-0.13","28","1lw2jsnr","high"
"3","2","fixed","20","11","57","red-158","red","1022","sampling-task","24","1327600","0.0-5.0-0.14-0.14","28","1lw2jsnr","high"
"3","3","fixed","20","11","18","red-102","red","863","sampling-task","25","1332152","0.0-5.0-0.15-0.15","28","1lw2jsnr","high"
"3","4","fixed","20","11","-1","red-148","red","2918","sampling-task","26","1337400","0.0-5.0-0.16-0.16","28","1lw2jsnr","high"
"3","5","fixed","20","11","-37","red-82","red","2838","sampling-task","27","1342304","0.0-5.0-0.17-0.17","28","1lw2jsnr","high"
"3","6","fixed","20","11","0","red-47","red","1694","sampling-task","28","1345696","0.0-5.0-0.18-0.18","28","1lw2jsnr","high"
"3","7","fixed","20","11","15","red-175","red","2479","sampling-task","29","1350905","0.0-5.0-0.19-0.19","28","1lw2jsnr","high"
"3","8","fixed","20","11","-19","red-145","red","3910","sampling-task","30","1356960","0.0-5.0-0.20-0.20","28","1lw2jsnr","high"
"3","9","fixed","20","11","-13","red-53","red","11038","sampling-task","31","1373663","0.0-5.0-0.21-0.21","28","1lw2jsnr","high"
"3","10","fixed","20","11","55","red-95","red","2126","sampling-task","32","1378104","0.0-5.0-0.22-0.22","28","1lw2jsnr","high"
"3","11","fixed","20","11","-14","red-133","red","4918","sampling-task","33","1384607","0.0-5.0-0.23-0.23","28","1lw2jsnr","high"
"3","12","fixed","20","11","6","red-31","red","1198","sampling-task","34","1387583","0.0-5.0-0.24-0.24","28","1lw2jsnr","high"
"3","13","fixed","20","11","-1","red-148","red","1662","sampling-task","35","1390495","0.0-5.0-0.25-0.25","28","1lw2jsnr","high"
"3","14","fixed","20","11","-21","red-182","red","1406","sampling-task","36","1399688","0.0-5.0-0.26-0.26","28","1lw2jsnr","high"
"3","15","fixed","20","11","24","red-53","red","1446","sampling-task","37","1405992","0.0-5.0-0.27-0.27","28","1lw2jsnr","high"
"3","16","fixed","20","11","15","red-128","red","1966","sampling-task","38","1411327","0.0-5.0-0.28-0.28","28","1lw2jsnr","high"
"3","17","fixed","20","11","10","red-171","red","1238","sampling-task","39","1414431","0.0-5.0-0.29-0.29","28","1lw2jsnr","high"
"3","18","fixed","20","11","-18","red-6","red","910","sampling-task","40","1416832","0.0-5.0-0.30-0.30","28","1lw2jsnr","high"
"3","19","fixed","20","11","38","red-155","red","1766","sampling-task","41","1420439","0.0-5.0-0.31-0.31","28","1lw2jsnr","high"
"3","20","fixed","20","11","53","red-107","red","6830","sampling-task","42","1429775","0.0-5.0-0.32-0.32","28","1lw2jsnr","high"
"4","1","free","220","112","126","orange-193","orange","4932","sampling-task","45","1507247","0.0-5.0-0.33-0.33","28","1lw2jsnr","high"
"4","2","free","220","112","136","orange-209","orange","3406","sampling-task","46","1512599","0.0-5.0-0.34-0.34","28","1lw2jsnr","high"
"4","3","free","220","112","133","orange-70","orange","1254","sampling-task","47","1515375","0.0-5.0-0.35-0.35","28","1lw2jsnr","high"
"4","4","free","220","112","90","orange-180","orange","725","sampling-task","48","1517735","0.0-5.0-0.36-0.36","28","1lw2jsnr","high"
"4","5","free","220","112","105","orange-61","orange","814","sampling-task","49","1520999","0.0-5.0-0.37-0.37","28","1lw2jsnr","high"
"4","6","free","220","112","113","orange-165","orange","870","sampling-task","50","1523335","0.0-5.0-0.38-0.38","28","1lw2jsnr","high"
"4","7","free","220","112","116","orange-41","orange","902","sampling-task","51","1525399","0.0-5.0-0.39-0.39","28","1lw2jsnr","high"
"4","8","free","220","112","100","orange-62","orange","654","sampling-task","52","1527823","0.0-5.0-0.40-0.40","28","1lw2jsnr","high"
"4","9","free","220","112","110","orange-146","orange","1006","sampling-task","53","1529895","0.0-5.0-0.41-0.41","28","1lw2jsnr","high"
"4","10","free","220","112","132","orange-87","orange","726","sampling-task","54","1531687","0.0-5.0-0.42-0.42","28","1lw2jsnr","high"
"4","11","free","220","112","134","orange-48","orange","942","sampling-task","55","1533751","0.0-5.0-0.43-0.43","28","1lw2jsnr","high"
"4","12","free","220","112","94","orange-201","orange","766","sampling-task","56","1535655","0.0-5.0-0.44-0.44","28","1lw2jsnr","high"
"4","13","free","220","112","56","orange-133","orange","1438","sampling-task","57","1538735","0.0-5.0-0.45-0.45","28","1lw2jsnr","high"
"4","14","free","220","112","118","orange-67","orange","805","sampling-task","58","1540967","0.0-5.0-0.46-0.46","28","1lw2jsnr","high"
"4","15","free","220","112","110","orange-136","orange","950","sampling-task","59","1543039","0.0-5.0-0.47-0.47","28","1lw2jsnr","high"
"4","16","free","220","112","148","orange-161","orange","782","sampling-task","60","1545319","0.0-5.0-0.48-0.48","28","1lw2jsnr","high"
"4","17","free","220","112","77","orange-110","orange","806","sampling-task","61","1548142","0.0-5.0-0.49-0.49","28","1lw2jsnr","high"
"4","18","free","220","112","99","orange-65","orange","1231","sampling-task","62","1550806","0.0-5.0-0.50-0.50","28","1lw2jsnr","high"
"4","19","free","220","112","127","orange-106","orange","958","sampling-task","63","1553318","0.0-5.0-0.51-0.51","28","1lw2jsnr","high"
"4","20","free","220","112","130","orange-74","orange","1815","sampling-task","64","1556750","0.0-5.0-0.52-0.52","28","1lw2jsnr","high"
"4","21","free","220","112","86","orange-136","orange","1046","sampling-task","65","1558846","0.0-5.0-0.53-0.53","28","1lw2jsnr","high"
"4","22","free","220","112","108","orange-199","orange","1046","sampling-task","66","1561126","0.0-5.0-0.54-0.54","28","1lw2jsnr","high"
"4","23","free","220","112","84","orange-86","orange","502","sampling-task","67","1564118","0.0-5.0-0.55-0.55","28","1lw2jsnr","high"
"4","24","free","220","112","113","orange-59","orange","990","sampling-task","68","1567550","0.0-5.0-0.56-0.56","28","1lw2jsnr","high"
"4","25","free","220","112","116","orange-24","orange","1287","sampling-task","69","1569782","0.0-5.0-0.57-0.57","28","1lw2jsnr","high"
"4","26","free","220","112","121","orange-146","orange","702","sampling-task","70","1571454","0.0-5.0-0.58-0.58","28","1lw2jsnr","high"
"4","27","free","220","112","124","orange-141","orange","783","sampling-task","71","1573126","0.0-5.0-0.59-0.59","28","1lw2jsnr","high"
"4","28","free","220","112","124","orange-60","orange","734","sampling-task","72","1574734","0.0-5.0-0.60-0.60","28","1lw2jsnr","high"
"4","29","free","220","112","137","orange-114","orange","790","sampling-task","73","1576502","0.0-5.0-0.61-0.61","28","1lw2jsnr","high"
"4","30","free","220","112","160","orange-44","orange","735","sampling-task","74","1578246","0.0-5.0-0.62-0.62","28","1lw2jsnr","high"
"4","31","free","220","112","131","orange-18","orange","838","sampling-task","75","1580334","0.0-5.0-0.63-0.63","28","1lw2jsnr","high"
"4","32","free","220","112","90","orange-84","orange","1038","sampling-task","76","1582630","0.0-5.0-0.64-0.64","28","1lw2jsnr","high"
"4","33","free","220","112","127","orange-122","orange","862","sampling-task","77","1585038","0.0-5.0-0.65-0.65","28","1lw2jsnr","high"
"4","34","free","220","112","135","orange-207","orange","959","sampling-task","78","1587790","0.0-5.0-0.66-0.66","28","1lw2jsnr","high"
"4","35","free","220","112","158","orange-85","orange","910","sampling-task","79","1590238","0.0-5.0-0.67-0.67","28","1lw2jsnr","high"
"4","36","free","220","112","87","orange-183","orange","1558","sampling-task","80","1594278","0.0-5.0-0.68-0.68","28","1lw2jsnr","high"
"5","1","fixed","10","31","21","blue-199","blue","3613","sampling-task","83","1663486","0.0-5.0-0.69-0.69","28","1lw2jsnr","high"
"5","2","fixed","10","31","18","blue-49","blue","1190","sampling-task","84","1666614","0.0-5.0-0.70-0.70","28","1lw2jsnr","high"
"5","3","fixed","10","31","32","blue-59","blue","1270","sampling-task","85","1670333","0.0-5.0-0.71-0.71","28","1lw2jsnr","high"
"5","4","fixed","10","31","46","blue-58","blue","1510","sampling-task","86","1673629","0.0-5.0-0.72-0.72","28","1lw2jsnr","high"
"5","5","fixed","10","31","32","blue-178","blue","1574","sampling-task","87","1676358","0.0-5.0-0.73-0.73","28","1lw2jsnr","high"
"5","6","fixed","10","31","29","blue-131","blue","1646","sampling-task","88","1680133","0.0-5.0-0.74-0.74","28","1lw2jsnr","high"
"5","7","fixed","10","31","-5","blue-16","blue","2310","sampling-task","89","1691837","0.0-5.0-0.75-0.75","28","1lw2jsnr","high"
"5","8","fixed","10","31","18","blue-74","blue","1246","sampling-task","90","1694197","0.0-5.0-0.76-0.76","28","1lw2jsnr","high"
"5","9","fixed","10","31","17","blue-137","blue","780","sampling-task","91","1696053","0.0-5.0-0.77-0.77","28","1lw2jsnr","high"
"5","10","fixed","10","31","67","blue-157","blue","1006","sampling-task","92","1698085","0.0-5.0-0.78-0.78","28","1lw2jsnr","high"
"6","1","free","220","57","67","green-37","green","2516","sampling-task","95","1746453","0.0-5.0-0.79-0.79","28","1lw2jsnr","high"
"6","2","free","220","57","35","green-39","green","3710","sampling-task","96","1751677","0.0-5.0-0.80-0.80","28","1lw2jsnr","high"
"6","3","free","220","57","49","green-46","green","1230","sampling-task","97","1753973","0.0-5.0-0.81-0.81","28","1lw2jsnr","high"
"6","4","free","220","57","41","green-67","green","988","sampling-task","98","1756053","0.0-5.0-0.82-0.82","28","1lw2jsnr","high"
"6","5","free","220","57","41","green-58","green","773","sampling-task","99","1757877","0.0-5.0-0.83-0.83","28","1lw2jsnr","high"
"6","6","free","220","57","40","green-184","green","614","sampling-task","100","1759645","0.0-5.0-0.84-0.84","28","1lw2jsnr","high"
"6","7","free","220","57","90","green-91","green","782","sampling-task","101","1761605","0.0-5.0-0.85-0.85","28","1lw2jsnr","high"
"6","8","free","220","57","56","green-102","green","790","sampling-task","102","1763453","0.0-5.0-0.86-0.86","28","1lw2jsnr","high"
"6","9","free","220","57","55","green-98","green","765","sampling-task","103","1767861","0.0-5.0-0.87-0.87","28","1lw2jsnr","high"
"6","10","free","220","57","45","green-40","green","1253","sampling-task","104","1771469","0.0-5.0-0.88-0.88","28","1lw2jsnr","high"
"6","11","free","220","57","62","green-220","green","1542","sampling-task","105","1775469","0.0-5.0-0.89-0.89","28","1lw2jsnr","high"
"6","12","free","220","57","60","green-21","green","1213","sampling-task","106","1777765","0.0-5.0-0.90-0.90","28","1lw2jsnr","high"
"6","13","free","220","57","91","green-6","green","1966","sampling-task","107","1783141","0.0-5.0-0.91-0.91","28","1lw2jsnr","high"
"6","14","free","220","57","55","green-140","green","1333","sampling-task","108","1785669","0.0-5.0-0.92-0.92","28","1lw2jsnr","high"
"6","15","free","220","57","49","green-182","green","1254","sampling-task","109","1788213","0.0-5.0-0.93-0.93","28","1lw2jsnr","high"
"6","16","free","220","57","48","green-174","green","1294","sampling-task","110","1790524","0.0-5.0-0.94-0.94","28","1lw2jsnr","high"
"6","17","free","220","57","58","green-132","green","1062","sampling-task","111","1792652","0.0-5.0-0.95-0.95","28","1lw2jsnr","high"
"6","18","free","220","57","57","green-90","green","798","sampling-task","112","1794684","0.0-5.0-0.96-0.96","28","1lw2jsnr","high"
"6","19","free","220","57","52","green-42","green","766","sampling-task","113","1797628","0.0-5.0-0.97-0.97","28","1lw2jsnr","high"
"6","20","free","220","57","61","green-71","green","1446","sampling-task","114","1800685","0.0-5.0-0.98-0.98","28","1lw2jsnr","high"
