"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","78","109","red-25","red","9475","sampling-task","6","281993","0.0-5.0-0.0-0.0","29","vf0ua580","low"
"1","2","fixed","10","78","89","red-25","red","1005","sampling-task","7","284713","0.0-5.0-0.1-0.1","29","vf0ua580","low"
"1","3","fixed","10","78","89","red-25","red","702","sampling-task","8","288329","0.0-5.0-0.2-0.2","29","vf0ua580","low"
"1","4","fixed","10","78","82","red-25","red","661","sampling-task","9","291025","0.0-5.0-0.3-0.3","29","vf0ua580","low"
"1","5","fixed","10","78","58","red-25","red","542","sampling-task","10","294561","0.0-5.0-0.4-0.4","29","vf0ua580","low"
"1","6","fixed","10","78","94","red-25","red","454","sampling-task","11","296585","0.0-5.0-0.5-0.5","29","vf0ua580","low"
"1","7","fixed","10","78","56","red-25","red","486","sampling-task","12","298417","0.0-5.0-0.6-0.6","29","vf0ua580","low"
"1","8","fixed","10","78","83","red-25","red","398","sampling-task","13","300113","0.0-5.0-0.7-0.7","29","vf0ua580","low"
"1","9","fixed","10","78","83","red-25","red","398","sampling-task","14","301857","0.0-5.0-0.8-0.8","29","vf0ua580","low"
"1","10","fixed","10","78","62","red-25","red","398","sampling-task","15","303321","0.0-5.0-0.9-0.9","29","vf0ua580","low"
"2","1","free","220","114","147","orange-213","orange","1724","sampling-task","18","420279","0.0-5.0-0.10-0.10","29","vf0ua580","low"
"2","2","free","220","114","85","orange-213","orange","750","sampling-task","19","422063","0.0-5.0-0.11-0.11","29","vf0ua580","low"
"2","3","free","220","114","137","orange-213","orange","374","sampling-task","20","423439","0.0-5.0-0.12-0.12","29","vf0ua580","low"
"2","4","free","220","114","144","orange-213","orange","334","sampling-task","21","426327","0.0-5.0-0.13-0.13","29","vf0ua580","low"
"2","5","free","220","114","101","orange-213","orange","406","sampling-task","22","427607","0.0-5.0-0.14-0.14","29","vf0ua580","low"
"2","6","free","220","114","110","orange-213","orange","318","sampling-task","23","428791","0.0-5.0-0.15-0.15","29","vf0ua580","low"
"2","7","free","220","114","72","orange-213","orange","262","sampling-task","24","430119","0.0-5.0-0.16-0.16","29","vf0ua580","low"
"2","8","free","220","114","125","orange-213","orange","286","sampling-task","25","431311","0.0-5.0-0.17-0.17","29","vf0ua580","low"
"2","9","free","220","114","123","orange-213","orange","278","sampling-task","26","432551","0.0-5.0-0.18-0.18","29","vf0ua580","low"
"2","10","free","220","114","101","orange-213","orange","262","sampling-task","27","433663","0.0-5.0-0.19-0.19","29","vf0ua580","low"
"2","11","free","220","114","119","orange-213","orange","270","sampling-task","28","434807","0.0-5.0-0.20-0.20","29","vf0ua580","low"
"2","12","free","220","114","132","orange-213","orange","286","sampling-task","29","436135","0.0-5.0-0.21-0.21","29","vf0ua580","low"
"2","13","free","220","114","130","orange-213","orange","295","sampling-task","30","437271","0.0-5.0-0.22-0.22","29","vf0ua580","low"
"2","14","free","220","114","104","orange-213","orange","278","sampling-task","31","438455","0.0-5.0-0.23-0.23","29","vf0ua580","low"
"2","15","free","220","114","119","orange-213","orange","294","sampling-task","32","439711","0.0-5.0-0.24-0.24","29","vf0ua580","low"
"2","16","free","220","114","94","orange-213","orange","318","sampling-task","33","440902","0.0-5.0-0.25-0.25","29","vf0ua580","low"
"2","17","free","220","114","137","orange-213","orange","294","sampling-task","34","442413","0.0-5.0-0.26-0.26","29","vf0ua580","low"
"2","18","free","220","114","119","orange-213","orange","286","sampling-task","35","443949","0.0-5.0-0.27-0.27","29","vf0ua580","low"
"2","19","free","220","114","121","orange-213","orange","374","sampling-task","36","445278","0.0-5.0-0.28-0.28","29","vf0ua580","low"
"2","20","free","220","114","104","orange-213","orange","287","sampling-task","37","446478","0.0-5.0-0.29-0.29","29","vf0ua580","low"
"2","21","free","220","114","155","orange-213","orange","294","sampling-task","38","448478","0.0-5.0-0.30-0.30","29","vf0ua580","low"
"3","1","fixed","20","37","34","blue-43","blue","3421","sampling-task","41","480357","0.0-5.0-0.31-0.31","29","vf0ua580","low"
"3","2","fixed","20","37","45","blue-43","blue","390","sampling-task","42","481774","0.0-5.0-0.32-0.32","29","vf0ua580","low"
"3","3","fixed","20","37","49","blue-43","blue","398","sampling-task","43","485838","0.0-5.0-0.33-0.33","29","vf0ua580","low"
"3","4","fixed","20","37","48","blue-43","blue","390","sampling-task","44","487182","0.0-5.0-0.34-0.34","29","vf0ua580","low"
"3","5","fixed","20","37","59","blue-43","blue","326","sampling-task","45","488438","0.0-5.0-0.35-0.35","29","vf0ua580","low"
"3","6","fixed","20","37","76","blue-43","blue","326","sampling-task","46","489861","0.0-5.0-0.36-0.36","29","vf0ua580","low"
"3","7","fixed","20","37","37","blue-43","blue","358","sampling-task","47","491605","0.0-5.0-0.37-0.37","29","vf0ua580","low"
"3","8","fixed","20","37","10","blue-43","blue","349","sampling-task","48","492901","0.0-5.0-0.38-0.38","29","vf0ua580","low"
"3","9","fixed","20","37","34","blue-43","blue","342","sampling-task","49","494349","0.0-5.0-0.39-0.39","29","vf0ua580","low"
"3","10","fixed","20","37","40","blue-43","blue","374","sampling-task","50","495661","0.0-5.0-0.40-0.40","29","vf0ua580","low"
"3","11","fixed","20","37","70","blue-43","blue","342","sampling-task","51","497126","0.0-5.0-0.41-0.41","29","vf0ua580","low"
"3","12","fixed","20","37","16","blue-43","blue","342","sampling-task","52","498550","0.0-5.0-0.42-0.42","29","vf0ua580","low"
"3","13","fixed","20","37","50","blue-43","blue","302","sampling-task","53","499805","0.0-5.0-0.43-0.43","29","vf0ua580","low"
"3","14","fixed","20","37","40","blue-43","blue","294","sampling-task","54","501084","0.0-5.0-0.44-0.44","29","vf0ua580","low"
"3","15","fixed","20","37","25","blue-43","blue","302","sampling-task","55","502204","0.0-5.0-0.45-0.45","29","vf0ua580","low"
"3","16","fixed","20","37","74","blue-43","blue","279","sampling-task","56","503356","0.0-5.0-0.46-0.46","29","vf0ua580","low"
"3","17","fixed","20","37","40","blue-43","blue","286","sampling-task","57","504476","0.0-5.0-0.47-0.47","29","vf0ua580","low"
"3","18","fixed","20","37","38","blue-43","blue","279","sampling-task","58","505652","0.0-5.0-0.48-0.48","29","vf0ua580","low"
"3","19","fixed","20","37","54","blue-43","blue","278","sampling-task","59","506788","0.0-5.0-0.49-0.49","29","vf0ua580","low"
"3","20","fixed","20","37","76","blue-43","blue","246","sampling-task","60","507901","0.0-5.0-0.50-0.50","29","vf0ua580","low"
"4","1","free","220","56","47","yellow-100","yellow","2237","sampling-task","63","527308","0.0-5.0-0.51-0.51","29","vf0ua580","low"
"4","2","free","220","56","76","yellow-100","yellow","590","sampling-task","64","528900","0.0-5.0-0.52-0.52","29","vf0ua580","low"
"4","3","free","220","56","40","yellow-100","yellow","382","sampling-task","65","530236","0.0-5.0-0.53-0.53","29","vf0ua580","low"
"4","4","free","220","56","66","yellow-100","yellow","318","sampling-task","66","531412","0.0-5.0-0.54-0.54","29","vf0ua580","low"
"4","5","free","220","56","53","yellow-100","yellow","318","sampling-task","67","532588","0.0-5.0-0.55-0.55","29","vf0ua580","low"
"4","6","free","220","56","49","yellow-100","yellow","342","sampling-task","68","534524","0.0-5.0-0.56-0.56","29","vf0ua580","low"
"4","7","free","220","56","35","yellow-100","yellow","350","sampling-task","69","535708","0.0-5.0-0.57-0.57","29","vf0ua580","low"
"4","8","free","220","56","75","yellow-100","yellow","294","sampling-task","70","536924","0.0-5.0-0.58-0.58","29","vf0ua580","low"
"4","9","free","220","56","77","yellow-100","yellow","286","sampling-task","71","538372","0.0-5.0-0.59-0.59","29","vf0ua580","low"
"4","10","free","220","56","51","yellow-100","yellow","270","sampling-task","72","539493","0.0-5.0-0.60-0.60","29","vf0ua580","low"
"4","11","free","220","56","120","yellow-100","yellow","254","sampling-task","73","540692","0.0-5.0-0.61-0.61","29","vf0ua580","low"
"4","12","free","220","56","51","yellow-100","yellow","350","sampling-task","74","541852","0.0-5.0-0.62-0.62","29","vf0ua580","low"
"4","13","free","220","56","38","yellow-100","yellow","326","sampling-task","75","543037","0.0-5.0-0.63-0.63","29","vf0ua580","low"
"4","14","free","220","56","58","yellow-100","yellow","270","sampling-task","76","544100","0.0-5.0-0.64-0.64","29","vf0ua580","low"
"4","15","free","220","56","54","yellow-100","yellow","342","sampling-task","77","545276","0.0-5.0-0.65-0.65","29","vf0ua580","low"
"4","16","free","220","56","61","yellow-100","yellow","302","sampling-task","78","546420","0.0-5.0-0.66-0.66","29","vf0ua580","low"
"4","17","free","220","56","54","yellow-100","yellow","358","sampling-task","79","547796","0.0-5.0-0.67-0.67","29","vf0ua580","low"
"4","18","free","220","56","47","yellow-100","yellow","342","sampling-task","80","549148","0.0-5.0-0.68-0.68","29","vf0ua580","low"
"4","19","free","220","56","43","yellow-100","yellow","326","sampling-task","81","550380","0.0-5.0-0.69-0.69","29","vf0ua580","low"
"4","20","free","220","56","51","yellow-100","yellow","310","sampling-task","82","551517","0.0-5.0-0.70-0.70","29","vf0ua580","low"
"4","21","free","220","56","51","yellow-100","yellow","294","sampling-task","83","552636","0.0-5.0-0.71-0.71","29","vf0ua580","low"
"4","22","free","220","56","57","yellow-100","yellow","310","sampling-task","84","553788","0.0-5.0-0.72-0.72","29","vf0ua580","low"
"4","23","free","220","56","82","yellow-100","yellow","278","sampling-task","85","554940","0.0-5.0-0.73-0.73","29","vf0ua580","low"
"4","24","free","220","56","18","yellow-100","yellow","286","sampling-task","86","556116","0.0-5.0-0.74-0.74","29","vf0ua580","low"
"4","25","free","220","56","51","yellow-100","yellow","366","sampling-task","87","557340","0.0-5.0-0.75-0.75","29","vf0ua580","low"
"4","26","free","220","56","73","yellow-100","yellow","318","sampling-task","88","558524","0.0-5.0-0.76-0.76","29","vf0ua580","low"
"4","27","free","220","56","65","yellow-100","yellow","342","sampling-task","89","559676","0.0-5.0-0.77-0.77","29","vf0ua580","low"
"4","28","free","220","56","40","yellow-100","yellow","309","sampling-task","90","560867","0.0-5.0-0.78-0.78","29","vf0ua580","low"
"4","29","free","220","56","38","yellow-100","yellow","302","sampling-task","91","562331","0.0-5.0-0.79-0.79","29","vf0ua580","low"
"4","30","free","220","56","72","yellow-100","yellow","310","sampling-task","92","563459","0.0-5.0-0.80-0.80","29","vf0ua580","low"
"4","31","free","220","56","56","yellow-100","yellow","294","sampling-task","93","564595","0.0-5.0-0.81-0.81","29","vf0ua580","low"
"4","32","free","220","56","39","yellow-100","yellow","310","sampling-task","94","565691","0.0-5.0-0.82-0.82","29","vf0ua580","low"
"4","33","free","220","56","30","yellow-100","yellow","302","sampling-task","95","566787","0.0-5.0-0.83-0.83","29","vf0ua580","low"
"4","34","free","220","56","40","yellow-100","yellow","310","sampling-task","96","567915","0.0-5.0-0.84-0.84","29","vf0ua580","low"
"4","35","free","220","56","56","yellow-100","yellow","662","sampling-task","97","569459","0.0-5.0-0.85-0.85","29","vf0ua580","low"
"5","1","fixed","5","98","86","purple-7","purple","1613","sampling-task","100","588443","0.0-5.0-0.86-0.86","29","vf0ua580","low"
"5","2","fixed","5","98","106","purple-7","purple","358","sampling-task","101","589659","0.0-5.0-0.87-0.87","29","vf0ua580","low"
"5","3","fixed","5","98","60","purple-7","purple","502","sampling-task","102","591435","0.0-5.0-0.88-0.88","29","vf0ua580","low"
"5","4","fixed","5","98","81","purple-7","purple","334","sampling-task","103","593075","0.0-5.0-0.89-0.89","29","vf0ua580","low"
"5","5","fixed","5","98","124","purple-7","purple","486","sampling-task","104","595195","0.0-5.0-0.90-0.90","29","vf0ua580","low"
"6","1","free","220","13","-8","green-44","green","1805","sampling-task","107","627553","0.0-5.0-0.91-0.91","29","vf0ua580","low"
"6","2","free","220","13","31","green-44","green","382","sampling-task","108","628833","0.0-5.0-0.92-0.92","29","vf0ua580","low"
"6","3","free","220","13","12","green-44","green","318","sampling-task","109","629977","0.0-5.0-0.93-0.93","29","vf0ua580","low"
"6","4","free","220","13","-1","green-44","green","358","sampling-task","110","631185","0.0-5.0-0.94-0.94","29","vf0ua580","low"
"6","5","free","220","13","16","green-44","green","318","sampling-task","111","632481","0.0-5.0-0.95-0.95","29","vf0ua580","low"
"6","6","free","220","13","35","green-44","green","310","sampling-task","112","633665","0.0-5.0-0.96-0.96","29","vf0ua580","low"
"6","7","free","220","13","1","green-44","green","318","sampling-task","113","634961","0.0-5.0-0.97-0.97","29","vf0ua580","low"
"6","8","free","220","13","45","green-44","green","382","sampling-task","114","636193","0.0-5.0-0.98-0.98","29","vf0ua580","low"
"6","9","free","220","13","-24","green-44","green","302","sampling-task","115","637425","0.0-5.0-0.99-0.99","29","vf0ua580","low"
"6","10","free","220","13","16","green-44","green","326","sampling-task","116","638833","0.0-5.0-0.100-0.100","29","vf0ua580","low"
"6","11","free","220","13","-7","green-44","green","326","sampling-task","117","640073","0.0-5.0-0.101-0.101","29","vf0ua580","low"
"6","12","free","220","13","8","green-44","green","310","sampling-task","118","641217","0.0-5.0-0.102-0.102","29","vf0ua580","low"
"6","13","free","220","13","10","green-44","green","342","sampling-task","119","642369","0.0-5.0-0.103-0.103","29","vf0ua580","low"
