"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","79","83","red-10","red","20870","sampling-task","9","598807","0.0-5.0-0.0-0.0","3","m4k6flcr","high"
"1","2","fixed","5","79","83","red-93","red","5342","sampling-task","10","609118","0.0-5.0-0.1-0.1","3","m4k6flcr","high"
"1","3","fixed","5","79","90","red-100","red","2446","sampling-task","11","614117","0.0-5.0-0.2-0.2","3","m4k6flcr","high"
"1","4","fixed","5","79","103","red-118","red","4390","sampling-task","12","621317","0.0-5.0-0.3-0.3","3","m4k6flcr","high"
"1","5","fixed","5","79","72","red-100","red","3230","sampling-task","13","630053","0.0-5.0-0.4-0.4","3","m4k6flcr","high"
"2","1","free","220","92","118","orange-213","orange","6236","sampling-task","16","706901","0.0-5.0-0.5-0.5","3","m4k6flcr","high"
"2","2","free","220","92","91","orange-42","orange","1998","sampling-task","17","711317","0.0-5.0-0.6-0.6","3","m4k6flcr","high"
"2","3","free","220","92","104","orange-177","orange","2334","sampling-task","18","716212","0.0-5.0-0.7-0.7","3","m4k6flcr","high"
"2","4","free","220","92","103","orange-154","orange","2934","sampling-task","19","722597","0.0-5.0-0.8-0.8","3","m4k6flcr","high"
"2","5","free","220","92","60","orange-30","orange","7558","sampling-task","20","734709","0.0-5.0-0.9-0.9","3","m4k6flcr","high"
"2","6","free","220","92","73","orange-181","orange","2093","sampling-task","21","738803","0.0-5.0-0.10-0.10","3","m4k6flcr","high"
"2","7","free","220","92","85","orange-134","orange","2070","sampling-task","22","743547","0.0-5.0-0.11-0.11","3","m4k6flcr","high"
"2","8","free","220","92","74","orange-110","orange","2094","sampling-task","23","748331","0.0-5.0-0.12-0.12","3","m4k6flcr","high"
"2","9","free","220","92","114","orange-156","orange","2038","sampling-task","24","752659","0.0-5.0-0.13-0.13","3","m4k6flcr","high"
"2","10","free","220","92","121","orange-84","orange","1966","sampling-task","25","758716","0.0-5.0-0.14-0.14","3","m4k6flcr","high"
"2","11","free","220","92","93","orange-78","orange","2550","sampling-task","26","764435","0.0-5.0-0.15-0.15","3","m4k6flcr","high"
"2","12","free","220","92","91","orange-52","orange","2166","sampling-task","27","769699","0.0-5.0-0.16-0.16","3","m4k6flcr","high"
"2","13","free","220","92","98","orange-164","orange","1798","sampling-task","28","774267","0.0-5.0-0.17-0.17","3","m4k6flcr","high"
"2","14","free","220","92","64","orange-70","orange","1390","sampling-task","29","777763","0.0-5.0-0.18-0.18","3","m4k6flcr","high"
"2","15","free","220","92","129","orange-104","orange","1766","sampling-task","30","782195","0.0-5.0-0.19-0.19","3","m4k6flcr","high"
"2","16","free","220","92","59","orange-111","orange","2294","sampling-task","31","787811","0.0-5.0-0.20-0.20","3","m4k6flcr","high"
"2","17","free","220","92","94","orange-96","orange","4326","sampling-task","32","793564","0.0-5.0-0.21-0.21","3","m4k6flcr","high"
"2","18","free","220","92","78","orange-71","orange","1965","sampling-task","33","797283","0.0-5.0-0.22-0.22","3","m4k6flcr","high"
"2","19","free","220","92","101","orange-145","orange","2006","sampling-task","34","801347","0.0-5.0-0.23-0.23","3","m4k6flcr","high"
"2","20","free","220","92","65","orange-181","orange","1686","sampling-task","35","805283","0.0-5.0-0.24-0.24","3","m4k6flcr","high"
"2","21","free","220","92","71","orange-33","orange","2294","sampling-task","36","810163","0.0-5.0-0.25-0.25","3","m4k6flcr","high"
"3","1","fixed","10","53","19","green-10","green","11435","sampling-task","39","869818","0.0-5.0-0.26-0.26","3","m4k6flcr","high"
"3","2","fixed","10","53","6","green-44","green","3710","sampling-task","40","876530","0.0-5.0-0.27-0.27","3","m4k6flcr","high"
"3","3","fixed","10","53","63","green-114","green","2206","sampling-task","41","881865","0.0-5.0-0.28-0.28","3","m4k6flcr","high"
"3","4","fixed","10","53","73","green-200","green","2078","sampling-task","42","886826","0.0-5.0-0.29-0.29","3","m4k6flcr","high"
"3","5","fixed","10","53","62","green-218","green","2270","sampling-task","43","892426","0.0-5.0-0.30-0.30","3","m4k6flcr","high"
"3","6","fixed","10","53","60","green-79","green","2462","sampling-task","44","901138","0.0-5.0-0.31-0.31","3","m4k6flcr","high"
"3","7","fixed","10","53","86","green-65","green","2150","sampling-task","45","907138","0.0-5.0-0.32-0.32","3","m4k6flcr","high"
"3","8","fixed","10","53","47","green-113","green","2094","sampling-task","46","911593","0.0-5.0-0.33-0.33","3","m4k6flcr","high"
"3","9","fixed","10","53","70","green-171","green","1766","sampling-task","47","915529","0.0-5.0-0.34-0.34","3","m4k6flcr","high"
"3","10","fixed","10","53","28","green-10","green","2230","sampling-task","48","919753","0.0-5.0-0.35-0.35","3","m4k6flcr","high"
"4","1","free","220","15","18","purple-206","purple","4332","sampling-task","51","987832","0.0-5.0-0.36-0.36","3","m4k6flcr","high"
"4","2","free","220","15","21","purple-81","purple","5038","sampling-task","52","995000","0.0-5.0-0.37-0.37","3","m4k6flcr","high"
"4","3","free","220","15","12","purple-109","purple","2311","sampling-task","53","999392","0.0-5.0-0.38-0.38","3","m4k6flcr","high"
"4","4","free","220","15","37","purple-193","purple","2237","sampling-task","54","1007248","0.0-5.0-0.39-0.39","3","m4k6flcr","high"
"4","5","free","220","15","11","purple-185","purple","1950","sampling-task","55","1011496","0.0-5.0-0.40-0.40","3","m4k6flcr","high"
"4","6","free","220","15","15","purple-89","purple","4398","sampling-task","56","1019368","0.0-5.0-0.41-0.41","3","m4k6flcr","high"
"4","7","free","220","15","25","purple-218","purple","2086","sampling-task","57","1024040","0.0-5.0-0.42-0.42","3","m4k6flcr","high"
"4","8","free","220","15","0","purple-166","purple","1654","sampling-task","58","1029320","0.0-5.0-0.43-0.43","3","m4k6flcr","high"
"4","9","free","220","15","0","purple-23","purple","1829","sampling-task","59","1034456","0.0-5.0-0.44-0.44","3","m4k6flcr","high"
"4","10","free","220","15","-7","purple-139","purple","1742","sampling-task","60","1038439","0.0-5.0-0.45-0.45","3","m4k6flcr","high"
"4","11","free","220","15","-14","purple-66","purple","1293","sampling-task","61","1042447","0.0-5.0-0.46-0.46","3","m4k6flcr","high"
"4","12","free","220","15","46","purple-163","purple","989","sampling-task","62","1045495","0.0-5.0-0.47-0.47","3","m4k6flcr","high"
"4","13","free","220","15","41","purple-49","purple","999","sampling-task","63","1048775","0.0-5.0-0.48-0.48","3","m4k6flcr","high"
"4","14","free","220","15","20","purple-188","purple","894","sampling-task","64","1051767","0.0-5.0-0.49-0.49","3","m4k6flcr","high"
"4","15","free","220","15","-23","purple-56","purple","876","sampling-task","65","1055087","0.0-5.0-0.50-0.50","3","m4k6flcr","high"
"5","1","fixed","20","111","104","yellow-155","yellow","5293","sampling-task","68","1136054","0.0-5.0-0.51-0.51","3","m4k6flcr","high"
"5","2","fixed","20","111","118","yellow-190","yellow","2414","sampling-task","69","1140550","0.0-5.0-0.52-0.52","3","m4k6flcr","high"
"5","3","fixed","20","111","126","yellow-35","yellow","1534","sampling-task","70","1144207","0.0-5.0-0.53-0.53","3","m4k6flcr","high"
"5","4","fixed","20","111","118","yellow-151","yellow","1685","sampling-task","71","1148086","0.0-5.0-0.54-0.54","3","m4k6flcr","high"
"5","5","fixed","20","111","95","yellow-203","yellow","1774","sampling-task","72","1151726","0.0-5.0-0.55-0.55","3","m4k6flcr","high"
"5","6","fixed","20","111","95","yellow-62","yellow","1790","sampling-task","73","1155174","0.0-5.0-0.56-0.56","3","m4k6flcr","high"
"5","7","fixed","20","111","94","yellow-142","yellow","1806","sampling-task","74","1158606","0.0-5.0-0.57-0.57","3","m4k6flcr","high"
"5","8","fixed","20","111","109","yellow-57","yellow","1950","sampling-task","75","1162383","0.0-5.0-0.58-0.58","3","m4k6flcr","high"
"5","9","fixed","20","111","140","yellow-158","yellow","1350","sampling-task","76","1165670","0.0-5.0-0.59-0.59","3","m4k6flcr","high"
"5","10","fixed","20","111","120","yellow-55","yellow","1709","sampling-task","77","1169350","0.0-5.0-0.60-0.60","3","m4k6flcr","high"
"5","11","fixed","20","111","110","yellow-75","yellow","1654","sampling-task","78","1172774","0.0-5.0-0.61-0.61","3","m4k6flcr","high"
"5","12","fixed","20","111","85","yellow-171","yellow","2022","sampling-task","79","1176565","0.0-5.0-0.62-0.62","3","m4k6flcr","high"
"5","13","fixed","20","111","110","yellow-193","yellow","1742","sampling-task","80","1180309","0.0-5.0-0.63-0.63","3","m4k6flcr","high"
"5","14","fixed","20","111","87","yellow-21","yellow","1846","sampling-task","81","1184253","0.0-5.0-0.64-0.64","3","m4k6flcr","high"
"5","15","fixed","20","111","89","yellow-39","yellow","1606","sampling-task","82","1187853","0.0-5.0-0.65-0.65","3","m4k6flcr","high"
"5","16","fixed","20","111","112","yellow-106","yellow","1910","sampling-task","83","1191798","0.0-5.0-0.66-0.66","3","m4k6flcr","high"
"5","17","fixed","20","111","153","yellow-64","yellow","1814","sampling-task","84","1196101","0.0-5.0-0.67-0.67","3","m4k6flcr","high"
"5","18","fixed","20","111","98","yellow-104","yellow","1654","sampling-task","85","1199941","0.0-5.0-0.68-0.68","3","m4k6flcr","high"
"5","19","fixed","20","111","125","yellow-170","yellow","3102","sampling-task","86","1204758","0.0-5.0-0.69-0.69","3","m4k6flcr","high"
"5","20","fixed","20","111","163","yellow-33","yellow","1862","sampling-task","87","1209317","0.0-5.0-0.70-0.70","3","m4k6flcr","high"
"6","1","free","220","36","40","blue-54","blue","2508","sampling-task","90","1253117","0.0-5.0-0.71-0.71","3","m4k6flcr","high"
"6","2","free","220","36","70","blue-38","blue","1422","sampling-task","91","1255805","0.0-5.0-0.72-0.72","3","m4k6flcr","high"
"6","3","free","220","36","76","blue-95","blue","980","sampling-task","92","1258932","0.0-5.0-0.73-0.73","3","m4k6flcr","high"
"6","4","free","220","36","27","blue-167","blue","1365","sampling-task","93","1263485","0.0-5.0-0.74-0.74","3","m4k6flcr","high"
"6","5","free","220","36","72","blue-71","blue","1070","sampling-task","94","1266948","0.0-5.0-0.75-0.75","3","m4k6flcr","high"
"6","6","free","220","36","20","blue-49","blue","822","sampling-task","95","1269532","0.0-5.0-0.76-0.76","3","m4k6flcr","high"
"6","7","free","220","36","40","blue-144","blue","1302","sampling-task","96","1275093","0.0-5.0-0.77-0.77","3","m4k6flcr","high"
"6","8","free","220","36","20","blue-146","blue","1973","sampling-task","97","1281029","0.0-5.0-0.78-0.78","3","m4k6flcr","high"
"6","9","free","220","36","5","blue-189","blue","902","sampling-task","98","1283549","0.0-5.0-0.79-0.79","3","m4k6flcr","high"
"6","10","free","220","36","28","blue-215","blue","966","sampling-task","99","1286340","0.0-5.0-0.80-0.80","3","m4k6flcr","high"
"6","11","free","220","36","36","blue-114","blue","997","sampling-task","100","1289083","0.0-5.0-0.81-0.81","3","m4k6flcr","high"
"6","12","free","220","36","42","blue-92","blue","942","sampling-task","101","1292067","0.0-5.0-0.82-0.82","3","m4k6flcr","high"
"6","13","free","220","36","63","blue-14","blue","838","sampling-task","102","1295027","0.0-5.0-0.83-0.83","3","m4k6flcr","high"
"6","14","free","220","36","37","blue-30","blue","1070","sampling-task","103","1298227","0.0-5.0-0.84-0.84","3","m4k6flcr","high"
"6","15","free","220","36","41","blue-108","blue","846","sampling-task","104","1301075","0.0-5.0-0.85-0.85","3","m4k6flcr","high"
"6","16","free","220","36","36","blue-8","blue","918","sampling-task","105","1304051","0.0-5.0-0.86-0.86","3","m4k6flcr","high"
"6","17","free","220","36","55","blue-41","blue","742","sampling-task","106","1306571","0.0-5.0-0.87-0.87","3","m4k6flcr","high"
"6","18","free","220","36","32","blue-31","blue","830","sampling-task","107","1309739","0.0-5.0-0.88-0.88","3","m4k6flcr","high"
"6","19","free","220","36","79","blue-27","blue","774","sampling-task","108","1312635","0.0-5.0-0.89-0.89","3","m4k6flcr","high"
"6","20","free","220","36","35","blue-76","blue","686","sampling-task","109","1314995","0.0-5.0-0.90-0.90","3","m4k6flcr","high"
