"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","16","17","red-97","red","7521","sampling-task","6","754060","0.0-5.0-0.0-0.0","30","ttx9pl1m","high"
"1","2","fixed","5","16","25","red-166","red","1398","sampling-task","7","757132","0.0-5.0-0.1-0.1","30","ttx9pl1m","high"
"1","3","fixed","5","16","8","red-37","red","1054","sampling-task","8","759796","0.0-5.0-0.2-0.2","30","ttx9pl1m","high"
"1","4","fixed","5","16","24","red-16","red","5061","sampling-task","9","766500","0.0-5.0-0.3-0.3","30","ttx9pl1m","high"
"1","5","fixed","5","16","16","red-46","red","1398","sampling-task","10","769548","0.0-5.0-0.4-0.4","30","ttx9pl1m","high"
"2","1","free","220","76","75","yellow-185","yellow","6468","sampling-task","13","841115","0.0-5.0-0.5-0.5","30","ttx9pl1m","high"
"2","2","free","220","76","87","yellow-155","yellow","887","sampling-task","14","846099","0.0-5.0-0.6-0.6","30","ttx9pl1m","high"
"2","3","free","220","76","78","yellow-116","yellow","975","sampling-task","15","854012","0.0-5.0-0.7-0.7","30","ttx9pl1m","high"
"2","4","free","220","76","55","yellow-39","yellow","5614","sampling-task","16","861579","0.0-5.0-0.8-0.8","30","ttx9pl1m","high"
"2","5","free","220","76","83","yellow-185","yellow","2758","sampling-task","17","866067","0.0-5.0-0.9-0.9","30","ttx9pl1m","high"
"2","6","free","220","76","73","yellow-189","yellow","910","sampling-task","18","870163","0.0-5.0-0.10-0.10","30","ttx9pl1m","high"
"2","7","free","220","76","75","yellow-70","yellow","3255","sampling-task","19","874739","0.0-5.0-0.11-0.11","30","ttx9pl1m","high"
"2","8","free","220","76","86","yellow-203","yellow","2174","sampling-task","20","880291","0.0-5.0-0.12-0.12","30","ttx9pl1m","high"
"2","9","free","220","76","65","yellow-197","yellow","1607","sampling-task","21","883299","0.0-5.0-0.13-0.13","30","ttx9pl1m","high"
"2","10","free","220","76","66","yellow-19","yellow","2118","sampling-task","22","886955","0.0-5.0-0.14-0.14","30","ttx9pl1m","high"
"2","11","free","220","76","56","yellow-19","yellow","910","sampling-task","23","889211","0.0-5.0-0.15-0.15","30","ttx9pl1m","high"
"2","12","free","220","76","93","yellow-175","yellow","982","sampling-task","24","893091","0.0-5.0-0.16-0.16","30","ttx9pl1m","high"
"2","13","free","220","76","53","yellow-131","yellow","918","sampling-task","25","895131","0.0-5.0-0.17-0.17","30","ttx9pl1m","high"
"2","14","free","220","76","62","yellow-142","yellow","1101","sampling-task","26","898115","0.0-5.0-0.18-0.18","30","ttx9pl1m","high"
"2","15","free","220","76","50","yellow-217","yellow","710","sampling-task","27","900315","0.0-5.0-0.19-0.19","30","ttx9pl1m","high"
"2","16","free","220","76","62","yellow-202","yellow","1238","sampling-task","28","903075","0.0-5.0-0.20-0.20","30","ttx9pl1m","high"
"2","17","free","220","76","50","yellow-172","yellow","934","sampling-task","29","905931","0.0-5.0-0.21-0.21","30","ttx9pl1m","high"
"3","1","fixed","20","90","83","green-151","green","8980","sampling-task","32","950514","0.0-5.0-0.22-0.22","30","ttx9pl1m","high"
"3","2","fixed","20","90","95","green-166","green","1366","sampling-task","33","953218","0.0-5.0-0.23-0.23","30","ttx9pl1m","high"
"3","3","fixed","20","90","69","green-4","green","1046","sampling-task","34","955650","0.0-5.0-0.24-0.24","30","ttx9pl1m","high"
"3","4","fixed","20","90","103","green-33","green","1126","sampling-task","35","958042","0.0-5.0-0.25-0.25","30","ttx9pl1m","high"
"3","5","fixed","20","90","98","green-87","green","902","sampling-task","36","960442","0.0-5.0-0.26-0.26","30","ttx9pl1m","high"
"3","6","fixed","20","90","76","green-161","green","846","sampling-task","37","962378","0.0-5.0-0.27-0.27","30","ttx9pl1m","high"
"3","7","fixed","20","90","83","green-25","green","2838","sampling-task","38","966498","0.0-5.0-0.28-0.28","30","ttx9pl1m","high"
"3","8","fixed","20","90","117","green-158","green","822","sampling-task","39","970658","0.0-5.0-0.29-0.29","30","ttx9pl1m","high"
"3","9","fixed","20","90","58","green-53","green","766","sampling-task","40","972682","0.0-5.0-0.30-0.30","30","ttx9pl1m","high"
"3","10","fixed","20","90","110","green-52","green","734","sampling-task","41","974738","0.0-5.0-0.31-0.31","30","ttx9pl1m","high"
"3","11","fixed","20","90","77","green-180","green","822","sampling-task","42","976698","0.0-5.0-0.32-0.32","30","ttx9pl1m","high"
"3","12","fixed","20","90","81","green-57","green","1686","sampling-task","43","979554","0.0-5.0-0.33-0.33","30","ttx9pl1m","high"
"3","13","fixed","20","90","49","green-8","green","822","sampling-task","44","981898","0.0-5.0-0.34-0.34","30","ttx9pl1m","high"
