"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","94","115","red-17","red","5446","sampling-task","6","273439","0.0-5.0-0.0-0.0","31","s216bjwf","high"
"1","2","fixed","10","94","78","red-68","red","1997","sampling-task","7","277815","0.0-5.0-0.1-0.1","31","s216bjwf","high"
"1","3","fixed","10","94","124","red-13","red","2038","sampling-task","8","282351","0.0-5.0-0.2-0.2","31","s216bjwf","high"
"1","4","fixed","10","94","99","red-51","red","1614","sampling-task","9","285759","0.0-5.0-0.3-0.3","31","s216bjwf","high"
"1","5","fixed","10","94","86","red-123","red","1694","sampling-task","10","288911","0.0-5.0-0.4-0.4","31","s216bjwf","high"
"1","6","fixed","10","94","105","red-114","red","982","sampling-task","11","291279","0.0-5.0-0.5-0.5","31","s216bjwf","high"
"1","7","fixed","10","94","109","red-150","red","2398","sampling-task","12","295583","0.0-5.0-0.6-0.6","31","s216bjwf","high"
"1","8","fixed","10","94","96","red-43","red","1541","sampling-task","13","298711","0.0-5.0-0.7-0.7","31","s216bjwf","high"
"1","9","fixed","10","94","80","red-53","red","1646","sampling-task","14","301535","0.0-5.0-0.8-0.8","31","s216bjwf","high"
"1","10","fixed","10","94","98","red-104","red","1349","sampling-task","15","304351","0.0-5.0-0.9-0.9","31","s216bjwf","high"
"2","1","free","220","36","40","blue-136","blue","5412","sampling-task","18","354030","0.0-5.0-0.10-0.10","31","s216bjwf","high"
"2","2","free","220","36","50","blue-138","blue","3214","sampling-task","19","358606","0.0-5.0-0.11-0.11","31","s216bjwf","high"
"2","3","free","220","36","13","blue-193","blue","2070","sampling-task","20","362174","0.0-5.0-0.12-0.12","31","s216bjwf","high"
"2","4","free","220","36","47","blue-61","blue","2925","sampling-task","21","367734","0.0-5.0-0.13-0.13","31","s216bjwf","high"
"2","5","free","220","36","43","blue-61","blue","2238","sampling-task","22","371349","0.0-5.0-0.14-0.14","31","s216bjwf","high"
"2","6","free","220","36","62","blue-122","blue","2454","sampling-task","23","375837","0.0-5.0-0.15-0.15","31","s216bjwf","high"
"2","7","free","220","36","56","blue-147","blue","1822","sampling-task","24","380309","0.0-5.0-0.16-0.16","31","s216bjwf","high"
"2","8","free","220","36","31","blue-203","blue","1574","sampling-task","25","383461","0.0-5.0-0.17-0.17","31","s216bjwf","high"
"2","9","free","220","36","46","blue-52","blue","1389","sampling-task","26","385997","0.0-5.0-0.18-0.18","31","s216bjwf","high"
"2","10","free","220","36","-2","blue-79","blue","1622","sampling-task","27","389005","0.0-5.0-0.19-0.19","31","s216bjwf","high"
"2","11","free","220","36","79","blue-160","blue","1054","sampling-task","28","393501","0.0-5.0-0.20-0.20","31","s216bjwf","high"
"2","12","free","220","36","12","blue-145","blue","1406","sampling-task","29","396309","0.0-5.0-0.21-0.21","31","s216bjwf","high"
"2","13","free","220","36","61","blue-160","blue","1286","sampling-task","30","398701","0.0-5.0-0.22-0.22","31","s216bjwf","high"
"2","14","free","220","36","23","blue-9","blue","1222","sampling-task","31","400941","0.0-5.0-0.23-0.23","31","s216bjwf","high"
"2","15","free","220","36","39","blue-144","blue","1134","sampling-task","32","403277","0.0-5.0-0.24-0.24","31","s216bjwf","high"
"2","16","free","220","36","58","blue-115","blue","1230","sampling-task","33","405757","0.0-5.0-0.25-0.25","31","s216bjwf","high"
"2","17","free","220","36","38","blue-53","blue","1222","sampling-task","34","408133","0.0-5.0-0.26-0.26","31","s216bjwf","high"
"2","18","free","220","36","26","blue-127","blue","846","sampling-task","35","410325","0.0-5.0-0.27-0.27","31","s216bjwf","high"
"2","19","free","220","36","51","blue-2","blue","822","sampling-task","36","412293","0.0-5.0-0.28-0.28","31","s216bjwf","high"
"2","20","free","220","36","29","blue-19","blue","934","sampling-task","37","414189","0.0-5.0-0.29-0.29","31","s216bjwf","high"
"2","21","free","220","36","62","blue-134","blue","734","sampling-task","38","415941","0.0-5.0-0.30-0.30","31","s216bjwf","high"
"3","1","fixed","5","58","65","green-127","green","4261","sampling-task","41","446932","0.0-5.0-0.31-0.31","31","s216bjwf","high"
"3","2","fixed","5","58","23","green-27","green","1014","sampling-task","42","449388","0.0-5.0-0.32-0.32","31","s216bjwf","high"
"3","3","fixed","5","58","74","green-80","green","1118","sampling-task","43","451740","0.0-5.0-0.33-0.33","31","s216bjwf","high"
"3","4","fixed","5","58","47","green-102","green","958","sampling-task","44","454588","0.0-5.0-0.34-0.34","31","s216bjwf","high"
"3","5","fixed","5","58","61","green-6","green","1030","sampling-task","45","456916","0.0-5.0-0.35-0.35","31","s216bjwf","high"
"4","1","free","220","15","31","orange-214","orange","2868","sampling-task","48","477852","0.0-5.0-0.36-0.36","31","s216bjwf","high"
"4","2","free","220","15","14","orange-96","orange","550","sampling-task","49","479596","0.0-5.0-0.37-0.37","31","s216bjwf","high"
"4","3","free","220","15","9","orange-175","orange","646","sampling-task","50","481428","0.0-5.0-0.38-0.38","31","s216bjwf","high"
"4","4","free","220","15","11","orange-139","orange","694","sampling-task","51","483140","0.0-5.0-0.39-0.39","31","s216bjwf","high"
"4","5","free","220","15","35","orange-15","orange","550","sampling-task","52","485060","0.0-5.0-0.40-0.40","31","s216bjwf","high"
"4","6","free","220","15","18","orange-191","orange","654","sampling-task","53","486844","0.0-5.0-0.41-0.41","31","s216bjwf","high"
"4","7","free","220","15","36","orange-207","orange","646","sampling-task","54","488452","0.0-5.0-0.42-0.42","31","s216bjwf","high"
"4","8","free","220","15","4","orange-168","orange","1478","sampling-task","55","490972","0.0-5.0-0.43-0.43","31","s216bjwf","high"
"5","1","fixed","20","114","113","purple-75","purple","3053","sampling-task","58","508203","0.0-5.0-0.44-0.44","31","s216bjwf","high"
"5","2","fixed","20","114","111","purple-216","purple","1006","sampling-task","59","510291","0.0-5.0-0.45-0.45","31","s216bjwf","high"
"5","3","fixed","20","114","118","purple-58","purple","1062","sampling-task","60","513147","0.0-5.0-0.46-0.46","31","s216bjwf","high"
"5","4","fixed","20","114","97","purple-134","purple","1342","sampling-task","61","516075","0.0-5.0-0.47-0.47","31","s216bjwf","high"
"5","5","fixed","20","114","118","purple-166","purple","1102","sampling-task","62","518699","0.0-5.0-0.48-0.48","31","s216bjwf","high"
"5","6","fixed","20","114","92","purple-165","purple","1518","sampling-task","63","524595","0.0-5.0-0.49-0.49","31","s216bjwf","high"
"5","7","fixed","20","114","81","purple-117","purple","1350","sampling-task","64","527211","0.0-5.0-0.50-0.50","31","s216bjwf","high"
"5","8","fixed","20","114","127","purple-8","purple","1294","sampling-task","65","529723","0.0-5.0-0.51-0.51","31","s216bjwf","high"
"5","9","fixed","20","114","146","purple-31","purple","1430","sampling-task","66","532795","0.0-5.0-0.52-0.52","31","s216bjwf","high"
"5","10","fixed","20","114","96","purple-92","purple","1222","sampling-task","67","535451","0.0-5.0-0.53-0.53","31","s216bjwf","high"
"5","11","fixed","20","114","80","purple-28","purple","1454","sampling-task","68","538235","0.0-5.0-0.54-0.54","31","s216bjwf","high"
"5","12","fixed","20","114","135","purple-134","purple","2518","sampling-task","69","542395","0.0-5.0-0.55-0.55","31","s216bjwf","high"
"5","13","fixed","20","114","134","purple-128","purple","1198","sampling-task","70","545475","0.0-5.0-0.56-0.56","31","s216bjwf","high"
"5","14","fixed","20","114","153","purple-155","purple","1078","sampling-task","71","548651","0.0-5.0-0.57-0.57","31","s216bjwf","high"
"5","15","fixed","20","114","117","purple-47","purple","1038","sampling-task","72","552657","0.0-5.0-0.58-0.58","31","s216bjwf","high"
"5","16","fixed","20","114","118","purple-26","purple","783","sampling-task","73","554449","0.0-5.0-0.59-0.59","31","s216bjwf","high"
"5","17","fixed","20","114","133","purple-164","purple","958","sampling-task","74","556961","0.0-5.0-0.60-0.60","31","s216bjwf","high"
"5","18","fixed","20","114","79","purple-74","purple","1197","sampling-task","75","560033","0.0-5.0-0.61-0.61","31","s216bjwf","high"
"5","19","fixed","20","114","136","purple-39","purple","1029","sampling-task","76","562145","0.0-5.0-0.62-0.62","31","s216bjwf","high"
"5","20","fixed","20","114","88","purple-172","purple","1078","sampling-task","77","564177","0.0-5.0-0.63-0.63","31","s216bjwf","high"
"6","1","free","220","73","103","yellow-124","yellow","1653","sampling-task","80","587633","0.0-5.0-0.64-0.64","31","s216bjwf","high"
"6","2","free","220","73","84","yellow-210","yellow","550","sampling-task","81","589217","0.0-5.0-0.65-0.65","31","s216bjwf","high"
"6","3","free","220","73","76","yellow-73","yellow","638","sampling-task","82","590921","0.0-5.0-0.66-0.66","31","s216bjwf","high"
"6","4","free","220","73","60","yellow-18","yellow","622","sampling-task","83","592777","0.0-5.0-0.67-0.67","31","s216bjwf","high"
"6","5","free","220","73","81","yellow-93","yellow","829","sampling-task","84","594921","0.0-5.0-0.68-0.68","31","s216bjwf","high"
"6","6","free","220","73","50","yellow-203","yellow","718","sampling-task","85","597017","0.0-5.0-0.69-0.69","31","s216bjwf","high"
"6","7","free","220","73","54","yellow-91","yellow","862","sampling-task","86","598857","0.0-5.0-0.70-0.70","31","s216bjwf","high"
"6","8","free","220","73","95","yellow-207","yellow","822","sampling-task","87","600665","0.0-5.0-0.71-0.71","31","s216bjwf","high"
"6","9","free","220","73","120","yellow-9","yellow","942","sampling-task","88","602673","0.0-5.0-0.72-0.72","31","s216bjwf","high"
"6","10","free","220","73","97","yellow-194","yellow","925","sampling-task","89","604553","0.0-5.0-0.73-0.73","31","s216bjwf","high"
"6","11","free","220","73","50","yellow-168","yellow","886","sampling-task","90","606433","0.0-5.0-0.74-0.74","31","s216bjwf","high"
"6","12","free","220","73","47","yellow-66","yellow","782","sampling-task","91","608233","0.0-5.0-0.75-0.75","31","s216bjwf","high"
"6","13","free","220","73","52","yellow-208","yellow","958","sampling-task","92","610257","0.0-5.0-0.76-0.76","31","s216bjwf","high"
"6","14","free","220","73","92","yellow-48","yellow","916","sampling-task","93","612552","0.0-5.0-0.77-0.77","31","s216bjwf","high"
