"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","54","30","orange-68","orange","29302","sampling-task","6","337992","0.0-5.0-0.0-0.0","32","swvpvws9","high"
"1","2","fixed","5","54","58","orange-137","orange","1262","sampling-task","7","343103","0.0-5.0-0.1-0.1","32","swvpvws9","high"
"1","3","fixed","5","54","67","orange-15","orange","4349","sampling-task","8","351102","0.0-5.0-0.2-0.2","32","swvpvws9","high"
"1","4","fixed","5","54","81","orange-119","orange","1566","sampling-task","9","358262","0.0-5.0-0.3-0.3","32","swvpvws9","high"
"1","5","fixed","5","54","43","orange-73","orange","2454","sampling-task","10","362534","0.0-5.0-0.4-0.4","32","swvpvws9","high"
"2","1","free","220","33","18","blue-156","blue","5756","sampling-task","13","414085","0.0-5.0-0.5-0.5","32","swvpvws9","high"
"2","2","free","220","33","49","blue-204","blue","918","sampling-task","14","416925","0.0-5.0-0.6-0.6","32","swvpvws9","high"
"2","3","free","220","33","38","blue-37","blue","631","sampling-task","15","418589","0.0-5.0-0.7-0.7","32","swvpvws9","high"
"2","4","free","220","33","9","blue-18","blue","503","sampling-task","16","420246","0.0-5.0-0.8-0.8","32","swvpvws9","high"
"2","5","free","220","33","21","blue-78","blue","446","sampling-task","17","421878","0.0-5.0-0.9-0.9","32","swvpvws9","high"
"2","6","free","220","33","29","blue-35","blue","542","sampling-task","18","423917","0.0-5.0-0.10-0.10","32","swvpvws9","high"
"2","7","free","220","33","-3","blue-212","blue","934","sampling-task","19","426110","0.0-5.0-0.11-0.11","32","swvpvws9","high"
"2","8","free","220","33","7","blue-58","blue","942","sampling-task","20","428565","0.0-5.0-0.12-0.12","32","swvpvws9","high"
"2","9","free","220","33","28","blue-216","blue","710","sampling-task","21","430709","0.0-5.0-0.13-0.13","32","swvpvws9","high"
"2","10","free","220","33","51","blue-182","blue","958","sampling-task","22","432758","0.0-5.0-0.14-0.14","32","swvpvws9","high"
"2","11","free","220","33","16","blue-188","blue","718","sampling-task","23","434525","0.0-5.0-0.15-0.15","32","swvpvws9","high"
"2","12","free","220","33","20","blue-51","blue","542","sampling-task","24","435942","0.0-5.0-0.16-0.16","32","swvpvws9","high"
"2","13","free","220","33","24","blue-161","blue","430","sampling-task","25","437214","0.0-5.0-0.17-0.17","32","swvpvws9","high"
"2","14","free","220","33","57","blue-182","blue","398","sampling-task","26","438446","0.0-5.0-0.18-0.18","32","swvpvws9","high"
"2","15","free","220","33","26","blue-107","blue","462","sampling-task","27","439942","0.0-5.0-0.19-0.19","32","swvpvws9","high"
"2","16","free","220","33","24","blue-201","blue","478","sampling-task","28","441542","0.0-5.0-0.20-0.20","32","swvpvws9","high"
"2","17","free","220","33","46","blue-63","blue","630","sampling-task","29","444094","0.0-5.0-0.21-0.21","32","swvpvws9","high"
"2","18","free","220","33","7","blue-176","blue","790","sampling-task","30","445742","0.0-5.0-0.22-0.22","32","swvpvws9","high"
"2","19","free","220","33","45","blue-115","blue","510","sampling-task","31","447334","0.0-5.0-0.23-0.23","32","swvpvws9","high"
"2","20","free","220","33","13","blue-124","blue","510","sampling-task","32","449269","0.0-5.0-0.24-0.24","32","swvpvws9","high"
"2","21","free","220","33","67","blue-213","blue","926","sampling-task","33","452437","0.0-5.0-0.25-0.25","32","swvpvws9","high"
"2","22","free","220","33","32","blue-88","blue","574","sampling-task","34","453934","0.0-5.0-0.26-0.26","32","swvpvws9","high"
"2","23","free","220","33","59","blue-66","blue","446","sampling-task","35","455550","0.0-5.0-0.27-0.27","32","swvpvws9","high"
"2","24","free","220","33","43","blue-146","blue","758","sampling-task","36","457261","0.0-5.0-0.28-0.28","32","swvpvws9","high"
"2","25","free","220","33","38","blue-179","blue","758","sampling-task","37","459462","0.0-5.0-0.29-0.29","32","swvpvws9","high"
"2","26","free","220","33","21","blue-124","blue","582","sampling-task","38","461286","0.0-5.0-0.30-0.30","32","swvpvws9","high"
"2","27","free","220","33","25","blue-220","blue","614","sampling-task","39","462950","0.0-5.0-0.31-0.31","32","swvpvws9","high"
"2","28","free","220","33","1","blue-194","blue","518","sampling-task","40","465102","0.0-5.0-0.32-0.32","32","swvpvws9","high"
"2","29","free","220","33","12","blue-106","blue","1413","sampling-task","41","468308","0.0-5.0-0.33-0.33","32","swvpvws9","high"
"2","30","free","220","33","38","blue-211","blue","710","sampling-task","42","469925","0.0-5.0-0.34-0.34","32","swvpvws9","high"
"2","31","free","220","33","-2","blue-184","blue","550","sampling-task","43","471533","0.0-5.0-0.35-0.35","32","swvpvws9","high"
"2","32","free","220","33","57","blue-83","blue","422","sampling-task","44","474141","0.0-5.0-0.36-0.36","32","swvpvws9","high"
"2","33","free","220","33","-2","blue-14","blue","758","sampling-task","45","475957","0.0-5.0-0.37-0.37","32","swvpvws9","high"
"2","34","free","220","33","18","blue-71","blue","542","sampling-task","46","478621","0.0-5.0-0.38-0.38","32","swvpvws9","high"
"2","35","free","220","33","22","blue-32","blue","622","sampling-task","47","481573","0.0-5.0-0.39-0.39","32","swvpvws9","high"
"2","36","free","220","33","26","blue-114","blue","453","sampling-task","48","483285","0.0-5.0-0.40-0.40","32","swvpvws9","high"
"2","37","free","220","33","47","blue-56","blue","622","sampling-task","49","485149","0.0-5.0-0.41-0.41","32","swvpvws9","high"
"2","38","free","220","33","46","blue-96","blue","662","sampling-task","50","486813","0.0-5.0-0.42-0.42","32","swvpvws9","high"
"2","39","free","220","33","33","blue-57","blue","502","sampling-task","51","488269","0.0-5.0-0.43-0.43","32","swvpvws9","high"
"2","40","free","220","33","4","blue-107","blue","358","sampling-task","52","489692","0.0-5.0-0.44-0.44","32","swvpvws9","high"
"2","41","free","220","33","35","blue-3","blue","334","sampling-task","53","492949","0.0-5.0-0.45-0.45","32","swvpvws9","high"
"2","42","free","220","33","68","blue-194","blue","814","sampling-task","54","496509","0.0-5.0-0.46-0.46","32","swvpvws9","high"
"2","43","free","220","33","46","blue-13","blue","878","sampling-task","55","499357","0.0-5.0-0.47-0.47","32","swvpvws9","high"
"3","1","fixed","20","110","65","red-169","red","3180","sampling-task","58","528771","0.0-5.0-0.48-0.48","32","swvpvws9","high"
"3","2","fixed","20","110","83","red-122","red","902","sampling-task","59","532379","0.0-5.0-0.49-0.49","32","swvpvws9","high"
"3","3","fixed","20","110","103","red-23","red","694","sampling-task","60","534019","0.0-5.0-0.50-0.50","32","swvpvws9","high"
"3","4","fixed","20","110","131","red-189","red","399","sampling-task","61","535243","0.0-5.0-0.51-0.51","32","swvpvws9","high"
"3","5","fixed","20","110","127","red-71","red","375","sampling-task","62","536755","0.0-5.0-0.52-0.52","32","swvpvws9","high"
"3","6","fixed","20","110","100","red-87","red","535","sampling-task","63","538699","0.0-5.0-0.53-0.53","32","swvpvws9","high"
"3","7","fixed","20","110","123","red-91","red","1278","sampling-task","64","541387","0.0-5.0-0.54-0.54","32","swvpvws9","high"
"3","8","fixed","20","110","108","red-196","red","669","sampling-task","65","543491","0.0-5.0-0.55-0.55","32","swvpvws9","high"
"3","9","fixed","20","110","132","red-208","red","702","sampling-task","66","545099","0.0-5.0-0.56-0.56","32","swvpvws9","high"
"3","10","fixed","20","110","121","red-70","red","423","sampling-task","67","546819","0.0-5.0-0.57-0.57","32","swvpvws9","high"
"3","11","fixed","20","110","108","red-150","red","479","sampling-task","68","548355","0.0-5.0-0.58-0.58","32","swvpvws9","high"
"3","12","fixed","20","110","140","red-28","red","438","sampling-task","69","550443","0.0-5.0-0.59-0.59","32","swvpvws9","high"
"3","13","fixed","20","110","115","red-110","red","1198","sampling-task","70","553051","0.0-5.0-0.60-0.60","32","swvpvws9","high"
"3","14","fixed","20","110","110","red-172","red","430","sampling-task","71","554403","0.0-5.0-0.61-0.61","32","swvpvws9","high"
"3","15","fixed","20","110","118","red-85","red","415","sampling-task","72","555691","0.0-5.0-0.62-0.62","32","swvpvws9","high"
"3","16","fixed","20","110","112","red-206","red","335","sampling-task","73","556891","0.0-5.0-0.63-0.63","32","swvpvws9","high"
"3","17","fixed","20","110","102","red-18","red","430","sampling-task","74","560827","0.0-5.0-0.64-0.64","32","swvpvws9","high"
"3","18","fixed","20","110","116","red-50","red","734","sampling-task","75","562619","0.0-5.0-0.65-0.65","32","swvpvws9","high"
"3","19","fixed","20","110","101","red-112","red","685","sampling-task","76","566859","0.0-5.0-0.66-0.66","32","swvpvws9","high"
"3","20","fixed","20","110","109","red-39","red","550","sampling-task","77","568211","0.0-5.0-0.67-0.67","32","swvpvws9","high"
"4","1","free","220","19","32","yellow-23","yellow","2100","sampling-task","80","588898","0.0-5.0-0.68-0.68","32","swvpvws9","high"
"4","2","free","220","19","-26","yellow-188","yellow","350","sampling-task","81","590131","0.0-5.0-0.69-0.69","32","swvpvws9","high"
"4","3","free","220","19","7","yellow-130","yellow","381","sampling-task","82","591387","0.0-5.0-0.70-0.70","32","swvpvws9","high"
"4","4","free","220","19","8","yellow-150","yellow","422","sampling-task","83","592643","0.0-5.0-0.71-0.71","32","swvpvws9","high"
"4","5","free","220","19","-1","yellow-75","yellow","374","sampling-task","84","593875","0.0-5.0-0.72-0.72","32","swvpvws9","high"
"4","6","free","220","19","52","yellow-138","yellow","350","sampling-task","85","598490","0.0-5.0-0.73-0.73","32","swvpvws9","high"
"4","7","free","220","19","5","yellow-43","yellow","637","sampling-task","86","600370","0.0-5.0-0.74-0.74","32","swvpvws9","high"
"4","8","free","220","19","19","yellow-179","yellow","350","sampling-task","87","601595","0.0-5.0-0.75-0.75","32","swvpvws9","high"
"4","9","free","220","19","8","yellow-26","yellow","390","sampling-task","88","602962","0.0-5.0-0.76-0.76","32","swvpvws9","high"
"4","10","free","220","19","33","yellow-163","yellow","430","sampling-task","89","607242","0.0-5.0-0.77-0.77","32","swvpvws9","high"
"4","11","free","220","19","-14","yellow-210","yellow","606","sampling-task","90","608779","0.0-5.0-0.78-0.78","32","swvpvws9","high"
"4","12","free","220","19","34","yellow-220","yellow","389","sampling-task","91","616403","0.0-5.0-0.79-0.79","32","swvpvws9","high"
"4","13","free","220","19","41","yellow-140","yellow","478","sampling-task","92","620699","0.0-5.0-0.80-0.80","32","swvpvws9","high"
"4","14","free","220","19","25","yellow-129","yellow","948","sampling-task","93","622883","0.0-5.0-0.81-0.81","32","swvpvws9","high"
"4","15","free","220","19","-7","yellow-145","yellow","534","sampling-task","94","624290","0.0-5.0-0.82-0.82","32","swvpvws9","high"
"4","16","free","220","19","16","yellow-220","yellow","374","sampling-task","95","625450","0.0-5.0-0.83-0.83","32","swvpvws9","high"
"4","17","free","220","19","72","yellow-188","yellow","302","sampling-task","96","633411","0.0-5.0-0.84-0.84","32","swvpvws9","high"
"4","18","free","220","19","2","yellow-127","yellow","453","sampling-task","97","634666","0.0-5.0-0.85-0.85","32","swvpvws9","high"
"4","19","free","220","19","-11","yellow-78","yellow","350","sampling-task","98","635923","0.0-5.0-0.86-0.86","32","swvpvws9","high"
"4","20","free","220","19","24","yellow-135","yellow","382","sampling-task","99","637155","0.0-5.0-0.87-0.87","32","swvpvws9","high"
"4","21","free","220","19","20","yellow-7","yellow","334","sampling-task","100","638275","0.0-5.0-0.88-0.88","32","swvpvws9","high"
"4","22","free","220","19","25","yellow-213","yellow","678","sampling-task","101","640171","0.0-5.0-0.89-0.89","32","swvpvws9","high"
"5","1","fixed","10","94","106","purple-69","purple","2701","sampling-task","104","662681","0.0-5.0-0.90-0.90","32","swvpvws9","high"
"5","2","fixed","10","94","151","purple-125","purple","438","sampling-task","105","671689","0.0-5.0-0.91-0.91","32","swvpvws9","high"
"5","3","fixed","10","94","126","purple-137","purple","542","sampling-task","106","673569","0.0-5.0-0.92-0.92","32","swvpvws9","high"
"5","4","fixed","10","94","96","purple-48","purple","422","sampling-task","107","675521","0.0-5.0-0.93-0.93","32","swvpvws9","high"
"5","5","fixed","10","94","96","purple-160","purple","494","sampling-task","108","676849","0.0-5.0-0.94-0.94","32","swvpvws9","high"
"5","6","fixed","10","94","68","purple-65","purple","406","sampling-task","109","678033","0.0-5.0-0.95-0.95","32","swvpvws9","high"
