"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","52","46","red-164","red","6187","sampling-task","6","517189","0.0-5.0-0.0-0.0","33","4lopa02v","low"
"1","2","fixed","10","52","71","red-164","red","1502","sampling-task","7","520405","0.0-5.0-0.1-0.1","33","4lopa02v","low"
"1","3","fixed","10","52","21","red-164","red","942","sampling-task","8","522733","0.0-5.0-0.2-0.2","33","4lopa02v","low"
"1","4","fixed","10","52","43","red-164","red","806","sampling-task","9","524717","0.0-5.0-0.3-0.3","33","4lopa02v","low"
"1","5","fixed","10","52","59","red-164","red","622","sampling-task","10","526533","0.0-5.0-0.4-0.4","33","4lopa02v","low"
"1","6","fixed","10","52","36","red-164","red","517","sampling-task","11","527916","0.0-5.0-0.5-0.5","33","4lopa02v","low"
"1","7","fixed","10","52","48","red-164","red","510","sampling-task","12","529380","0.0-5.0-0.6-0.6","33","4lopa02v","low"
"1","8","fixed","10","52","46","red-164","red","463","sampling-task","13","531260","0.0-5.0-0.7-0.7","33","4lopa02v","low"
"1","9","fixed","10","52","90","red-164","red","534","sampling-task","14","532780","0.0-5.0-0.8-0.8","33","4lopa02v","low"
"1","10","fixed","10","52","48","red-164","red","638","sampling-task","15","534308","0.0-5.0-0.9-0.9","33","4lopa02v","low"
"2","1","free","220","15","-14","orange-129","orange","2412","sampling-task","18","570140","0.0-5.0-0.10-0.10","33","4lopa02v","low"
"2","2","free","220","15","6","orange-129","orange","558","sampling-task","19","571708","0.0-5.0-0.11-0.11","33","4lopa02v","low"
"2","3","free","220","15","-3","orange-129","orange","486","sampling-task","20","573092","0.0-5.0-0.12-0.12","33","4lopa02v","low"
"2","4","free","220","15","32","orange-129","orange","454","sampling-task","21","574444","0.0-5.0-0.13-0.13","33","4lopa02v","low"
"2","5","free","220","15","16","orange-129","orange","415","sampling-task","22","575708","0.0-5.0-0.14-0.14","33","4lopa02v","low"
"2","6","free","220","15","-5","orange-129","orange","391","sampling-task","23","577052","0.0-5.0-0.15-0.15","33","4lopa02v","low"
"2","7","free","220","15","52","orange-129","orange","399","sampling-task","24","578316","0.0-5.0-0.16-0.16","33","4lopa02v","low"
"2","8","free","220","15","27","orange-129","orange","430","sampling-task","25","579612","0.0-5.0-0.17-0.17","33","4lopa02v","low"
"2","9","free","220","15","18","orange-129","orange","437","sampling-task","26","580956","0.0-5.0-0.18-0.18","33","4lopa02v","low"
"2","10","free","220","15","7","orange-129","orange","502","sampling-task","27","582372","0.0-5.0-0.19-0.19","33","4lopa02v","low"
"2","11","free","220","15","29","orange-129","orange","422","sampling-task","28","583876","0.0-5.0-0.20-0.20","33","4lopa02v","low"
"3","1","fixed","20","70","85","yellow-166","yellow","2316","sampling-task","31","607204","0.0-5.0-0.21-0.21","33","4lopa02v","low"
"3","2","fixed","20","70","78","yellow-166","yellow","494","sampling-task","32","608556","0.0-5.0-0.22-0.22","33","4lopa02v","low"
"3","3","fixed","20","70","57","yellow-166","yellow","398","sampling-task","33","609788","0.0-5.0-0.23-0.23","33","4lopa02v","low"
"3","4","fixed","20","70","77","yellow-166","yellow","438","sampling-task","34","611052","0.0-5.0-0.24-0.24","33","4lopa02v","low"
"3","5","fixed","20","70","99","yellow-166","yellow","406","sampling-task","35","612284","0.0-5.0-0.25-0.25","33","4lopa02v","low"
"3","6","fixed","20","70","72","yellow-166","yellow","374","sampling-task","36","613524","0.0-5.0-0.26-0.26","33","4lopa02v","low"
"3","7","fixed","20","70","51","yellow-166","yellow","422","sampling-task","37","614764","0.0-5.0-0.27-0.27","33","4lopa02v","low"
"3","8","fixed","20","70","57","yellow-166","yellow","422","sampling-task","38","616028","0.0-5.0-0.28-0.28","33","4lopa02v","low"
"3","9","fixed","20","70","81","yellow-166","yellow","358","sampling-task","39","617188","0.0-5.0-0.29-0.29","33","4lopa02v","low"
"3","10","fixed","20","70","69","yellow-166","yellow","358","sampling-task","40","618699","0.0-5.0-0.30-0.30","33","4lopa02v","low"
"3","11","fixed","20","70","47","yellow-166","yellow","446","sampling-task","41","619996","0.0-5.0-0.31-0.31","33","4lopa02v","low"
"3","12","fixed","20","70","85","yellow-166","yellow","462","sampling-task","42","621339","0.0-5.0-0.32-0.32","33","4lopa02v","low"
"3","13","fixed","20","70","83","yellow-166","yellow","454","sampling-task","43","622620","0.0-5.0-0.33-0.33","33","4lopa02v","low"
"3","14","fixed","20","70","66","yellow-166","yellow","446","sampling-task","44","623924","0.0-5.0-0.34-0.34","33","4lopa02v","low"
"3","15","fixed","20","70","64","yellow-166","yellow","462","sampling-task","45","625396","0.0-5.0-0.35-0.35","33","4lopa02v","low"
"3","16","fixed","20","70","37","yellow-166","yellow","374","sampling-task","46","626828","0.0-5.0-0.36-0.36","33","4lopa02v","low"
"3","17","fixed","20","70","58","yellow-166","yellow","1030","sampling-task","47","629148","0.0-5.0-0.37-0.37","33","4lopa02v","low"
"3","18","fixed","20","70","82","yellow-166","yellow","501","sampling-task","48","630476","0.0-5.0-0.38-0.38","33","4lopa02v","low"
"3","19","fixed","20","70","104","yellow-166","yellow","454","sampling-task","49","632156","0.0-5.0-0.39-0.39","33","4lopa02v","low"
"3","20","fixed","20","70","68","yellow-166","yellow","390","sampling-task","50","633388","0.0-5.0-0.40-0.40","33","4lopa02v","low"
"4","1","free","220","35","5","blue-151","blue","1884","sampling-task","53","654580","0.0-5.0-0.41-0.41","33","4lopa02v","low"
"4","2","free","220","35","33","blue-151","blue","374","sampling-task","54","655788","0.0-5.0-0.42-0.42","33","4lopa02v","low"
"4","3","free","220","35","-6","blue-151","blue","718","sampling-task","55","657413","0.0-5.0-0.43-0.43","33","4lopa02v","low"
"4","4","free","220","35","20","blue-151","blue","420","sampling-task","56","658684","0.0-5.0-0.44-0.44","33","4lopa02v","low"
"4","5","free","220","35","67","blue-151","blue","374","sampling-task","57","659956","0.0-5.0-0.45-0.45","33","4lopa02v","low"
