"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","11","19","orange-19","orange","12463","sampling-task","6","344594","0.0-5.0-0.0-0.0","34","pxa9htlw","low"
"1","2","fixed","5","11","20","orange-19","orange","1958","sampling-task","7","348298","0.0-5.0-0.1-0.1","34","pxa9htlw","low"
"1","3","fixed","5","11","11","orange-19","orange","1486","sampling-task","8","352738","0.0-5.0-0.2-0.2","34","pxa9htlw","low"
"1","4","fixed","5","11","57","orange-19","orange","934","sampling-task","9","358066","0.0-5.0-0.3-0.3","34","pxa9htlw","low"
"1","5","fixed","5","11","12","orange-19","orange","2373","sampling-task","10","370578","0.0-5.0-0.4-0.4","34","pxa9htlw","low"
"2","1","free","220","110","129","blue-96","blue","5004","sampling-task","13","434184","0.0-5.0-0.5-0.5","34","pxa9htlw","low"
"2","2","free","220","110","114","blue-96","blue","702","sampling-task","14","439607","0.0-5.0-0.6-0.6","34","pxa9htlw","low"
"2","3","free","220","110","140","blue-96","blue","541","sampling-task","15","445311","0.0-5.0-0.7-0.7","34","pxa9htlw","low"
"2","4","free","220","110","137","blue-96","blue","590","sampling-task","16","447391","0.0-5.0-0.8-0.8","34","pxa9htlw","low"
"2","5","free","220","110","155","blue-96","blue","558","sampling-task","17","449543","0.0-5.0-0.9-0.9","34","pxa9htlw","low"
"2","6","free","220","110","110","blue-96","blue","461","sampling-task","18","450991","0.0-5.0-0.10-0.10","34","pxa9htlw","low"
"2","7","free","220","110","115","blue-96","blue","550","sampling-task","19","452711","0.0-5.0-0.11-0.11","34","pxa9htlw","low"
"2","8","free","220","110","81","blue-96","blue","846","sampling-task","20","454655","0.0-5.0-0.12-0.12","34","pxa9htlw","low"
"2","9","free","220","110","82","blue-96","blue","574","sampling-task","21","456311","0.0-5.0-0.13-0.13","34","pxa9htlw","low"
"2","10","free","220","110","40","blue-96","blue","862","sampling-task","22","458359","0.0-5.0-0.14-0.14","34","pxa9htlw","low"
"2","11","free","220","110","79","blue-96","blue","598","sampling-task","23","460103","0.0-5.0-0.15-0.15","34","pxa9htlw","low"
"2","12","free","220","110","90","blue-96","blue","694","sampling-task","24","461823","0.0-5.0-0.16-0.16","34","pxa9htlw","low"
"2","13","free","220","110","117","blue-96","blue","614","sampling-task","25","465375","0.0-5.0-0.17-0.17","34","pxa9htlw","low"
"2","14","free","220","110","142","blue-96","blue","533","sampling-task","26","468567","0.0-5.0-0.18-0.18","34","pxa9htlw","low"
"3","1","fixed","10","30","17","yellow-143","yellow","2444","sampling-task","29","497455","0.0-5.0-0.19-0.19","34","pxa9htlw","low"
"3","2","fixed","10","30","-18","yellow-143","yellow","484","sampling-task","30","499558","0.0-5.0-0.20-0.20","34","pxa9htlw","low"
"3","3","fixed","10","30","28","yellow-143","yellow","654","sampling-task","31","502598","0.0-5.0-0.21-0.21","34","pxa9htlw","low"
"3","4","fixed","10","30","28","yellow-143","yellow","1350","sampling-task","32","505214","0.0-5.0-0.22-0.22","34","pxa9htlw","low"
"3","5","fixed","10","30","37","yellow-143","yellow","574","sampling-task","33","507974","0.0-5.0-0.23-0.23","34","pxa9htlw","low"
"3","6","fixed","10","30","40","yellow-143","yellow","542","sampling-task","34","510750","0.0-5.0-0.24-0.24","34","pxa9htlw","low"
"3","7","fixed","10","30","44","yellow-143","yellow","550","sampling-task","35","513062","0.0-5.0-0.25-0.25","34","pxa9htlw","low"
"3","8","fixed","10","30","41","yellow-143","yellow","510","sampling-task","36","514734","0.0-5.0-0.26-0.26","34","pxa9htlw","low"
"3","9","fixed","10","30","29","yellow-143","yellow","694","sampling-task","37","517678","0.0-5.0-0.27-0.27","34","pxa9htlw","low"
"3","10","fixed","10","30","30","yellow-143","yellow","582","sampling-task","38","520270","0.0-5.0-0.28-0.28","34","pxa9htlw","low"
"4","1","free","220","70","45","red-190","red","1740","sampling-task","41","548174","0.0-5.0-0.29-0.29","34","pxa9htlw","low"
"4","2","free","220","70","77","red-190","red","470","sampling-task","42","549518","0.0-5.0-0.30-0.30","34","pxa9htlw","low"
"4","3","free","220","70","54","red-190","red","470","sampling-task","43","550886","0.0-5.0-0.31-0.31","34","pxa9htlw","low"
"4","4","free","220","70","65","red-190","red","494","sampling-task","44","552414","0.0-5.0-0.32-0.32","34","pxa9htlw","low"
"4","5","free","220","70","90","red-190","red","877","sampling-task","45","554446","0.0-5.0-0.33-0.33","34","pxa9htlw","low"
"4","6","free","220","70","58","red-190","red","558","sampling-task","46","556366","0.0-5.0-0.34-0.34","34","pxa9htlw","low"
"4","7","free","220","70","65","red-190","red","766","sampling-task","47","558317","0.0-5.0-0.35-0.35","34","pxa9htlw","low"
"4","8","free","220","70","4","red-190","red","573","sampling-task","48","560580","0.0-5.0-0.36-0.36","34","pxa9htlw","low"
"4","9","free","220","70","52","red-190","red","575","sampling-task","49","562676","0.0-5.0-0.37-0.37","34","pxa9htlw","low"
"4","10","free","220","70","97","red-190","red","718","sampling-task","50","564868","0.0-5.0-0.38-0.38","34","pxa9htlw","low"
"4","11","free","220","70","77","red-190","red","447","sampling-task","51","566309","0.0-5.0-0.39-0.39","34","pxa9htlw","low"
