"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","90","89","orange-136","orange","4389","sampling-task","6","204220","0.0-5.0-0.0-0.0","35","aubxk928","high"
"1","2","fixed","5","90","70","orange-182","orange","1102","sampling-task","7","210804","0.0-5.0-0.1-0.1","35","aubxk928","high"
"1","3","fixed","5","90","98","orange-36","orange","5822","sampling-task","8","218020","0.0-5.0-0.2-0.2","35","aubxk928","high"
"1","4","fixed","5","90","71","orange-208","orange","5150","sampling-task","9","226292","0.0-5.0-0.3-0.3","35","aubxk928","high"
"1","5","fixed","5","90","80","orange-110","orange","3054","sampling-task","10","231140","0.0-5.0-0.4-0.4","35","aubxk928","high"
"2","1","free","220","14","14","yellow-181","yellow","1764","sampling-task","13","266339","0.0-5.0-0.5-0.5","35","aubxk928","high"
"2","2","free","220","14","6","yellow-183","yellow","1910","sampling-task","14","269875","0.0-5.0-0.6-0.6","35","aubxk928","high"
"2","3","free","220","14","37","yellow-202","yellow","1894","sampling-task","15","275331","0.0-5.0-0.7-0.7","35","aubxk928","high"
"2","4","free","220","14","11","yellow-9","yellow","878","sampling-task","16","277412","0.0-5.0-0.8-0.8","35","aubxk928","high"
"2","5","free","220","14","-9","yellow-10","yellow","862","sampling-task","17","280419","0.0-5.0-0.9-0.9","35","aubxk928","high"
"2","6","free","220","14","39","yellow-57","yellow","999","sampling-task","18","283299","0.0-5.0-0.10-0.10","35","aubxk928","high"
"2","7","free","220","14","41","yellow-132","yellow","990","sampling-task","19","286875","0.0-5.0-0.11-0.11","35","aubxk928","high"
"2","8","free","220","14","18","yellow-93","yellow","910","sampling-task","20","288812","0.0-5.0-0.12-0.12","35","aubxk928","high"
"2","9","free","220","14","20","yellow-210","yellow","806","sampling-task","21","291076","0.0-5.0-0.13-0.13","35","aubxk928","high"
"2","10","free","220","14","16","yellow-66","yellow","798","sampling-task","22","292964","0.0-5.0-0.14-0.14","35","aubxk928","high"
"2","11","free","220","14","42","yellow-18","yellow","773","sampling-task","23","296131","0.0-5.0-0.15-0.15","35","aubxk928","high"
"2","12","free","220","14","-15","yellow-110","yellow","886","sampling-task","24","298179","0.0-5.0-0.16-0.16","35","aubxk928","high"
"2","13","free","220","14","-31","yellow-19","yellow","1382","sampling-task","25","300539","0.0-5.0-0.17-0.17","35","aubxk928","high"
