"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","110","102","red-108","red","6518","sampling-task","6","236067","0.0-5.0-0.0-0.0","36","prlq4fpk","low"
"1","2","fixed","10","110","121","red-108","red","1942","sampling-task","7","240155","0.0-5.0-0.1-0.1","36","prlq4fpk","low"
"1","3","fixed","10","110","153","red-108","red","1253","sampling-task","8","245139","0.0-5.0-0.2-0.2","36","prlq4fpk","low"
"1","4","fixed","10","110","104","red-108","red","1375","sampling-task","9","248035","0.0-5.0-0.3-0.3","36","prlq4fpk","low"
"1","5","fixed","10","110","107","red-108","red","1158","sampling-task","10","250523","0.0-5.0-0.4-0.4","36","prlq4fpk","low"
"1","6","fixed","10","110","130","red-108","red","1102","sampling-task","11","252811","0.0-5.0-0.5-0.5","36","prlq4fpk","low"
"1","7","fixed","10","110","133","red-108","red","1022","sampling-task","12","255075","0.0-5.0-0.6-0.6","36","prlq4fpk","low"
"1","8","fixed","10","110","97","red-108","red","846","sampling-task","13","257443","0.0-5.0-0.7-0.7","36","prlq4fpk","low"
"1","9","fixed","10","110","133","red-108","red","767","sampling-task","14","259539","0.0-5.0-0.8-0.8","36","prlq4fpk","low"
"1","10","fixed","10","110","106","red-108","red","894","sampling-task","15","264699","0.0-5.0-0.9-0.9","36","prlq4fpk","low"
"2","1","free","220","13","-17","yellow-191","yellow","12652","sampling-task","18","351370","0.0-5.0-0.10-0.10","36","prlq4fpk","low"
"2","2","free","220","13","49","yellow-191","yellow","2534","sampling-task","19","355922","0.0-5.0-0.11-0.11","36","prlq4fpk","low"
"2","3","free","220","13","44","yellow-191","yellow","966","sampling-task","20","358378","0.0-5.0-0.12-0.12","36","prlq4fpk","low"
"2","4","free","220","13","0","yellow-191","yellow","734","sampling-task","21","360386","0.0-5.0-0.13-0.13","36","prlq4fpk","low"
"2","5","free","220","13","13","yellow-191","yellow","702","sampling-task","22","362482","0.0-5.0-0.14-0.14","36","prlq4fpk","low"
"2","6","free","220","13","55","yellow-191","yellow","590","sampling-task","23","365530","0.0-5.0-0.15-0.15","36","prlq4fpk","low"
"2","7","free","220","13","17","yellow-191","yellow","534","sampling-task","24","367714","0.0-5.0-0.16-0.16","36","prlq4fpk","low"
"2","8","free","220","13","-8","yellow-191","yellow","598","sampling-task","25","369794","0.0-5.0-0.17-0.17","36","prlq4fpk","low"
"2","9","free","220","13","-19","yellow-191","yellow","581","sampling-task","26","371762","0.0-5.0-0.18-0.18","36","prlq4fpk","low"
"2","10","free","220","13","12","yellow-191","yellow","534","sampling-task","27","374250","0.0-5.0-0.19-0.19","36","prlq4fpk","low"
"2","11","free","220","13","10","yellow-191","yellow","518","sampling-task","28","376161","0.0-5.0-0.20-0.20","36","prlq4fpk","low"
"2","12","free","220","13","34","yellow-191","yellow","462","sampling-task","29","378122","0.0-5.0-0.21-0.21","36","prlq4fpk","low"
"2","13","free","220","13","1","yellow-191","yellow","486","sampling-task","30","379962","0.0-5.0-0.22-0.22","36","prlq4fpk","low"
"2","14","free","220","13","38","yellow-191","yellow","510","sampling-task","31","381842","0.0-5.0-0.23-0.23","36","prlq4fpk","low"
"2","15","free","220","13","44","yellow-191","yellow","558","sampling-task","32","383794","0.0-5.0-0.24-0.24","36","prlq4fpk","low"
"2","16","free","220","13","28","yellow-191","yellow","510","sampling-task","33","385626","0.0-5.0-0.25-0.25","36","prlq4fpk","low"
"2","17","free","220","13","14","yellow-191","yellow","454","sampling-task","34","387338","0.0-5.0-0.26-0.26","36","prlq4fpk","low"
"2","18","free","220","13","23","yellow-191","yellow","470","sampling-task","35","388929","0.0-5.0-0.27-0.27","36","prlq4fpk","low"
"2","19","free","220","13","42","yellow-191","yellow","454","sampling-task","36","390865","0.0-5.0-0.28-0.28","36","prlq4fpk","low"
"2","20","free","220","13","20","yellow-191","yellow","446","sampling-task","37","392954","0.0-5.0-0.29-0.29","36","prlq4fpk","low"
"2","21","free","220","13","26","yellow-191","yellow","438","sampling-task","38","394442","0.0-5.0-0.30-0.30","36","prlq4fpk","low"
"2","22","free","220","13","22","yellow-191","yellow","454","sampling-task","39","396209","0.0-5.0-0.31-0.31","36","prlq4fpk","low"
"2","23","free","220","13","15","yellow-191","yellow","543","sampling-task","40","398161","0.0-5.0-0.32-0.32","36","prlq4fpk","low"
"2","24","free","220","13","31","yellow-191","yellow","670","sampling-task","41","400034","0.0-5.0-0.33-0.33","36","prlq4fpk","low"
"2","25","free","220","13","9","yellow-191","yellow","574","sampling-task","42","401826","0.0-5.0-0.34-0.34","36","prlq4fpk","low"
"2","26","free","220","13","27","yellow-191","yellow","718","sampling-task","43","403834","0.0-5.0-0.35-0.35","36","prlq4fpk","low"
"2","27","free","220","13","-15","yellow-191","yellow","462","sampling-task","44","405771","0.0-5.0-0.36-0.36","36","prlq4fpk","low"
"2","28","free","220","13","21","yellow-191","yellow","661","sampling-task","45","408010","0.0-5.0-0.37-0.37","36","prlq4fpk","low"
"2","29","free","220","13","33","yellow-191","yellow","1094","sampling-task","46","410424","0.0-5.0-0.38-0.38","36","prlq4fpk","low"
"2","30","free","220","13","9","yellow-191","yellow","486","sampling-task","47","412024","0.0-5.0-0.39-0.39","36","prlq4fpk","low"
"2","31","free","220","13","12","yellow-191","yellow","421","sampling-task","48","413456","0.0-5.0-0.40-0.40","36","prlq4fpk","low"
"2","32","free","220","13","33","yellow-191","yellow","414","sampling-task","49","415376","0.0-5.0-0.41-0.41","36","prlq4fpk","low"
"2","33","free","220","13","3","yellow-191","yellow","414","sampling-task","50","416745","0.0-5.0-0.42-0.42","36","prlq4fpk","low"
