"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","35","8","purple-183","purple","5476","sampling-task","12","356757","0.0-5.0-0.0-0.0","37","yj5zvgdy","low"
"1","2","fixed","20","35","31","purple-183","purple","1774","sampling-task","13","375093","0.0-5.0-0.1-0.1","37","yj5zvgdy","low"
"1","3","fixed","20","35","26","purple-183","purple","3078","sampling-task","14","379221","0.0-5.0-0.2-0.2","37","yj5zvgdy","low"
"1","4","fixed","20","35","90","purple-183","purple","622","sampling-task","15","380765","0.0-5.0-0.3-0.3","37","yj5zvgdy","low"
"1","5","fixed","20","35","53","purple-183","purple","622","sampling-task","16","382356","0.0-5.0-0.4-0.4","37","yj5zvgdy","low"
"1","6","fixed","20","35","27","purple-183","purple","734","sampling-task","17","384069","0.0-5.0-0.5-0.5","37","yj5zvgdy","low"
"1","7","fixed","20","35","78","purple-183","purple","734","sampling-task","18","385893","0.0-5.0-0.6-0.6","37","yj5zvgdy","low"
"1","8","fixed","20","35","28","purple-183","purple","550","sampling-task","19","387341","0.0-5.0-0.7-0.7","37","yj5zvgdy","low"
"1","9","fixed","20","35","57","purple-183","purple","622","sampling-task","20","388861","0.0-5.0-0.8-0.8","37","yj5zvgdy","low"
"1","10","fixed","20","35","71","purple-183","purple","678","sampling-task","21","390453","0.0-5.0-0.9-0.9","37","yj5zvgdy","low"
"1","11","fixed","20","35","28","purple-183","purple","1022","sampling-task","22","392381","0.0-5.0-0.10-0.10","37","yj5zvgdy","low"
"1","12","fixed","20","35","21","purple-183","purple","782","sampling-task","23","394124","0.0-5.0-0.11-0.11","37","yj5zvgdy","low"
"1","13","fixed","20","35","40","purple-183","purple","1038","sampling-task","24","396212","0.0-5.0-0.12-0.12","37","yj5zvgdy","low"
"1","14","fixed","20","35","42","purple-183","purple","502","sampling-task","25","397556","0.0-5.0-0.13-0.13","37","yj5zvgdy","low"
"1","15","fixed","20","35","68","purple-183","purple","430","sampling-task","26","398860","0.0-5.0-0.14-0.14","37","yj5zvgdy","low"
"1","16","fixed","20","35","2","purple-183","purple","526","sampling-task","27","400388","0.0-5.0-0.15-0.15","37","yj5zvgdy","low"
"1","17","fixed","20","35","66","purple-183","purple","702","sampling-task","28","401932","0.0-5.0-0.16-0.16","37","yj5zvgdy","low"
"1","18","fixed","20","35","35","purple-183","purple","622","sampling-task","29","403700","0.0-5.0-0.17-0.17","37","yj5zvgdy","low"
"1","19","fixed","20","35","0","purple-183","purple","750","sampling-task","30","405444","0.0-5.0-0.18-0.18","37","yj5zvgdy","low"
"1","20","fixed","20","35","-3","purple-183","purple","575","sampling-task","31","407140","0.0-5.0-0.19-0.19","37","yj5zvgdy","low"
"2","1","free","220","12","26","yellow-144","yellow","3292","sampling-task","34","447892","0.0-5.0-0.20-0.20","37","yj5zvgdy","low"
"2","2","free","220","12","10","yellow-144","yellow","422","sampling-task","35","449300","0.0-5.0-0.21-0.21","37","yj5zvgdy","low"
"2","3","free","220","12","32","yellow-144","yellow","446","sampling-task","36","450748","0.0-5.0-0.22-0.22","37","yj5zvgdy","low"
"2","4","free","220","12","7","yellow-144","yellow","390","sampling-task","37","452044","0.0-5.0-0.23-0.23","37","yj5zvgdy","low"
"2","5","free","220","12","4","yellow-144","yellow","533","sampling-task","38","453564","0.0-5.0-0.24-0.24","37","yj5zvgdy","low"
"2","6","free","220","12","6","yellow-144","yellow","718","sampling-task","39","455204","0.0-5.0-0.25-0.25","37","yj5zvgdy","low"
"2","7","free","220","12","25","yellow-144","yellow","598","sampling-task","40","456948","0.0-5.0-0.26-0.26","37","yj5zvgdy","low"
"2","8","free","220","12","7","yellow-144","yellow","854","sampling-task","41","459108","0.0-5.0-0.27-0.27","37","yj5zvgdy","low"
"2","9","free","220","12","20","yellow-144","yellow","517","sampling-task","42","460548","0.0-5.0-0.28-0.28","37","yj5zvgdy","low"
"2","10","free","220","12","41","yellow-144","yellow","414","sampling-task","43","462188","0.0-5.0-0.29-0.29","37","yj5zvgdy","low"
"3","1","fixed","10","98","125","blue-66","blue","1100","sampling-task","46","477108","0.0-5.0-0.30-0.30","37","yj5zvgdy","low"
"3","2","fixed","10","98","90","blue-66","blue","439","sampling-task","47","478356","0.0-5.0-0.31-0.31","37","yj5zvgdy","low"
"3","3","fixed","10","98","92","blue-66","blue","414","sampling-task","48","479636","0.0-5.0-0.32-0.32","37","yj5zvgdy","low"
"3","4","fixed","10","98","109","blue-66","blue","413","sampling-task","49","480892","0.0-5.0-0.33-0.33","37","yj5zvgdy","low"
"3","5","fixed","10","98","70","blue-66","blue","430","sampling-task","50","482148","0.0-5.0-0.34-0.34","37","yj5zvgdy","low"
"3","6","fixed","10","98","131","blue-66","blue","406","sampling-task","51","483412","0.0-5.0-0.35-0.35","37","yj5zvgdy","low"
"3","7","fixed","10","98","84","blue-66","blue","430","sampling-task","52","484660","0.0-5.0-0.36-0.36","37","yj5zvgdy","low"
"3","8","fixed","10","98","71","blue-66","blue","470","sampling-task","53","485988","0.0-5.0-0.37-0.37","37","yj5zvgdy","low"
"3","9","fixed","10","98","61","blue-66","blue","430","sampling-task","54","487252","0.0-5.0-0.38-0.38","37","yj5zvgdy","low"
"3","10","fixed","10","98","80","blue-66","blue","446","sampling-task","55","488532","0.0-5.0-0.39-0.39","37","yj5zvgdy","low"
"4","1","free","220","72","72","red-16","red","868","sampling-task","58","506460","0.0-5.0-0.40-0.40","37","yj5zvgdy","low"
"4","2","free","220","72","77","red-16","red","398","sampling-task","59","507708","0.0-5.0-0.41-0.41","37","yj5zvgdy","low"
"4","3","free","220","72","69","red-16","red","494","sampling-task","60","509236","0.0-5.0-0.42-0.42","37","yj5zvgdy","low"
"4","4","free","220","72","79","red-16","red","494","sampling-task","61","510964","0.0-5.0-0.43-0.43","37","yj5zvgdy","low"
"5","1","fixed","5","57","69","green-173","green","2261","sampling-task","64","526523","0.0-5.0-0.44-0.44","37","yj5zvgdy","low"
"5","2","fixed","5","57","82","green-173","green","574","sampling-task","65","527987","0.0-5.0-0.45-0.45","37","yj5zvgdy","low"
"5","3","fixed","5","57","52","green-173","green","422","sampling-task","66","529243","0.0-5.0-0.46-0.46","37","yj5zvgdy","low"
"5","4","fixed","5","57","3","green-173","green","486","sampling-task","67","530563","0.0-5.0-0.47-0.47","37","yj5zvgdy","low"
"5","5","fixed","5","57","6","green-173","green","446","sampling-task","68","531859","0.0-5.0-0.48-0.48","37","yj5zvgdy","low"
"6","1","free","220","113","140","orange-120","orange","821","sampling-task","71","552835","0.0-5.0-0.49-0.49","37","yj5zvgdy","low"
