"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","36","35","blue-186","blue","5117","sampling-task","6","1095377","0.0-5.0-0.0-0.0","38","e8tu853n","low"
"1","2","fixed","5","36","42","blue-186","blue","2246","sampling-task","7","1102905","0.0-5.0-0.1-0.1","38","e8tu853n","low"
"1","3","fixed","5","36","36","blue-186","blue","2246","sampling-task","8","1106673","0.0-5.0-0.2-0.2","38","e8tu853n","low"
"1","4","fixed","5","36","-2","blue-186","blue","3598","sampling-task","9","1112113","0.0-5.0-0.3-0.3","38","e8tu853n","low"
"1","5","fixed","5","36","78","blue-186","blue","2238","sampling-task","10","1116001","0.0-5.0-0.4-0.4","38","e8tu853n","low"
"2","1","free","220","52","42","yellow-69","yellow","2884","sampling-task","13","1169640","0.0-5.0-0.5-0.5","38","e8tu853n","low"
"2","2","free","220","52","56","yellow-69","yellow","910","sampling-task","14","1171624","0.0-5.0-0.6-0.6","38","e8tu853n","low"
"2","3","free","220","52","26","yellow-69","yellow","870","sampling-task","15","1173624","0.0-5.0-0.7-0.7","38","e8tu853n","low"
"2","4","free","220","52","61","yellow-69","yellow","878","sampling-task","16","1175680","0.0-5.0-0.8-0.8","38","e8tu853n","low"
"2","5","free","220","52","85","yellow-69","yellow","1238","sampling-task","17","1178088","0.0-5.0-0.9-0.9","38","e8tu853n","low"
"2","6","free","220","52","41","yellow-69","yellow","862","sampling-task","18","1180032","0.0-5.0-0.10-0.10","38","e8tu853n","low"
"2","7","free","220","52","33","yellow-69","yellow","589","sampling-task","19","1181552","0.0-5.0-0.11-0.11","38","e8tu853n","low"
"2","8","free","220","52","55","yellow-69","yellow","574","sampling-task","20","1183120","0.0-5.0-0.12-0.12","38","e8tu853n","low"
"2","9","free","220","52","66","yellow-69","yellow","494","sampling-task","21","1185048","0.0-5.0-0.13-0.13","38","e8tu853n","low"
"2","10","free","220","52","95","yellow-69","yellow","1118","sampling-task","22","1187368","0.0-5.0-0.14-0.14","38","e8tu853n","low"
"2","11","free","220","52","81","yellow-69","yellow","694","sampling-task","23","1189120","0.0-5.0-0.15-0.15","38","e8tu853n","low"
"2","12","free","220","52","22","yellow-69","yellow","566","sampling-task","24","1192120","0.0-5.0-0.16-0.16","38","e8tu853n","low"
"2","13","free","220","52","57","yellow-69","yellow","758","sampling-task","25","1193928","0.0-5.0-0.17-0.17","38","e8tu853n","low"
"2","14","free","220","52","56","yellow-69","yellow","1493","sampling-task","26","1197552","0.0-5.0-0.18-0.18","38","e8tu853n","low"
"2","15","free","220","52","46","yellow-69","yellow","566","sampling-task","27","1199120","0.0-5.0-0.19-0.19","38","e8tu853n","low"
"2","16","free","220","52","32","yellow-69","yellow","606","sampling-task","28","1200936","0.0-5.0-0.20-0.20","38","e8tu853n","low"
"2","17","free","220","52","44","yellow-69","yellow","878","sampling-task","29","1203344","0.0-5.0-0.21-0.21","38","e8tu853n","low"
"2","18","free","220","52","35","yellow-69","yellow","934","sampling-task","30","1205208","0.0-5.0-0.22-0.22","38","e8tu853n","low"
"2","19","free","220","52","81","yellow-69","yellow","695","sampling-task","31","1207024","0.0-5.0-0.23-0.23","38","e8tu853n","low"
"2","20","free","220","52","45","yellow-69","yellow","1006","sampling-task","32","1208920","0.0-5.0-0.24-0.24","38","e8tu853n","low"
"2","21","free","220","52","61","yellow-69","yellow","630","sampling-task","33","1210688","0.0-5.0-0.25-0.25","38","e8tu853n","low"
"2","22","free","220","52","37","yellow-69","yellow","1502","sampling-task","34","1213248","0.0-5.0-0.26-0.26","38","e8tu853n","low"
"2","23","free","220","52","72","yellow-69","yellow","2838","sampling-task","35","1217232","0.0-5.0-0.27-0.27","38","e8tu853n","low"
"2","24","free","220","52","48","yellow-69","yellow","462","sampling-task","36","1218704","0.0-5.0-0.28-0.28","38","e8tu853n","low"
"2","25","free","220","52","62","yellow-69","yellow","1078","sampling-task","37","1221528","0.0-5.0-0.29-0.29","38","e8tu853n","low"
"2","26","free","220","52","51","yellow-69","yellow","942","sampling-task","38","1223760","0.0-5.0-0.30-0.30","38","e8tu853n","low"
"2","27","free","220","52","57","yellow-69","yellow","629","sampling-task","39","1225352","0.0-5.0-0.31-0.31","38","e8tu853n","low"
"2","28","free","220","52","69","yellow-69","yellow","798","sampling-task","40","1227384","0.0-5.0-0.32-0.32","38","e8tu853n","low"
"2","29","free","220","52","57","yellow-69","yellow","974","sampling-task","41","1229536","0.0-5.0-0.33-0.33","38","e8tu853n","low"
"2","30","free","220","52","53","yellow-69","yellow","3726","sampling-task","42","1235168","0.0-5.0-0.34-0.34","38","e8tu853n","low"
"2","31","free","220","52","20","yellow-69","yellow","1142","sampling-task","43","1237496","0.0-5.0-0.35-0.35","38","e8tu853n","low"
"2","32","free","220","52","-2","yellow-69","yellow","1142","sampling-task","44","1240336","0.0-5.0-0.36-0.36","38","e8tu853n","low"
"2","33","free","220","52","55","yellow-69","yellow","3382","sampling-task","45","1245672","0.0-5.0-0.37-0.37","38","e8tu853n","low"
"2","34","free","220","52","57","yellow-69","yellow","1598","sampling-task","46","1248736","0.0-5.0-0.38-0.38","38","e8tu853n","low"
"2","35","free","220","52","35","yellow-69","yellow","2294","sampling-task","47","1252216","0.0-5.0-0.39-0.39","38","e8tu853n","low"
"2","36","free","220","52","32","yellow-69","yellow","1557","sampling-task","48","1255392","0.0-5.0-0.40-0.40","38","e8tu853n","low"
"2","37","free","220","52","57","yellow-69","yellow","1406","sampling-task","49","1258144","0.0-5.0-0.41-0.41","38","e8tu853n","low"
"2","38","free","220","52","43","yellow-69","yellow","1790","sampling-task","50","1263511","0.0-5.0-0.42-0.42","38","e8tu853n","low"
"2","39","free","220","52","98","yellow-69","yellow","486","sampling-task","51","1265135","0.0-5.0-0.43-0.43","38","e8tu853n","low"
"2","40","free","220","52","71","yellow-69","yellow","1830","sampling-task","52","1268352","0.0-5.0-0.44-0.44","38","e8tu853n","low"
"3","1","fixed","10","13","25","orange-208","orange","5141","sampling-task","55","1295615","0.0-5.0-0.45-0.45","38","e8tu853n","low"
"3","2","fixed","10","13","-1","orange-208","orange","1534","sampling-task","56","1298327","0.0-5.0-0.46-0.46","38","e8tu853n","low"
"3","3","fixed","10","13","18","orange-208","orange","2405","sampling-task","57","1302399","0.0-5.0-0.47-0.47","38","e8tu853n","low"
"3","4","fixed","10","13","26","orange-208","orange","2030","sampling-task","58","1305600","0.0-5.0-0.48-0.48","38","e8tu853n","low"
"3","5","fixed","10","13","43","orange-208","orange","1014","sampling-task","59","1307535","0.0-5.0-0.49-0.49","38","e8tu853n","low"
"3","6","fixed","10","13","24","orange-208","orange","1278","sampling-task","60","1309695","0.0-5.0-0.50-0.50","38","e8tu853n","low"
"3","7","fixed","10","13","-3","orange-208","orange","1854","sampling-task","61","1312864","0.0-5.0-0.51-0.51","38","e8tu853n","low"
"3","8","fixed","10","13","21","orange-208","orange","1350","sampling-task","62","1316239","0.0-5.0-0.52-0.52","38","e8tu853n","low"
"3","9","fixed","10","13","32","orange-208","orange","5446","sampling-task","63","1323607","0.0-5.0-0.53-0.53","38","e8tu853n","low"
"3","10","fixed","10","13","37","orange-208","orange","2502","sampling-task","64","1327343","0.0-5.0-0.54-0.54","38","e8tu853n","low"
"4","1","free","220","117","121","purple-62","purple","4356","sampling-task","67","1357607","0.0-5.0-0.55-0.55","38","e8tu853n","low"
"4","2","free","220","117","130","purple-62","purple","565","sampling-task","68","1359256","0.0-5.0-0.56-0.56","38","e8tu853n","low"
"4","3","free","220","117","126","purple-62","purple","502","sampling-task","69","1360839","0.0-5.0-0.57-0.57","38","e8tu853n","low"
"4","4","free","220","117","92","purple-62","purple","446","sampling-task","70","1362343","0.0-5.0-0.58-0.58","38","e8tu853n","low"
"4","5","free","220","117","127","purple-62","purple","574","sampling-task","71","1364215","0.0-5.0-0.59-0.59","38","e8tu853n","low"
"4","6","free","220","117","105","purple-62","purple","645","sampling-task","72","1366959","0.0-5.0-0.60-0.60","38","e8tu853n","low"
