"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","15","-4","purple-208","purple","15735","sampling-task","6","449116","0.0-5.0-0.0-0.0","39","0g4d30wf","high"
"1","2","fixed","20","15","27","purple-67","purple","33458","sampling-task","7","488448","0.0-5.0-0.1-0.1","39","0g4d30wf","high"
"1","3","fixed","20","15","20","purple-90","purple","30558","sampling-task","8","521952","0.0-5.0-0.2-0.2","39","0g4d30wf","high"
"1","4","fixed","20","15","0","purple-158","purple","22923","sampling-task","9","549732","0.0-5.0-0.3-0.3","39","0g4d30wf","high"
"1","5","fixed","20","15","57","purple-121","purple","7822","sampling-task","10","559932","0.0-5.0-0.4-0.4","39","0g4d30wf","high"
"1","6","fixed","20","15","20","purple-65","purple","5686","sampling-task","11","567628","0.0-5.0-0.5-0.5","39","0g4d30wf","high"
"1","7","fixed","20","15","-19","purple-147","purple","5102","sampling-task","12","574892","0.0-5.0-0.6-0.6","39","0g4d30wf","high"
"1","8","fixed","20","15","-12","purple-189","purple","1198","sampling-task","13","578836","0.0-5.0-0.7-0.7","39","0g4d30wf","high"
"1","9","fixed","20","15","29","purple-174","purple","18323","sampling-task","14","599504","0.0-5.0-0.8-0.8","39","0g4d30wf","high"
"1","10","fixed","20","15","9","purple-110","purple","16926","sampling-task","15","619152","0.0-5.0-0.9-0.9","39","0g4d30wf","high"
"1","11","fixed","20","15","14","purple-133","purple","5030","sampling-task","16","625912","0.0-5.0-0.10-0.10","39","0g4d30wf","high"
"1","12","fixed","20","15","-1","purple-78","purple","12230","sampling-task","17","639936","0.0-5.0-0.11-0.11","39","0g4d30wf","high"
"1","13","fixed","20","15","-3","purple-5","purple","4630","sampling-task","18","646136","0.0-5.0-0.12-0.12","39","0g4d30wf","high"
"1","14","fixed","20","15","18","purple-51","purple","8582","sampling-task","19","656384","0.0-5.0-0.13-0.13","39","0g4d30wf","high"
