"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","97","56","yellow-191","yellow","5766","sampling-task","6","1100408","0.0-5.0-0.0-0.0","4","wbuls3e3","high"
"1","2","fixed","5","97","90","yellow-132","yellow","2518","sampling-task","7","1104944","0.0-5.0-0.1-0.1","4","wbuls3e3","high"
"1","3","fixed","5","97","120","yellow-16","yellow","814","sampling-task","8","1113695","0.0-5.0-0.2-0.2","4","wbuls3e3","high"
"1","4","fixed","5","97","91","yellow-96","yellow","950","sampling-task","9","1115918","0.0-5.0-0.3-0.3","4","wbuls3e3","high"
"1","5","fixed","5","97","95","yellow-72","yellow","575","sampling-task","10","1118710","0.0-5.0-0.4-0.4","4","wbuls3e3","high"
"2","1","free","220","11","18","purple-131","purple","2061","sampling-task","13","1166847","0.0-5.0-0.5-0.5","4","wbuls3e3","high"
"2","2","free","220","11","28","purple-158","purple","1222","sampling-task","14","1169334","0.0-5.0-0.6-0.6","4","wbuls3e3","high"
"2","3","free","220","11","15","purple-71","purple","1189","sampling-task","15","1171734","0.0-5.0-0.7-0.7","4","wbuls3e3","high"
"2","4","free","220","11","12","purple-155","purple","878","sampling-task","16","1173966","0.0-5.0-0.8-0.8","4","wbuls3e3","high"
"2","5","free","220","11","12","purple-13","purple","846","sampling-task","17","1177094","0.0-5.0-0.9-0.9","4","wbuls3e3","high"
"2","6","free","220","11","-12","purple-115","purple","1341","sampling-task","18","1180638","0.0-5.0-0.10-0.10","4","wbuls3e3","high"
"2","7","free","220","11","-4","purple-12","purple","950","sampling-task","19","1183022","0.0-5.0-0.11-0.11","4","wbuls3e3","high"
"3","1","fixed","10","114","77","green-15","green","1532","sampling-task","22","1223030","0.0-5.0-0.12-0.12","4","wbuls3e3","high"
"3","2","fixed","10","114","129","green-105","green","934","sampling-task","23","1226662","0.0-5.0-0.13-0.13","4","wbuls3e3","high"
"3","3","fixed","10","114","147","green-98","green","790","sampling-task","24","1228670","0.0-5.0-0.14-0.14","4","wbuls3e3","high"
"3","4","fixed","10","114","106","green-97","green","830","sampling-task","25","1230734","0.0-5.0-0.15-0.15","4","wbuls3e3","high"
"3","5","fixed","10","114","63","green-58","green","934","sampling-task","26","1233237","0.0-5.0-0.16-0.16","4","wbuls3e3","high"
"3","6","fixed","10","114","123","green-205","green","966","sampling-task","27","1236565","0.0-5.0-0.17-0.17","4","wbuls3e3","high"
"3","7","fixed","10","114","125","green-65","green","934","sampling-task","28","1238718","0.0-5.0-0.18-0.18","4","wbuls3e3","high"
"3","8","fixed","10","114","91","green-33","green","886","sampling-task","29","1240934","0.0-5.0-0.19-0.19","4","wbuls3e3","high"
"3","9","fixed","10","114","101","green-182","green","950","sampling-task","30","1243046","0.0-5.0-0.20-0.20","4","wbuls3e3","high"
"3","10","fixed","10","114","105","green-130","green","910","sampling-task","31","1245430","0.0-5.0-0.21-0.21","4","wbuls3e3","high"
"4","1","free","220","57","88","orange-67","orange","1613","sampling-task","34","1280022","0.0-5.0-0.22-0.22","4","wbuls3e3","high"
"4","2","free","220","57","55","orange-121","orange","5054","sampling-task","35","1288134","0.0-5.0-0.23-0.23","4","wbuls3e3","high"
"4","3","free","220","57","63","orange-20","orange","742","sampling-task","36","1290549","0.0-5.0-0.24-0.24","4","wbuls3e3","high"
"4","4","free","220","57","36","orange-219","orange","798","sampling-task","37","1292477","0.0-5.0-0.25-0.25","4","wbuls3e3","high"
"4","5","free","220","57","40","orange-154","orange","694","sampling-task","38","1294333","0.0-5.0-0.26-0.26","4","wbuls3e3","high"
"4","6","free","220","57","22","orange-34","orange","589","sampling-task","39","1296669","0.0-5.0-0.27-0.27","4","wbuls3e3","high"
"4","7","free","220","57","44","orange-184","orange","614","sampling-task","40","1298445","0.0-5.0-0.28-0.28","4","wbuls3e3","high"
"4","8","free","220","57","69","orange-47","orange","590","sampling-task","41","1300133","0.0-5.0-0.29-0.29","4","wbuls3e3","high"
"4","9","free","220","57","49","orange-152","orange","694","sampling-task","42","1302205","0.0-5.0-0.30-0.30","4","wbuls3e3","high"
"4","10","free","220","57","67","orange-9","orange","846","sampling-task","43","1304333","0.0-5.0-0.31-0.31","4","wbuls3e3","high"
"4","11","free","220","57","82","orange-174","orange","662","sampling-task","44","1306045","0.0-5.0-0.32-0.32","4","wbuls3e3","high"
"4","12","free","220","57","53","orange-61","orange","742","sampling-task","45","1307909","0.0-5.0-0.33-0.33","4","wbuls3e3","high"
"4","13","free","220","57","32","orange-61","orange","662","sampling-task","46","1309893","0.0-5.0-0.34-0.34","4","wbuls3e3","high"
"4","14","free","220","57","93","orange-140","orange","534","sampling-task","47","1311461","0.0-5.0-0.35-0.35","4","wbuls3e3","high"
