"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","94","104","green-156","green","5070","sampling-task","6","260536","0.0-5.0-0.0-0.0","40","331g9noc","high"
"1","2","fixed","5","94","111","green-144","green","1478","sampling-task","7","266911","0.0-5.0-0.1-0.1","40","331g9noc","high"
"1","3","fixed","5","94","104","green-51","green","6046","sampling-task","8","274488","0.0-5.0-0.2-0.2","40","331g9noc","high"
"1","4","fixed","5","94","105","green-116","green","902","sampling-task","9","276648","0.0-5.0-0.3-0.3","40","331g9noc","high"
"1","5","fixed","5","94","109","green-148","green","694","sampling-task","10","278872","0.0-5.0-0.4-0.4","40","331g9noc","high"
"2","1","free","220","117","53","orange-67","orange","2605","sampling-task","13","312736","0.0-5.0-0.5-0.5","40","331g9noc","high"
"2","2","free","220","117","114","orange-132","orange","654","sampling-task","14","315176","0.0-5.0-0.6-0.6","40","331g9noc","high"
"2","3","free","220","117","102","orange-36","orange","903","sampling-task","15","318120","0.0-5.0-0.7-0.7","40","331g9noc","high"
"2","4","free","220","117","115","orange-92","orange","767","sampling-task","16","320048","0.0-5.0-0.8-0.8","40","331g9noc","high"
"2","5","free","220","117","164","orange-210","orange","671","sampling-task","17","322352","0.0-5.0-0.9-0.9","40","331g9noc","high"
"2","6","free","220","117","122","orange-140","orange","751","sampling-task","18","324640","0.0-5.0-0.10-0.10","40","331g9noc","high"
"2","7","free","220","117","121","orange-6","orange","671","sampling-task","19","326504","0.0-5.0-0.11-0.11","40","331g9noc","high"
"2","8","free","220","117","159","orange-169","orange","770","sampling-task","20","329004","0.0-5.0-0.12-0.12","40","331g9noc","high"
"2","9","free","220","117","111","orange-208","orange","590","sampling-task","21","331491","0.0-5.0-0.13-0.13","40","331g9noc","high"
"2","10","free","220","117","107","orange-78","orange","630","sampling-task","22","333316","0.0-5.0-0.14-0.14","40","331g9noc","high"
"2","11","free","220","117","102","orange-19","orange","606","sampling-task","23","335100","0.0-5.0-0.15-0.15","40","331g9noc","high"
"2","12","free","220","117","137","orange-137","orange","510","sampling-task","24","337212","0.0-5.0-0.16-0.16","40","331g9noc","high"
"3","1","fixed","20","37","50","purple-4","purple","15309","sampling-task","27","377844","0.0-5.0-0.17-0.17","40","331g9noc","high"
"3","2","fixed","20","37","53","purple-175","purple","542","sampling-task","28","379924","0.0-5.0-0.18-0.18","40","331g9noc","high"
"3","3","fixed","20","37","62","purple-5","purple","2926","sampling-task","29","383964","0.0-5.0-0.19-0.19","40","331g9noc","high"
"3","4","fixed","20","37","25","purple-12","purple","486","sampling-task","30","385764","0.0-5.0-0.20-0.20","40","331g9noc","high"
"3","5","fixed","20","37","68","purple-200","purple","550","sampling-task","31","387456","0.0-5.0-0.21-0.21","40","331g9noc","high"
"3","6","fixed","20","37","32","purple-37","purple","495","sampling-task","32","389256","0.0-5.0-0.22-0.22","40","331g9noc","high"
"3","7","fixed","20","37","13","purple-29","purple","639","sampling-task","33","391272","0.0-5.0-0.23-0.23","40","331g9noc","high"
"3","8","fixed","20","37","59","purple-40","purple","719","sampling-task","34","393152","0.0-5.0-0.24-0.24","40","331g9noc","high"
"3","9","fixed","20","37","15","purple-64","purple","695","sampling-task","35","394920","0.0-5.0-0.25-0.25","40","331g9noc","high"
"3","10","fixed","20","37","39","purple-182","purple","559","sampling-task","36","396544","0.0-5.0-0.26-0.26","40","331g9noc","high"
"3","11","fixed","20","37","5","purple-128","purple","599","sampling-task","37","398368","0.0-5.0-0.27-0.27","40","331g9noc","high"
"3","12","fixed","20","37","23","purple-48","purple","582","sampling-task","38","400328","0.0-5.0-0.28-0.28","40","331g9noc","high"
"3","13","fixed","20","37","48","purple-115","purple","662","sampling-task","39","402344","0.0-5.0-0.29-0.29","40","331g9noc","high"
"3","14","fixed","20","37","7","purple-135","purple","671","sampling-task","40","404072","0.0-5.0-0.30-0.30","40","331g9noc","high"
"3","15","fixed","20","37","41","purple-85","purple","639","sampling-task","41","405712","0.0-5.0-0.31-0.31","40","331g9noc","high"
"3","16","fixed","20","37","73","purple-151","purple","518","sampling-task","42","408481","0.0-5.0-0.32-0.32","40","331g9noc","high"
"3","17","fixed","20","37","-3","purple-49","purple","637","sampling-task","43","410528","0.0-5.0-0.33-0.33","40","331g9noc","high"
"3","18","fixed","20","37","27","purple-58","purple","598","sampling-task","44","412753","0.0-5.0-0.34-0.34","40","331g9noc","high"
"3","19","fixed","20","37","36","purple-87","purple","694","sampling-task","45","414992","0.0-5.0-0.35-0.35","40","331g9noc","high"
"3","20","fixed","20","37","33","purple-192","purple","575","sampling-task","46","416552","0.0-5.0-0.36-0.36","40","331g9noc","high"
"4","1","free","220","13","-14","red-218","red","2180","sampling-task","49","459355","0.0-5.0-0.37-0.37","40","331g9noc","high"
"4","2","free","220","13","-16","red-173","red","518","sampling-task","50","461228","0.0-5.0-0.38-0.38","40","331g9noc","high"
"4","3","free","220","13","21","red-168","red","518","sampling-task","51","462948","0.0-5.0-0.39-0.39","40","331g9noc","high"
"4","4","free","220","13","36","red-152","red","565","sampling-task","52","465764","0.0-5.0-0.40-0.40","40","331g9noc","high"
"4","5","free","220","13","17","red-106","red","558","sampling-task","53","467572","0.0-5.0-0.41-0.41","40","331g9noc","high"
"4","6","free","220","13","14","red-203","red","478","sampling-task","54","469012","0.0-5.0-0.42-0.42","40","331g9noc","high"
"4","7","free","220","13","14","red-55","red","534","sampling-task","55","471099","0.0-5.0-0.43-0.43","40","331g9noc","high"
"4","8","free","220","13","-1","red-163","red","566","sampling-task","56","472996","0.0-5.0-0.44-0.44","40","331g9noc","high"
"4","9","free","220","13","26","red-202","red","1102","sampling-task","57","475324","0.0-5.0-0.45-0.45","40","331g9noc","high"
"4","10","free","220","13","9","red-7","red","766","sampling-task","58","477131","0.0-5.0-0.46-0.46","40","331g9noc","high"
"4","11","free","220","13","13","red-146","red","526","sampling-task","59","478948","0.0-5.0-0.47-0.47","40","331g9noc","high"
"4","12","free","220","13","-1","red-42","red","556","sampling-task","60","480691","0.0-5.0-0.48-0.48","40","331g9noc","high"
"4","13","free","220","13","7","red-110","red","942","sampling-task","61","482844","0.0-5.0-0.49-0.49","40","331g9noc","high"
"4","14","free","220","13","-4","red-173","red","574","sampling-task","62","484572","0.0-5.0-0.50-0.50","40","331g9noc","high"
"4","15","free","220","13","23","red-57","red","613","sampling-task","63","486340","0.0-5.0-0.51-0.51","40","331g9noc","high"
"4","16","free","220","13","1","red-111","red","718","sampling-task","64","488732","0.0-5.0-0.52-0.52","40","331g9noc","high"
"4","17","free","220","13","23","red-54","red","590","sampling-task","65","490548","0.0-5.0-0.53-0.53","40","331g9noc","high"
