"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","34","-17","orange-118","orange","5396","sampling-task","6","332058","0.0-5.0-0.0-0.0","41","ov7rxxs8","high"
"1","2","fixed","20","34","4","orange-127","orange","2150","sampling-task","7","337793","0.0-5.0-0.1-0.1","41","ov7rxxs8","high"
"1","3","fixed","20","34","46","orange-85","orange","2638","sampling-task","8","344265","0.0-5.0-0.2-0.2","41","ov7rxxs8","high"
"1","4","fixed","20","34","71","orange-144","orange","1190","sampling-task","9","353689","0.0-5.0-0.3-0.3","41","ov7rxxs8","high"
"1","5","fixed","20","34","34","orange-58","orange","1390","sampling-task","10","361040","0.0-5.0-0.4-0.4","41","ov7rxxs8","high"
"1","6","fixed","20","34","32","orange-56","orange","1974","sampling-task","11","365840","0.0-5.0-0.5-0.5","41","ov7rxxs8","high"
"1","7","fixed","20","34","26","orange-198","orange","1790","sampling-task","12","371304","0.0-5.0-0.6-0.6","41","ov7rxxs8","high"
"1","8","fixed","20","34","24","orange-90","orange","2205","sampling-task","13","377504","0.0-5.0-0.7-0.7","41","ov7rxxs8","high"
"1","9","fixed","20","34","16","orange-145","orange","2238","sampling-task","14","382400","0.0-5.0-0.8-0.8","41","ov7rxxs8","high"
"1","10","fixed","20","34","19","orange-185","orange","2414","sampling-task","15","387448","0.0-5.0-0.9-0.9","41","ov7rxxs8","high"
"1","11","fixed","20","34","44","orange-170","orange","2109","sampling-task","16","392633","0.0-5.0-0.10-0.10","41","ov7rxxs8","high"
"1","12","fixed","20","34","2","orange-146","orange","2229","sampling-task","17","399480","0.0-5.0-0.11-0.11","41","ov7rxxs8","high"
"1","13","fixed","20","34","51","orange-76","orange","1831","sampling-task","18","404944","0.0-5.0-0.12-0.12","41","ov7rxxs8","high"
"1","14","fixed","20","34","49","orange-130","orange","1791","sampling-task","19","408944","0.0-5.0-0.13-0.13","41","ov7rxxs8","high"
"1","15","fixed","20","34","61","orange-199","orange","5463","sampling-task","20","418360","0.0-5.0-0.14-0.14","41","ov7rxxs8","high"
"1","16","fixed","20","34","12","orange-167","orange","1407","sampling-task","21","424647","0.0-5.0-0.15-0.15","41","ov7rxxs8","high"
"1","17","fixed","20","34","52","orange-62","orange","2310","sampling-task","22","429831","0.0-5.0-0.16-0.16","41","ov7rxxs8","high"
"1","18","fixed","20","34","1","orange-68","orange","2238","sampling-task","23","434975","0.0-5.0-0.17-0.17","41","ov7rxxs8","high"
"1","19","fixed","20","34","40","orange-137","orange","2261","sampling-task","24","440047","0.0-5.0-0.18-0.18","41","ov7rxxs8","high"
"1","20","fixed","20","34","24","orange-188","orange","2726","sampling-task","25","444759","0.0-5.0-0.19-0.19","41","ov7rxxs8","high"
"2","1","free","220","71","97","purple-81","purple","8652","sampling-task","28","517886","0.0-5.0-0.20-0.20","41","ov7rxxs8","high"
"2","2","free","220","71","65","purple-183","purple","2894","sampling-task","29","524030","0.0-5.0-0.21-0.21","41","ov7rxxs8","high"
"2","3","free","220","71","110","purple-176","purple","2343","sampling-task","30","533526","0.0-5.0-0.22-0.22","41","ov7rxxs8","high"
"2","4","free","220","71","81","purple-134","purple","846","sampling-task","31","537470","0.0-5.0-0.23-0.23","41","ov7rxxs8","high"
"2","5","free","220","71","66","purple-8","purple","1326","sampling-task","32","540910","0.0-5.0-0.24-0.24","41","ov7rxxs8","high"
"2","6","free","220","71","52","purple-62","purple","1245","sampling-task","33","544221","0.0-5.0-0.25-0.25","41","ov7rxxs8","high"
"2","7","free","220","71","57","purple-17","purple","1118","sampling-task","34","547421","0.0-5.0-0.26-0.26","41","ov7rxxs8","high"
"2","8","free","220","71","81","purple-179","purple","1197","sampling-task","35","552133","0.0-5.0-0.27-0.27","41","ov7rxxs8","high"
"2","9","free","220","71","51","purple-49","purple","615","sampling-task","36","556613","0.0-5.0-0.28-0.28","41","ov7rxxs8","high"
"2","10","free","220","71","60","purple-145","purple","1367","sampling-task","37","560789","0.0-5.0-0.29-0.29","41","ov7rxxs8","high"
"2","11","free","220","71","99","purple-35","purple","1750","sampling-task","38","567181","0.0-5.0-0.30-0.30","41","ov7rxxs8","high"
"2","12","free","220","71","41","purple-199","purple","1845","sampling-task","39","571789","0.0-5.0-0.31-0.31","41","ov7rxxs8","high"
"2","13","free","220","71","74","purple-55","purple","2974","sampling-task","40","578397","0.0-5.0-0.32-0.32","41","ov7rxxs8","high"
"2","14","free","220","71","56","purple-219","purple","2622","sampling-task","41","584365","0.0-5.0-0.33-0.33","41","ov7rxxs8","high"
"2","15","free","220","71","60","purple-11","purple","1542","sampling-task","42","588821","0.0-5.0-0.34-0.34","41","ov7rxxs8","high"
"2","16","free","220","71","93","purple-73","purple","2462","sampling-task","43","594029","0.0-5.0-0.35-0.35","41","ov7rxxs8","high"
"2","17","free","220","71","69","purple-57","purple","3046","sampling-task","44","598789","0.0-5.0-0.36-0.36","41","ov7rxxs8","high"
"2","18","free","220","71","108","purple-149","purple","2286","sampling-task","45","603669","0.0-5.0-0.37-0.37","41","ov7rxxs8","high"
"2","19","free","220","71","71","purple-27","purple","2502","sampling-task","46","609541","0.0-5.0-0.38-0.38","41","ov7rxxs8","high"
"2","20","free","220","71","68","purple-117","purple","790","sampling-task","47","612901","0.0-5.0-0.39-0.39","41","ov7rxxs8","high"
"3","1","fixed","5","58","57","red-190","red","3612","sampling-task","50","654997","0.0-5.0-0.40-0.40","41","ov7rxxs8","high"
"3","2","fixed","5","58","32","red-15","red","1518","sampling-task","51","660893","0.0-5.0-0.41-0.41","41","ov7rxxs8","high"
"3","3","fixed","5","58","7","red-142","red","2494","sampling-task","52","667228","0.0-5.0-0.42-0.42","41","ov7rxxs8","high"
"3","4","fixed","5","58","84","red-40","red","1799","sampling-task","53","672780","0.0-5.0-0.43-0.43","41","ov7rxxs8","high"
"3","5","fixed","5","58","25","red-116","red","2454","sampling-task","54","676780","0.0-5.0-0.44-0.44","41","ov7rxxs8","high"
"4","1","free","220","12","-6","yellow-12","yellow","4813","sampling-task","57","710036","0.0-5.0-0.45-0.45","41","ov7rxxs8","high"
"4","2","free","220","12","-32","yellow-160","yellow","726","sampling-task","58","713060","0.0-5.0-0.46-0.46","41","ov7rxxs8","high"
"4","3","free","220","12","3","yellow-13","yellow","950","sampling-task","59","716012","0.0-5.0-0.47-0.47","41","ov7rxxs8","high"
"4","4","free","220","12","-15","yellow-95","yellow","718","sampling-task","60","718884","0.0-5.0-0.48-0.48","41","ov7rxxs8","high"
"4","5","free","220","12","-19","yellow-144","yellow","622","sampling-task","61","721989","0.0-5.0-0.49-0.49","41","ov7rxxs8","high"
"4","6","free","220","12","6","yellow-46","yellow","1078","sampling-task","62","727987","0.0-5.0-0.50-0.50","41","ov7rxxs8","high"
"4","7","free","220","12","21","yellow-77","yellow","893","sampling-task","63","731499","0.0-5.0-0.51-0.51","41","ov7rxxs8","high"
"4","8","free","220","12","46","yellow-91","yellow","1366","sampling-task","64","735483","0.0-5.0-0.52-0.52","41","ov7rxxs8","high"
"4","9","free","220","12","-2","yellow-130","yellow","965","sampling-task","65","738915","0.0-5.0-0.53-0.53","41","ov7rxxs8","high"
"4","10","free","220","12","-18","yellow-101","yellow","1518","sampling-task","66","744115","0.0-5.0-0.54-0.54","41","ov7rxxs8","high"
"4","11","free","220","12","24","yellow-71","yellow","851","sampling-task","67","747235","0.0-5.0-0.55-0.55","41","ov7rxxs8","high"
"4","12","free","220","12","-23","yellow-187","yellow","1038","sampling-task","68","752027","0.0-5.0-0.56-0.56","41","ov7rxxs8","high"
"4","13","free","220","12","3","yellow-61","yellow","966","sampling-task","69","756099","0.0-5.0-0.57-0.57","41","ov7rxxs8","high"
"4","14","free","220","12","73","yellow-200","yellow","926","sampling-task","70","760307","0.0-5.0-0.58-0.58","41","ov7rxxs8","high"
"4","15","free","220","12","41","yellow-83","yellow","1885","sampling-task","71","764179","0.0-5.0-0.59-0.59","41","ov7rxxs8","high"
"4","16","free","220","12","4","yellow-132","yellow","1102","sampling-task","72","767955","0.0-5.0-0.60-0.60","41","ov7rxxs8","high"
"4","17","free","220","12","11","yellow-33","yellow","870","sampling-task","73","771219","0.0-5.0-0.61-0.61","41","ov7rxxs8","high"
"4","18","free","220","12","20","yellow-168","yellow","822","sampling-task","74","774891","0.0-5.0-0.62-0.62","41","ov7rxxs8","high"
"5","1","fixed","10","90","82","blue-30","blue","3469","sampling-task","77","829035","0.0-5.0-0.63-0.63","41","ov7rxxs8","high"
"5","2","fixed","10","90","94","blue-99","blue","966","sampling-task","78","831755","0.0-5.0-0.64-0.64","41","ov7rxxs8","high"
"5","3","fixed","10","90","79","blue-178","blue","726","sampling-task","79","834739","0.0-5.0-0.65-0.65","41","ov7rxxs8","high"
"5","4","fixed","10","90","89","blue-113","blue","1246","sampling-task","80","837859","0.0-5.0-0.66-0.66","41","ov7rxxs8","high"
"5","5","fixed","10","90","62","blue-202","blue","1094","sampling-task","81","841491","0.0-5.0-0.67-0.67","41","ov7rxxs8","high"
