"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","112","121","yellow-202","yellow","4162","sampling-task","6","248735","0.0-5.0-0.0-0.0","42","g8dvekcv","high"
"1","2","fixed","5","112","128","yellow-39","yellow","9486","sampling-task","7","261614","0.0-5.0-0.1-0.1","42","g8dvekcv","high"
"1","3","fixed","5","112","105","yellow-141","yellow","1102","sampling-task","8","264071","0.0-5.0-0.2-0.2","42","g8dvekcv","high"
"1","4","fixed","5","112","107","yellow-199","yellow","846","sampling-task","9","266438","0.0-5.0-0.3-0.3","42","g8dvekcv","high"
"1","5","fixed","5","112","107","yellow-91","yellow","806","sampling-task","10","268990","0.0-5.0-0.4-0.4","42","g8dvekcv","high"
"2","1","free","220","91","96","green-20","green","3068","sampling-task","13","332526","0.0-5.0-0.5-0.5","42","g8dvekcv","high"
"3","1","fixed","10","75","124","orange-219","orange","3676","sampling-task","16","442965","0.0-5.0-0.6-0.6","42","g8dvekcv","high"
"3","2","fixed","10","75","106","orange-154","orange","3582","sampling-task","17","447709","0.0-5.0-0.7-0.7","42","g8dvekcv","high"
"3","3","fixed","10","75","89","orange-25","orange","734","sampling-task","18","449598","0.0-5.0-0.8-0.8","42","g8dvekcv","high"
"3","4","fixed","10","75","50","orange-105","orange","477","sampling-task","19","451205","0.0-5.0-0.9-0.9","42","g8dvekcv","high"
"3","5","fixed","10","75","82","orange-91","orange","758","sampling-task","20","453605","0.0-5.0-0.10-0.10","42","g8dvekcv","high"
"3","6","fixed","10","75","65","orange-191","orange","630","sampling-task","21","455269","0.0-5.0-0.11-0.11","42","g8dvekcv","high"
"3","7","fixed","10","75","70","orange-81","orange","742","sampling-task","22","457037","0.0-5.0-0.12-0.12","42","g8dvekcv","high"
"3","8","fixed","10","75","78","orange-161","orange","606","sampling-task","23","459317","0.0-5.0-0.13-0.13","42","g8dvekcv","high"
"3","9","fixed","10","75","76","orange-156","orange","630","sampling-task","24","461021","0.0-5.0-0.14-0.14","42","g8dvekcv","high"
"3","10","fixed","10","75","32","orange-159","orange","646","sampling-task","25","463021","0.0-5.0-0.15-0.15","42","g8dvekcv","high"
"4","1","free","220","35","37","blue-210","blue","21781","sampling-task","28","509004","0.0-5.0-0.16-0.16","42","g8dvekcv","high"
"4","2","free","220","35","46","blue-124","blue","950","sampling-task","29","511069","0.0-5.0-0.17-0.17","42","g8dvekcv","high"
"4","3","free","220","35","47","blue-68","blue","1662","sampling-task","30","513621","0.0-5.0-0.18-0.18","42","g8dvekcv","high"
"4","4","free","220","35","36","blue-57","blue","526","sampling-task","31","515109","0.0-5.0-0.19-0.19","42","g8dvekcv","high"
"4","5","free","220","35","31","blue-107","blue","486","sampling-task","32","516484","0.0-5.0-0.20-0.20","42","g8dvekcv","high"
"4","6","free","220","35","40","blue-165","blue","446","sampling-task","33","517981","0.0-5.0-0.21-0.21","42","g8dvekcv","high"
"4","7","free","220","35","30","blue-193","blue","478","sampling-task","34","519317","0.0-5.0-0.22-0.22","42","g8dvekcv","high"
"4","8","free","220","35","83","blue-133","blue","390","sampling-task","35","520660","0.0-5.0-0.23-0.23","42","g8dvekcv","high"
"4","9","free","220","35","43","blue-144","blue","453","sampling-task","36","522133","0.0-5.0-0.24-0.24","42","g8dvekcv","high"
"4","10","free","220","35","42","blue-54","blue","518","sampling-task","37","523869","0.0-5.0-0.25-0.25","42","g8dvekcv","high"
"4","11","free","220","35","16","blue-40","blue","606","sampling-task","38","525709","0.0-5.0-0.26-0.26","42","g8dvekcv","high"
"4","12","free","220","35","64","blue-174","blue","726","sampling-task","39","528957","0.0-5.0-0.27-0.27","42","g8dvekcv","high"
"4","13","free","220","35","18","blue-171","blue","406","sampling-task","40","531565","0.0-5.0-0.28-0.28","42","g8dvekcv","high"
"5","1","fixed","20","57","61","purple-33","purple","4044","sampling-task","43","567013","0.0-5.0-0.29-0.29","42","g8dvekcv","high"
"5","2","fixed","20","57","54","purple-209","purple","878","sampling-task","44","568965","0.0-5.0-0.30-0.30","42","g8dvekcv","high"
"5","3","fixed","20","57","43","purple-45","purple","3062","sampling-task","45","574317","0.0-5.0-0.31-0.31","42","g8dvekcv","high"
"5","4","fixed","20","57","46","purple-69","purple","774","sampling-task","46","576125","0.0-5.0-0.32-0.32","42","g8dvekcv","high"
"5","5","fixed","20","57","87","purple-44","purple","462","sampling-task","47","577524","0.0-5.0-0.33-0.33","42","g8dvekcv","high"
"5","6","fixed","20","57","59","purple-183","purple","406","sampling-task","48","578957","0.0-5.0-0.34-0.34","42","g8dvekcv","high"
"5","7","fixed","20","57","61","purple-27","purple","325","sampling-task","49","580133","0.0-5.0-0.35-0.35","42","g8dvekcv","high"
"5","8","fixed","20","57","63","purple-91","purple","414","sampling-task","50","581500","0.0-5.0-0.36-0.36","42","g8dvekcv","high"
"5","9","fixed","20","57","25","purple-101","purple","438","sampling-task","51","582757","0.0-5.0-0.37-0.37","42","g8dvekcv","high"
"5","10","fixed","20","57","32","purple-72","purple","470","sampling-task","52","584069","0.0-5.0-0.38-0.38","42","g8dvekcv","high"
"5","11","fixed","20","57","72","purple-84","purple","502","sampling-task","53","585549","0.0-5.0-0.39-0.39","42","g8dvekcv","high"
"5","12","fixed","20","57","44","purple-145","purple","494","sampling-task","54","587149","0.0-5.0-0.40-0.40","42","g8dvekcv","high"
"5","13","fixed","20","57","42","purple-135","purple","542","sampling-task","55","588525","0.0-5.0-0.41-0.41","42","g8dvekcv","high"
"5","14","fixed","20","57","49","purple-105","purple","614","sampling-task","56","589949","0.0-5.0-0.42-0.42","42","g8dvekcv","high"
"5","15","fixed","20","57","38","purple-189","purple","438","sampling-task","57","591101","0.0-5.0-0.43-0.43","42","g8dvekcv","high"
"5","16","fixed","20","57","66","purple-59","purple","446","sampling-task","58","592381","0.0-5.0-0.44-0.44","42","g8dvekcv","high"
"5","17","fixed","20","57","34","purple-29","purple","430","sampling-task","59","594061","0.0-5.0-0.45-0.45","42","g8dvekcv","high"
"5","18","fixed","20","57","76","purple-64","purple","454","sampling-task","60","603660","0.0-5.0-0.46-0.46","42","g8dvekcv","high"
"5","19","fixed","20","57","48","purple-144","purple","693","sampling-task","61","605276","0.0-5.0-0.47-0.47","42","g8dvekcv","high"
"5","20","fixed","20","57","24","purple-153","purple","455","sampling-task","62","606396","0.0-5.0-0.48-0.48","42","g8dvekcv","high"
"6","1","free","220","19","18","red-11","red","9812","sampling-task","65","643388","0.0-5.0-0.49-0.49","42","g8dvekcv","high"
"6","2","free","220","19","16","red-206","red","694","sampling-task","66","645108","0.0-5.0-0.50-0.50","42","g8dvekcv","high"
"6","3","free","220","19","-1","red-142","red","423","sampling-task","67","646868","0.0-5.0-0.51-0.51","42","g8dvekcv","high"
"6","4","free","220","19","8","red-182","red","718","sampling-task","68","648436","0.0-5.0-0.52-0.52","42","g8dvekcv","high"
"6","5","free","220","19","29","red-172","red","454","sampling-task","69","649740","0.0-5.0-0.53-0.53","42","g8dvekcv","high"
