"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","71","41","blue-37","blue","15277","sampling-task","12","530141","0.0-5.0-0.0-0.0","43","04emfyfc","high"
"1","2","fixed","20","71","77","blue-51","blue","5678","sampling-task","13","549549","0.0-5.0-0.1-0.1","43","04emfyfc","high"
"1","3","fixed","20","71","59","blue-48","blue","9830","sampling-task","14","562557","0.0-5.0-0.2-0.2","43","04emfyfc","high"
"1","4","fixed","20","71","71","blue-136","blue","2790","sampling-task","15","567933","0.0-5.0-0.3-0.3","43","04emfyfc","high"
"1","5","fixed","20","71","71","blue-164","blue","8334","sampling-task","16","578115","0.0-5.0-0.4-0.4","43","04emfyfc","high"
"1","6","fixed","20","71","71","blue-10","blue","1574","sampling-task","17","581955","0.0-5.0-0.5-0.5","43","04emfyfc","high"
"1","7","fixed","20","71","72","blue-188","blue","1631","sampling-task","18","588491","0.0-5.0-0.6-0.6","43","04emfyfc","high"
"1","8","fixed","20","71","136","blue-39","blue","2614","sampling-task","19","596419","0.0-5.0-0.7-0.7","43","04emfyfc","high"
"1","9","fixed","20","71","75","blue-102","blue","3806","sampling-task","20","603059","0.0-5.0-0.8-0.8","43","04emfyfc","high"
"1","10","fixed","20","71","73","blue-163","blue","4806","sampling-task","21","610187","0.0-5.0-0.9-0.9","43","04emfyfc","high"
"1","11","fixed","20","71","92","blue-145","blue","8510","sampling-task","22","621299","0.0-5.0-0.10-0.10","43","04emfyfc","high"
"1","12","fixed","20","71","51","blue-44","blue","5622","sampling-task","23","629507","0.0-5.0-0.11-0.11","43","04emfyfc","high"
"1","13","fixed","20","71","98","blue-136","blue","2734","sampling-task","24","637690","0.0-5.0-0.12-0.12","43","04emfyfc","high"
"1","14","fixed","20","71","47","blue-100","blue","2246","sampling-task","25","642538","0.0-5.0-0.13-0.13","43","04emfyfc","high"
"1","15","fixed","20","71","40","blue-211","blue","7790","sampling-task","26","652210","0.0-5.0-0.14-0.14","43","04emfyfc","high"
"1","16","fixed","20","71","70","blue-123","blue","3918","sampling-task","27","658338","0.0-5.0-0.15-0.15","43","04emfyfc","high"
"1","17","fixed","20","71","87","blue-182","blue","2926","sampling-task","28","662858","0.0-5.0-0.16-0.16","43","04emfyfc","high"
"1","18","fixed","20","71","57","blue-72","blue","3014","sampling-task","29","667298","0.0-5.0-0.17-0.17","43","04emfyfc","high"
"1","19","fixed","20","71","91","blue-202","blue","4541","sampling-task","30","673522","0.0-5.0-0.18-0.18","43","04emfyfc","high"
"1","20","fixed","20","71","50","blue-185","blue","4550","sampling-task","31","680234","0.0-5.0-0.19-0.19","43","04emfyfc","high"
"2","1","free","220","34","43","yellow-138","yellow","5179","sampling-task","34","762688","0.0-5.0-0.20-0.20","43","04emfyfc","high"
"2","2","free","220","34","39","yellow-161","yellow","3654","sampling-task","35","768600","0.0-5.0-0.21-0.21","43","04emfyfc","high"
"2","3","free","220","34","5","yellow-1","yellow","1278","sampling-task","36","771152","0.0-5.0-0.22-0.22","43","04emfyfc","high"
"2","4","free","220","34","59","yellow-54","yellow","1206","sampling-task","37","774560","0.0-5.0-0.23-0.23","43","04emfyfc","high"
"2","5","free","220","34","59","yellow-115","yellow","919","sampling-task","38","776640","0.0-5.0-0.24-0.24","43","04emfyfc","high"
"2","6","free","220","34","-10","yellow-187","yellow","895","sampling-task","39","778976","0.0-5.0-0.25-0.25","43","04emfyfc","high"
"2","7","free","220","34","45","yellow-139","yellow","766","sampling-task","40","780864","0.0-5.0-0.26-0.26","43","04emfyfc","high"
"2","8","free","220","34","61","yellow-190","yellow","399","sampling-task","41","788184","0.0-5.0-0.27-0.27","43","04emfyfc","high"
"2","9","free","220","34","38","yellow-219","yellow","406","sampling-task","42","789712","0.0-5.0-0.28-0.28","43","04emfyfc","high"
"2","10","free","220","34","72","yellow-196","yellow","215","sampling-task","43","791992","0.0-5.0-0.29-0.29","43","04emfyfc","high"
"2","11","free","220","34","-18","yellow-129","yellow","655","sampling-task","44","793616","0.0-5.0-0.30-0.30","43","04emfyfc","high"
"2","12","free","220","34","31","yellow-9","yellow","343","sampling-task","45","795680","0.0-5.0-0.31-0.31","43","04emfyfc","high"
"2","13","free","220","34","58","yellow-219","yellow","287","sampling-task","46","797472","0.0-5.0-0.32-0.32","43","04emfyfc","high"
"2","14","free","220","34","49","yellow-157","yellow","327","sampling-task","47","799368","0.0-5.0-0.33-0.33","43","04emfyfc","high"
