"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","111","103","purple-33","purple","7254","sampling-task","6","306190","0.0-5.0-0.0-0.0","44","5jrh8k6p","low"
"1","2","fixed","10","111","127","purple-33","purple","4054","sampling-task","7","315206","0.0-5.0-0.1-0.1","44","5jrh8k6p","low"
"1","3","fixed","10","111","100","purple-33","purple","1030","sampling-task","8","331422","0.0-5.0-0.2-0.2","44","5jrh8k6p","low"
"1","4","fixed","10","111","105","purple-33","purple","7398","sampling-task","9","346661","0.0-5.0-0.3-0.3","44","5jrh8k6p","low"
"1","5","fixed","10","111","85","purple-33","purple","1653","sampling-task","10","349973","0.0-5.0-0.4-0.4","44","5jrh8k6p","low"
"1","6","fixed","10","111","65","purple-33","purple","607","sampling-task","11","351565","0.0-5.0-0.5-0.5","44","5jrh8k6p","low"
"1","7","fixed","10","111","131","purple-33","purple","559","sampling-task","12","353701","0.0-5.0-0.6-0.6","44","5jrh8k6p","low"
"1","8","fixed","10","111","97","purple-33","purple","590","sampling-task","13","355589","0.0-5.0-0.7-0.7","44","5jrh8k6p","low"
"1","9","fixed","10","111","129","purple-33","purple","622","sampling-task","14","357261","0.0-5.0-0.8-0.8","44","5jrh8k6p","low"
"1","10","fixed","10","111","99","purple-33","purple","582","sampling-task","15","359413","0.0-5.0-0.9-0.9","44","5jrh8k6p","low"
"2","1","free","220","34","48","orange-55","orange","4796","sampling-task","18","447341","0.0-5.0-0.10-0.10","44","5jrh8k6p","low"
"2","2","free","220","34","48","orange-55","orange","638","sampling-task","19","449173","0.0-5.0-0.11-0.11","44","5jrh8k6p","low"
"2","3","free","220","34","44","orange-55","orange","557","sampling-task","20","451109","0.0-5.0-0.12-0.12","44","5jrh8k6p","low"
"2","4","free","220","34","32","orange-55","orange","518","sampling-task","21","455021","0.0-5.0-0.13-0.13","44","5jrh8k6p","low"
