"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","78","74","yellow-175","yellow","4473","sampling-task","6","251017","0.0-5.0-0.0-0.0","45","aas3cp82","high"
"1","2","fixed","5","78","114","yellow-63","yellow","1502","sampling-task","7","254912","0.0-5.0-0.1-0.1","45","aas3cp82","high"
"1","3","fixed","5","78","65","yellow-178","yellow","919","sampling-task","8","257609","0.0-5.0-0.2-0.2","45","aas3cp82","high"
"1","4","fixed","5","78","100","yellow-153","yellow","1117","sampling-task","9","260416","0.0-5.0-0.3-0.3","45","aas3cp82","high"
"1","5","fixed","5","78","75","yellow-72","yellow","918","sampling-task","10","263016","0.0-5.0-0.4-0.4","45","aas3cp82","high"
"2","1","free","220","113","96","purple-35","purple","7996","sampling-task","13","317184","0.0-5.0-0.5-0.5","45","aas3cp82","high"
"2","2","free","220","113","133","purple-33","purple","4142","sampling-task","14","323552","0.0-5.0-0.6-0.6","45","aas3cp82","high"
"2","3","free","220","113","134","purple-38","purple","2142","sampling-task","15","327016","0.0-5.0-0.7-0.7","45","aas3cp82","high"
"2","4","free","220","113","101","purple-22","purple","614","sampling-task","16","329456","0.0-5.0-0.8-0.8","45","aas3cp82","high"
"2","5","free","220","113","79","purple-167","purple","710","sampling-task","17","331608","0.0-5.0-0.9-0.9","45","aas3cp82","high"
"2","6","free","220","113","115","purple-148","purple","718","sampling-task","18","333832","0.0-5.0-0.10-0.10","45","aas3cp82","high"
"2","7","free","220","113","155","purple-143","purple","750","sampling-task","19","336439","0.0-5.0-0.11-0.11","45","aas3cp82","high"
"2","8","free","220","113","106","purple-149","purple","790","sampling-task","20","338624","0.0-5.0-0.12-0.12","45","aas3cp82","high"
"2","9","free","220","113","118","purple-99","purple","702","sampling-task","21","342008","0.0-5.0-0.13-0.13","45","aas3cp82","high"
"2","10","free","220","113","113","purple-79","purple","702","sampling-task","22","343998","0.0-5.0-0.14-0.14","45","aas3cp82","high"
"2","11","free","220","113","96","purple-68","purple","663","sampling-task","23","346638","0.0-5.0-0.15-0.15","45","aas3cp82","high"
"3","1","fixed","10","14","44","blue-45","blue","8437","sampling-task","26","382599","0.0-5.0-0.16-0.16","45","aas3cp82","high"
