"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","78","97","green-143","green","3838","sampling-task","6","213403","0.0-5.0-0.0-0.0","46","9uaz6xuw","high"
"1","2","fixed","10","78","60","green-105","green","1109","sampling-task","7","216139","0.0-5.0-0.1-0.1","46","9uaz6xuw","high"
"1","3","fixed","10","78","70","green-181","green","1765","sampling-task","8","219571","0.0-5.0-0.2-0.2","46","9uaz6xuw","high"
"1","4","fixed","10","78","60","green-140","green","749","sampling-task","9","221899","0.0-5.0-0.3-0.3","46","9uaz6xuw","high"
"1","5","fixed","10","78","73","green-18","green","662","sampling-task","10","224107","0.0-5.0-0.4-0.4","46","9uaz6xuw","high"
"1","6","fixed","10","78","77","green-171","green","622","sampling-task","11","226027","0.0-5.0-0.5-0.5","46","9uaz6xuw","high"
"1","7","fixed","10","78","28","green-213","green","502","sampling-task","12","227867","0.0-5.0-0.6-0.6","46","9uaz6xuw","high"
"1","8","fixed","10","78","61","green-153","green","518","sampling-task","13","230131","0.0-5.0-0.7-0.7","46","9uaz6xuw","high"
"1","9","fixed","10","78","31","green-139","green","518","sampling-task","14","232139","0.0-5.0-0.8-0.8","46","9uaz6xuw","high"
"1","10","fixed","10","78","131","green-8","green","534","sampling-task","15","234883","0.0-5.0-0.9-0.9","46","9uaz6xuw","high"
"2","1","free","220","53","22","purple-31","purple","3484","sampling-task","18","275258","0.0-5.0-0.10-0.10","46","9uaz6xuw","high"
"2","2","free","220","53","36","purple-61","purple","1014","sampling-task","19","281418","0.0-5.0-0.11-0.11","46","9uaz6xuw","high"
"2","3","free","220","53","52","purple-145","purple","982","sampling-task","20","286970","0.0-5.0-0.12-0.12","46","9uaz6xuw","high"
"2","4","free","220","53","60","purple-105","purple","758","sampling-task","21","290491","0.0-5.0-0.13-0.13","46","9uaz6xuw","high"
"2","5","free","220","53","63","purple-41","purple","534","sampling-task","22","294746","0.0-5.0-0.14-0.14","46","9uaz6xuw","high"
"2","6","free","220","53","34","purple-81","purple","806","sampling-task","23","297226","0.0-5.0-0.15-0.15","46","9uaz6xuw","high"
"2","7","free","220","53","39","purple-82","purple","1086","sampling-task","24","300554","0.0-5.0-0.16-0.16","46","9uaz6xuw","high"
"2","8","free","220","53","26","purple-115","purple","838","sampling-task","25","303362","0.0-5.0-0.17-0.17","46","9uaz6xuw","high"
"2","9","free","220","53","45","purple-32","purple","494","sampling-task","26","305082","0.0-5.0-0.18-0.18","46","9uaz6xuw","high"
"2","10","free","220","53","47","purple-81","purple","438","sampling-task","27","306803","0.0-5.0-0.19-0.19","46","9uaz6xuw","high"
"2","11","free","220","53","57","purple-86","purple","374","sampling-task","28","308875","0.0-5.0-0.20-0.20","46","9uaz6xuw","high"
"3","1","fixed","5","37","69","red-103","red","9204","sampling-task","31","344539","0.0-5.0-0.21-0.21","46","9uaz6xuw","high"
"3","2","fixed","5","37","33","red-108","red","2941","sampling-task","32","348955","0.0-5.0-0.22-0.22","46","9uaz6xuw","high"
"3","3","fixed","5","37","59","red-199","red","2543","sampling-task","33","352979","0.0-5.0-0.23-0.23","46","9uaz6xuw","high"
"3","4","fixed","5","37","46","red-219","red","1046","sampling-task","34","358355","0.0-5.0-0.24-0.24","46","9uaz6xuw","high"
"3","5","fixed","5","37","43","red-108","red","1421","sampling-task","35","362987","0.0-5.0-0.25-0.25","46","9uaz6xuw","high"
"4","1","free","220","115","137","orange-98","orange","5044","sampling-task","38","402123","0.0-5.0-0.26-0.26","46","9uaz6xuw","high"
"5","1","fixed","20","14","6","blue-198","blue","2692","sampling-task","41","430067","0.0-5.0-0.27-0.27","46","9uaz6xuw","high"
"5","2","fixed","20","14","-13","blue-48","blue","1565","sampling-task","42","433362","0.0-5.0-0.28-0.28","46","9uaz6xuw","high"
"5","3","fixed","20","14","37","blue-5","blue","1014","sampling-task","43","437411","0.0-5.0-0.29-0.29","46","9uaz6xuw","high"
"5","4","fixed","20","14","8","blue-180","blue","1998","sampling-task","44","440947","0.0-5.0-0.30-0.30","46","9uaz6xuw","high"
"5","5","fixed","20","14","45","blue-202","blue","1030","sampling-task","45","443403","0.0-5.0-0.31-0.31","46","9uaz6xuw","high"
"5","6","fixed","20","14","21","blue-43","blue","870","sampling-task","46","445947","0.0-5.0-0.32-0.32","46","9uaz6xuw","high"
"5","7","fixed","20","14","54","blue-144","blue","758","sampling-task","47","449307","0.0-5.0-0.33-0.33","46","9uaz6xuw","high"
"5","8","fixed","20","14","38","blue-22","blue","869","sampling-task","48","451723","0.0-5.0-0.34-0.34","46","9uaz6xuw","high"
"5","9","fixed","20","14","24","blue-92","blue","836","sampling-task","49","454275","0.0-5.0-0.35-0.35","46","9uaz6xuw","high"
"5","10","fixed","20","14","-17","blue-50","blue","1101","sampling-task","50","457195","0.0-5.0-0.36-0.36","46","9uaz6xuw","high"
"5","11","fixed","20","14","-16","blue-193","blue","998","sampling-task","51","459627","0.0-5.0-0.37-0.37","46","9uaz6xuw","high"
"5","12","fixed","20","14","34","blue-133","blue","1510","sampling-task","52","463067","0.0-5.0-0.38-0.38","46","9uaz6xuw","high"
"5","13","fixed","20","14","10","blue-125","blue","909","sampling-task","53","465483","0.0-5.0-0.39-0.39","46","9uaz6xuw","high"
"5","14","fixed","20","14","7","blue-217","blue","958","sampling-task","54","469075","0.0-5.0-0.40-0.40","46","9uaz6xuw","high"
"5","15","fixed","20","14","23","blue-23","blue","1621","sampling-task","55","472067","0.0-5.0-0.41-0.41","46","9uaz6xuw","high"
"5","16","fixed","20","14","26","blue-11","blue","1006","sampling-task","56","474787","0.0-5.0-0.42-0.42","46","9uaz6xuw","high"
"5","17","fixed","20","14","17","blue-150","blue","1037","sampling-task","57","477547","0.0-5.0-0.43-0.43","46","9uaz6xuw","high"
"5","18","fixed","20","14","-2","blue-21","blue","806","sampling-task","58","479691","0.0-5.0-0.44-0.44","46","9uaz6xuw","high"
"5","19","fixed","20","14","7","blue-88","blue","854","sampling-task","59","481899","0.0-5.0-0.45-0.45","46","9uaz6xuw","high"
"5","20","fixed","20","14","19","blue-81","blue","918","sampling-task","60","484171","0.0-5.0-0.46-0.46","46","9uaz6xuw","high"
"6","1","free","220","98","83","yellow-78","yellow","1707","sampling-task","63","511843","0.0-5.0-0.47-0.47","46","9uaz6xuw","high"
"6","2","free","220","98","126","yellow-157","yellow","1414","sampling-task","64","516715","0.0-5.0-0.48-0.48","46","9uaz6xuw","high"
"6","3","free","220","98","142","yellow-51","yellow","749","sampling-task","65","521291","0.0-5.0-0.49-0.49","46","9uaz6xuw","high"
"6","4","free","220","98","112","yellow-136","yellow","982","sampling-task","66","525355","0.0-5.0-0.50-0.50","46","9uaz6xuw","high"
"6","5","free","220","98","57","yellow-109","yellow","901","sampling-task","67","530179","0.0-5.0-0.51-0.51","46","9uaz6xuw","high"
"6","6","free","220","98","75","yellow-60","yellow","821","sampling-task","68","533995","0.0-5.0-0.52-0.52","46","9uaz6xuw","high"
"6","7","free","220","98","126","yellow-44","yellow","845","sampling-task","69","536243","0.0-5.0-0.53-0.53","46","9uaz6xuw","high"
