"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","72","60","yellow-96","yellow","5183","sampling-task","6","216948","0.0-5.0-0.0-0.0","47","9no2eba7","low"
"1","2","fixed","10","72","46","yellow-96","yellow","4302","sampling-task","7","222692","0.0-5.0-0.1-0.1","47","9no2eba7","low"
"1","3","fixed","10","72","66","yellow-96","yellow","1293","sampling-task","8","225876","0.0-5.0-0.2-0.2","47","9no2eba7","low"
"1","4","fixed","10","72","60","yellow-96","yellow","1871","sampling-task","9","229156","0.0-5.0-0.3-0.3","47","9no2eba7","low"
"1","5","fixed","10","72","26","yellow-96","yellow","462","sampling-task","10","231333","0.0-5.0-0.4-0.4","47","9no2eba7","low"
"1","6","fixed","10","72","57","yellow-96","yellow","646","sampling-task","11","233196","0.0-5.0-0.5-0.5","47","9no2eba7","low"
"1","7","fixed","10","72","29","yellow-96","yellow","949","sampling-task","12","235748","0.0-5.0-0.6-0.6","47","9no2eba7","low"
"1","8","fixed","10","72","71","yellow-96","yellow","542","sampling-task","13","237708","0.0-5.0-0.7-0.7","47","9no2eba7","low"
"1","9","fixed","10","72","89","yellow-96","yellow","518","sampling-task","14","239476","0.0-5.0-0.8-0.8","47","9no2eba7","low"
"1","10","fixed","10","72","100","yellow-96","yellow","830","sampling-task","15","241349","0.0-5.0-0.9-0.9","47","9no2eba7","low"
"2","1","free","220","14","-25","blue-12","blue","1629","sampling-task","18","281380","0.0-5.0-0.10-0.10","47","9no2eba7","low"
"2","2","free","220","14","27","blue-12","blue","358","sampling-task","19","282924","0.0-5.0-0.11-0.11","47","9no2eba7","low"
"2","3","free","220","14","38","blue-12","blue","351","sampling-task","20","284308","0.0-5.0-0.12-0.12","47","9no2eba7","low"
"2","4","free","220","14","28","blue-12","blue","279","sampling-task","21","285460","0.0-5.0-0.13-0.13","47","9no2eba7","low"
"2","5","free","220","14","35","blue-12","blue","230","sampling-task","22","286555","0.0-5.0-0.14-0.14","47","9no2eba7","low"
"2","6","free","220","14","22","blue-12","blue","231","sampling-task","23","287643","0.0-5.0-0.15-0.15","47","9no2eba7","low"
"2","7","free","220","14","-11","blue-12","blue","206","sampling-task","24","289067","0.0-5.0-0.16-0.16","47","9no2eba7","low"
"2","8","free","220","14","-9","blue-12","blue","254","sampling-task","25","290187","0.0-5.0-0.17-0.17","47","9no2eba7","low"
"2","9","free","220","14","22","blue-12","blue","254","sampling-task","26","291547","0.0-5.0-0.18-0.18","47","9no2eba7","low"
"2","10","free","220","14","4","blue-12","blue","246","sampling-task","27","292675","0.0-5.0-0.19-0.19","47","9no2eba7","low"
"2","11","free","220","14","0","blue-12","blue","263","sampling-task","28","294659","0.0-5.0-0.20-0.20","47","9no2eba7","low"
"2","12","free","220","14","16","blue-12","blue","278","sampling-task","29","296259","0.0-5.0-0.21-0.21","47","9no2eba7","low"
"2","13","free","220","14","-9","blue-12","blue","287","sampling-task","30","297523","0.0-5.0-0.22-0.22","47","9no2eba7","low"
"2","14","free","220","14","11","blue-12","blue","1455","sampling-task","31","300267","0.0-5.0-0.23-0.23","47","9no2eba7","low"
"3","1","fixed","5","32","9","green-161","green","1725","sampling-task","34","318051","0.0-5.0-0.24-0.24","47","9no2eba7","low"
"3","2","fixed","5","32","41","green-161","green","366","sampling-task","35","319643","0.0-5.0-0.25-0.25","47","9no2eba7","low"
"3","3","fixed","5","32","57","green-161","green","334","sampling-task","36","320867","0.0-5.0-0.26-0.26","47","9no2eba7","low"
"3","4","fixed","5","32","30","green-161","green","383","sampling-task","37","322283","0.0-5.0-0.27-0.27","47","9no2eba7","low"
"3","5","fixed","5","32","81","green-161","green","606","sampling-task","38","324643","0.0-5.0-0.28-0.28","47","9no2eba7","low"
"4","1","free","220","55","47","orange-212","orange","1085","sampling-task","41","341259","0.0-5.0-0.29-0.29","47","9no2eba7","low"
"4","2","free","220","55","77","orange-212","orange","311","sampling-task","42","342547","0.0-5.0-0.30-0.30","47","9no2eba7","low"
"4","3","free","220","55","62","orange-212","orange","294","sampling-task","43","343835","0.0-5.0-0.31-0.31","47","9no2eba7","low"
"4","4","free","220","55","84","orange-212","orange","278","sampling-task","44","345003","0.0-5.0-0.32-0.32","47","9no2eba7","low"
"4","5","free","220","55","52","orange-212","orange","231","sampling-task","45","346060","0.0-5.0-0.33-0.33","47","9no2eba7","low"
"4","6","free","220","55","37","orange-212","orange","229","sampling-task","46","347451","0.0-5.0-0.34-0.34","47","9no2eba7","low"
"4","7","free","220","55","90","orange-212","orange","286","sampling-task","47","348651","0.0-5.0-0.35-0.35","47","9no2eba7","low"
"4","8","free","220","55","70","orange-212","orange","261","sampling-task","48","349723","0.0-5.0-0.36-0.36","47","9no2eba7","low"
"4","9","free","220","55","61","orange-212","orange","230","sampling-task","49","350795","0.0-5.0-0.37-0.37","47","9no2eba7","low"
"4","10","free","220","55","83","orange-212","orange","206","sampling-task","50","351819","0.0-5.0-0.38-0.38","47","9no2eba7","low"
"4","11","free","220","55","60","orange-212","orange","198","sampling-task","51","353163","0.0-5.0-0.39-0.39","47","9no2eba7","low"
"4","12","free","220","55","31","orange-212","orange","271","sampling-task","52","354267","0.0-5.0-0.40-0.40","47","9no2eba7","low"
"4","13","free","220","55","41","orange-212","orange","230","sampling-task","53","355339","0.0-5.0-0.41-0.41","47","9no2eba7","low"
"4","14","free","220","55","35","orange-212","orange","222","sampling-task","54","356923","0.0-5.0-0.42-0.42","47","9no2eba7","low"
"4","15","free","220","55","48","orange-212","orange","230","sampling-task","55","357964","0.0-5.0-0.43-0.43","47","9no2eba7","low"
"4","16","free","220","55","59","orange-212","orange","214","sampling-task","56","359123","0.0-5.0-0.44-0.44","47","9no2eba7","low"
"5","1","fixed","20","91","107","purple-105","purple","1909","sampling-task","59","381403","0.0-5.0-0.45-0.45","47","9no2eba7","low"
