"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","37","43","blue-168","blue","36460","sampling-task","6","353283","0.0-5.0-0.0-0.0","48","39gnpprh","low"
"1","2","fixed","5","37","33","blue-168","blue","23973","sampling-task","7","378883","0.0-5.0-0.1-0.1","48","39gnpprh","low"
"1","3","fixed","5","37","26","blue-168","blue","3519","sampling-task","8","383875","0.0-5.0-0.2-0.2","48","39gnpprh","low"
"1","4","fixed","5","37","31","blue-168","blue","782","sampling-task","9","386091","0.0-5.0-0.3-0.3","48","39gnpprh","low"
"1","5","fixed","5","37","16","blue-168","blue","6279","sampling-task","10","393891","0.0-5.0-0.4-0.4","48","39gnpprh","low"
"2","1","free","220","71","73","green-198","green","6484","sampling-task","13","461691","0.0-5.0-0.5-0.5","48","39gnpprh","low"
"2","2","free","220","71","95","green-198","green","470","sampling-task","14","463555","0.0-5.0-0.6-0.6","48","39gnpprh","low"
"2","3","free","220","71","59","green-198","green","398","sampling-task","15","464915","0.0-5.0-0.7-0.7","48","39gnpprh","low"
"2","4","free","220","71","52","green-198","green","382","sampling-task","16","466427","0.0-5.0-0.8-0.8","48","39gnpprh","low"
"2","5","free","220","71","98","green-198","green","398","sampling-task","17","467843","0.0-5.0-0.9-0.9","48","39gnpprh","low"
"2","6","free","220","71","86","green-198","green","398","sampling-task","18","469082","0.0-5.0-0.10-0.10","48","39gnpprh","low"
"2","7","free","220","71","58","green-198","green","302","sampling-task","19","470210","0.0-5.0-0.11-0.11","48","39gnpprh","low"
"2","8","free","220","71","67","green-198","green","294","sampling-task","20","471675","0.0-5.0-0.12-0.12","48","39gnpprh","low"
"2","9","free","220","71","62","green-198","green","358","sampling-task","21","472908","0.0-5.0-0.13-0.13","48","39gnpprh","low"
"2","10","free","220","71","47","green-198","green","293","sampling-task","22","474307","0.0-5.0-0.14-0.14","48","39gnpprh","low"
"2","11","free","220","71","77","green-198","green","310","sampling-task","23","476106","0.0-5.0-0.15-0.15","48","39gnpprh","low"
"3","1","fixed","20","96","74","yellow-158","yellow","4221","sampling-task","26","505691","0.0-5.0-0.16-0.16","48","39gnpprh","low"
